年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,68000000,住,軍警人員一,2592,12390427
201401,68000000,住,軍警人員二,421,1727577
201401,68000000,住,其他公共行政類,12289,41968391
201401,68000000,住,教育類,8326,32070427
201401,68000000,住,工商及服務類,87286,436369905
201401,68000000,住,專業及技術服務類,26547,144185503
201401,68000000,住,其他,34020,159632257
201402,68000000,住,軍警人員一,1906,7195640
201402,68000000,住,軍警人員二,310,759602
201402,68000000,住,其他公共行政類,9024,27315925
201402,68000000,住,教育類,6352,20464359
201402,68000000,住,工商及服務類,64983,271875738
201402,68000000,住,專業及技術服務類,20387,97232789
201402,68000000,住,其他,24657,99386468
201403,68000000,住,軍警人員一,2030,6966087
201403,68000000,住,軍警人員二,348,1062933
201403,68000000,住,其他公共行政類,8644,28741664
201403,68000000,住,教育類,6442,22780904
201403,68000000,住,工商及服務類,68813,302378483
201403,68000000,住,專業及技術服務類,22030,115058283
201403,68000000,住,其他,26202,109989865
201404,68000000,住,軍警人員一,1913,7826830
201404,68000000,住,軍警人員二,304,955790
201404,68000000,住,其他公共行政類,8211,32246433
201404,68000000,住,教育類,6339,24946103
201404,68000000,住,工商及服務類,66326,326937625
201404,68000000,住,專業及技術服務類,20468,107859502
201404,68000000,住,其他,25794,124347968
201405,68000000,住,軍警人員一,2106,8739889
201405,68000000,住,軍警人員二,340,1047237
201405,68000000,住,其他公共行政類,9035,32355034
201405,68000000,住,教育類,6642,22526812
201405,68000000,住,工商及服務類,73252,336031508
201405,68000000,住,專業及技術服務類,23102,115094206
201405,68000000,住,其他,28181,129481392
201406,68000000,住,軍警人員一,2165,9011720
201406,68000000,住,軍警人員二,352,1403405
201406,68000000,住,其他公共行政類,9226,34053071
201406,68000000,住,教育類,7148,26424934
201406,68000000,住,工商及服務類,73930,343472687
201406,68000000,住,專業及技術服務類,23644,113466044
201406,68000000,住,其他,29136,131397035
201407,68000000,住,軍警人員一,2370,9869905
201407,68000000,住,軍警人員二,370,1418633
201407,68000000,住,其他公共行政類,10942,41307225
201407,68000000,住,教育類,8798,33292458
201407,68000000,住,工商及服務類,78807,378899396
201407,68000000,住,專業及技術服務類,24987,125848572
201407,68000000,住,其他,31712,149249462
201408,68000000,住,軍警人員一,2399,9365685
201408,68000000,住,軍警人員二,349,1321493
201408,68000000,住,其他公共行政類,10889,36608153
201408,68000000,住,教育類,8783,30425071
201408,68000000,住,工商及服務類,77662,337203215
201408,68000000,住,專業及技術服務類,24642,117092203
201408,68000000,住,其他,30889,133722452
201409,68000000,住,軍警人員一,2106,7294978
201409,68000000,住,軍警人員二,283,1063818
201409,68000000,住,其他公共行政類,8816,31259325
201409,68000000,住,教育類,6618,22234950
201409,68000000,住,工商及服務類,70813,305213854
201409,68000000,住,專業及技術服務類,22737,105238579
201409,68000000,住,其他,28079,118485431
201410,68000000,住,軍警人員一,2110,8863023
201410,68000000,住,軍警人員二,337,1380560
201410,68000000,住,其他公共行政類,9366,33393757
201410,68000000,住,教育類,6630,22365400
201410,68000000,住,工商及服務類,71861,307138569
201410,68000000,住,專業及技術服務類,23124,111544064
201410,68000000,住,其他,28570,117736540
201411,68000000,住,軍警人員一,2262,9011345
201411,68000000,住,軍警人員二,339,1252533
201411,68000000,住,其他公共行政類,9129,35646839
201411,68000000,住,教育類,6791,26223745
201411,68000000,住,工商及服務類,73005,345154246
201411,68000000,住,專業及技術服務類,23701,119046561
201411,68000000,住,其他,28790,131697897
201412,68000000,住,軍警人員一,2219,10072841
201412,68000000,住,軍警人員二,392,1233207
201412,68000000,住,其他公共行政類,8993,32714627
201412,68000000,住,教育類,6923,24484793
201412,68000000,住,工商及服務類,76651,347288458
201412,68000000,住,專業及技術服務類,24673,121338302
201412,68000000,住,其他,30018,134094772
201501,68000000,住,軍警人員一,2367,11555028
201501,68000000,住,軍警人員二,361,1243770
201501,68000000,住,其他公共行政類,10024,38846434
201501,68000000,住,教育類,7473,28557427
201501,68000000,住,工商及服務類,79990,388056924
201501,68000000,住,專業及技術服務類,25405,123704831
201501,68000000,住,其他,31593,148551708
201502,68000000,住,軍警人員一,2149,8658777
201502,68000000,住,軍警人員二,314,1116448
201502,68000000,住,其他公共行政類,11330,32343251
201502,68000000,住,教育類,7451,25160524
201502,68000000,住,工商及服務類,74582,348979527
201502,68000000,住,專業及技術服務類,24029,113300543
201502,68000000,住,其他,29558,132735853
201503,68000000,住,軍警人員一,2131,9601196
201503,68000000,住,軍警人員二,352,1023650
201503,68000000,住,其他公共行政類,8602,27918330
201503,68000000,住,教育類,6490,21471641
201503,68000000,住,工商及服務類,68842,295529815
