年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,68000000,其他,軍警人員一,3694,20534901
201401,68000000,其他,軍警人員二,739,3421641
201401,68000000,其他,其他公共行政類,19977,97226657
201401,68000000,其他,教育類,18592,82084818
201401,68000000,其他,工商及服務類,184551,974486054
201401,68000000,其他,專業及技術服務類,55155,280493751
201401,68000000,其他,其他,87174,449779402
201402,68000000,其他,軍警人員一,2837,14362365
201402,68000000,其他,軍警人員二,468,3010379
201402,68000000,其他,其他公共行政類,15324,68781073
201402,68000000,其他,教育類,13956,51682403
201402,68000000,其他,工商及服務類,139956,696715480
201402,68000000,其他,專業及技術服務類,42422,201028004
201402,68000000,其他,其他,63552,295170334
201403,68000000,其他,軍警人員一,3204,16476012
201403,68000000,其他,軍警人員二,571,2694187
201403,68000000,其他,其他公共行政類,17075,82693790
201403,68000000,其他,教育類,15756,66500530
201403,68000000,其他,工商及服務類,163381,870726929
201403,68000000,其他,專業及技術服務類,49246,246327958
201403,68000000,其他,其他,76084,374544792
201404,68000000,其他,軍警人員一,3131,18161075
201404,68000000,其他,軍警人員二,550,2627747
201404,68000000,其他,其他公共行政類,16252,82895822
201404,68000000,其他,教育類,15063,72007733
201404,68000000,其他,工商及服務類,155819,876888702
201404,68000000,其他,專業及技術服務類,47933,253552220
201404,68000000,其他,其他,74844,392345100
201405,68000000,其他,軍警人員一,3399,18142736
201405,68000000,其他,軍警人員二,580,2765564
201405,68000000,其他,其他公共行政類,17759,87552136
201405,68000000,其他,教育類,16201,65469731
201405,68000000,其他,工商及服務類,167406,893491754
201405,68000000,其他,專業及技術服務類,51894,260887382
201405,68000000,其他,其他,82062,423348641
201406,68000000,其他,軍警人員一,3451,18340319
201406,68000000,其他,軍警人員二,578,3078520
201406,68000000,其他,其他公共行政類,17605,85877553
201406,68000000,其他,教育類,16517,66406664
201406,68000000,其他,工商及服務類,165864,828932961
201406,68000000,其他,專業及技術服務類,51873,249324571
201406,68000000,其他,其他,79165,385425264
201407,68000000,其他,軍警人員一,3595,19984256
201407,68000000,其他,軍警人員二,607,3125775
201407,68000000,其他,其他公共行政類,19179,93796204
201407,68000000,其他,教育類,18494,72887814
201407,68000000,其他,工商及服務類,168668,865795855
201407,68000000,其他,專業及技術服務類,53211,257441718
201407,68000000,其他,其他,79845,377542811
201408,68000000,其他,軍警人員一,3482,19656377
201408,68000000,其他,軍警人員二,634,2598511
201408,68000000,其他,其他公共行政類,18469,83334163
201408,68000000,其他,教育類,17968,71769971
201408,68000000,其他,工商及服務類,167850,869450589
201408,68000000,其他,專業及技術服務類,53099,257322780
201408,68000000,其他,其他,79513,394279188
201409,68000000,其他,軍警人員一,3378,21123311
201409,68000000,其他,軍警人員二,613,3455471
201409,68000000,其他,其他公共行政類,17326,84095972
201409,68000000,其他,教育類,15992,66834851
201409,68000000,其他,工商及服務類,166508,941027620
201409,68000000,其他,專業及技術服務類,52835,288459355
201409,68000000,其他,其他,83057,445370797
201410,68000000,其他,軍警人員一,3487,20424939
201410,68000000,其他,軍警人員二,637,3246445
201410,68000000,其他,其他公共行政類,18585,92027995
201410,68000000,其他,教育類,16827,72141499
201410,68000000,其他,工商及服務類,175031,952726363
201410,68000000,其他,專業及技術服務類,55629,287557504
201410,68000000,其他,其他,82043,431650062
201411,68000000,其他,軍警人員一,3465,19441706
201411,68000000,其他,軍警人員二,614,3119576
201411,68000000,其他,其他公共行政類,17456,85544749
201411,68000000,其他,教育類,16293,68510137
201411,68000000,其他,工商及服務類,169177,930480593
201411,68000000,其他,專業及技術服務類,53566,281806197
201411,68000000,其他,其他,76790,389268219
201412,68000000,其他,軍警人員一,3611,22785618
201412,68000000,其他,軍警人員二,676,3959473
201412,68000000,其他,其他公共行政類,19341,109340385
201412,68000000,其他,教育類,17648,81224122
201412,68000000,其他,工商及服務類,182985,1055594757
201412,68000000,其他,專業及技術服務類,59470,316825042
201412,68000000,其他,其他,84427,458173534
201501,68000000,其他,軍警人員一,3765,22712997
201501,68000000,其他,軍警人員二,642,3027011
201501,68000000,其他,其他公共行政類,19211,98403700
201501,68000000,其他,教育類,17477,76173840
201501,68000000,其他,工商及服務類,176103,1017149698
201501,68000000,其他,專業及技術服務類,56529,306037941
201501,68000000,其他,其他,81374,441693750
201502,68000000,其他,軍警人員一,3272,18322131
201502,68000000,其他,軍警人員二,538,2476164
201502,68000000,其他,其他公共行政類,17049,80635406
201502,68000000,其他,教育類,16249,68331964
201502,68000000,其他,工商及服務類,155382,848255751
201502,68000000,其他,專業及技術服務類,49516,250570685
201502,68000000,其他,其他,69948,354320211
201503,68000000,其他,軍警人員一,3398,22221291
201503,68000000,其他,軍警人員二,614,3018526
201503,68000000,其他,其他公共行政類,17223,90480789
201503,68000000,其他,教育類,16338,70353795
201503,68000000,其他,工商及服務類,166561,953035137
201503,68000000,其他,專業及技術服務類,54067,287839293
201503,68000000,其他,其他,76306,411680028
201504,68000000,其他,軍警人員一,3254,19520806
201504,68000000,其他,軍警人員二,564,2751238
201504,68000000,其他,其他公共行政類,16693,95580741
201504,68000000,其他,教育類,15957,70413343
201504,68000000,其他,工商及服務類,165504,979950348
201504,68000000,其他,專業及技術服務類,53840,293099295
201504,68000000,其他,其他,76779,426507085
201505,68000000,其他,軍警人員一,3439,22998689
201505,68000000,其他,軍警人員二,585,2816510
201505,68000000,其他,其他公共行政類,17850,92354501
201505,68000000,其他,教育類,16639,72855569
201505,68000000,其他,工商及服務類,173070,945109204
201505,68000000,其他,專業及技術服務類,55913,283673150
201505,68000000,其他,其他,79110,418004625
201506,68000000,其他,軍警人員一,3567,21458812
201506,68000000,其他,軍警人員二,666,3182808
201506,68000000,其他,其他公共行政類,18347,98356234
201506,68000000,其他,教育類,17151,70896902
201506,68000000,其他,工商及服務類,173144,945580835
201506,68000000,其他,專業及技術服務類,57244,289587786
201506,68000000,其他,其他,79418,410027857
201507,68000000,其他,軍警人員一,3607,22559884
201507,68000000,其他,軍警人員二,746,3763247
201507,68000000,其他,其他公共行政類,19966,100118599
201507,68000000,其他,教育類,19286,78639119
201507,68000000,其他,工商及服務類,177221,973591632
201507,68000000,其他,專業及技術服務類,58529,294184940
201507,68000000,其他,其他,82115,420880490
201508,68000000,其他,軍警人員一,3824,21986960
201508,68000000,其他,軍警人員二,682,3060263
201508,68000000,其他,其他公共行政類,18954,95740592
201508,68000000,其他,教育類,18705,75864881
201508,68000000,其他,工商及服務類,174839,939616950
201508,68000000,其他,專業及技術服務類,57998,286809408
201508,68000000,其他,其他,80525,413847636
201509,68000000,其他,軍警人員一,3722,20971154
201509,68000000,其他,軍警人員二,640,3193115
201509,68000000,其他,其他公共行政類,17912,89864646
201509,68000000,其他,教育類,17124,70110000
