年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10002000,住,軍警人員一,1098,10328665
201401,10002000,住,軍警人員二,139,440054
201401,10002000,住,其他公共行政類,7264,31047582
201401,10002000,住,教育類,3525,16146624
201401,10002000,住,工商及服務類,23888,167726598
201401,10002000,住,專業及技術服務類,8406,56775778
201401,10002000,住,其他,9559,60462262
201402,10002000,住,軍警人員一,869,8229496
201402,10002000,住,軍警人員二,90,269843
201402,10002000,住,其他公共行政類,5757,23854177
201402,10002000,住,教育類,2608,11800567
201402,10002000,住,工商及服務類,21825,133494703
201402,10002000,住,專業及技術服務類,7710,49066870
201402,10002000,住,其他,8276,45136052
201403,10002000,住,軍警人員一,850,6144959
201403,10002000,住,軍警人員二,98,267128
201403,10002000,住,其他公共行政類,4960,19950391
201403,10002000,住,教育類,2105,7683110
201403,10002000,住,工商及服務類,19978,127332434
201403,10002000,住,專業及技術服務類,6733,41892457
201403,10002000,住,其他,7399,44191904
201404,10002000,住,軍警人員一,842,5674534
201404,10002000,住,軍警人員二,99,607098
201404,10002000,住,其他公共行政類,4972,23350975
201404,10002000,住,教育類,2325,11353194
201404,10002000,住,工商及服務類,19558,130276108
201404,10002000,住,專業及技術服務類,7182,49778454
201404,10002000,住,其他,7520,48528302
201405,10002000,住,軍警人員一,905,6699442
201405,10002000,住,軍警人員二,114,454393
201405,10002000,住,其他公共行政類,5719,26359362
201405,10002000,住,教育類,2750,11873360
201405,10002000,住,工商及服務類,22252,155101770
201405,10002000,住,專業及技術服務類,7853,56550342
201405,10002000,住,其他,8585,51423531
201406,10002000,住,軍警人員一,1000,7477031
201406,10002000,住,軍警人員二,111,618982
201406,10002000,住,其他公共行政類,5772,25729035
201406,10002000,住,教育類,2908,13368536
201406,10002000,住,工商及服務類,21853,148795499
201406,10002000,住,專業及技術服務類,8019,58224840
201406,10002000,住,其他,8748,59052706
201407,10002000,住,軍警人員一,1060,7888413
201407,10002000,住,軍警人員二,160,791592
201407,10002000,住,其他公共行政類,8606,41196163
201407,10002000,住,教育類,4757,23591041
201407,10002000,住,工商及服務類,25633,190995715
201407,10002000,住,專業及技術服務類,9155,63692042
201407,10002000,住,其他,10101,66047094
201408,10002000,住,軍警人員一,1195,12969268
201408,10002000,住,軍警人員二,170,802561
201408,10002000,住,其他公共行政類,8805,40024385
201408,10002000,住,教育類,4787,21231021
201408,10002000,住,工商及服務類,28224,193474714
201408,10002000,住,專業及技術服務類,10462,73723711
201408,10002000,住,其他,11508,67696501
201409,10002000,住,軍警人員一,827,6957514
201409,10002000,住,軍警人員二,97,308050
201409,10002000,住,其他公共行政類,4972,22501745
201409,10002000,住,教育類,2359,9884121
201409,10002000,住,工商及服務類,20414,135951505
201409,10002000,住,專業及技術服務類,7501,51287787
201409,10002000,住,其他,8170,47739728
201410,10002000,住,軍警人員一,893,6051000
201410,10002000,住,軍警人員二,102,412744
201410,10002000,住,其他公共行政類,5878,26116739
201410,10002000,住,教育類,2666,11119460
201410,10002000,住,工商及服務類,23524,155263282
201410,10002000,住,專業及技術服務類,8694,61575694
201410,10002000,住,其他,9148,53188571
201411,10002000,住,軍警人員一,1063,8187944
201411,10002000,住,軍警人員二,109,574676
201411,10002000,住,其他公共行政類,6017,30115715
201411,10002000,住,教育類,2962,15207364
201411,10002000,住,工商及服務類,26479,201857600
201411,10002000,住,專業及技術服務類,9528,70652990
201411,10002000,住,其他,10085,65816039
201412,10002000,住,軍警人員一,1008,7754367
201412,10002000,住,軍警人員二,131,567120
201412,10002000,住,其他公共行政類,5400,22865628
201412,10002000,住,教育類,2689,11704593
201412,10002000,住,工商及服務類,25339,168712964
201412,10002000,住,專業及技術服務類,9341,64482660
201412,10002000,住,其他,9674,59295626
201501,10002000,住,軍警人員一,1061,8353359
201501,10002000,住,軍警人員二,125,1845130
201501,10002000,住,其他公共行政類,6595,29858882
201501,10002000,住,教育類,3159,14164871
201501,10002000,住,工商及服務類,24436,174096359
201501,10002000,住,專業及技術服務類,8717,53081138
201501,10002000,住,其他,9502,56730079
201502,10002000,住,軍警人員一,1030,8887401
201502,10002000,住,軍警人員二,118,493994
201502,10002000,住,其他公共行政類,7321,33668444
201502,10002000,住,教育類,3990,19037017
201502,10002000,住,工商及服務類,24859,171928223
201502,10002000,住,專業及技術服務類,9190,65560323
201502,10002000,住,其他,9994,67145716
201503,10002000,住,軍警人員一,848,5944056
201503,10002000,住,軍警人員二,97,362154
201503,10002000,住,其他公共行政類,4774,20066222
201503,10002000,住,教育類,2158,8883648
201503,10002000,住,工商及服務類,19659,129091228
201503,10002000,住,專業及技術服務類,7356,46645953
201503,10002000,住,其他,7781,45958427
201504,10002000,住,軍警人員一,815,5686357
201504,10002000,住,軍警人員二,107,387460
201504,10002000,住,其他公共行政類,4952,23063233
