年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10002000,其他,軍警人員一,542,1936453
201401,10002000,其他,軍警人員二,94,273884
201401,10002000,其他,其他公共行政類,4742,18398749
201401,10002000,其他,教育類,2844,8579703
201401,10002000,其他,工商及服務類,19733,85601412
201401,10002000,其他,專業及技術服務類,6490,24199111
201401,10002000,其他,其他,8095,30263173
201402,10002000,其他,軍警人員一,469,1423484
201402,10002000,其他,軍警人員二,79,264937
201402,10002000,其他,其他公共行政類,3974,14469863
201402,10002000,其他,教育類,2362,6687389
201402,10002000,其他,工商及服務類,17954,65839740
201402,10002000,其他,專業及技術服務類,5913,19289830
201402,10002000,其他,其他,7173,23620500
201403,10002000,其他,軍警人員一,473,1631438
201403,10002000,其他,軍警人員二,90,311543
201403,10002000,其他,其他公共行政類,3965,14582545
201403,10002000,其他,教育類,2259,6444840
201403,10002000,其他,工商及服務類,18203,70537663
201403,10002000,其他,專業及技術服務類,6002,21021599
201403,10002000,其他,其他,7288,25000566
201404,10002000,其他,軍警人員一,452,1625370
201404,10002000,其他,軍警人員二,71,221015
201404,10002000,其他,其他公共行政類,3634,14402036
201404,10002000,其他,教育類,2210,6242062
201404,10002000,其他,工商及服務類,16457,64090214
201404,10002000,其他,專業及技術服務類,5719,20966876
201404,10002000,其他,其他,6837,24753456
201405,10002000,其他,軍警人員一,473,1699275
201405,10002000,其他,軍警人員二,94,413041
201405,10002000,其他,其他公共行政類,4078,15664476
201405,10002000,其他,教育類,2292,6646998
201405,10002000,其他,工商及服務類,17524,65839944
201405,10002000,其他,專業及技術服務類,6314,22587399
201405,10002000,其他,其他,7306,25848755
201406,10002000,其他,軍警人員一,486,1926858
201406,10002000,其他,軍警人員二,99,273447
201406,10002000,其他,其他公共行政類,3989,15104453
201406,10002000,其他,教育類,2328,7072977
201406,10002000,其他,工商及服務類,17596,65842314
201406,10002000,其他,專業及技術服務類,6367,22208096
201406,10002000,其他,其他,7282,25977589
201407,10002000,其他,軍警人員一,529,2325899
201407,10002000,其他,軍警人員二,89,231229
