年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10009000,百貨,軍警人員一,85,135107
201401,10009000,百貨,軍警人員二,74,110537
201401,10009000,百貨,其他公共行政類,2076,2621081
201401,10009000,百貨,教育類,1158,1649554
201401,10009000,百貨,工商及服務類,8168,11624335
201401,10009000,百貨,專業及技術服務類,2553,3871872
201401,10009000,百貨,其他,4248,5789067
201402,10009000,百貨,軍警人員一,63,127781
201402,10009000,百貨,軍警人員二,51,72367
201402,10009000,百貨,其他公共行政類,1449,1498389
201402,10009000,百貨,教育類,807,825197
201402,10009000,百貨,工商及服務類,5515,6803974
201402,10009000,百貨,專業及技術服務類,1694,2200759
201402,10009000,百貨,其他,2978,3168149
201403,10009000,百貨,軍警人員一,64,92793
201403,10009000,百貨,軍警人員二,46,44466
201403,10009000,百貨,其他公共行政類,1582,1624474
201403,10009000,百貨,教育類,896,896019
201403,10009000,百貨,工商及服務類,5617,6498649
201403,10009000,百貨,專業及技術服務類,1875,1934104
201403,10009000,百貨,其他,3106,3214687
201404,10009000,百貨,軍警人員一,69,119196
201404,10009000,百貨,軍警人員二,44,36022
201404,10009000,百貨,其他公共行政類,1641,1978755
201404,10009000,百貨,教育類,963,1063865
201404,10009000,百貨,工商及服務類,6272,8645423
201404,10009000,百貨,專業及技術服務類,2057,2429204
201404,10009000,百貨,其他,3302,3904349
201405,10009000,百貨,軍警人員一,75,101768
201405,10009000,百貨,軍警人員二,55,54622
201405,10009000,百貨,其他公共行政類,1850,2013215
201405,10009000,百貨,教育類,1100,1266951
201405,10009000,百貨,工商及服務類,7001,8891334
201405,10009000,百貨,專業及技術服務類,2290,2630179
201405,10009000,百貨,其他,3614,4046110
201406,10009000,百貨,軍警人員一,64,88198
201406,10009000,百貨,軍警人員二,38,37530
201406,10009000,百貨,其他公共行政類,1479,1435313
201406,10009000,百貨,教育類,794,865417
201406,10009000,百貨,工商及服務類,5285,6429007
201406,10009000,百貨,專業及技術服務類,1633,1990731
201406,10009000,百貨,其他,2910,3234124
