年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10009000,住,軍警人員一,195,1191079
201401,10009000,住,軍警人員二,71,473508
201401,10009000,住,其他公共行政類,2101,9228496
201401,10009000,住,教育類,1662,6892665
201401,10009000,住,工商及服務類,9464,53479612
201401,10009000,住,專業及技術服務類,2738,16022693
201401,10009000,住,其他,3232,16658403
201402,10009000,住,軍警人員一,158,577054
201402,10009000,住,軍警人員二,44,174286
201402,10009000,住,其他公共行政類,1513,5929688
201402,10009000,住,教育類,1169,4738744
201402,10009000,住,工商及服務類,7891,37786109
201402,10009000,住,專業及技術服務類,2489,13374662
201402,10009000,住,其他,2815,12048600
201403,10009000,住,軍警人員一,179,625600
201403,10009000,住,軍警人員二,40,111525
201403,10009000,住,其他公共行政類,1299,4928008
201403,10009000,住,教育類,1071,3902651
201403,10009000,住,工商及服務類,7571,38050250
201403,10009000,住,專業及技術服務類,2326,13367686
201403,10009000,住,其他,2560,11385117
201404,10009000,住,軍警人員一,166,1533575
201404,10009000,住,軍警人員二,57,368453
201404,10009000,住,其他公共行政類,1388,5699645
201404,10009000,住,教育類,1152,5690234
201404,10009000,住,工商及服務類,7824,43526803
201404,10009000,住,專業及技術服務類,2437,14360813
201404,10009000,住,其他,2606,15441881
201405,10009000,住,軍警人員一,174,544173
201405,10009000,住,軍警人員二,53,385758
201405,10009000,住,其他公共行政類,1464,5865419
201405,10009000,住,教育類,1359,5710716
201405,10009000,住,工商及服務類,8096,42491007
201405,10009000,住,專業及技術服務類,2371,12403189
201405,10009000,住,其他,2843,14919369
201406,10009000,住,軍警人員一,186,797672
201406,10009000,住,軍警人員二,61,388951
201406,10009000,住,其他公共行政類,1309,5712277
201406,10009000,住,教育類,1208,5217862
201406,10009000,住,工商及服務類,8358,44676531
201406,10009000,住,專業及技術服務類,2526,14202883
201406,10009000,住,其他,2684,14664359
201407,10009000,住,軍警人員一,222,1528844
201407,10009000,住,軍警人員二,56,393102
201407,10009000,住,其他公共行政類,1945,9024456
201407,10009000,住,教育類,1613,7259974
201407,10009000,住,工商及服務類,9628,52894353
201407,10009000,住,專業及技術服務類,2944,16657195
201407,10009000,住,其他,3403,18037904
201408,10009000,住,軍警人員一,206,800313
201408,10009000,住,軍警人員二,54,253400
201408,10009000,住,其他公共行政類,1884,8046089
201408,10009000,住,教育類,1666,6795670
201408,10009000,住,工商及服務類,9224,47189141
201408,10009000,住,專業及技術服務類,2942,14054534
201408,10009000,住,其他,3303,16687180
201409,10009000,住,軍警人員一,151,507820
201409,10009000,住,軍警人員二,50,135123
201409,10009000,住,其他公共行政類,1405,6125566
201409,10009000,住,教育類,1286,5709588
201409,10009000,住,工商及服務類,8010,40059012
201409,10009000,住,專業及技術服務類,2574,13009735
201409,10009000,住,其他,2848,13820068
201410,10009000,住,軍警人員一,184,703436
201410,10009000,住,軍警人員二,53,212919
201410,10009000,住,其他公共行政類,1390,5371538
201410,10009000,住,教育類,1301,5007083
201410,10009000,住,工商及服務類,8026,35693777
201410,10009000,住,專業及技術服務類,2532,12625863
201410,10009000,住,其他,2839,11254920
201411,10009000,住,軍警人員一,188,1084848
201411,10009000,住,軍警人員二,37,133661
201411,10009000,住,其他公共行政類,1468,6362579
201411,10009000,住,教育類,1333,5114516
201411,10009000,住,工商及服務類,8936,44759621
201411,10009000,住,專業及技術服務類,2714,13396431
201411,10009000,住,其他,3063,13128562
201412,10009000,住,軍警人員一,159,547964
201412,10009000,住,軍警人員二,65,180920
201412,10009000,住,其他公共行政類,1301,5012710
201412,10009000,住,教育類,1310,4984298
201412,10009000,住,工商及服務類,8557,41065066
201412,10009000,住,專業及技術服務類,2722,13009384
201412,10009000,住,其他,2960,13788348
201501,10009000,住,軍警人員一,205,699568
201501,10009000,住,軍警人員二,55,165510
201501,10009000,住,其他公共行政類,1685,6799257
201501,10009000,住,教育類,1449,6309976
201501,10009000,住,工商及服務類,9161,46219443
201501,10009000,住,專業及技術服務類,2849,16020209
201501,10009000,住,其他,3251,15367172
201502,10009000,住,軍警人員一,212,874055
201502,10009000,住,軍警人員二,61,283270
201502,10009000,住,其他公共行政類,1963,8137737
201502,10009000,住,教育類,1793,7205821
201502,10009000,住,工商及服務類,9007,46686296
201502,10009000,住,專業及技術服務類,3035,17246390
201502,10009000,住,其他,3304,17604444
201503,10009000,住,軍警人員一,163,499344
201503,10009000,住,軍警人員二,50,241461
201503,10009000,住,其他公共行政類,1197,4391669
201503,10009000,住,教育類,1137,4418230
201503,10009000,住,工商及服務類,7307,33457357
201503,10009000,住,專業及技術服務類,2360,11711738
201503,10009000,住,其他,2550,11335709
201504,10009000,住,軍警人員一,207,1241265
201504,10009000,住,軍警人員二,68,352664
201504,10009000,住,其他公共行政類,1502,7012614
201504,10009000,住,教育類,1247,5872286
201504,10009000,住,工商及服務類,8402,48455462
201504,10009000,住,專業及技術服務類,2687,14567777
201504,10009000,住,其他,2769,14608614
201505,10009000,住,軍警人員一,152,539706
201505,10009000,住,軍警人員二,52,228146
201505,10009000,住,其他公共行政類,1552,6744998
201505,10009000,住,教育類,1220,5116639
201505,10009000,住,工商及服務類,8023,44433268
201505,10009000,住,專業及技術服務類,2631,12747400
201505,10009000,住,其他,2780,17758643
201506,10009000,住,軍警人員一,174,828962
201506,10009000,住,軍警人員二,53,272223
201506,10009000,住,其他公共行政類,1562,6565975
201506,10009000,住,教育類,1189,6126031
201506,10009000,住,工商及服務類,8059,46765605
201506,10009000,住,專業及技術服務類,2686,14668249
201506,10009000,住,其他,2952,17185737
201507,10009000,住,軍警人員一,206,953837
201507,10009000,住,軍警人員二,63,316506
201507,10009000,住,其他公共行政類,1776,7655379
201507,10009000,住,教育類,1578,7034905
201507,10009000,住,工商及服務類,8959,46212527
201507,10009000,住,專業及技術服務類,2898,16140290
201507,10009000,住,其他,3146,17070899
201508,10009000,住,軍警人員一,175,760718
201508,10009000,住,軍警人員二,67,279708
201508,10009000,住,其他公共行政類,1649,6646511
201508,10009000,住,教育類,1547,6097816
201508,10009000,住,工商及服務類,8739,40776290
201508,10009000,住,專業及技術服務類,2874,15027151
201508,10009000,住,其他,3206,14700366
201509,10009000,住,軍警人員一,189,555914
201509,10009000,住,軍警人員二,50,189553
201509,10009000,住,其他公共行政類,1396,5553634
201509,10009000,住,教育類,1315,5398364
201509,10009000,住,工商及服務類,7648,36988228
201509,10009000,住,專業及技術服務類,2587,14911774
201509,10009000,住,其他,2713,12217335
201510,10009000,住,軍警人員一,182,627547
201510,10009000,住,軍警人員二,53,202191
201510,10009000,住,其他公共行政類,1328,5824419
201510,10009000,住,教育類,1225,5295869
201510,10009000,住,工商及服務類,8089,38213507
201510,10009000,住,專業及技術服務類,2683,13461611
201510,10009000,住,其他,2793,12009142
201511,10009000,住,軍警人員一,188,607567
201511,10009000,住,軍警人員二,53,197792
201511,10009000,住,其他公共行政類,1427,5988188
201511,10009000,住,教育類,1350,6318510
201511,10009000,住,工商及服務類,8388,48242449
201511,10009000,住,專業及技術服務類,2729,16004982
201511,10009000,住,其他,2802,14880204
201512,10009000,住,軍警人員一,191,679437
201512,10009000,住,軍警人員二,61,195326
201512,10009000,住,其他公共行政類,1432,6141664
201512,10009000,住,教育類,1324,5947810
201512,10009000,住,工商及服務類,8591,41862193
201512,10009000,住,專業及技術服務類,2947,14023076
201512,10009000,住,其他,3092,15874201
201601,10009000,住,軍警人員一,263,949038
201601,10009000,住,軍警人員二,94,501248
201601,10009000,住,其他公共行政類,1879,8220980
201601,10009000,住,教育類,1790,7319165
201601,10009000,住,工商及服務類,11502,58910386
201601,10009000,住,專業及技術服務類,3778,18524887
201601,10009000,住,其他,3786,18792952
201602,10009000,住,軍警人員一,256,2143672
201602,10009000,住,軍警人員二,79,478826
201602,10009000,住,其他公共行政類,2226,9226148
201602,10009000,住,教育類,1941,8541100
201602,10009000,住,工商及服務類,12076,63914652
201602,10009000,住,專業及技術服務類,3796,20295628
201602,10009000,住,其他,4015,21696614
201603,10009000,住,軍警人員一,173,449987
201603,10009000,住,軍警人員二,66,261349
201603,10009000,住,其他公共行政類,1412,4798462
201603,10009000,住,教育類,1232,4060608
201603,10009000,住,工商及服務類,8971,38729097
201603,10009000,住,專業及技術服務類,2710,13092004
201603,10009000,住,其他,2943,11722379
201604,10009000,住,軍警人員一,191,857079
201604,10009000,住,軍警人員二,61,305680
201604,10009000,住,其他公共行政類,1694,7111453
201604,10009000,住,教育類,1444,6707974
201604,10009000,住,工商及服務類,9810,50003753
201604,10009000,住,專業及技術服務類,3196,17427855
201604,10009000,住,其他,3293,15628861
201605,10009000,住,軍警人員一,174,476077
201605,10009000,住,軍警人員二,45,243663
201605,10009000,住,其他公共行政類,1505,6575217
201605,10009000,住,教育類,1316,5577560
201605,10009000,住,工商及服務類,9142,47606992
201605,10009000,住,專業及技術服務類,2948,17308828
201605,10009000,住,其他,2926,16117798
201606,10009000,住,軍警人員一,207,975719
201606,10009000,住,軍警人員二,65,120177
201606,10009000,住,其他公共行政類,1493,5791870
201606,10009000,住,教育類,1378,6148639
201606,10009000,住,工商及服務類,9850,50118158
201606,10009000,住,專業及技術服務類,3115,16807388
201606,10009000,住,其他,3315,16263499
201607,10009000,住,軍警人員一,221,825226
201607,10009000,住,軍警人員二,65,389703
201607,10009000,住,其他公共行政類,1828,7568617
201607,10009000,住,教育類,1857,8393872
201607,10009000,住,工商及服務類,10431,52047131
201607,10009000,住,專業及技術服務類,3369,16367780
201607,10009000,住,其他,3611,18433872
201608,10009000,住,軍警人員一,240,742690
201608,10009000,住,軍警人員二,61,202914
201608,10009000,住,其他公共行政類,1695,6055829
201608,10009000,住,教育類,1661,7228116
201608,10009000,住,工商及服務類,10098,46386241
201608,10009000,住,專業及技術服務類,3217,15582518
201608,10009000,住,其他,3374,16268958
201609,10009000,住,軍警人員一,193,724043
201609,10009000,住,軍警人員二,44,191284
201609,10009000,住,其他公共行政類,1258,4744861
201609,10009000,住,教育類,1270,4778423
201609,10009000,住,工商及服務類,8693,36990816
201609,10009000,住,專業及技術服務類,2807,11222151
201609,10009000,住,其他,2940,13858015
201610,10009000,住,軍警人員一,196,605349
201610,10009000,住,軍警人員二,52,173795
201610,10009000,住,其他公共行政類,1497,6183886
201610,10009000,住,教育類,1434,5727607
201610,10009000,住,工商及服務類,9648,43533116
201610,10009000,住,專業及技術服務類,3058,13580872
201610,10009000,住,其他,3144,14729247
201611,10009000,住,軍警人員一,206,1039103
201611,10009000,住,軍警人員二,72,234499
201611,10009000,住,其他公共行政類,1450,5345882
201611,10009000,住,教育類,1419,6365037
201611,10009000,住,工商及服務類,9679,47599998
201611,10009000,住,專業及技術服務類,3221,15326967
201611,10009000,住,其他,3176,14747013
201612,10009000,住,軍警人員一,231,903862
201612,10009000,住,軍警人員二,68,191722
201612,10009000,住,其他公共行政類,1441,5587239
201612,10009000,住,教育類,1482,5504145
201612,10009000,住,工商及服務類,9903,44485632
201612,10009000,住,專業及技術服務類,3319,14447064
201612,10009000,住,其他,3309,14380931
201701,10009000,住,軍警人員一,269,1140536
201701,10009000,住,軍警人員二,68,499792
201701,10009000,住,其他公共行政類,1853,8461701
201701,10009000,住,教育類,1732,7888907
201701,10009000,住,工商及服務類,11127,60156641
201701,10009000,住,專業及技術服務類,3636,19927941
201701,10009000,住,其他,3965,20332481
201702,10009000,住,軍警人員一,222,644383
201702,10009000,住,軍警人員二,70,349213
201702,10009000,住,其他公共行政類,1560,5635588
201702,10009000,住,教育類,1556,5589618
201702,10009000,住,工商及服務類,10552,43933176
201702,10009000,住,專業及技術服務類,3136,12575046
201702,10009000,住,其他,3704,15963941
201703,10009000,住,軍警人員一,225,771731
201703,10009000,住,軍警人員二,55,229822
201703,10009000,住,其他公共行政類,1484,6201095
201703,10009000,住,教育類,1234,5274373
201703,10009000,住,工商及服務類,9558,41516008
201703,10009000,住,專業及技術服務類,2945,12451192
201703,10009000,住,其他,3302,13305438
201704,10009000,住,軍警人員一,269,1005585
201704,10009000,住,軍警人員二,69,256005
201704,10009000,住,其他公共行政類,1821,8864109
201704,10009000,住,教育類,1634,7874682
201704,10009000,住,工商及服務類,10988,59640619
201704,10009000,住,專業及技術服務類,3542,19538172
201704,10009000,住,其他,3809,21180176
201705,10009000,住,軍警人員一,192,710089
201705,10009000,住,軍警人員二,66,435955
201705,10009000,住,其他公共行政類,1676,7924851
201705,10009000,住,教育類,1637,6613367
201705,10009000,住,工商及服務類,9853,47579046
201705,10009000,住,專業及技術服務類,3170,17859501
201705,10009000,住,其他,3440,17613698
201706,10009000,住,軍警人員一,196,902969
201706,10009000,住,軍警人員二,50,234597
201706,10009000,住,其他公共行政類,1682,8712055
201706,10009000,住,教育類,1364,5740400
201706,10009000,住,工商及服務類,9123,47229551
201706,10009000,住,專業及技術服務類,2700,13955456
201706,10009000,住,其他,3195,17951597
201707,10009000,住,軍警人員一,262,2252345
201707,10009000,住,軍警人員二,75,352697
201707,10009000,住,其他公共行政類,2456,12654912
201707,10009000,住,教育類,1917,7867249
201707,10009000,住,工商及服務類,11078,58181266
201707,10009000,住,專業及技術服務類,3382,17928409
201707,10009000,住,其他,3867,21188810
201708,10009000,住,軍警人員一,239,797586
201708,10009000,住,軍警人員二,74,412708
201708,10009000,住,其他公共行政類,2578,12224796
201708,10009000,住,教育類,2146,8643409
201708,10009000,住,工商及服務類,11080,52559959
201708,10009000,住,專業及技術服務類,3482,18159145
201708,10009000,住,其他,3947,19803454
201709,10009000,住,軍警人員一,189,748798
201709,10009000,住,軍警人員二,65,298398
201709,10009000,住,其他公共行政類,1792,7810494
201709,10009000,住,教育類,1536,6899868
201709,10009000,住,工商及服務類,9772,47333162
201709,10009000,住,專業及技術服務類,2960,14914930
201709,10009000,住,其他,3384,17542989
201710,10009000,住,軍警人員一,228,1140122
201710,10009000,住,軍警人員二,72,266130
201710,10009000,住,其他公共行政類,2450,9656695
201710,10009000,住,教育類,1917,8103973
201710,10009000,住,工商及服務類,10449,50958169
201710,10009000,住,專業及技術服務類,3248,15854083
201710,10009000,住,其他,3916,18539406
201711,10009000,住,軍警人員一,228,681073
201711,10009000,住,軍警人員二,88,335993
201711,10009000,住,其他公共行政類,2311,9022222
201711,10009000,住,教育類,1830,6541698
201711,10009000,住,工商及服務類,9951,50957142
201711,10009000,住,專業及技術服務類,3177,16315428
201711,10009000,住,其他,3659,17511061
201712,10009000,住,軍警人員一,284,843121
201712,10009000,住,軍警人員二,81,341133
201712,10009000,住,其他公共行政類,2369,8852440
201712,10009000,住,教育類,1952,7703856
201712,10009000,住,工商及服務類,11213,53805727
201712,10009000,住,專業及技術服務類,3686,16217243
201712,10009000,住,其他,3787,18023292
201801,10009000,住,軍警人員一,251,826044
201801,10009000,住,軍警人員二,62,167353
201801,10009000,住,其他公共行政類,1700,8928864
201801,10009000,住,教育類,1532,7612038
201801,10009000,住,工商及服務類,10168,54097855
201801,10009000,住,專業及技術服務類,3375,16668322
201801,10009000,住,其他,3474,18146257
201802,10009000,住,軍警人員一,278,984492
201802,10009000,住,軍警人員二,85,386782
201802,10009000,住,其他公共行政類,2119,9869904
201802,10009000,住,教育類,2118,7766115
201802,10009000,住,工商及服務類,11495,58078215
201802,10009000,住,專業及技術服務類,3848,19116078
201802,10009000,住,其他,4328,21873914
201803,10009000,住,軍警人員一,229,610593
201803,10009000,住,軍警人員二,77,238038
201803,10009000,住,其他公共行政類,1905,7988853
201803,10009000,住,教育類,1476,5876124
201803,10009000,住,工商及服務類,10900,49520907
201803,10009000,住,專業及技術服務類,3483,16767105
201803,10009000,住,其他,3665,17161171
201804,10009000,住,軍警人員一,303,1223931
201804,10009000,住,軍警人員二,74,267160
201804,10009000,住,其他公共行政類,2163,11101191
201804,10009000,住,教育類,1940,8508390
201804,10009000,住,工商及服務類,11802,64321888
201804,10009000,住,專業及技術服務類,4012,22512569
201804,10009000,住,其他,4289,24042866
201805,10009000,住,軍警人員一,234,818684
201805,10009000,住,軍警人員二,79,337735
201805,10009000,住,其他公共行政類,1855,8207943
201805,10009000,住,教育類,1568,6389502
201805,10009000,住,工商及服務類,10928,60632718
201805,10009000,住,專業及技術服務類,3622,23569981
201805,10009000,住,其他,3919,22502139
201806,10009000,住,軍警人員一,245,843561
201806,10009000,住,軍警人員二,77,358020
201806,10009000,住,其他公共行政類,1868,9268490
201806,10009000,住,教育類,1709,7089362
201806,10009000,住,工商及服務類,10237,53617801
201806,10009000,住,專業及技術服務類,3473,22088688
201806,10009000,住,其他,3564,20040288
201807,10009000,住,軍警人員一,257,1200050
201807,10009000,住,軍警人員二,89,304002
201807,10009000,住,其他公共行政類,2482,11850623
201807,10009000,住,教育類,2422,10298766
201807,10009000,住,工商及服務類,11927,58550158
201807,10009000,住,專業及技術服務類,3889,20451083
201807,10009000,住,其他,4189,22719124
201808,10009000,住,軍警人員一,275,810343
201808,10009000,住,軍警人員二,88,290513
201808,10009000,住,其他公共行政類,2325,9682808
201808,10009000,住,教育類,2045,7538513
201808,10009000,住,工商及服務類,11148,51979193
201808,10009000,住,專業及技術服務類,3795,16128066
201808,10009000,住,其他,3904,20537201
201809,10009000,住,軍警人員一,253,735531
201809,10009000,住,軍警人員二,83,371274
201809,10009000,住,其他公共行政類,1937,8285256
201809,10009000,住,教育類,1687,5678628
201809,10009000,住,工商及服務類,10316,50338515
201809,10009000,住,專業及技術服務類,3558,15947618
201809,10009000,住,其他,3745,18887577
201810,10009000,住,軍警人員一,214,794730
201810,10009000,住,軍警人員二,85,444064
201810,10009000,住,其他公共行政類,1644,7139338
201810,10009000,住,教育類,1476,4841955
201810,10009000,住,工商及服務類,8531,41348444
201810,10009000,住,專業及技術服務類,3012,13930788
201810,10009000,住,其他,2909,13122731
201811,10009000,住,軍警人員一,243,970495
201811,10009000,住,軍警人員二,76,288708
201811,10009000,住,其他公共行政類,2116,8965985
201811,10009000,住,教育類,1707,6731793
201811,10009000,住,工商及服務類,10074,49937050
201811,10009000,住,專業及技術服務類,3462,19927442
201811,10009000,住,其他,3775,18597299
201812,10009000,住,軍警人員一,293,991345
201812,10009000,住,軍警人員二,69,323874
201812,10009000,住,其他公共行政類,2292,8883197
201812,10009000,住,教育類,2048,7524487
201812,10009000,住,工商及服務類,12185,54080869
201812,10009000,住,專業及技術服務類,4290,18289760
201812,10009000,住,其他,4372,18768123
201901,10009000,住,軍警人員一,269,859736
201901,10009000,住,軍警人員二,77,224603
201901,10009000,住,其他公共行政類,2006,8903252
201901,10009000,住,教育類,1874,8021304
201901,10009000,住,工商及服務類,10833,56461590
201901,10009000,住,專業及技術服務類,3892,19771065
201901,10009000,住,其他,4099,19447329
201902,10009000,住,軍警人員一,256,847076
201902,10009000,住,軍警人員二,65,219213
201902,10009000,住,其他公共行政類,1942,8438282
201902,10009000,住,教育類,1746,6609544
201902,10009000,住,工商及服務類,9963,47259914
201902,10009000,住,專業及技術服務類,3687,18606857
201902,10009000,住,其他,3598,17095421
201903,10009000,住,軍警人員一,250,748112
201903,10009000,住,軍警人員二,78,363215
201903,10009000,住,其他公共行政類,1693,7427305
201903,10009000,住,教育類,1615,6026283
201903,10009000,住,工商及服務類,10772,51691028
201903,10009000,住,專業及技術服務類,3663,17021216
201903,10009000,住,其他,3895,18798246
201904,10009000,住,軍警人員一,262,1199255
201904,10009000,住,軍警人員二,76,487950
201904,10009000,住,其他公共行政類,2037,10647499
201904,10009000,住,教育類,1662,8231601
201904,10009000,住,工商及服務類,11462,66189021
201904,10009000,住,專業及技術服務類,4026,21575576
201904,10009000,住,其他,4239,24174388
201905,10009000,住,軍警人員一,211,902107
201905,10009000,住,軍警人員二,70,196617
201905,10009000,住,其他公共行政類,1539,6744167
201905,10009000,住,教育類,1332,5756189
201905,10009000,住,工商及服務類,8948,46855454
201905,10009000,住,專業及技術服務類,3283,15590908
201905,10009000,住,其他,3342,17551137
201906,10009000,住,軍警人員一,235,1324559
201906,10009000,住,軍警人員二,73,309856
201906,10009000,住,其他公共行政類,1630,7797892
201906,10009000,住,教育類,1595,7144551
201906,10009000,住,工商及服務類,9866,52798483
201906,10009000,住,專業及技術服務類,3431,18167499
201906,10009000,住,其他,3582,20002415
201907,10009000,住,軍警人員一,288,1288302
201907,10009000,住,軍警人員二,79,369556
201907,10009000,住,其他公共行政類,2255,11857369
201907,10009000,住,教育類,2426,10771289
201907,10009000,住,工商及服務類,11730,61016532
201907,10009000,住,專業及技術服務類,4166,24345609
201907,10009000,住,其他,4409,24651590
201908,10009000,住,軍警人員一,235,969864
201908,10009000,住,軍警人員二,90,279322
201908,10009000,住,其他公共行政類,2207,9393998
201908,10009000,住,教育類,2169,8601205
201908,10009000,住,工商及服務類,11365,56888668
201908,10009000,住,專業及技術服務類,4035,20051131
201908,10009000,住,其他,4234,19972361
201909,10009000,住,軍警人員一,202,645014
201909,10009000,住,軍警人員二,78,197201
201909,10009000,住,其他公共行政類,1684,7050917
201909,10009000,住,教育類,1444,5412623
201909,10009000,住,工商及服務類,9479,43109483
201909,10009000,住,專業及技術服務類,3334,17374860
201909,10009000,住,其他,3533,16984193
201910,10009000,住,軍警人員一,261,752055
