年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10009000,行,軍警人員一,2132,2167876
201401,10009000,行,軍警人員二,2060,2031971
201401,10009000,行,其他公共行政類,19364,19461115
201401,10009000,行,教育類,17172,17091838
201401,10009000,行,工商及服務類,136937,166655225
201401,10009000,行,專業及技術服務類,34701,40678203
201401,10009000,行,其他,40765,49746883
201402,10009000,行,軍警人員一,2329,2407413
201402,10009000,行,軍警人員二,2045,2070393
201402,10009000,行,其他公共行政類,19101,19253942
201402,10009000,行,教育類,16475,16453799
201402,10009000,行,工商及服務類,134996,160906588
201402,10009000,行,專業及技術服務類,35145,40927410
201402,10009000,行,其他,40799,49247652
201403,10009000,行,軍警人員一,2273,2279379
201403,10009000,行,軍警人員二,1945,1920185
201403,10009000,行,其他公共行政類,18851,18531197
201403,10009000,行,教育類,17152,16718274
201403,10009000,行,工商及服務類,138056,163928588
201403,10009000,行,專業及技術服務類,36112,41585563
201403,10009000,行,其他,41620,49882623
201404,10009000,行,軍警人員一,2220,2259871
201404,10009000,行,軍警人員二,2018,2064759
201404,10009000,行,其他公共行政類,18453,18276132
201404,10009000,行,教育類,17106,16673938
201404,10009000,行,工商及服務類,134951,160483954
201404,10009000,行,專業及技術服務類,35630,41375072
201404,10009000,行,其他,41408,49933857
201405,10009000,行,軍警人員一,2254,2281456
201405,10009000,行,軍警人員二,2118,2118418
201405,10009000,行,其他公共行政類,18906,19064127
201405,10009000,行,教育類,18195,17917922
201405,10009000,行,工商及服務類,138333,164236223
201405,10009000,行,專業及技術服務類,36977,43223187
201405,10009000,行,其他,41721,49603646
201406,10009000,行,軍警人員一,2338,2394200
201406,10009000,行,軍警人員二,2169,2168275
201406,10009000,行,其他公共行政類,19004,19622356
201406,10009000,行,教育類,18186,18176635
201406,10009000,行,工商及服務類,139360,170740203
201406,10009000,行,專業及技術服務類,37278,44474503
201406,10009000,行,其他,42414,54339063
201407,10009000,行,軍警人員一,2323,2409424
201407,10009000,行,軍警人員二,2134,2130222
201407,10009000,行,其他公共行政類,20087,20440237
201407,10009000,行,教育類,19660,19779538
