年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,臺灣,食,軍警人員一,130756,242816374
201401,臺灣,食,軍警人員二,29944,38791867
201401,臺灣,食,其他公共行政類,925120,1399383685
201401,臺灣,食,教育類,834753,1100282686
201401,臺灣,食,工商及服務類,6051178,10733459796
201401,臺灣,食,專業及技術服務類,2391088,3709042167
201401,臺灣,食,其他,3186864,4979908289
201401,臺灣,衣,軍警人員一,18292,75422634
201401,臺灣,衣,軍警人員二,4336,12064592
201401,臺灣,衣,其他公共行政類,210819,612191313
201401,臺灣,衣,教育類,171297,463650720
201401,臺灣,衣,工商及服務類,1105572,3350517042
201401,臺灣,衣,專業及技術服務類,378680,1112775651
201401,臺灣,衣,其他,487375,1504451605
201401,臺灣,住,軍警人員一,38497,231084486
201401,臺灣,住,軍警人員二,6167,25033480
201401,臺灣,住,其他公共行政類,196129,720308426
201401,臺灣,住,教育類,148182,561043845
201401,臺灣,住,工商及服務類,1132631,6103017662
201401,臺灣,住,專業及技術服務類,388959,2081839884
201401,臺灣,住,其他,450924,2196407592
201401,臺灣,行,軍警人員一,199044,236047205
201401,臺灣,行,軍警人員二,60889,57666188
201401,臺灣,行,其他公共行政類,868729,899704599
201401,臺灣,行,教育類,773682,759496417
201401,臺灣,行,工商及服務類,6691698,7876707681
201401,臺灣,行,專業及技術服務類,2485368,2759070458
201401,臺灣,行,其他,2210308,2566799346
201401,臺灣,文教康樂,軍警人員一,42541,298982388
201401,臺灣,文教康樂,軍警人員二,8979,34011461
201401,臺灣,文教康樂,其他公共行政類,294274,1409333817
201401,臺灣,文教康樂,教育類,277028,1206191813
201401,臺灣,文教康樂,工商及服務類,1824704,10146821970
201401,臺灣,文教康樂,專業及技術服務類,633701,3494449267
201401,臺灣,文教康樂,其他,661551,3974592428
201401,臺灣,百貨,軍警人員一,87472,320620690
201401,臺灣,百貨,軍警人員二,13284,33847837
201401,臺灣,百貨,其他公共行政類,385473,973245680
201401,臺灣,百貨,教育類,492771,1158049164
201401,臺灣,百貨,工商及服務類,3144878,9519946835
201401,臺灣,百貨,專業及技術服務類,1228736,3602143443
201401,臺灣,百貨,其他,1429616,4200923491
201401,臺灣,其他,軍警人員一,167621,559114510
201401,臺灣,其他,軍警人員二,41415,125192770
201401,臺灣,其他,其他公共行政類,913723,2806225158
201401,臺灣,其他,教育類,836248,2522733151
