年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10007000,衣,1,62801,168724937
201401,10007000,衣,2,198274,597317702
201402,10007000,衣,1,36899,95350371
201402,10007000,衣,2,127274,352726552
201403,10007000,衣,1,38991,99305809
201403,10007000,衣,2,143752,396407946
201404,10007000,衣,1,37182,94331631
201404,10007000,衣,2,137707,379116832
201405,10007000,衣,1,41912,104762288
201405,10007000,衣,2,144982,400899835
201406,10007000,衣,1,43600,106812615
201406,10007000,衣,2,148375,394820374
201407,10007000,衣,1,46665,107188878
201407,10007000,衣,2,163583,403040795
201408,10007000,衣,1,46177,109094867
201408,10007000,衣,2,158883,382630957
201409,10007000,衣,1,39253,96819923
201409,10007000,衣,2,139327,373562090
201410,10007000,衣,1,41798,108678897
201410,10007000,衣,2,147631,416958584
201411,10007000,衣,1,41801,116262344
201411,10007000,衣,2,142744,435392554
201412,10007000,衣,1,59704,168658897
201412,10007000,衣,2,198441,612925744
201501,10007000,衣,1,56437,155801442
201501,10007000,衣,2,176047,534741133
201502,10007000,衣,1,61273,170105494
201502,10007000,衣,2,180286,529553389
201503,10007000,衣,1,44342,115929704
201503,10007000,衣,2,154807,434594107
201504,10007000,衣,1,48686,119748821
201504,10007000,衣,2,161735,444675039
201505,10007000,衣,1,58870,134576395
201505,10007000,衣,2,181055,469887487
201506,10007000,衣,1,62170,136877553
201506,10007000,衣,2,188741,467585472
201507,10007000,衣,1,59247,125648525
201507,10007000,衣,2,188471,450499046
201508,10007000,衣,1,60067,128845093
201508,10007000,衣,2,175813,416231286
201509,10007000,衣,1,51466,120853546
201509,10007000,衣,2,161906,428800445
201510,10007000,衣,1,59307,148028816
201510,10007000,衣,2,177846,478663459
201511,10007000,衣,1,55384,141984550
201511,10007000,衣,2,165941,468696238
201512,10007000,衣,1,73750,185990777
201512,10007000,衣,2,213313,597762957
201601,10007000,衣,1,21212,55175272
201601,10007000,衣,2,60503,184483909
201602,10007000,衣,1,19800,49484368
201602,10007000,衣,2,55633,165095825
201603,10007000,衣,1,11365,27056177
201603,10007000,衣,2,36470,105198720
201604,10007000,衣,1,15201,34385416
201604,10007000,衣,2,47890,128258435
201605,10007000,衣,1,15931,35600216
201605,10007000,衣,2,50866,136306864
201606,10007000,衣,1,16462,35744211
201606,10007000,衣,2,51037,130622193
201607,10007000,衣,1,16516,34518181
201607,10007000,衣,2,50318,129219408
201608,10007000,衣,1,15834,33969338
201608,10007000,衣,2,47633,120936907
201609,10007000,衣,1,12270,27146827
201609,10007000,衣,2,39924,105789301
201610,10007000,衣,1,15267,35477580
201610,10007000,衣,2,43489,116587749
201611,10007000,衣,1,15048,39237877
201611,10007000,衣,2,43667,129686126
201612,10007000,衣,1,19744,53058286
