年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10007000,食,1,548497,1131179076
201401,10007000,食,2,670436,1139697870
201402,10007000,食,1,430566,708627238
201402,10007000,食,2,513293,702962868
201403,10007000,食,1,479248,735675941
201403,10007000,食,2,591380,732189064
201404,10007000,食,1,451153,684325579
201404,10007000,食,2,553567,700779660
201405,10007000,食,1,505080,812237585
201405,10007000,食,2,611530,833765822
201406,10007000,食,1,514269,776832657
201406,10007000,食,2,620069,798389442
201407,10007000,食,1,567836,871547138
201407,10007000,食,2,710807,913082761
201408,10007000,食,1,606778,1006543950
201408,10007000,食,2,775356,1073215056
201409,10007000,食,1,523084,785067690
201409,10007000,食,2,652554,812401606
201410,10007000,食,1,521425,801257426
201410,10007000,食,2,648693,796186342
201411,10007000,食,1,527239,784551974
201411,10007000,食,2,649144,792263940
201412,10007000,食,1,572574,901865179
201412,10007000,食,2,712573,896174655
201501,10007000,食,1,569250,942535612
201501,10007000,食,2,692417,958652003
201502,10007000,食,1,567564,1044823623
201502,10007000,食,2,680661,1048852544
201503,10007000,食,1,512577,808273091
201503,10007000,食,2,629015,786502652
201504,10007000,食,1,533738,785538248
201504,10007000,食,2,651409,817246388
201505,10007000,食,1,610400,925845324
201505,10007000,食,2,732572,954322960
201506,10007000,食,1,589552,838134243
201506,10007000,食,2,719424,878613793
201507,10007000,食,1,618456,903746879
201507,10007000,食,2,777030,941709012
201508,10007000,食,1,704582,1092634503
201508,10007000,食,2,905658,1245937184
201509,10007000,食,1,587304,903855601
201509,10007000,食,2,727214,940682783
201510,10007000,食,1,585029,876509581
201510,10007000,食,2,720177,887399789
201511,10007000,食,1,557073,839985212
201511,10007000,食,2,689429,873557728
201512,10007000,食,1,567510,872399065
201512,10007000,食,2,695858,884131322
201601,10007000,食,1,103788,146642499
201601,10007000,食,2,140422,177055053
201602,10007000,食,1,96363,135550829
201602,10007000,食,2,126622,157636005
201603,10007000,食,1,82839,91605630
201603,10007000,食,2,115812,113651425
201604,10007000,食,1,86149,94998228
201604,10007000,食,2,119128,123449653
201605,10007000,食,1,93332,107264860
201605,10007000,食,2,126646,135071760
201606,10007000,食,1,99522,109629199
201606,10007000,食,2,134148,136292648
201607,10007000,食,1,107631,122270106
201607,10007000,食,2,148483,155938455
201608,10007000,食,1,100940,133739684
201608,10007000,食,2,147951,182128194
201609,10007000,食,1,93369,107941111
