年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10020000,衣,1,12156,32431010
201401,10020000,衣,2,36982,110600995
201402,10020000,衣,1,7453,18875126
201402,10020000,衣,2,24541,67408724
201403,10020000,衣,1,6817,16874825
201403,10020000,衣,2,26362,71743459
201404,10020000,衣,1,7207,16811434
201404,10020000,衣,2,26893,70959425
201405,10020000,衣,1,7971,19390654
201405,10020000,衣,2,27840,73887885
201406,10020000,衣,1,7258,16654006
201406,10020000,衣,2,25575,64136798
201407,10020000,衣,1,8259,19022595
201407,10020000,衣,2,27097,67158864
201408,10020000,衣,1,8746,20057791
201408,10020000,衣,2,28205,68021862
201409,10020000,衣,1,7037,17156380
201409,10020000,衣,2,26208,68393440
201410,10020000,衣,1,7435,18058036
201410,10020000,衣,2,26283,69057611
201411,10020000,衣,1,6839,18389461
201411,10020000,衣,2,25470,72093515
201412,10020000,衣,1,8460,22176077
201412,10020000,衣,2,32047,92333347
201501,10020000,衣,1,8921,24847649
201501,10020000,衣,2,29834,88858147
201502,10020000,衣,1,11971,30261324
201502,10020000,衣,2,34911,94225058
201503,10020000,衣,1,7201,18113634
201503,10020000,衣,2,26530,70101978
201504,10020000,衣,1,7648,18411039
201504,10020000,衣,2,28316,74045963
201505,10020000,衣,1,8694,20031551
201505,10020000,衣,2,29386,74401139
201506,10020000,衣,1,7911,18424647
201506,10020000,衣,2,26761,67973716
201507,10020000,衣,1,8662,20530698
201507,10020000,衣,2,28722,70839638
201508,10020000,衣,1,8855,20220224
201508,10020000,衣,2,27812,65982510
201509,10020000,衣,1,7655,17914794
201509,10020000,衣,2,25892,66265532
201510,10020000,衣,1,8823,21117666
201510,10020000,衣,2,27824,73558126
201511,10020000,衣,1,7962,20469224
201511,10020000,衣,2,25751,71132904
201512,10020000,衣,1,8723,21434540
201512,10020000,衣,2,29677,82420460
201601,10020000,衣,1,10065,26003645
201601,10020000,衣,2,30701,90778259
201602,10020000,衣,1,10990,27227770
201602,10020000,衣,2,29967,80980381
201603,10020000,衣,1,6359,15499870
201603,10020000,衣,2,20462,56934791
201604,10020000,衣,1,8332,18452865
201604,10020000,衣,2,27295,70947975
201605,10020000,衣,1,8074,18415256
201605,10020000,衣,2,26631,69062873
201606,10020000,衣,1,7647,16921372
201606,10020000,衣,2,25182,64183667
201607,10020000,衣,1,8208,18464026
201607,10020000,衣,2,26149,66060323
201608,10020000,衣,1,7923,17349541
201608,10020000,衣,2,25211,61977453
201609,10020000,衣,1,6304,14556918
201609,10020000,衣,2,20259,53099818
201610,10020000,衣,1,7870,19480451
201610,10020000,衣,2,24008,63971407
201611,10020000,衣,1,7039,19398796
201611,10020000,衣,2,23294,68599308
201612,10020000,衣,1,8660,23298552
201612,10020000,衣,2,27832,78713785
201701,10020000,衣,1,10664,28260616
201701,10020000,衣,2,32299,92002092
201702,10020000,衣,1,6506,16581206
201702,10020000,衣,2,21916,59637912
201703,10020000,衣,1,5991,14530911
201703,10020000,衣,2,22868,63496994
201704,10020000,衣,1,7493,17339244
201704,10020000,衣,2,25693,67110184
201705,10020000,衣,1,7791,17817107
201705,10020000,衣,2,27032,70983290
201706,10020000,衣,1,5811,13595074
201706,10020000,衣,2,21227,56967237
201707,10020000,衣,1,6987,16852506
201707,10020000,衣,2,23828,61748967
201708,10020000,衣,1,7769,17658755
201708,10020000,衣,2,25779,63825054
201709,10020000,衣,1,6856,15928783
201709,10020000,衣,2,22921,58770316
201710,10020000,衣,1,8313,18833664
201710,10020000,衣,2,26748,70497529
201711,10020000,衣,1,7250,18282015
201711,10020000,衣,2,24953,71417959
201712,10020000,衣,1,8861,21075444
201712,10020000,衣,2,30193,82302747
201801,10020000,衣,1,6882,17111020
201801,10020000,衣,2,23802,69405107
201802,10020000,衣,1,9994,25058037
201802,10020000,衣,2,30292,81922228
201803,10020000,衣,1,6244,16013568
201803,10020000,衣,2,22082,59684109
201804,10020000,衣,1,7873,18100777
201804,10020000,衣,2,26274,67671661
201805,10020000,衣,1,6965,15869581
201805,10020000,衣,2,24066,63780923
201806,10020000,衣,1,6404,15075909
201806,10020000,衣,2,20997,54999184
201807,10020000,衣,1,6463,14835074
201807,10020000,衣,2,21698,56115449
201808,10020000,衣,1,6177,13302609
