年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10020000,食,1,83781,153532768
201401,10020000,食,2,118708,205708974
201402,10020000,食,1,61869,90967638
201402,10020000,食,2,86323,125749423
201403,10020000,食,1,70587,98000339
201403,10020000,食,2,102854,141706189
201404,10020000,食,1,67674,91270687
201404,10020000,食,2,96427,137024395
201405,10020000,食,1,71205,109788936
201405,10020000,食,2,99309,158976478
201406,10020000,食,1,71338,105323471
201406,10020000,食,2,99486,149491596
201407,10020000,食,1,76666,114707497
201407,10020000,食,2,111518,168871466
201408,10020000,食,1,82284,134635792
201408,10020000,食,2,119524,191284737
201409,10020000,食,1,72353,107304276
201409,10020000,食,2,104055,156862673
201410,10020000,食,1,68755,95983868
201410,10020000,食,2,99035,143271608
201411,10020000,食,1,66643,100754704
201411,10020000,食,2,96814,151176940
201412,10020000,食,1,71191,111560758
201412,10020000,食,2,102221,167806662
201501,10020000,食,1,76340,128673117
201501,10020000,食,2,106138,181340326
201502,10020000,食,1,80753,154421171
201502,10020000,食,2,111807,209647084
201503,10020000,食,1,65901,98266307
201503,10020000,食,2,91944,141062388
201504,10020000,食,1,70301,105451162
201504,10020000,食,2,97954,152073685
201505,10020000,食,1,80842,124106382
201505,10020000,食,2,111166,181103277
201506,10020000,食,1,77041,112480771
201506,10020000,食,2,106192,160616878
201507,10020000,食,1,80495,120407342
201507,10020000,食,2,115656,179289287
201508,10020000,食,1,93763,152899811
201508,10020000,食,2,135910,227393199
201509,10020000,食,1,81976,133392747
201509,10020000,食,2,117277,196131212
201510,10020000,食,1,76525,114692346
201510,10020000,食,2,107978,165918227
201511,10020000,食,1,73805,117985753
201511,10020000,食,2,105013,177899949
201512,10020000,食,1,75680,127759594
201512,10020000,食,2,107735,187832181
201601,10020000,食,1,87212,166852813
201601,10020000,食,2,120279,237467109
201602,10020000,食,1,84154,155706167
201602,10020000,食,2,112335,215603090
201603,10020000,食,1,72980,120058060
201603,10020000,食,2,102677,168838385
201604,10020000,食,1,77359,126274113
201604,10020000,食,2,105468,172693749
201605,10020000,食,1,82513,135261985
201605,10020000,食,2,112129,190856048
201606,10020000,食,1,86637,139376803
201606,10020000,食,2,115433,192319661
201607,10020000,食,1,93523,150546946
201607,10020000,食,2,129089,211982571
201608,10020000,食,1,85427,147955073
201608,10020000,食,2,123087,216411763
201609,10020000,食,1,85358,147152566
201609,10020000,食,2,114942,199380944
201610,10020000,食,1,85165,133310609
201610,10020000,食,2,115313,181746302
201611,10020000,食,1,55144,63208691
201611,10020000,食,2,66451,73452462
201612,10020000,食,1,58991,73019855
201612,10020000,食,2,70847,83810378
201701,10020000,食,1,69596,110975986
201701,10020000,食,2,83307,128500340
201702,10020000,食,1,52601,62740024
201702,10020000,食,2,63868,76233900
201703,10020000,食,1,54784,64817627
201703,10020000,食,2,66285,74154170
201704,10020000,食,1,60097,71454964
201704,10020000,食,2,72980,86957259
201705,10020000,食,1,61925,77317083
201705,10020000,食,2,75709,95949571
201706,10020000,食,1,58744,72799772
201706,10020000,食,2,72830,88086654
201707,10020000,食,1,66502,80058751
201707,10020000,食,2,85152,98255967
201708,10020000,食,1,69503,94045623
201708,10020000,食,2,91289,120377117
201709,10020000,食,1,61513,87154704
201709,10020000,食,2,78801,106971708
201710,10020000,食,1,65559,85828548
201710,10020000,食,2,83561,98851823
201711,10020000,食,1,57256,72107669
201711,10020000,食,2,73986,88920028
201712,10020000,食,1,62051,78122133
201712,10020000,食,2,80023,104020191
201801,10020000,食,1,51934,73751606
201801,10020000,食,2,67732,94012156
201802,10020000,食,1,69281,107008059
201802,10020000,食,2,89823,137528340
201803,10020000,食,1,59068,68841939
201803,10020000,食,2,76401,100454464
201804,10020000,食,1,80708,111863070
201804,10020000,食,2,105885,156937850
201805,10020000,食,1,99624,159254164
201805,10020000,食,2,136612,230934045
201806,10020000,食,1,103284,165145985
