年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10020000,其他,1,29441,138172342
201401,10020000,其他,2,60210,192867715
201402,10020000,其他,1,22807,104454594
201402,10020000,其他,2,48132,146813586
201403,10020000,其他,1,23542,108656233
201403,10020000,其他,2,46706,157282170
201404,10020000,其他,1,24067,107536124
201404,10020000,其他,2,49004,149317260
201405,10020000,其他,1,26714,109547398
201405,10020000,其他,2,57321,161831925
201406,10020000,其他,1,25039,107840302
201406,10020000,其他,2,52391,153095097
201407,10020000,其他,1,39675,159554217
201407,10020000,其他,2,71945,212247662
201408,10020000,其他,1,26942,113105606
201408,10020000,其他,2,55966,160243905
201409,10020000,其他,1,24810,110023476
201409,10020000,其他,2,51930,163377128
201410,10020000,其他,1,26414,120311010
201410,10020000,其他,2,54526,176419553
201411,10020000,其他,1,24682,112474635
201411,10020000,其他,2,51618,158113156
201412,10020000,其他,1,28335,128248350
201412,10020000,其他,2,58518,181378703
201501,10020000,其他,1,27930,129732183
201501,10020000,其他,2,55322,178213259
201502,10020000,其他,1,25305,117645705
201502,10020000,其他,2,50414,160467258
201503,10020000,其他,1,24866,109925257
201503,10020000,其他,2,50488,155076938
201504,10020000,其他,1,24451,111521017
201504,10020000,其他,2,51516,159223633
201505,10020000,其他,1,25289,119978962
201505,10020000,其他,2,51536,162561696
201506,10020000,其他,1,25745,118892772
201506,10020000,其他,2,51888,170268635
201507,10020000,其他,1,44479,171436152
201507,10020000,其他,2,74806,230372892
201508,10020000,其他,1,29513,117299006
201508,10020000,其他,2,58478,167802196
201509,10020000,其他,1,25377,105349942
201509,10020000,其他,2,50912,148884819
201510,10020000,其他,1,27378,126641343
201510,10020000,其他,2,54014,179266444
201511,10020000,其他,1,25744,119195384
201511,10020000,其他,2,50029,165017342
201512,10020000,其他,1,27801,127932346
201512,10020000,其他,2,52636,175023899
201601,10020000,其他,1,21459,105749716
201601,10020000,其他,2,38009,140698555
201602,10020000,其他,1,24254,102006406
201602,10020000,其他,2,42341,137333124
201603,10020000,其他,1,21852,97052121
201603,10020000,其他,2,37437,127320361
201604,10020000,其他,1,21994,97678734
201604,10020000,其他,2,38557,128200374
201605,10020000,其他,1,21654,94411277
201605,10020000,其他,2,41100,144355241
201606,10020000,其他,1,22685,102268426
201606,10020000,其他,2,44308,142626985
201607,10020000,其他,1,42737,163033304
201607,10020000,其他,2,69191,212081032
201608,10020000,其他,1,25577,119957493
201608,10020000,其他,2,49501,162266708
201609,10020000,其他,1,21753,97599319
201609,10020000,其他,2,42115,142003127
201610,10020000,其他,1,23617,111310284
201610,10020000,其他,2,47007,156552152
201611,10020000,其他,1,21427,106566026
201611,10020000,其他,2,41330,141463194
201612,10020000,其他,1,23318,111695906
201612,10020000,其他,2,45123,153988779
201701,10020000,其他,1,22741,105260722
201701,10020000,其他,2,44431,153393339
201702,10020000,其他,1,19536,88961874
201702,10020000,其他,2,38916,125096090
201703,10020000,其他,1,20378,92848426
201703,10020000,其他,2,39522,126391385
201704,10020000,其他,1,20798,92357029
201704,10020000,其他,2,40794,123381491
201705,10020000,其他,1,21313,101014818
201705,10020000,其他,2,42528,142560253
201706,10020000,其他,1,21246,98533040
201706,10020000,其他,2,41125,127915039
201707,10020000,其他,1,51423,187705563
201707,10020000,其他,2,75090,227499534
201708,10020000,其他,1,25302,114127946
201708,10020000,其他,2,48207,146827645
201709,10020000,其他,1,21895,106450672
201709,10020000,其他,2,42265,140704920
201710,10020000,其他,1,25500,107599852
201710,10020000,其他,2,47327,145791662
201711,10020000,其他,1,23840,113804669
201711,10020000,其他,2,44072,145889055
201712,10020000,其他,1,25419,114854461
201712,10020000,其他,2,47394,146948147
201801,10020000,其他,1,22628,96267859
201801,10020000,其他,2,41643,123427714
201802,10020000,其他,1,22917,93971877
201802,10020000,其他,2,42440,121336072
201803,10020000,其他,1,24021,102015282
201803,10020000,其他,2,43053,130417042
201804,10020000,其他,1,23706,93092534
201804,10020000,其他,2,43417,123397741
201805,10020000,其他,1,25142,105743628
201805,10020000,其他,2,47122,153453060
201806,10020000,其他,1,24232,97479199
201806,10020000,其他,2,44359,125298235
201807,10020000,其他,1,64084,217204224
201807,10020000,其他,2,90773,260884866
201808,10020000,其他,1,26429,100578764
201808,10020000,其他,2,48130,129164051
201809,10020000,其他,1,24246,98477258
201809,10020000,其他,2,45353,127599313
201810,10020000,其他,1,21676,87371504
201810,10020000,其他,2,42581,123487533
201811,10020000,其他,1,24625,96294323
201811,10020000,其他,2,48512,131084303
201812,10020000,其他,1,27287,115151930
201812,10020000,其他,2,49553,142812813
201901,10020000,其他,1,25814,105077111
201901,10020000,其他,2,46623,130532627
201902,10020000,其他,1,21449,74285696
201902,10020000,其他,2,39627,100485875
201903,10020000,其他,1,26825,102068011
201903,10020000,其他,2,48528,128236881
201904,10020000,其他,1,26579,101216689
201904,10020000,其他,2,46372,128044466
201905,10020000,其他,1,27342,96792576
201905,10020000,其他,2,48095,128997096
201906,10020000,其他,1,28851,102494266
201906,10020000,其他,2,49914,129883732
201907,10020000,其他,1,84776,270544427
201907,10020000,其他,2,114226,320483573
