年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10010000,衣,1,1313,3589868
201401,10010000,衣,2,4812,15050537
201402,10010000,衣,1,749,1877671
201402,10010000,衣,2,2896,8374609
201403,10010000,衣,1,737,1930049
201403,10010000,衣,2,3061,9102208
201404,10010000,衣,1,823,2017245
201404,10010000,衣,2,3145,9659682
201405,10010000,衣,1,1040,2553266
201405,10010000,衣,2,3576,10273358
201406,10010000,衣,1,830,1880060
201406,10010000,衣,2,3099,8627967
201407,10010000,衣,1,904,2188677
201407,10010000,衣,2,3357,9031605
201408,10010000,衣,1,1132,2624483
201408,10010000,衣,2,3825,9853902
201409,10010000,衣,1,735,1758198
201409,10010000,衣,2,3254,9828864
201410,10010000,衣,1,880,2112358
201410,10010000,衣,2,3316,10010902
201411,10010000,衣,1,687,1822358
201411,10010000,衣,2,3133,9401277
201412,10010000,衣,1,1236,2877502
201412,10010000,衣,2,4309,11998505
201501,10010000,衣,1,1024,2455417
201501,10010000,衣,2,3692,11741513
201502,10010000,衣,1,1562,3611772
201502,10010000,衣,2,4582,13182592
201503,10010000,衣,1,843,1839441
201503,10010000,衣,2,3140,8620823
201504,10010000,衣,1,879,2007590
201504,10010000,衣,2,3353,9099391
201505,10010000,衣,1,676,1678542
201505,10010000,衣,2,2996,8743273
201506,10010000,衣,1,625,1598939
201506,10010000,衣,2,2517,7642440
201507,10010000,衣,1,671,1912771
201507,10010000,衣,2,2571,7448031
201508,10010000,衣,1,652,1837940
201508,10010000,衣,2,2537,7276081
201509,10010000,衣,1,557,1669912
201509,10010000,衣,2,2689,8486158
201510,10010000,衣,1,668,2019387
201510,10010000,衣,2,2487,7657261
201511,10010000,衣,1,633,1988957
201511,10010000,衣,2,2409,7533008
201512,10010000,衣,1,631,1746478
201512,10010000,衣,2,2843,8642739
201601,10010000,衣,1,1413,3751023
201601,10010000,衣,2,4726,14129383
201602,10010000,衣,1,1591,4093790
201602,10010000,衣,2,4613,13477772
201603,10010000,衣,1,878,2145255
201603,10010000,衣,2,3234,8535249
201604,10010000,衣,1,1204,2730117
201604,10010000,衣,2,3856,10516779
201605,10010000,衣,1,1130,2550882
201605,10010000,衣,2,3896,10571352
201606,10010000,衣,1,1008,2336416
201606,10010000,衣,2,3816,10087833
201607,10010000,衣,1,1236,2824780
201607,10010000,衣,2,3798,9401962
201608,10010000,衣,1,1371,3022832
201608,10010000,衣,2,4276,10897744
201609,10010000,衣,1,898,2065022
201609,10010000,衣,2,2943,8310966
201610,10010000,衣,1,1216,2932612
201610,10010000,衣,2,3690,9765680
201611,10010000,衣,1,964,2398737
201611,10010000,衣,2,3232,9822585
201612,10010000,衣,1,1331,3051656
201612,10010000,衣,2,4128,10792859
201701,10010000,衣,1,1472,3819131
201701,10010000,衣,2,4561,13655635
201702,10010000,衣,1,923,2700755
201702,10010000,衣,2,3079,9491727
201703,10010000,衣,1,774,1645982
201703,10010000,衣,2,2864,7938895
201704,10010000,衣,1,972,2062339
201704,10010000,衣,2,3338,9210435
201705,10010000,衣,1,1056,2481944
201705,10010000,衣,2,3511,9709493
201706,10010000,衣,1,707,1646126
201706,10010000,衣,2,2769,7507427
201707,10010000,衣,1,929,2127497
201707,10010000,衣,2,3162,8446089
201708,10010000,衣,1,1104,2473541
201708,10010000,衣,2,3677,9566229
201709,10010000,衣,1,744,1866302
201709,10010000,衣,2,2853,8599060
201710,10010000,衣,1,999,2211494
201710,10010000,衣,2,3318,9534947
201711,10010000,衣,1,810,1926627
201711,10010000,衣,2,2820,8806127
201712,10010000,衣,1,1065,2446684
201712,10010000,衣,2,3486,10005001
201801,10010000,衣,1,737,1986649
201801,10010000,衣,2,2966,10027300
201802,10010000,衣,1,1299,3524900
201802,10010000,衣,2,3957,12402885
