年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10010000,百貨,1,8,59165
201401,10010000,百貨,2,39,202689
201402,10010000,百貨,1,7,60050
201402,10010000,百貨,2,26,143011
201403,10010000,百貨,1,2,5340
201403,10010000,百貨,2,33,196715
201404,10010000,百貨,1,6,42100
201404,10010000,百貨,2,19,123017
201405,10010000,百貨,1,32,58823
201405,10010000,百貨,2,124,262700
201406,10010000,百貨,1,75,103086
201406,10010000,百貨,2,413,535800
201407,10010000,百貨,1,50,40281
201407,10010000,百貨,2,286,346103
201408,10010000,百貨,1,56,65462
201408,10010000,百貨,2,291,422221
201409,10010000,百貨,1,65,71589
201409,10010000,百貨,2,258,326471
201410,10010000,百貨,1,48,35975
201410,10010000,百貨,2,273,300601
201411,10010000,百貨,1,46,69996
201411,10010000,百貨,2,241,314774
201412,10010000,百貨,1,59,74214
201412,10010000,百貨,2,317,401736
201501,10010000,百貨,1,48,55276
201501,10010000,百貨,2,280,437155
201502,10010000,百貨,1,66,107259
201502,10010000,百貨,2,277,344244
201503,10010000,百貨,1,54,53989
201503,10010000,百貨,2,245,326812
201504,10010000,百貨,1,59,104727
201504,10010000,百貨,2,247,290610
201505,10010000,百貨,1,48,75492
201505,10010000,百貨,2,353,524413
201506,10010000,百貨,1,59,63554
201506,10010000,百貨,2,326,442997
201507,10010000,百貨,1,79,84165
201507,10010000,百貨,2,283,340910
201508,10010000,百貨,1,54,48465
201508,10010000,百貨,2,286,322386
201509,10010000,百貨,1,65,54115
201509,10010000,百貨,2,339,488564
201510,10010000,百貨,1,81,74772
201510,10010000,百貨,2,365,524970
201511,10010000,百貨,1,43,23965
201511,10010000,百貨,2,303,365548
201512,10010000,百貨,1,70,96645
201512,10010000,百貨,2,420,576925
201601,10010000,百貨,1,286,297532
201601,10010000,百貨,2,1368,1418219
201602,10010000,百貨,1,370,553130
201602,10010000,百貨,2,1430,1618660
201603,10010000,百貨,1,304,399012
201603,10010000,百貨,2,1339,1770967
201604,10010000,百貨,1,376,887672
201604,10010000,百貨,2,1413,1783066
201605,10010000,百貨,1,475,722800
201605,10010000,百貨,2,1682,1702596
201606,10010000,百貨,1,445,670254
201606,10010000,百貨,2,1535,1609299
201607,10010000,百貨,1,486,771701
201607,10010000,百貨,2,1509,1780936
201608,10010000,百貨,1,534,822333
201608,10010000,百貨,2,1599,1884856
201609,10010000,百貨,1,447,694816
201609,10010000,百貨,2,1347,1744970
201610,10010000,百貨,1,544,864088
201610,10010000,百貨,2,1659,1913615
201611,10010000,百貨,1,480,792750
201611,10010000,百貨,2,1626,1813015
201612,10010000,百貨,1,702,955778
201612,10010000,百貨,2,2804,3015437
201701,10010000,百貨,1,980,1266229
201701,10010000,百貨,2,3411,4836667
201702,10010000,百貨,1,851,1196480
201702,10010000,百貨,2,2781,3074305
201703,10010000,百貨,1,683,911124
201703,10010000,百貨,2,2804,2976671
201704,10010000,百貨,1,758,1112379
201704,10010000,百貨,2,2978,3101854
201705,10010000,百貨,1,699,908562
201705,10010000,百貨,2,2806,2916618
201706,10010000,百貨,1,555,569605
201706,10010000,百貨,2,2543,2336034
201707,10010000,百貨,1,707,823945
201707,10010000,百貨,2,2861,2655428
201708,10010000,百貨,1,689,891372
201708,10010000,百貨,2,2930,2892263
201709,10010000,百貨,1,674,807266
201709,10010000,百貨,2,2649,2637045
201710,10010000,百貨,1,708,863148
201710,10010000,百貨,2,3009,3076036
201711,10010000,百貨,1,623,776430
201711,10010000,百貨,2,2658,2372166
201712,10010000,百貨,1,672,868377
201712,10010000,百貨,2,3079,2869212
201801,10010000,百貨,1,593,732854
201801,10010000,百貨,2,2336,2366393
201802,10010000,百貨,1,913,1240872
201802,10010000,百貨,2,3315,4296581
201803,10010000,百貨,1,684,1004881
201803,10010000,百貨,2,2804,2905868
201804,10010000,百貨,1,727,1022733
201804,10010000,百貨,2,3003,3212919
201805,10010000,百貨,1,709,936362
201805,10010000,百貨,2,3059,3123352
201806,10010000,百貨,1,769,1092866
201806,10010000,百貨,2,3058,3619357
201807,10010000,百貨,1,767,1465560
201807,10010000,百貨,2,3328,3898300
201808,10010000,百貨,1,638,968753
201808,10010000,百貨,2,2780,3345263
201809,10010000,百貨,1,819,1363143
201809,10010000,百貨,2,3144,3659120
201810,10010000,百貨,1,719,1022882
201810,10010000,百貨,2,2874,3605987
201811,10010000,百貨,1,877,1670186
201811,10010000,百貨,2,3320,4962199
201812,10010000,百貨,1,883,1557916
201812,10010000,百貨,2,3714,4296086
201901,10010000,百貨,1,646,1020323
201901,10010000,百貨,2,2849,3403104
201902,10010000,百貨,1,702,834127
201902,10010000,百貨,2,2621,2767057
201903,10010000,百貨,1,605,717130
201903,10010000,百貨,2,2881,3135960
201904,10010000,百貨,1,723,793681
201904,10010000,百貨,2,3401,3808035
201905,10010000,百貨,1,625,550568
201905,10010000,百貨,2,2813,3216406
201906,10010000,百貨,1,667,677358
201906,10010000,百貨,2,2882,2710729
201907,10010000,百貨,1,657,697232
201907,10010000,百貨,2,3080,2867254
201908,10010000,百貨,1,676,748250
201908,10010000,百貨,2,3193,3230265
201909,10010000,百貨,1,661,715750
201909,10010000,百貨,2,2875,2931594
201910,10010000,百貨,1,977,1019181
201910,10010000,百貨,2,4191,3721084
201911,10010000,百貨,1,920,913590
201911,10010000,百貨,2,3672,3317000
201912,10010000,百貨,1,1013,947149
201912,10010000,百貨,2,3913,3950073
202001,10010000,百貨,1,1117,1243183
202001,10010000,百貨,2,4152,4099842
202002,10010000,百貨,1,954,1179432
202002,10010000,百貨,2,4077,4090821
202003,10010000,百貨,1,891,1156144
202003,10010000,百貨,2,3745,3502277
202004,10010000,百貨,1,844,901898
202004,10010000,百貨,2,3558,3411141
202005,10010000,百貨,1,807,879457
202005,10010000,百貨,2,3392,3650712
202006,10010000,百貨,1,960,950875
202006,10010000,百貨,2,3515,3309016
202007,10010000,百貨,1,881,972725
202007,10010000,百貨,2,3772,3330537
202008,10010000,百貨,1,966,1087159
202008,10010000,百貨,2,3939,3938676
202009,10010000,百貨,1,871,953479
202009,10010000,百貨,2,3627,3652422
202010,10010000,百貨,1,976,1154487
202010,10010000,百貨,2,3723,3543544
202011,10010000,百貨,1,768,776538
202011,10010000,百貨,2,3419,3146503
202012,10010000,百貨,1,989,1057060
202012,10010000,百貨,2,3799,3433053
202101,10010000,百貨,1,1309,1348993
202101,10010000,百貨,2,4753,4660295
202102,10010000,百貨,1,16136,9739561
202102,10010000,百貨,2,26588,18861440
202103,10010000,百貨,1,15618,7968499
202103,10010000,百貨,2,25195,15851150
202104,10010000,百貨,1,17468,9757233
202104,10010000,百貨,2,26925,18986191
202105,10010000,百貨,1,22237,13525865
202105,10010000,百貨,2,35480,24976700
202106,10010000,百貨,1,19619,11792792
202106,10010000,百貨,2,29826,21434104
202107,10010000,百貨,1,20341,11973322
202107,10010000,百貨,2,31741,21662724
202108,10010000,百貨,1,20896,12664547
202108,10010000,百貨,2,32160,23213625
202109,10010000,百貨,1,19873,11522471
202109,10010000,百貨,2,30041,20521995
202110,10010000,百貨,1,19134,10269755
202110,10010000,百貨,2,27963,18796926
202111,10010000,百貨,1,18022,9809369
202111,10010000,百貨,2,25832,17130949
202112,10010000,百貨,1,18760,11211188
202112,10010000,百貨,2,27771,19316695
202201,10010000,百貨,1,20995,12975383
202201,10010000,百貨,2,30806,23151181
202202,10010000,百貨,1,18314,11318284
202202,10010000,百貨,2,27275,19217519
202203,10010000,百貨,1,19359,11056285
202203,10010000,百貨,2,28322,18858031
202204,10010000,百貨,1,21568,12810531
202204,10010000,百貨,2,31543,23466152
202205,10010000,百貨,1,22270,13297777
202205,10010000,百貨,2,32255,22570812
202206,10010000,百貨,1,22995,12976301
202206,10010000,百貨,2,32795,21825883
202207,10010000,百貨,1,23532,13689225
202207,10010000,百貨,2,34154,24376182
202208,10010000,百貨,1,22976,14491710
202208,10010000,百貨,2,33948,25334672
202209,10010000,百貨,1,22594,12997203
202209,10010000,百貨,2,32426,22235804
202210,10010000,百貨,1,22916,13046610
202210,10010000,百貨,2,33031,23056947
202211,10010000,百貨,1,21015,12609775
202211,10010000,百貨,2,29633,20091393
202212,10010000,百貨,1,23055,14851515
202212,10010000,百貨,2,33678,24734143
202301,10010000,百貨,1,25726,15784675
202301,10010000,百貨,2,36566,26733681
202302,10010000,百貨,1,20126,11780033
202302,10010000,百貨,2,28539,19495586
202303,10010000,百貨,1,23603,12847964
202303,10010000,百貨,2,32309,21753225
202304,10010000,百貨,1,25283,14947695
202304,10010000,百貨,2,34517,23908322
202305,10010000,百貨,1,25613,14724858
202305,10010000,百貨,2,35457,23872371
202306,10010000,百貨,1,25643,14437347
202306,10010000,百貨,2,35458,22803096
202307,10010000,百貨,1,27084,14689116
202307,10010000,百貨,2,37003,24590585
202308,10010000,百貨,1,27264,15535467
202308,10010000,百貨,2,38185,26959193
