年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10010000,食,1,7815,21260366
201401,10010000,食,2,9982,16857750
201402,10010000,食,1,5614,13863354
201402,10010000,食,2,7567,11663940
201403,10010000,食,1,6202,10021775
201403,10010000,食,2,8931,10476668
201404,10010000,食,1,5025,8743295
201404,10010000,食,2,7369,9216330
201405,10010000,食,1,3861,9225331
201405,10010000,食,2,5208,8378496
201406,10010000,食,1,3583,7097528
201406,10010000,食,2,4823,7262489
201407,10010000,食,1,3653,7116334
201407,10010000,食,2,4806,7117042
201408,10010000,食,1,4208,9988494
201408,10010000,食,2,5510,8975751
201409,10010000,食,1,3575,7978736
201409,10010000,食,2,4766,7939929
201410,10010000,食,1,3622,7023576
201410,10010000,食,2,4883,7260183
201411,10010000,食,1,3633,6996996
201411,10010000,食,2,5154,7718327
201412,10010000,食,1,3681,7196595
201412,10010000,食,2,5007,7169848
201501,10010000,食,1,5050,13796938
201501,10010000,食,2,6113,12365473
201502,10010000,食,1,5837,16948289
201502,10010000,食,2,7053,13189465
201503,10010000,食,1,3938,9285453
201503,10010000,食,2,5268,8945005
201504,10010000,食,1,4252,7594024
201504,10010000,食,2,5990,9400359
201505,10010000,食,1,4451,8564869
201505,10010000,食,2,6156,9008986
201506,10010000,食,1,4497,9228161
201506,10010000,食,2,5946,8389816
201507,10010000,食,1,4652,7615527
201507,10010000,食,2,6687,8945620
201508,10010000,食,1,5177,9139784
201508,10010000,食,2,7322,9584103
201509,10010000,食,1,5231,10355873
201509,10010000,食,2,6686,10311074
201510,10010000,食,1,4716,9472665
201510,10010000,食,2,6537,10165125
201511,10010000,食,1,4355,8460112
201511,10010000,食,2,6365,8269029
201512,10010000,食,1,5090,10336212
201512,10010000,食,2,7078,10425169
201601,10010000,食,1,8652,19330524
201601,10010000,食,2,10753,16772589
201602,10010000,食,1,9816,18173042
201602,10010000,食,2,12268,17882096
201603,10010000,食,1,7202,13479502
201603,10010000,食,2,9340,12074851
201604,10010000,食,1,8368,12700640
201604,10010000,食,2,10636,13142868
201605,10010000,食,1,8035,13551185
201605,10010000,食,2,10468,13212615
201606,10010000,食,1,8682,12214422
201606,10010000,食,2,11176,13170246
201607,10010000,食,1,9060,12835868
201607,10010000,食,2,12120,13694341
201608,10010000,食,1,9094,12916220
201608,10010000,食,2,11478,14056025
201609,10010000,食,1,8580,12698556
201609,10010000,食,2,10464,13502318
201610,10010000,食,1,9006,11610470
201610,10010000,食,2,11795,14102467
201611,10010000,食,1,8405,12656425
201611,10010000,食,2,11171,14419443
201612,10010000,食,1,9004,13469617
201612,10010000,食,2,11523,14281845
201701,10010000,食,1,12459,23515911
201701,10010000,食,2,14931,22662784
201702,10010000,食,1,8532,11280242
201702,10010000,食,2,10975,13073845
201703,10010000,食,1,7855,11079107
201703,10010000,食,2,10398,12441580
201704,10010000,食,1,9505,13114087
201704,10010000,食,2,12540,15143971
201705,10010000,食,1,9240,14713970
201705,10010000,食,2,12104,14404890
201706,10010000,食,1,7383,10198337
201706,10010000,食,2,9608,10618119
201707,10010000,食,1,9175,11922198
201707,10010000,食,2,12140,13164785
201708,10010000,食,1,9882,12650626
201708,10010000,食,2,13744,15522699
201709,10010000,食,1,8932,14904884
201709,10010000,食,2,11365,13923637
201710,10010000,食,1,9997,13657414
201710,10010000,食,2,13234,15284946
201711,10010000,食,1,8662,12295753
201711,10010000,食,2,11656,13041994
201712,10010000,食,1,10017,13699641
201712,10010000,食,2,13393,15698096
201801,10010000,食,1,9143,15736030
201801,10010000,食,2,11571,14813317
201802,10010000,食,1,13186,20585463
201802,10010000,食,2,16284,21476990
201803,10010000,食,1,11000,13624909
201803,10010000,食,2,14043,15619956
201804,10010000,食,1,14221,15787960
201804,10010000,食,2,16820,17503612
201805,10010000,食,1,15317,14990830
201805,10010000,食,2,16955,17072542
201806,10010000,食,1,15015,14047938
201806,10010000,食,2,15995,15106917
201807,10010000,食,1,16353,14051418
201807,10010000,食,2,18601,17682683
201808,10010000,食,1,15979,13942844
201808,10010000,食,2,17674,17164079
201809,10010000,食,1,17123,16054820
201809,10010000,食,2,18026,18068740
201810,10010000,食,1,15168,11995309
201810,10010000,食,2,15676,14283020
201811,10010000,食,1,16167,13295253
201811,10010000,食,2,16871,16852638
201812,10010000,食,1,19354,19996671
201812,10010000,食,2,22024,24279899
201901,10010000,食,1,18105,20599156
201901,10010000,食,2,19847,23633283
201902,10010000,食,1,19180,18481701
201902,10010000,食,2,20384,20626174
201903,10010000,食,1,21285,16519166
201903,10010000,食,2,25801,22698208
201904,10010000,食,1,20188,16965129
201904,10010000,食,2,21732,22243700
201905,10010000,食,1,18735,16365807
201905,10010000,食,2,20804,21405671
201906,10010000,食,1,20250,15296761
201906,10010000,食,2,20965,18022133
