年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10010000,住,1,2484,13955012
201401,10010000,住,2,2114,14556864
201402,10010000,住,1,2176,12489864
201402,10010000,住,2,1933,11916639
201403,10010000,住,1,2339,12966377
201403,10010000,住,2,1973,12914609
201404,10010000,住,1,2256,12974909
201404,10010000,住,2,1896,12016953
201405,10010000,住,1,2210,12657949
201405,10010000,住,2,1720,12470872
201406,10010000,住,1,2170,13568780
201406,10010000,住,2,1868,12292913
201407,10010000,住,1,2865,17775052
201407,10010000,住,2,2455,17808735
201408,10010000,住,1,2600,13925691
201408,10010000,住,2,2266,13570879
201409,10010000,住,1,1937,10763102
201409,10010000,住,2,1764,11368021
201410,10010000,住,1,2156,11997347
201410,10010000,住,2,1827,11585495
201411,10010000,住,1,2165,12617731
201411,10010000,住,2,1844,12582355
201412,10010000,住,1,2329,17114303
201412,10010000,住,2,2042,17107800
201501,10010000,住,1,2808,18286367
201501,10010000,住,2,2503,18507118
201502,10010000,住,1,2669,15432924
201502,10010000,住,2,2412,16786198
201503,10010000,住,1,2484,15769349
201503,10010000,住,2,2147,14509457
201504,10010000,住,1,2608,19058729
201504,10010000,住,2,2337,17686271
201505,10010000,住,1,2375,16269048
201505,10010000,住,2,1996,15567795
201506,10010000,住,1,2431,17634634
201506,10010000,住,2,2112,17998442
201507,10010000,住,1,2859,18371862
201507,10010000,住,2,2565,19770551
201508,10010000,住,1,2603,14191751
201508,10010000,住,2,2204,14198508
201509,10010000,住,1,2196,14225764
201509,10010000,住,2,2053,14465668
201510,10010000,住,1,2339,15575549
201510,10010000,住,2,2019,14529075
201511,10010000,住,1,2630,18356485
201511,10010000,住,2,2423,18459035
201512,10010000,住,1,2539,17581813
201512,10010000,住,2,2281,15772912
201601,10010000,住,1,5059,28980955
201601,10010000,住,2,4934,31530931
201602,10010000,住,1,5343,32275641
201602,10010000,住,2,5032,30831709
201603,10010000,住,1,4504,26354972
201603,10010000,住,2,4240,24541969
201604,10010000,住,1,4893,27294912
201604,10010000,住,2,4472,26501648
201605,10010000,住,1,4224,24216593
201605,10010000,住,2,4087,23750018
201606,10010000,住,1,4848,27112994
201606,10010000,住,2,4728,28246736
201607,10010000,住,1,5548,30425824
201607,10010000,住,2,5166,28391447
201608,10010000,住,1,4844,24544836
201608,10010000,住,2,4675,25291917
201609,10010000,住,1,3713,19145961
201609,10010000,住,2,3397,17565531
201610,10010000,住,1,4479,23185311
201610,10010000,住,2,3855,19886909
201611,10010000,住,1,4727,27071898
201611,10010000,住,2,4184,24426031
201612,10010000,住,1,4814,27618203
201612,10010000,住,2,4450,26910729
201701,10010000,住,1,5257,27940081
201701,10010000,住,2,4832,28425264
201702,10010000,住,1,4847,23194308
201702,10010000,住,2,4323,20732436
201703,10010000,住,1,4841,26749181
201703,10010000,住,2,4238,24962679
201704,10010000,住,1,5173,32558883
201704,10010000,住,2,4677,29577860
201705,10010000,住,1,4604,23027793
201705,10010000,住,2,4114,23796886
201706,10010000,住,1,3993,21298438
201706,10010000,住,2,3567,24164021
201707,10010000,住,1,5348,29465458
201707,10010000,住,2,5156,30604532
