年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10010000,行,1,47873,57101302
201401,10010000,行,2,23863,26277138
201402,10010000,行,1,46522,53071717
201402,10010000,行,2,22693,24201236
201403,10010000,行,1,47951,55830795
201403,10010000,行,2,24045,25592756
201404,10010000,行,1,46877,55096893
201404,10010000,行,2,23202,24768787
201405,10010000,行,1,47407,56116733
201405,10010000,行,2,24051,26371909
201406,10010000,行,1,48315,57886246
201406,10010000,行,2,24121,25831039
201407,10010000,行,1,49740,57536779
201407,10010000,行,2,24501,27050601
201408,10010000,行,1,49759,56201332
201408,10010000,行,2,24766,25766481
201409,10010000,行,1,47759,52456924
201409,10010000,行,2,23881,24605680
201410,10010000,行,1,50280,53286530
201410,10010000,行,2,25075,24662492
201411,10010000,行,1,48383,49101099
201411,10010000,行,2,23777,22392373
201412,10010000,行,1,49810,47525370
201412,10010000,行,2,24194,21602022
201501,10010000,行,1,50220,43609368
201501,10010000,行,2,23897,19716509
201502,10010000,行,1,52295,44673358
201502,10010000,行,2,23408,19199351
201503,10010000,行,1,51343,45615559
201503,10010000,行,2,24857,20271601
201504,10010000,行,1,52137,46857953
201504,10010000,行,2,24354,20158358
201505,10010000,行,1,51614,48033641
201505,10010000,行,2,24896,21644174
201506,10010000,行,1,52846,49853668
201506,10010000,行,2,25174,22181213
201507,10010000,行,1,53360,49870982
201507,10010000,行,2,25226,23784112
201508,10010000,行,1,50049,43211116
201508,10010000,行,2,23508,19418874
201509,10010000,行,1,49432,41908098
201509,10010000,行,2,23389,19137517
201510,10010000,行,1,50152,43628956
201510,10010000,行,2,23630,20388553
201511,10010000,行,1,49862,42467360
201511,10010000,行,2,23330,18872490
201512,10010000,行,1,51154,43903539
201512,10010000,行,2,24549,20491729
201601,10010000,行,1,92588,81139583
201601,10010000,行,2,52734,46944300
201602,10010000,行,1,90496,76457121
201602,10010000,行,2,47977,42620195
201603,10010000,行,1,90169,82267612
201603,10010000,行,2,51404,47977509
201604,10010000,行,1,94609,84568551
201604,10010000,行,2,53868,48753552
201605,10010000,行,1,92632,87943025
201605,10010000,行,2,53822,50843760
201606,10010000,行,1,94718,92445197
201606,10010000,行,2,54247,52742378
201607,10010000,行,1,94086,89170554
201607,10010000,行,2,55074,52742342
201608,10010000,行,1,94140,87425373
201608,10010000,行,2,55682,51492676
201609,10010000,行,1,87299,80457296
201609,10010000,行,2,50672,46516918
201610,10010000,行,1,98145,93911554
201610,10010000,行,2,56816,52375556
201611,10010000,行,1,70934,72954084
201611,10010000,行,2,43389,43527603
201612,10010000,行,1,74124,81734444
201612,10010000,行,2,45900,47379281
201701,10010000,行,1,72873,79550642
201701,10010000,行,2,43243,45818372
201702,10010000,行,1,64509,70239221
201702,10010000,行,2,41066,42120197
201703,10010000,行,1,71597,78158743
201703,10010000,行,2,44594,46738196
201704,10010000,行,1,75701,78961448
201704,10010000,行,2,46876,47774076
201705,10010000,行,1,71487,75441601
201705,10010000,行,2,46049,47302046
201706,10010000,行,1,62064,68601966
201706,10010000,行,2,39395,41360974
201707,10010000,行,1,66383,72447854
201707,10010000,行,2,43709,46643280
201708,10010000,行,1,68383,74803333
201708,10010000,行,2,44642,49028565
201709,10010000,行,1,64328,69012591
201709,10010000,行,2,41199,41931224
201710,10010000,行,1,70247,77349069
201710,10010000,行,2,45946,49345901
201711,10010000,行,1,65610,74364222
201711,10010000,行,2,42665,46226999
201712,10010000,行,1,70169,79682709
201712,10010000,行,2,45619,51779120
201801,10010000,行,1,59541,67750503
201801,10010000,行,2,38003,41419142
201802,10010000,行,1,64595,70045223
201802,10010000,行,2,41420,44603366
201803,10010000,行,1,72017,79840978
201803,10010000,行,2,46616,48151197
201804,10010000,行,1,83383,89109960
201804,10010000,行,2,51012,53685729
201805,10010000,行,1,96586,102581823
201805,10010000,行,2,57330,59288487
201806,10010000,行,1,95955,103232936
201806,10010000,行,2,57817,61009986
201807,10010000,行,1,98411,106710285
201807,10010000,行,2,59243,64249841
201808,10010000,行,1,90156,96011557
201808,10010000,行,2,54383,56245542
201809,10010000,行,1,96201,102667133
201809,10010000,行,2,57099,58368580
201810,10010000,行,1,86034,92587241
201810,10010000,行,2,51337,52880907
201811,10010000,行,1,94689,98596341
201811,10010000,行,2,57877,58052946
201812,10010000,行,1,100589,101897658
201812,10010000,行,2,60464,61015481
201901,10010000,行,1,90614,91014397
201901,10010000,行,2,53018,53081301
201902,10010000,行,1,84148,82540057
201902,10010000,行,2,48402,48496861
201903,10010000,行,1,96362,97123136
201903,10010000,行,2,57678,56222501
201904,10010000,行,1,94896,99245697
201904,10010000,行,2,56340,57217220
201905,10010000,行,1,88171,92598976
201905,10010000,行,2,51656,52352427
201906,10010000,行,1,89164,88615493
201906,10010000,行,2,52813,53473145
201907,10010000,行,1,100154,101225488
201907,10010000,行,2,58959,60929297
201908,10010000,行,1,90756,90206396
201908,10010000,行,2,54418,53924774
201909,10010000,行,1,89361,86887608
201909,10010000,行,2,52132,49460321
201910,10010000,行,1,96708,94236595
201910,10010000,行,2,56202,54592251
201911,10010000,行,1,94724,95963766
201911,10010000,行,2,57233,57839483
201912,10010000,行,1,96731,100721886
201912,10010000,行,2,57313,59274711
202001,10010000,行,1,103840,103150433
202001,10010000,行,2,59412,60203696
202002,10010000,行,1,84999,80579458
202002,10010000,行,2,48757,47177550
202003,10010000,行,1,91579,75988927
202003,10010000,行,2,51698,41314586
202004,10010000,行,1,81988,59663109
202004,10010000,行,2,44429,33429018
202005,10010000,行,1,89114,66362802
202005,10010000,行,2,49539,38686695
202006,10010000,行,1,92587,78691062
202006,10010000,行,2,52635,44908794
202007,10010000,行,1,99960,89334876
202007,10010000,行,2,59304,54192648
202008,10010000,行,1,101134,88598099
202008,10010000,行,2,61720,56587657
202009,10010000,行,1,97426,86395819
202009,10010000,行,2,57285,50798286
202010,10010000,行,1,110055,95765665
202010,10010000,行,2,66204,58646628
202011,10010000,行,1,101589,89770678
202011,10010000,行,2,61110,54816943
202012,10010000,行,1,104156,94689424
202012,10010000,行,2,61962,56746434
202101,10010000,行,1,102611,100882131
202101,10010000,行,2,59565,55131637
202102,10010000,行,1,99116,107048000
202102,10010000,行,2,53771,59710609
202103,10010000,行,1,105800,115520470
202103,10010000,行,2,62011,66596908
202104,10010000,行,1,108455,124179846
202104,10010000,行,2,66936,73282265
202105,10010000,行,1,90521,107854254
202105,10010000,行,2,51577,59895983
202106,10010000,行,1,64126,81693630
202106,10010000,行,2,31608,40709540
202107,10010000,行,1,77084,101328840
202107,10010000,行,2,40548,53093120
202108,10010000,行,1,89669,111478024
202108,10010000,行,2,48287,60728474
202109,10010000,行,1,101163,119643566
202109,10010000,行,2,54896,66058294
202110,10010000,行,1,110432,132350770
202110,10010000,行,2,62450,72862370
202111,10010000,行,1,105278,129256702
202111,10010000,行,2,62149,73861928
202112,10010000,行,1,106561,127778308
202112,10010000,行,2,63440,73079467
202201,10010000,行,1,100226,123625047
202201,10010000,行,2,57104,69971191
202202,10010000,行,1,100378,117488954
202202,10010000,行,2,57426,64116654
202203,10010000,行,1,107670,134467048
202203,10010000,行,2,64102,77323010
202204,10010000,行,1,100811,124002097
202204,10010000,行,2,57942,67659843
202205,10010000,行,1,85668,105500974
202205,10010000,行,2,48162,56953702
202206,10010000,行,1,93200,113671962
202206,10010000,行,2,52185,63419372
202207,10010000,行,1,106888,130597435
202207,10010000,行,2,63422,74282394
202208,10010000,行,1,107384,133191490
202208,10010000,行,2,65166,77045969
202209,10010000,行,1,103302,124700086
202209,10010000,行,2,62477,73341866
202210,10010000,行,1,111083,127786806
202210,10010000,行,2,68068,76755664
202211,10010000,行,1,106408,125835813
202211,10010000,行,2,65637,72864923
202212,10010000,行,1,111127,137345515
202212,10010000,行,2,68642,81091656
202301,10010000,行,1,117769,134455510
202301,10010000,行,2,71156,79216958
202302,10010000,行,1,102794,120702270
202302,10010000,行,2,63652,72655083
202303,10010000,行,1,111988,130981698
202303,10010000,行,2,69079,78174635
202304,10010000,行,1,115736,132450069
202304,10010000,行,2,71387,77830020
202305,10010000,行,1,112858,132011062
202305,10010000,行,2,70724,80297698
202306,10010000,行,1,112255,131223536
202306,10010000,行,2,69105,78416854
202307,10010000,行,1,115089,137549102
202307,10010000,行,2,71028,81153958
202308,10010000,行,1,113392,138017445
202308,10010000,行,2,70612,84592524
