年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10018000,衣,1,6894,19857751
201401,10018000,衣,2,18098,60887050
201402,10018000,衣,1,4064,11271949
201402,10018000,衣,2,10563,32599401
201403,10018000,衣,1,4162,10948500
201403,10018000,衣,2,11438,34761108
201404,10018000,衣,1,4159,10031016
201404,10018000,衣,2,12106,36229758
201405,10018000,衣,1,5207,12838757
201405,10018000,衣,2,13818,41279055
201406,10018000,衣,1,4882,11392057
201406,10018000,衣,2,13446,36761306
201407,10018000,衣,1,5153,11707342
201407,10018000,衣,2,14252,38620212
201408,10018000,衣,1,5442,12503276
201408,10018000,衣,2,14572,37790666
201409,10018000,衣,1,4565,11628839
201409,10018000,衣,2,12613,35405743
201410,10018000,衣,1,4704,11632112
201410,10018000,衣,2,12901,38597290
201411,10018000,衣,1,4759,13160296
201411,10018000,衣,2,12936,41601300
201412,10018000,衣,1,5003,13569199
201412,10018000,衣,2,13878,46246088
201501,10018000,衣,1,5308,15188570
201501,10018000,衣,2,13754,46749122
201502,10018000,衣,1,6455,17986299
201502,10018000,衣,2,15173,46865047
201503,10018000,衣,1,4555,12281914
201503,10018000,衣,2,11893,34490824
201504,10018000,衣,1,4465,11331715
201504,10018000,衣,2,12045,34049750
201505,10018000,衣,1,4248,11171138
201505,10018000,衣,2,12339,39089576
201506,10018000,衣,1,3604,9983604
201506,10018000,衣,2,11505,34378957
201507,10018000,衣,1,3816,10512575
201507,10018000,衣,2,11885,35033937
201508,10018000,衣,1,4169,11703060
201508,10018000,衣,2,11763,33959646
201509,10018000,衣,1,3540,10302796
201509,10018000,衣,2,10524,33020631
201510,10018000,衣,1,4188,13371445
201510,10018000,衣,2,11262,37869080
201511,10018000,衣,1,4121,12587893
201511,10018000,衣,2,11229,37633647
201512,10018000,衣,1,7575,18713844
201512,10018000,衣,2,20353,54409037
201601,10018000,衣,1,14199,34971939
201601,10018000,衣,2,35465,91463131
201602,10018000,衣,1,13248,32622389
201602,10018000,衣,2,30202,75815184
201603,10018000,衣,1,9600,22591335
201603,10018000,衣,2,25558,60879151
201604,10018000,衣,1,12005,25902986
201604,10018000,衣,2,33786,77301669
201605,10018000,衣,1,12391,27213807
201605,10018000,衣,2,33428,76124744
201606,10018000,衣,1,12328,24361131
201606,10018000,衣,2,35450,78600608
201607,10018000,衣,1,12421,24700576
201607,10018000,衣,2,33379,71022403
201608,10018000,衣,1,11305,23483597
201608,10018000,衣,2,30034,65945099
201609,10018000,衣,1,10706,22411145
201609,10018000,衣,2,26921,59786094
201610,10018000,衣,1,10807,25642925
201610,10018000,衣,2,27862,68800279
201611,10018000,衣,1,10551,27066257
201611,10018000,衣,2,26255,71200318
201612,10018000,衣,1,13622,32570702
201612,10018000,衣,2,34639,89188474
201701,10018000,衣,1,13263,33072602
201701,10018000,衣,2,32341,88587194
201702,10018000,衣,1,9334,22026853
201702,10018000,衣,2,22026,53069688
201703,10018000,衣,1,8883,20277816
201703,10018000,衣,2,25763,61934284
201704,10018000,衣,1,10836,22740360
201704,10018000,衣,2,27799,64813069
201705,10018000,衣,1,11156,23323229
201705,10018000,衣,2,31674,73046578
201706,10018000,衣,1,9808,19972896
201706,10018000,衣,2,28106,63612595
201707,10018000,衣,1,10910,21114360
201707,10018000,衣,2,29123,61248441
201708,10018000,衣,1,9310,19108300
201708,10018000,衣,2,26211,56445526
201709,10018000,衣,1,8762,19061146
201709,10018000,衣,2,23808,54274071
201710,10018000,衣,1,10350,22708749
201710,10018000,衣,2,26715,65231430
201711,10018000,衣,1,9025,23564397
201711,10018000,衣,2,26348,72030487
201712,10018000,衣,1,11602,27492774
201712,10018000,衣,2,30767,81940795
201801,10018000,衣,1,8192,21552191
201801,10018000,衣,2,24488,68279424
201802,10018000,衣,1,10627,29006464
201802,10018000,衣,2,26241,73194560
201803,10018000,衣,1,7849,19086998
201803,10018000,衣,2,24194,60303984
201804,10018000,衣,1,9053,19210541
201804,10018000,衣,2,26203,63652582
201805,10018000,衣,1,9478,21638093
201805,10018000,衣,2,26821,65485944
201806,10018000,衣,1,9915,20274551
201806,10018000,衣,2,28592,67018167
201807,10018000,衣,1,9469,19223991
201807,10018000,衣,2,26940,60417667
201808,10018000,衣,1,8371,17048275
201808,10018000,衣,2,22883,52859287
201809,10018000,衣,1,9006,19884678
201809,10018000,衣,2,25149,58766822
201810,10018000,衣,1,8588,21366943
201810,10018000,衣,2,22308,58062237
201811,10018000,衣,1,8307,20515527
201811,10018000,衣,2,22730,62913128
201812,10018000,衣,1,11638,27039012
201812,10018000,衣,2,31415,81075497
201901,10018000,衣,1,10400,26713551
201901,10018000,衣,2,26625,77000458
201902,10018000,衣,1,8043,20132664
201902,10018000,衣,2,19059,50662057
201903,10018000,衣,1,8283,20670832
201903,10018000,衣,2,24339,67211961
201904,10018000,衣,1,8701,20798289
201904,10018000,衣,2,25808,67393129
201905,10018000,衣,1,8319,18867280
201905,10018000,衣,2,23962,63623279
201906,10018000,衣,1,9886,20630646
201906,10018000,衣,2,27713,64560546
201907,10018000,衣,1,9265,19145907
201907,10018000,衣,2,26354,60074743
201908,10018000,衣,1,9609,20325978
201908,10018000,衣,2,24060,57883101
201909,10018000,衣,1,7973,18083392
201909,10018000,衣,2,20800,50720847
201910,10018000,衣,1,8948,21159630
201910,10018000,衣,2,24840,64023616
201911,10018000,衣,1,9928,24449897
201911,10018000,衣,2,25858,66031133
201912,10018000,衣,1,10978,24400040
201912,10018000,衣,2,28475,73180999
202001,10018000,衣,1,11829,28316836
202001,10018000,衣,2,28607,76109578
202002,10018000,衣,1,7743,18522873
202002,10018000,衣,2,19441,49445994
202003,10018000,衣,1,7381,19522958
202003,10018000,衣,2,19168,51180143
202004,10018000,衣,1,7137,16476083
202004,10018000,衣,2,18655,49696777
202005,10018000,衣,1,10242,21792233
202005,10018000,衣,2,28600,68073831
202006,10018000,衣,1,9262,19101443
202006,10018000,衣,2,26057,59049818
202007,10018000,衣,1,9481,18718616
202007,10018000,衣,2,27222,60705377
202008,10018000,衣,1,9413,20869322
202008,10018000,衣,2,24092,54712938
202009,10018000,衣,1,8318,17910557
202009,10018000,衣,2,22467,54758023
202010,10018000,衣,1,10175,23304861
202010,10018000,衣,2,28788,70817540
202011,10018000,衣,1,9408,21984137
202011,10018000,衣,2,24462,60412488
202012,10018000,衣,1,11622,26426931
202012,10018000,衣,2,32987,83677505
202101,10018000,衣,1,11483,27559565
202101,10018000,衣,2,33318,87871940
202102,10018000,衣,1,9507,22915369
202102,10018000,衣,2,23603,60205893
202103,10018000,衣,1,7265,14685018
202103,10018000,衣,2,19123,45361305
202104,10018000,衣,1,9560,19722111
202104,10018000,衣,2,27244,64298027
202105,10018000,衣,1,6971,15504546
202105,10018000,衣,2,18002,45941076
202106,10018000,衣,1,4071,9910713
202106,10018000,衣,2,9971,25776140
202107,10018000,衣,1,6656,14385649
202107,10018000,衣,2,18724,47905009
202108,10018000,衣,1,10028,19702473
202108,10018000,衣,2,24403,54460260
202109,10018000,衣,1,8665,17432853
202109,10018000,衣,2,22205,52133968
202110,10018000,衣,1,10193,22623507
202110,10018000,衣,2,25618,60522871
202111,10018000,衣,1,9469,21525552
202111,10018000,衣,2,27429,68838955
202112,10018000,衣,1,10866,22765918
202112,10018000,衣,2,28325,70892913
202201,10018000,衣,1,9998,24399606
202201,10018000,衣,2,24669,68105803
202202,10018000,衣,1,7766,19296920
202202,10018000,衣,2,17666,42878803
202203,10018000,衣,1,8145,18797579
202203,10018000,衣,2,21902,52798439
202204,10018000,衣,1,7937,18599184
202204,10018000,衣,2,22048,54537039
