年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10018000,百貨,1,71194,232863661
201401,10018000,百貨,2,173847,538098519
201402,10018000,百貨,1,57529,172318381
201402,10018000,百貨,2,143394,409106697
201403,10018000,百貨,1,54773,154587057
201403,10018000,百貨,2,134927,381382573
201404,10018000,百貨,1,55968,180514365
201404,10018000,百貨,2,147751,496814690
201405,10018000,百貨,1,67024,224592262
201405,10018000,百貨,2,167730,514271103
201406,10018000,百貨,1,66351,189094134
201406,10018000,百貨,2,159171,443696498
201407,10018000,百貨,1,65692,172035709
201407,10018000,百貨,2,169777,436660129
201408,10018000,百貨,1,69042,185072910
201408,10018000,百貨,2,178170,460512342
201409,10018000,百貨,1,54343,151258608
201409,10018000,百貨,2,137602,414021464
201410,10018000,百貨,1,71543,268672804
201410,10018000,百貨,2,195359,744370221
201411,10018000,百貨,1,73086,252256954
201411,10018000,百貨,2,191472,656451663
201412,10018000,百貨,1,115021,429594987
201412,10018000,百貨,2,294908,1039033075
201501,10018000,百貨,1,67996,200272693
201501,10018000,百貨,2,160775,470657814
201502,10018000,百貨,1,77088,253368246
201502,10018000,百貨,2,180811,554368729
201503,10018000,百貨,1,52488,159433729
201503,10018000,百貨,2,134556,415126839
201504,10018000,百貨,1,60155,199092450
201504,10018000,百貨,2,157699,536044023
201505,10018000,百貨,1,72288,237753554
201505,10018000,百貨,2,178316,556008775
201506,10018000,百貨,1,65659,192028908
201506,10018000,百貨,2,166290,472532643
201507,10018000,百貨,1,64005,169264991
201507,10018000,百貨,2,172162,447031746
201508,10018000,百貨,1,69207,190614402
201508,10018000,百貨,2,174725,451231500
201509,10018000,百貨,1,55197,159100271
201509,10018000,百貨,2,140272,430890265
201510,10018000,百貨,1,72302,276713057
201510,10018000,百貨,2,199203,803932252
201511,10018000,百貨,1,64547,222384049
201511,10018000,百貨,2,171442,590026372
201512,10018000,百貨,1,112339,441151280
201512,10018000,百貨,2,296756,1072954690
201601,10018000,百貨,1,73014,224350043
