年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10018000,食,1,150076,243349294
201401,10018000,食,2,196351,321346400
201402,10018000,食,1,125110,160170100
201402,10018000,食,2,154265,197084644
201403,10018000,食,1,142450,187112070
201403,10018000,食,2,182891,245621195
201404,10018000,食,1,132850,179502718
201404,10018000,食,2,173101,235947624
201405,10018000,食,1,151968,205333554
201405,10018000,食,2,190947,265065361
201406,10018000,食,1,154641,200142840
201406,10018000,食,2,194992,258070304
201407,10018000,食,1,165909,216915582
201407,10018000,食,2,219060,287210079
201408,10018000,食,1,171131,234547190
201408,10018000,食,2,225094,307857073
201409,10018000,食,1,156356,210904175
201409,10018000,食,2,203868,282852821
201410,10018000,食,1,152932,204883143
201410,10018000,食,2,199022,267944745
201411,10018000,食,1,155218,218082340
201411,10018000,食,2,197689,283457742
201412,10018000,食,1,173247,250082961
201412,10018000,食,2,225430,328556851
201501,10018000,食,1,162112,240923022
201501,10018000,食,2,203297,311609706
201502,10018000,食,1,153980,251008706
201502,10018000,食,2,193565,325429028
201503,10018000,食,1,148302,208296808
201503,10018000,食,2,185344,265683562
201504,10018000,食,1,150812,208015579
201504,10018000,食,2,187133,266785331
201505,10018000,食,1,171112,238733814
201505,10018000,食,2,209513,299326538
201506,10018000,食,1,163073,214642128
201506,10018000,食,2,204865,278358366
201507,10018000,食,1,172660,227398064
201507,10018000,食,2,223623,300858434
201508,10018000,食,1,190535,258504896
201508,10018000,食,2,243443,346763238
201509,10018000,食,1,169812,236826760
201509,10018000,食,2,214499,314326439
201510,10018000,食,1,167713,227009445
201510,10018000,食,2,209007,283847398
201511,10018000,食,1,165467,236736995
201511,10018000,食,2,206572,303601312
201512,10018000,食,1,186186,276399968
201512,10018000,食,2,234951,348512707
201601,10018000,食,1,277109,443459738
201601,10018000,食,2,322535,519586030
201602,10018000,食,1,242131,374447201
201602,10018000,食,2,279792,433734362
201603,10018000,食,1,236845,327104313
201603,10018000,食,2,281121,384748368
201604,10018000,食,1,243109,336296717
201604,10018000,食,2,279254,388190451
201605,10018000,食,1,260087,355982838
201605,10018000,食,2,298057,409276694
201606,10018000,食,1,268786,361838353
201606,10018000,食,2,310174,413398423
201607,10018000,食,1,282824,387347313
201607,10018000,食,2,329788,450306437
201608,10018000,食,1,241345,342243651
201608,10018000,食,2,301265,420445868
201609,10018000,食,1,264470,371295293
201609,10018000,食,2,306106,438667191
201610,10018000,食,1,273917,363407300
201610,10018000,食,2,316387,420855586
201611,10018000,食,1,209788,223401042
201611,10018000,食,2,241098,229593602
201612,10018000,食,1,229574,255002847
201612,10018000,食,2,262782,261707685
201701,10018000,食,1,227135,303753136
201701,10018000,食,2,252573,311761533
201702,10018000,食,1,198820,218522942
201702,10018000,食,2,215047,217994384
201703,10018000,食,1,203853,216968945
201703,10018000,食,2,234971,225236712
201704,10018000,食,1,210365,224396051
201704,10018000,食,2,235697,237164848
201705,10018000,食,1,213528,235040903
201705,10018000,食,2,240051,246383233
201706,10018000,食,1,215769,224248836
201706,10018000,食,2,248632,240489710
201707,10018000,食,1,242088,254038031
201707,10018000,食,2,279200,272167572
201708,10018000,食,1,230920,255112615
201708,10018000,食,2,278729,288055326
201709,10018000,食,1,222760,245527427
201709,10018000,食,2,258900,271307217
201710,10018000,食,1,236240,252233118
201710,10018000,食,2,265591,266952488
201711,10018000,食,1,217300,229165922
201711,10018000,食,2,257630,247335329
201712,10018000,食,1,243461,270944836
201712,10018000,食,2,284755,288525152
201801,10018000,食,1,218367,254058683
201801,10018000,食,2,249963,267950910
201802,10018000,食,1,229530,298369910
201802,10018000,食,2,254299,309186855
201803,10018000,食,1,216313,220107647
201803,10018000,食,2,246824,234325091
201804,10018000,食,1,262795,305610225
201804,10018000,食,2,288068,333479196
201805,10018000,食,1,326429,404390722
201805,10018000,食,2,357661,461781676
201806,10018000,食,1,341166,409050948
201806,10018000,食,2,370253,462500840
201807,10018000,食,1,359421,434406010
201807,10018000,食,2,399943,505166938
201808,10018000,食,1,344025,425262526
201808,10018000,食,2,391686,513704027
201809,10018000,食,1,350297,447499200
201809,10018000,食,2,382258,530511926
201810,10018000,食,1,301662,372115463
201810,10018000,食,2,328356,440355264
201811,10018000,食,1,328010,420317820
201811,10018000,食,2,362030,486903543
201812,10018000,食,1,375826,486783973
201812,10018000,食,2,409156,558788373
201901,10018000,食,1,338425,483003018
201901,10018000,食,2,369159,572531459
201902,10018000,食,1,279053,374247373
201902,10018000,食,2,288245,412265642
201903,10018000,食,1,341851,412719709
201903,10018000,食,2,367017,471135934
201904,10018000,食,1,309186,379087691
201904,10018000,食,2,332005,438934138
201905,10018000,食,1,322722,400238149
201905,10018000,食,2,346946,452568129
201906,10018000,食,1,327864,400681775
201906,10018000,食,2,349316,460704601
201907,10018000,食,1,393357,472002648
201907,10018000,食,2,439671,570514395
201908,10018000,食,1,394018,463179835
201908,10018000,食,2,440865,554339718
201909,10018000,食,1,331130,412423824
201909,10018000,食,2,354235,480229105
201910,10018000,食,1,341354,388704706
201910,10018000,食,2,363458,455472277
201911,10018000,食,1,349153,427496983
201911,10018000,食,2,377521,500530350
201912,10018000,食,1,360895,461380489
201912,10018000,食,2,389867,531018199
202001,10018000,食,1,366493,531308825
202001,10018000,食,2,391933,619754496
202002,10018000,食,1,333589,405279736
202002,10018000,食,2,353686,477040217
202003,10018000,食,1,366380,457684574
202003,10018000,食,2,395351,551879133
202004,10018000,食,1,368777,424524559
202004,10018000,食,2,387375,495043640
202005,10018000,食,1,417070,494845575
202005,10018000,食,2,432272,565057550
202006,10018000,食,1,398664,462641936
202006,10018000,食,2,421100,539900174
202007,10018000,食,1,435977,487367059
202007,10018000,食,2,464493,556894660
202008,10018000,食,1,447938,518512061
202008,10018000,食,2,476977,600848551
202009,10018000,食,1,416596,485637129
202009,10018000,食,2,441070,560319396
202010,10018000,食,1,434783,497258684
202010,10018000,食,2,447529,561076198
202011,10018000,食,1,433014,509202883
202011,10018000,食,2,456363,577891224
202012,10018000,食,1,439389,527726319
202012,10018000,食,2,462146,598708393
202101,10018000,食,1,481690,652406248
202101,10018000,食,2,498655,741768126
202102,10018000,食,1,180430,168393781
202102,10018000,食,2,172208,159347692
202103,10018000,食,1,169377,140939800
202103,10018000,食,2,152428,127933812
202104,10018000,食,1,196203,163623197
202104,10018000,食,2,181564,151300217
202105,10018000,食,1,162393,113566854
202105,10018000,食,2,149034,117938737
202106,10018000,食,1,120999,54045667
202106,10018000,食,2,109466,65715984
202107,10018000,食,1,136808,64338293
202107,10018000,食,2,126772,76908140
202108,10018000,食,1,185463,119977464
202108,10018000,食,2,178125,128708667
202109,10018000,食,1,197584,143871233
202109,10018000,食,2,185836,143781248
202110,10018000,食,1,225404,169947465
202110,10018000,食,2,217333,163331608
202111,10018000,食,1,208936,167463836
202111,10018000,食,2,202491,159201341
202112,10018000,食,1,233813,208720291
202112,10018000,食,2,235240,203094719
202201,10018000,食,1,189008,174360503
202201,10018000,食,2,176183,163815152
202202,10018000,食,1,176680,148765246
202202,10018000,食,2,162776,136293792
202203,10018000,食,1,206782,163787974
202203,10018000,食,2,195121,149180997
202204,10018000,食,1,186129,139961132
202204,10018000,食,2,170907,128623896
202205,10018000,食,1,184416,126075083
202205,10018000,食,2,166124,117099130
202206,10018000,食,1,200618,141128279
202206,10018000,食,2,188023,131162035
202207,10018000,食,1,235258,180233882
202207,10018000,食,2,226693,174449061
202208,10018000,食,1,230214,191716660
202208,10018000,食,2,224511,187200834
202209,10018000,食,1,216923,172798649
202209,10018000,食,2,203144,159562786
202210,10018000,食,1,236254,184987129
202210,10018000,食,2,221262,169804928
202211,10018000,食,1,234143,181910539
202211,10018000,食,2,220999,167447872
202212,10018000,食,1,259346,229541868
202212,10018000,食,2,255556,213958367
202301,10018000,食,1,247882,237102466
202301,10018000,食,2,231975,219951399
202302,10018000,食,1,234637,195646725
202302,10018000,食,2,212776,173466108
202303,10018000,食,1,258516,191881907
202303,10018000,食,2,231690,171158318
202304,10018000,食,1,264231,207121148
202304,10018000,食,2,235505,185575259
202305,10018000,食,1,280029,214959651
202305,10018000,食,2,247157,191956538
202306,10018000,食,1,283736,212058250
202306,10018000,食,2,252125,193722994
202307,10018000,食,1,305854,230684399
202307,10018000,食,2,274341,209086747
202308,10018000,食,1,301811,230069200
202308,10018000,食,2,273547,220503978
