年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10018000,其他,1,27952,167148270
201401,10018000,其他,2,34750,155272756
201402,10018000,其他,1,21268,123728248
201402,10018000,其他,2,27018,109297390
201403,10018000,其他,1,23784,138317330
201403,10018000,其他,2,31280,131749127
201404,10018000,其他,1,22251,137294361
201404,10018000,其他,2,29652,134894215
201405,10018000,其他,1,23686,145497784
201405,10018000,其他,2,30329,132456637
201406,10018000,其他,1,23446,137975957
201406,10018000,其他,2,31266,130763960
201407,10018000,其他,1,23360,141134793
201407,10018000,其他,2,32534,130652268
201408,10018000,其他,1,22779,128785899
201408,10018000,其他,2,30551,114886954
201409,10018000,其他,1,22302,138305023
201409,10018000,其他,2,29410,123911635
201410,10018000,其他,1,23868,150295207
201410,10018000,其他,2,31070,142254708
201411,10018000,其他,1,22783,143981484
201411,10018000,其他,2,28884,125659973
201412,10018000,其他,1,26102,167579847
201412,10018000,其他,2,33009,150386701
201501,10018000,其他,1,23297,150566464
201501,10018000,其他,2,29596,134146943
201502,10018000,其他,1,20630,130531472
201502,10018000,其他,2,25584,112367890
201503,10018000,其他,1,22492,140427211
201503,10018000,其他,2,28159,120276651
201504,10018000,其他,1,21417,135282134
201504,10018000,其他,2,26870,121233408
201505,10018000,其他,1,22413,137714030
201505,10018000,其他,2,29166,125877582
201506,10018000,其他,1,22790,144662155
201506,10018000,其他,2,29160,125608389
201507,10018000,其他,1,23318,144845429
201507,10018000,其他,2,29930,126651131
201508,10018000,其他,1,23060,134714128
201508,10018000,其他,2,30266,116806935
201509,10018000,其他,1,22084,126707098
201509,10018000,其他,2,28849,118674401
201510,10018000,其他,1,24795,164505080
201510,10018000,其他,2,31419,150882464
201511,10018000,其他,1,22123,144898710
201511,10018000,其他,2,27990,129645324
201512,10018000,其他,1,25795,171461689
201512,10018000,其他,2,32226,148776445
201601,10018000,其他,1,36157,238847079
201601,10018000,其他,2,47094,207706134
201602,10018000,其他,1,30269,192327082
201602,10018000,其他,2,40412,172208372
201603,10018000,其他,1,34704,216962112
201603,10018000,其他,2,44781,187937231
201604,10018000,其他,1,32710,204741258
201604,10018000,其他,2,44193,190765314
201605,10018000,其他,1,36246,214307700
201605,10018000,其他,2,50838,201711674
201606,10018000,其他,1,40852,232485818
201606,10018000,其他,2,59033,208799036
201607,10018000,其他,1,40418,226622053
201607,10018000,其他,2,59972,200898075
201608,10018000,其他,1,41545,224728557
201608,10018000,其他,2,63540,211781231
201609,10018000,其他,1,39080,215580475
201609,10018000,其他,2,57343,203677483
201610,10018000,其他,1,46137,246117076
201610,10018000,其他,2,70773,221406173
201611,10018000,其他,1,42765,233586828
201611,10018000,其他,2,62392,205818714
201612,10018000,其他,1,48848,272984010
201612,10018000,其他,2,71922,249140307
201701,10018000,其他,1,42755,231092420
201701,10018000,其他,2,60655,204586728
201702,10018000,其他,1,39415,202143220
201702,10018000,其他,2,55773,172986520
201703,10018000,其他,1,42955,228598633
201703,10018000,其他,2,59175,192537546
201704,10018000,其他,1,39810,217000925
201704,10018000,其他,2,55577,184617339
201705,10018000,其他,1,42554,235870248
201705,10018000,其他,2,58366,208737670
201706,10018000,其他,1,41674,237812827
201706,10018000,其他,2,56015,188224515
201707,10018000,其他,1,45714,243828303
201707,10018000,其他,2,62340,198330352
201708,10018000,其他,1,45763,236828944
201708,10018000,其他,2,63235,207719411
201709,10018000,其他,1,45743,251689670
201709,10018000,其他,2,61214,213995101
201710,10018000,其他,1,45991,239335721
201710,10018000,其他,2,63001,212225376
201711,10018000,其他,1,46144,264074144
201711,10018000,其他,2,60416,216387102
201712,10018000,其他,1,50246,282644607
201712,10018000,其他,2,67075,226049763
201801,10018000,其他,1,44107,239258734
201801,10018000,其他,2,58537,203228038
201802,10018000,其他,1,40044,205866977
201802,10018000,其他,2,52078,169667591
201803,10018000,其他,1,47094,247923051
201803,10018000,其他,2,62738,212083626
201804,10018000,其他,1,43973,218585751
201804,10018000,其他,2,60323,196948080
201805,10018000,其他,1,49050,247241222
201805,10018000,其他,2,68261,229131315
201806,10018000,其他,1,47127,230940015
201806,10018000,其他,2,64772,203405482
201807,10018000,其他,1,48706,243936365
201807,10018000,其他,2,68505,213407793
201808,10018000,其他,1,46868,223986674
201808,10018000,其他,2,69940,209729887
201809,10018000,其他,1,48188,247293902
201809,10018000,其他,2,67545,216075151
201810,10018000,其他,1,46205,231438729
201810,10018000,其他,2,63906,199888566
201811,10018000,其他,1,49680,253557387
201811,10018000,其他,2,69264,219071485
201812,10018000,其他,1,55953,276310565
201812,10018000,其他,2,80476,237705733
201901,10018000,其他,1,53630,269183059
201901,10018000,其他,2,74081,238725568
201902,10018000,其他,1,37839,169207703
201902,10018000,其他,2,55250,152666343
201903,10018000,其他,1,52568,252850826
201903,10018000,其他,2,75306,232433816
201904,10018000,其他,1,48378,230774993
201904,10018000,其他,2,69756,217874733
201905,10018000,其他,1,50491,233141423
201905,10018000,其他,2,72124,236722408
201906,10018000,其他,1,50032,230743672
201906,10018000,其他,2,71325,219477008
201907,10018000,其他,1,59311,284416017
201907,10018000,其他,2,89094,269469968
201908,10018000,其他,1,58161,270674452
201908,10018000,其他,2,84678,250268271
201909,10018000,其他,1,52927,253971368
201909,10018000,其他,2,76370,238019771
201910,10018000,其他,1,55938,258853715
201910,10018000,其他,2,80523,251897594
201911,10018000,其他,1,57943,263864913
201911,10018000,其他,2,87732,249042631
201912,10018000,其他,1,58332,270767142
201912,10018000,其他,2,84351,236526824
202001,10018000,其他,1,56649,230346176
202001,10018000,其他,2,81741,216879450
202002,10018000,其他,1,56238,240005265
202002,10018000,其他,2,82564,228048235
202003,10018000,其他,1,58626,263328265
202003,10018000,其他,2,81243,231903596
202004,10018000,其他,1,56665,227458546
202004,10018000,其他,2,78397,218741987
202005,10018000,其他,1,56616,229964089
202005,10018000,其他,2,80258,226197923
202006,10018000,其他,1,57119,258348056
202006,10018000,其他,2,78343,238223428
202007,10018000,其他,1,65843,280957434
202007,10018000,其他,2,89968,281415531
202008,10018000,其他,1,66497,260267400
202008,10018000,其他,2,91552,237061973
202009,10018000,其他,1,65655,245915981
202009,10018000,其他,2,90243,232386001
202010,10018000,其他,1,65742,258905705
202010,10018000,其他,2,86646,241879627
202011,10018000,其他,1,66335,267076394
202011,10018000,其他,2,89568,251237492
202012,10018000,其他,1,67637,281721872
202012,10018000,其他,2,87810,252589132
202101,10018000,其他,1,70012,280030599
202101,10018000,其他,2,91657,249888119
202102,10018000,其他,1,29807,93803999
202102,10018000,其他,2,39450,116477796
202103,10018000,其他,1,33644,92782231
202103,10018000,其他,2,42691,117194681
202104,10018000,其他,1,36389,101452399
202104,10018000,其他,2,47814,126067815
202105,10018000,其他,1,36248,101360008
202105,10018000,其他,2,44603,125451086
202106,10018000,其他,1,29908,74373136
202106,10018000,其他,2,36103,94856162
202107,10018000,其他,1,33463,87278657
202107,10018000,其他,2,41845,119847506
202108,10018000,其他,1,35076,97055385
202108,10018000,其他,2,44743,127927745
202109,10018000,其他,1,35830,105631181
202109,10018000,其他,2,43697,128655942
202110,10018000,其他,1,37751,115486484
202110,10018000,其他,2,45157,139138358
202111,10018000,其他,1,37067,116516673
202111,10018000,其他,2,44651,139143062
202112,10018000,其他,1,37399,121199713
202112,10018000,其他,2,46218,149683753
202201,10018000,其他,1,36449,120111494
202201,10018000,其他,2,43373,137779398
202202,10018000,其他,1,28725,80424769
202202,10018000,其他,2,34205,99017567
202203,10018000,其他,1,38370,114422775
202203,10018000,其他,2,45880,143756641
202204,10018000,其他,1,42170,122646488
202204,10018000,其他,2,52157,146592833
202205,10018000,其他,1,43120,104255950
202205,10018000,其他,2,52748,143270458
202206,10018000,其他,1,40083,99971790
202206,10018000,其他,2,47233,133309860
202207,10018000,其他,1,41854,105257738
202207,10018000,其他,2,51989,142753563
202208,10018000,其他,1,45121,125220192
202208,10018000,其他,2,54112,147189649
202209,10018000,其他,1,42838,119940136
202209,10018000,其他,2,51858,147897233
202210,10018000,其他,1,44307,125851164
202210,10018000,其他,2,51573,157000275
202211,10018000,其他,1,44244,130045821
202211,10018000,其他,2,52737,166321197
202212,10018000,其他,1,45925,128480271
202212,10018000,其他,2,54443,164183516
202301,10018000,其他,1,40760,110965466
202301,10018000,其他,2,47625,136008513
202302,10018000,其他,1,41714,111839663
202302,10018000,其他,2,47437,138257671
202303,10018000,其他,1,45055,127091701
202303,10018000,其他,2,52631,161865899
202304,10018000,其他,1,43023,116101592
202304,10018000,其他,2,49706,145735724
202305,10018000,其他,1,48144,141818860
202305,10018000,其他,2,55881,164768403
202306,10018000,其他,1,46403,123936981
202306,10018000,其他,2,54102,158166122
202307,10018000,其他,1,48510,139675020
202307,10018000,其他,2,57770,158096573
202308,10018000,其他,1,48813,126981582
202308,10018000,其他,2,58182,164666691
