年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10004000,衣,1,3077,9000999
201401,10004000,衣,2,11658,41491722
201402,10004000,衣,1,2001,5697030
201402,10004000,衣,2,7362,23651376
201403,10004000,衣,1,2259,5998413
201403,10004000,衣,2,8219,26538569
201404,10004000,衣,1,2337,5962771
201404,10004000,衣,2,8392,27408134
201405,10004000,衣,1,2827,7140673
201405,10004000,衣,2,9706,30594395
201406,10004000,衣,1,2396,6315325
201406,10004000,衣,2,8659,26731568
201407,10004000,衣,1,2492,6428945
201407,10004000,衣,2,8637,25708894
201408,10004000,衣,1,2790,6545297
201408,10004000,衣,2,9447,25751805
201409,10004000,衣,1,2359,6629966
201409,10004000,衣,2,8849,28051839
201410,10004000,衣,1,2494,6577632
201410,10004000,衣,2,8510,26560456
201411,10004000,衣,1,2337,6674873
201411,10004000,衣,2,7958,27798012
201412,10004000,衣,1,2584,6823798
201412,10004000,衣,2,9304,32074871
201501,10004000,衣,1,2309,6706496
201501,10004000,衣,2,8436,30788462
201502,10004000,衣,1,2904,8105455
201502,10004000,衣,2,9518,32077350
201503,10004000,衣,1,2259,5837411
201503,10004000,衣,2,8730,28404256
201504,10004000,衣,1,2204,5577699
201504,10004000,衣,2,7747,25305030
201505,10004000,衣,1,2131,6017047
201505,10004000,衣,2,8048,27585639
201506,10004000,衣,1,1727,5013392
201506,10004000,衣,2,7037,23518220
201507,10004000,衣,1,1638,5003265
201507,10004000,衣,2,7557,24401316
201508,10004000,衣,1,2012,5992542
201508,10004000,衣,2,7241,22576542
201509,10004000,衣,1,1768,5255260
201509,10004000,衣,2,7246,24375613
201510,10004000,衣,1,1966,6410517
201510,10004000,衣,2,7155,26402787
201511,10004000,衣,1,1848,5921519
201511,10004000,衣,2,6628,24273545
201512,10004000,衣,1,2065,6339791
201512,10004000,衣,2,7865,29149652
201601,10004000,衣,1,6277,16060881
201601,10004000,衣,2,16565,54676810
201602,10004000,衣,1,5808,14500594
201602,10004000,衣,2,14386,44032413
201603,10004000,衣,1,4978,11915144
201603,10004000,衣,2,13158,38429352
201604,10004000,衣,1,5626,12685556
201604,10004000,衣,2,15634,43224766
201605,10004000,衣,1,6139,13505080
201605,10004000,衣,2,16695,46185070
201606,10004000,衣,1,5950,12819647
201606,10004000,衣,2,16194,44400373
201607,10004000,衣,1,5886,12749945
201607,10004000,衣,2,15591,40374173
201608,10004000,衣,1,5834,12275607
201608,10004000,衣,2,16158,41075573
201609,10004000,衣,1,5331,12272352
201609,10004000,衣,2,14777,40499164
201610,10004000,衣,1,5687,13612324
201610,10004000,衣,2,14411,42390094
201611,10004000,衣,1,4737,10776894
201611,10004000,衣,2,13821,42746025
201612,10004000,衣,1,5581,13303726
201612,10004000,衣,2,15600,49224732
201701,10004000,衣,1,6093,15450162
201701,10004000,衣,2,16966,54945862
201702,10004000,衣,1,5158,12335930
201702,10004000,衣,2,13402,37164777
201703,10004000,衣,1,4658,10303249
201703,10004000,衣,2,14406,40229488
201704,10004000,衣,1,5601,11833762
201704,10004000,衣,2,15079,41294784
201705,10004000,衣,1,6208,14047508
201705,10004000,衣,2,16806,47439584
201706,10004000,衣,1,4569,9773627
201706,10004000,衣,2,13679,38016133
201707,10004000,衣,1,5476,11350040
201707,10004000,衣,2,15494,42431848
201708,10004000,衣,1,5266,11473106
201708,10004000,衣,2,15255,39833504
201709,10004000,衣,1,4932,10864143
201709,10004000,衣,2,13543,37108904
201710,10004000,衣,1,5694,11987049
201710,10004000,衣,2,14809,41567863
201711,10004000,衣,1,4877,11311660
201711,10004000,衣,2,14315,43004414
201712,10004000,衣,1,5376,11947465
201712,10004000,衣,2,15799,50279838
201801,10004000,衣,1,4335,10100563
201801,10004000,衣,2,13336,43703736
201802,10004000,衣,1,5238,12860579
201802,10004000,衣,2,14177,45599413
201803,10004000,衣,1,4462,9697370
201803,10004000,衣,2,14033,40294974
201804,10004000,衣,1,5220,11185174
201804,10004000,衣,2,14669,40492200
201805,10004000,衣,1,5986,12141480
201805,10004000,衣,2,17561,49374059
201806,10004000,衣,1,5397,10942024
201806,10004000,衣,2,15726,42581001
201807,10004000,衣,1,5351,10970369
201807,10004000,衣,2,16043,42595907
201808,10004000,衣,1,5019,10408364
201808,10004000,衣,2,13454,33808881
201809,10004000,衣,1,5148,10871367
201809,10004000,衣,2,14307,38193861
201810,10004000,衣,1,5091,12984483
201810,10004000,衣,2,13424,40163200
201811,10004000,衣,1,4618,10416719
201811,10004000,衣,2,13395,39434705
201812,10004000,衣,1,5465,12273741
201812,10004000,衣,2,15244,44074514
201901,10004000,衣,1,5853,14596288
201901,10004000,衣,2,17500,55252866
201902,10004000,衣,1,4962,12290594
201902,10004000,衣,2,11788,35041549
201903,10004000,衣,1,5579,13865782
201903,10004000,衣,2,15071,44934476
201904,10004000,衣,1,5752,13532053
201904,10004000,衣,2,15953,45334848
201905,10004000,衣,1,5749,13216589
201905,10004000,衣,2,15679,43626400
201906,10004000,衣,1,5388,11942340
201906,10004000,衣,2,15027,40880812
201907,10004000,衣,1,5680,13226428
201907,10004000,衣,2,15736,42680931
201908,10004000,衣,1,5872,12724813
201908,10004000,衣,2,14828,37358072
201909,10004000,衣,1,5403,12308006
201909,10004000,衣,2,13745,36849955
201910,10004000,衣,1,5529,13829071
201910,10004000,衣,2,14917,44840781
201911,10004000,衣,1,6019,14645699
201911,10004000,衣,2,16549,49971070
201912,10004000,衣,1,6193,13662791
201912,10004000,衣,2,17816,52627769
202001,10004000,衣,1,7049,18061807
202001,10004000,衣,2,18676,59831684
202002,10004000,衣,1,5623,12831505
202002,10004000,衣,2,16657,46089355
202003,10004000,衣,1,5529,12737680
202003,10004000,衣,2,15983,42593202
202004,10004000,衣,1,5395,13353425
202004,10004000,衣,2,16184,48334248
202005,10004000,衣,1,6882,16421223
202005,10004000,衣,2,18485,52414568
202006,10004000,衣,1,5790,12611375
202006,10004000,衣,2,16922,42123890
202007,10004000,衣,1,6115,13376904
202007,10004000,衣,2,17961,48066318
202008,10004000,衣,1,6329,13895907
202008,10004000,衣,2,16327,42808107
202009,10004000,衣,1,5685,11980325
202009,10004000,衣,2,16745,44675049
202010,10004000,衣,1,6530,14623983
202010,10004000,衣,2,17274,46511658
202011,10004000,衣,1,5769,12923661
202011,10004000,衣,2,15272,43708245
202012,10004000,衣,1,6443,14303290
202012,10004000,衣,2,19914,57712718
202101,10004000,衣,1,7039,16423600
202101,10004000,衣,2,20510,60636702
202102,10004000,衣,1,5486,14153789
202102,10004000,衣,2,14502,43209618
202103,10004000,衣,1,4957,10509970
202103,10004000,衣,2,13604,37239121
202104,10004000,衣,1,5867,12805036
202104,10004000,衣,2,16012,44046348
202105,10004000,衣,1,5054,12562497
202105,10004000,衣,2,14291,40538177
202106,10004000,衣,1,3432,8582202
202106,10004000,衣,2,8972,26505174
202107,10004000,衣,1,4906,11629346
202107,10004000,衣,2,14015,39122262
202108,10004000,衣,1,5898,13630670
202108,10004000,衣,2,16170,44992144
202109,10004000,衣,1,5600,13519755
202109,10004000,衣,2,15432,42844238
202110,10004000,衣,1,6107,15378266
