年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10004000,文教康樂,1,8479,40494939
201401,10004000,文教康樂,2,10062,60178356
201402,10004000,文教康樂,1,7984,33998127
201402,10004000,文教康樂,2,8480,43504343
201403,10004000,文教康樂,1,8422,39865701
201403,10004000,文教康樂,2,8657,48358622
201404,10004000,文教康樂,1,8183,40287181
201404,10004000,文教康樂,2,8853,61186496
201405,10004000,文教康樂,1,8528,39714567
201405,10004000,文教康樂,2,9666,57888685
201406,10004000,文教康樂,1,9246,39927504
201406,10004000,文教康樂,2,10371,57213328
201407,10004000,文教康樂,1,9543,42529402
201407,10004000,文教康樂,2,11221,63172745
201408,10004000,文教康樂,1,10320,40734140
201408,10004000,文教康樂,2,11679,59249449
201409,10004000,文教康樂,1,9280,35947470
201409,10004000,文教康樂,2,9968,55470612
201410,10004000,文教康樂,1,9897,41925429
201410,10004000,文教康樂,2,10435,59567980
201411,10004000,文教康樂,1,9949,41648482
201411,10004000,文教康樂,2,9854,56033093
201412,10004000,文教康樂,1,11343,45168796
201412,10004000,文教康樂,2,11441,58688289
201501,10004000,文教康樂,1,10950,46300113
201501,10004000,文教康樂,2,10534,59681533
201502,10004000,文教康樂,1,10095,38819343
201502,10004000,文教康樂,2,10026,50599834
201503,10004000,文教康樂,1,10240,43892695
201503,10004000,文教康樂,2,9750,49851179
201504,10004000,文教康樂,1,10035,44849880
201504,10004000,文教康樂,2,9590,53876517
201505,10004000,文教康樂,1,10076,42943316
201505,10004000,文教康樂,2,10388,60083028
201506,10004000,文教康樂,1,9913,39233895
201506,10004000,文教康樂,2,10335,53502187
201507,10004000,文教康樂,1,10558,42968709
201507,10004000,文教康樂,2,11277,59802817
201508,10004000,文教康樂,1,10536,42452294
201508,10004000,文教康樂,2,11091,56125882
201509,10004000,文教康樂,1,10256,38983743
201509,10004000,文教康樂,2,11338,58606008
201510,10004000,文教康樂,1,9959,41737940
201510,10004000,文教康樂,2,10848,59247610
201511,10004000,文教康樂,1,10557,44777665
201511,10004000,文教康樂,2,10935,56701221
201512,10004000,文教康樂,1,12698,50837299
201512,10004000,文教康樂,2,12861,63504864
201601,10004000,文教康樂,1,35823,120428606
201601,10004000,文教康樂,2,29430,122629776
201602,10004000,文教康樂,1,35038,105327152
201602,10004000,文教康樂,2,27777,95257317
201603,10004000,文教康樂,1,32107,109955493
201603,10004000,文教康樂,2,26004,97951911
201604,10004000,文教康樂,1,32892,108661082
201604,10004000,文教康樂,2,26398,100927533
201605,10004000,文教康樂,1,33871,104890788
201605,10004000,文教康樂,2,28866,109758825
201606,10004000,文教康樂,1,33153,109192334
201606,10004000,文教康樂,2,28807,109741562
201607,10004000,文教康樂,1,35085,111527612
201607,10004000,文教康樂,2,32903,119136928
201608,10004000,文教康樂,1,35630,108441517
201608,10004000,文教康樂,2,33649,112332116
201609,10004000,文教康樂,1,30784,103319173
201609,10004000,文教康樂,2,25245,96717164
201610,10004000,文教康樂,1,34523,116559233
201610,10004000,文教康樂,2,27799,114439653
201611,10004000,文教康樂,1,38711,139269236
201611,10004000,文教康樂,2,34298,133808702
201612,10004000,文教康樂,1,40874,147356551
201612,10004000,文教康樂,2,34033,137358034
201701,10004000,文教康樂,1,36503,118200720
201701,10004000,文教康樂,2,30658,114574216
201702,10004000,文教康樂,1,37143,122001002
201702,10004000,文教康樂,2,32392,111084360
201703,10004000,文教康樂,1,36083,121122070
201703,10004000,文教康樂,2,31928,124009288
201704,10004000,文教康樂,1,36760,123634119
201704,10004000,文教康樂,2,31892,116980386
201705,10004000,文教康樂,1,37491,127681114
201705,10004000,文教康樂,2,34964,133362175
201706,10004000,文教康樂,1,31094,111169614
201706,10004000,文教康樂,2,31308,112855724
201707,10004000,文教康樂,1,35799,119212801
201707,10004000,文教康樂,2,35330,122920713
201708,10004000,文教康樂,1,37425,122091778
201708,10004000,文教康樂,2,37209,126839305
201709,10004000,文教康樂,1,34351,112782238
201709,10004000,文教康樂,2,31921,122818753
201710,10004000,文教康樂,1,37073,122673032
201710,10004000,文教康樂,2,33704,131998586
