年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10004000,住,1,10573,61662390
201401,10004000,住,2,6526,50804745
201402,10004000,住,1,7543,35067075
201402,10004000,住,2,4485,26756863
201403,10004000,住,1,7620,38414522
201403,10004000,住,2,4606,30963681
201404,10004000,住,1,8310,48337024
201404,10004000,住,2,5012,38015989
201405,10004000,住,1,8436,44244666
201405,10004000,住,2,5250,35962231
201406,10004000,住,1,8583,48087597
201406,10004000,住,2,5431,42352237
201407,10004000,住,1,9317,52591687
201407,10004000,住,2,6050,46607666
201408,10004000,住,1,8597,46638921
201408,10004000,住,2,6015,42770120
201409,10004000,住,1,8343,40549131
201409,10004000,住,2,5532,38832190
201410,10004000,住,1,8027,39105481
201410,10004000,住,2,4959,30884004
201411,10004000,住,1,8117,42362729
201411,10004000,住,2,5068,36064287
201412,10004000,住,1,9465,46952178
201412,10004000,住,2,5718,36505476
201501,10004000,住,1,9172,51072416
201501,10004000,住,2,5945,43172331
201502,10004000,住,1,8765,44515279
201502,10004000,住,2,5647,36153167
201503,10004000,住,1,7756,37549910
201503,10004000,住,2,4921,34681136
201504,10004000,住,1,8826,53515757
201504,10004000,住,2,5756,43144927
201505,10004000,住,1,8598,45919191
201505,10004000,住,2,5361,35677638
201506,10004000,住,1,8240,46468816
201506,10004000,住,2,5162,42186112
201507,10004000,住,1,8545,53888667
201507,10004000,住,2,5656,44856844
201508,10004000,住,1,8404,41568713
201508,10004000,住,2,5396,37275690
201509,10004000,住,1,7805,37038443
201509,10004000,住,2,4904,32509845
201510,10004000,住,1,7984,41601569
201510,10004000,住,2,4697,31610113
201511,10004000,住,1,7879,47842948
201511,10004000,住,2,4891,41097870
201512,10004000,住,1,9418,48850309
201512,10004000,住,2,5755,42243474
201601,10004000,住,1,27446,122208700
201601,10004000,住,2,20343,108160773
201602,10004000,住,1,24041,93229479
201602,10004000,住,2,17870,84135975
201603,10004000,住,1,21219,71139163
201603,10004000,住,2,14849,60779646
201604,10004000,住,1,23597,86802459
201604,10004000,住,2,16306,74308583
201605,10004000,住,1,23160,88451847
201605,10004000,住,2,16470,78058232
201606,10004000,住,1,22641,90430203
201606,10004000,住,2,16659,81649028
201607,10004000,住,1,24005,98053759
201607,10004000,住,2,18241,88646331
201608,10004000,住,1,21167,81673365
201608,10004000,住,2,16537,80365679
201609,10004000,住,1,21775,83662654
201609,10004000,住,2,16567,73936976
201610,10004000,住,1,22967,95351143
201610,10004000,住,2,17516,86297379
201611,10004000,住,1,21822,97624177
201611,10004000,住,2,17095,89906645
201612,10004000,住,1,24204,104829791
201612,10004000,住,2,18472,88314286
201701,10004000,住,1,25040,108995829
201701,10004000,住,2,20009,102608678
201702,10004000,住,1,21353,80166652
201702,10004000,住,2,16596,71122896
201703,10004000,住,1,21158,83310276
201703,10004000,住,2,16247,73014872
201704,10004000,住,1,22885,95391882
201704,10004000,住,2,17477,90062261
201705,10004000,住,1,21198,91319531
201705,10004000,住,2,15860,80474132
201706,10004000,住,1,19482,96984173
201706,10004000,住,2,15298,76660757
201707,10004000,住,1,21815,107743546
201707,10004000,住,2,17577,103339073
201708,10004000,住,1,21064,98434779
201708,10004000,住,2,17983,93387577
201709,10004000,住,1,19385,92244289
201709,10004000,住,2,15408,79451024
201710,10004000,住,1,21344,97113981
201710,10004000,住,2,16479,93035778
201711,10004000,住,1,20732,100231025
201711,10004000,住,2,17816,96934835
201712,10004000,住,1,22844,110143151
201712,10004000,住,2,17545,97786113
201801,10004000,住,1,20566,96205205
201801,10004000,住,2,16234,92491149
201802,10004000,住,1,21460,97222803
201802,10004000,住,2,18000,96101867
201803,10004000,住,1,19441,85232825
201803,10004000,住,2,15680,77451225
201804,10004000,住,1,21134,105972962
201804,10004000,住,2,16396,97314861
201805,10004000,住,1,20547,100304123
201805,10004000,住,2,16187,93765865
201806,10004000,住,1,19740,97658739
201806,10004000,住,2,15764,90508634
201807,10004000,住,1,21380,106733007
201807,10004000,住,2,17391,99458082
201808,10004000,住,1,19284,90407768
201808,10004000,住,2,17497,85623058
201809,10004000,住,1,19045,96513696
