年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10015000,百貨,1,5615,17338772
201401,10015000,百貨,2,22902,71356182
201402,10015000,百貨,1,3807,10375322
201402,10015000,百貨,2,16602,46068912
201403,10015000,百貨,1,3266,8849385
201403,10015000,百貨,2,14584,34269916
201404,10015000,百貨,1,4205,15877253
201404,10015000,百貨,2,19399,67503103
201405,10015000,百貨,1,4738,15004595
201405,10015000,百貨,2,20045,54277092
201406,10015000,百貨,1,4771,14392907
201406,10015000,百貨,2,19207,50290011
201407,10015000,百貨,1,4446,10778098
201407,10015000,百貨,2,19322,43148046
201408,10015000,百貨,1,4592,10636216
201408,10015000,百貨,2,20002,44641611
201409,10015000,百貨,1,3444,7296603
201409,10015000,百貨,2,15158,33923861
201410,10015000,百貨,1,7223,32921768
201410,10015000,百貨,2,31404,147411774
201411,10015000,百貨,1,6775,22136403
201411,10015000,百貨,2,26392,79856519
201412,10015000,百貨,1,6237,15892216
201412,10015000,百貨,2,21246,50066898
201501,10015000,百貨,1,5163,16274415
201501,10015000,百貨,2,19571,56887289
201502,10015000,百貨,1,6253,19142421
201502,10015000,百貨,2,22469,66901276
201503,10015000,百貨,1,3455,8914971
201503,10015000,百貨,2,14696,38599640
201504,10015000,百貨,1,4950,15295754
201504,10015000,百貨,2,22189,72862332
201505,10015000,百貨,1,6175,15945970
201505,10015000,百貨,2,24526,60673906
201506,10015000,百貨,1,5745,15044401
201506,10015000,百貨,2,22441,54462169
201507,10015000,百貨,1,5267,11855166
201507,10015000,百貨,2,22069,47725068
201508,10015000,百貨,1,5104,11032699
201508,10015000,百貨,2,20318,42653194
201509,10015000,百貨,1,4107,8937488
201509,10015000,百貨,2,16324,32317115
201510,10015000,百貨,1,8587,36664886
201510,10015000,百貨,2,37466,164632784
201511,10015000,百貨,1,6818,21119275
201511,10015000,百貨,2,27035,76040197
201512,10015000,百貨,1,5713,12889145
201512,10015000,百貨,2,20895,44912173
201601,10015000,百貨,1,6621,17705746
201601,10015000,百貨,2,24602,62416001
201602,10015000,百貨,1,6368,18115662
201602,10015000,百貨,2,23309,60137531
201603,10015000,百貨,1,3586,8440630
201603,10015000,百貨,2,14866,33774927
201604,10015000,百貨,1,5068,16521367
201604,10015000,百貨,2,21133,71760695
201605,10015000,百貨,1,5975,14465659
201605,10015000,百貨,2,23328,55122950
201606,10015000,百貨,1,6504,17371537
201606,10015000,百貨,2,25062,60836994
201607,10015000,百貨,1,5765,13523886
201607,10015000,百貨,2,22545,47065877
201608,10015000,百貨,1,5547,11950261
201608,10015000,百貨,2,22531,48979838
201609,10015000,百貨,1,4237,8317642
201609,10015000,百貨,2,16117,32929026
201610,10015000,百貨,1,7344,28647414
201610,10015000,百貨,2,29608,133911068
201611,10015000,百貨,1,7699,23525086
201611,10015000,百貨,2,29330,81442430
201612,10015000,百貨,1,6360,15980698
201612,10015000,百貨,2,22927,52047359
201701,10015000,百貨,1,7188,18998151
201701,10015000,百貨,2,25411,64428363
201702,10015000,百貨,1,4591,11679381
201702,10015000,百貨,2,17171,43333291
201703,10015000,百貨,1,3872,8902802
201703,10015000,百貨,2,15363,39496149
201704,10015000,百貨,1,5233,16547122
201704,10015000,百貨,2,21168,69056443
201705,10015000,百貨,1,5906,16502505
201705,10015000,百貨,2,22266,54449873
201706,10015000,百貨,1,5503,11053880
201706,10015000,百貨,2,20409,44863813
201707,10015000,百貨,1,6018,14459001
201707,10015000,百貨,2,22718,51017262
201708,10015000,百貨,1,5723,11918036
201708,10015000,百貨,2,22026,42693821
201709,10015000,百貨,1,5088,10402542
