年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10015000,食,1,49937,73968470
201401,10015000,食,2,69835,88442810
201402,10015000,食,1,40479,46195789
201402,10015000,食,2,58842,60073666
201403,10015000,食,1,43218,46067896
201403,10015000,食,2,61490,58767386
201404,10015000,食,1,41813,44620296
201404,10015000,食,2,59416,56332576
201405,10015000,食,1,46299,53111730
201405,10015000,食,2,64949,64290195
201406,10015000,食,1,47589,51486287
201406,10015000,食,2,65878,64389019
201407,10015000,食,1,57426,63283981
201407,10015000,食,2,83415,84055654
201408,10015000,食,1,61748,74548435
201408,10015000,食,2,92209,99789901
201409,10015000,食,1,47666,51185985
201409,10015000,食,2,68134,67705826
201410,10015000,食,1,47484,49504294
201410,10015000,食,2,67763,64027071
201411,10015000,食,1,44350,45488362
201411,10015000,食,2,61904,57994785
201412,10015000,食,1,46813,50778287
201412,10015000,食,2,66087,65827364
201501,10015000,食,1,50240,60510749
201501,10015000,食,2,69310,73026128
201502,10015000,食,1,53693,73350870
201502,10015000,食,2,78104,94030831
201503,10015000,食,1,41148,44759168
201503,10015000,食,2,58340,56198942
201504,10015000,食,1,44666,47204531
201504,10015000,食,2,65013,62819151
201505,10015000,食,1,48674,52058847
201505,10015000,食,2,69561,67735514
201506,10015000,食,1,49927,52250956
201506,10015000,食,2,70017,66581965
201507,10015000,食,1,57894,61601495
201507,10015000,食,2,83998,79517865
201508,10015000,食,1,62667,71875040
201508,10015000,食,2,92773,95654808
201509,10015000,食,1,53009,58645790
201509,10015000,食,2,74545,77277839
201510,10015000,食,1,50880,52188765
201510,10015000,食,2,72229,67280446
201511,10015000,食,1,48110,48973709
201511,10015000,食,2,68213,62289921
201512,10015000,食,1,48934,52037147
201512,10015000,食,2,68095,63834342
201601,10015000,食,1,52551,67422921
201601,10015000,食,2,74237,83054776
201602,10015000,食,1,54304,66001842
201602,10015000,食,2,77765,85748213
201603,10015000,食,1,42264,42218820
201603,10015000,食,2,59058,53807826
201604,10015000,食,1,46259,46428232
201604,10015000,食,2,65660,62059169
201605,10015000,食,1,48441,50826821
201605,10015000,食,2,66188,62973843
201606,10015000,食,1,53290,54323908
201606,10015000,食,2,73728,70379615
201607,10015000,食,1,59932,61737664
201607,10015000,食,2,84291,80523182
201608,10015000,食,1,60655,68253126
201608,10015000,食,2,86682,90489796
201609,10015000,食,1,47739,51570900
201609,10015000,食,2,66754,67753454
201610,10015000,食,1,48732,48898131
201610,10015000,食,2,67802,62438768
201611,10015000,食,1,48126,47915305
201611,10015000,食,2,65867,58469873
201612,10015000,食,1,50960,54203774
201612,10015000,食,2,68992,66232683
201701,10015000,食,1,58414,79835285
201701,10015000,食,2,79971,98662581
201702,10015000,食,1,46731,48085548
201702,10015000,食,2,64477,61160290
201703,10015000,食,1,45321,45378557
201703,10015000,食,2,62090,58700703
201704,10015000,食,1,51134,51297131
201704,10015000,食,2,72093,70389927
201705,10015000,食,1,51910,54307824
201705,10015000,食,2,71975,73199240
201706,10015000,食,1,45421,45890520
201706,10015000,食,2,63066,62560983
201707,10015000,食,1,59740,61089161
201707,10015000,食,2,83914,82221000
201708,10015000,食,1,62440,68517656
201708,10015000,食,2,89356,91706939
201709,10015000,食,1,50366,56806056
201709,10015000,食,2,70895,77957162
201710,10015000,食,1,54315,58041827
201710,10015000,食,2,75066,73605850
201711,10015000,食,1,47498,47708771
201711,10015000,食,2,66681,63274587
201712,10015000,食,1,50646,52193863
201712,10015000,食,2,71384,70005387
201801,10015000,食,1,42688,49915862
201801,10015000,食,2,60037,63025021
201802,10015000,食,1,49862,66125700
201802,10015000,食,2,69648,84971101
201803,10015000,食,1,43604,41877806
201803,10015000,食,2,60054,56027017
201804,10015000,食,1,59449,57521659
201804,10015000,食,2,79678,73702914
201805,10015000,食,1,57876,55977508
201805,10015000,食,2,74227,70250285
201806,10015000,食,1,61760,59011676
201806,10015000,食,2,79784,74586331
201807,10015000,食,1,73092,70394536
201807,10015000,食,2,96880,87908841
201808,10015000,食,1,74198,76994551
201808,10015000,食,2,100566,99609194
201809,10015000,食,1,62848,59801277
201809,10015000,食,2,82414,79706222
201810,10015000,食,1,51813,47974092
201810,10015000,食,2,65995,58168466
201811,10015000,食,1,56072,50588552
201811,10015000,食,2,73370,63449874
201812,10015000,食,1,70133,66312723
201812,10015000,食,2,92282,83519605
201901,10015000,食,1,60769,72666815
201901,10015000,食,2,78371,86379457
201902,10015000,食,1,56770,57993445
201902,10015000,食,2,73543,74764376
201903,10015000,食,1,61090,53636587
201903,10015000,食,2,81266,68864911
201904,10015000,食,1,59399,53993297
201904,10015000,食,2,75979,67609168
201905,10015000,食,1,57105,51236832
201905,10015000,食,2,70320,62993544
201906,10015000,食,1,62870,56032113
201906,10015000,食,2,78718,67043620
201907,10015000,食,1,79003,68881783
201907,10015000,食,2,102152,86555333
201908,10015000,食,1,79273,75097275
201908,10015000,食,2,104213,98898386
201909,10015000,食,1,65232,55000284
201909,10015000,食,2,83181,71492743
201910,10015000,食,1,71182,57936797
201910,10015000,食,2,88967,71511286
201911,10015000,食,1,69272,55733473
201911,10015000,食,2,87511,70184986
201912,10015000,食,1,70177,61456284
201912,10015000,食,2,87776,74935861
202001,10015000,食,1,88707,93732335
202001,10015000,食,2,114100,117982139
202002,10015000,食,1,76972,62246576
202002,10015000,食,2,99324,81369170
202003,10015000,食,1,80266,63400489
202003,10015000,食,2,104763,85134402
202004,10015000,食,1,79858,60349373
202004,10015000,食,2,103928,81113409
202005,10015000,食,1,82726,67799619
202005,10015000,食,2,103592,85513668
202006,10015000,食,1,92040,74712575
202006,10015000,食,2,116093,96922974
202007,10015000,食,1,108912,87700705
202007,10015000,食,2,141440,115640229
202008,10015000,食,1,116761,99649146
202008,10015000,食,2,153846,133478502
202009,10015000,食,1,96041,79535676
202009,10015000,食,2,122377,104543075
202010,10015000,食,1,106342,83175811
202010,10015000,食,2,134944,107551121
202011,10015000,食,1,92116,72186097
202011,10015000,食,2,114938,91488760
202012,10015000,食,1,88639,70091215
202012,10015000,食,2,109825,88202526
202101,10015000,食,1,101286,92575952
202101,10015000,食,2,127245,117760688
202102,10015000,食,1,48105,46506309
202102,10015000,食,2,57490,58134039
202103,10015000,食,1,35910,30602605
202103,10015000,食,2,42881,38724330
202104,10015000,食,1,44326,39322937
202104,10015000,食,2,51871,49428232
202105,10015000,食,1,34362,27490665
202105,10015000,食,2,38287,37941606
202106,10015000,食,1,19732,11452444
202106,10015000,食,2,22112,17174654
202107,10015000,食,1,27299,16584193
202107,10015000,食,2,29300,23904970
202108,10015000,食,1,45515,36662042
202108,10015000,食,2,52350,47456626
202109,10015000,食,1,45876,38853493
202109,10015000,食,2,52151,49633760
202110,10015000,食,1,49065,40979129
202110,10015000,食,2,56190,51107691
202111,10015000,食,1,47662,45650323
202111,10015000,食,2,56065,52178353
202112,10015000,食,1,49619,47417464
202112,10015000,食,2,57945,57394419
202201,10015000,食,1,49912,50498430
202201,10015000,食,2,58317,61911068
202202,10015000,食,1,48558,46061938
202202,10015000,食,2,56940,58002412
202203,10015000,食,1,47860,41431172
202203,10015000,食,2,56386,52952988
202204,10015000,食,1,46350,39218943
202204,10015000,食,2,51508,48108936
202205,10015000,食,1,36746,27671205
202205,10015000,食,2,39463,34842466
202206,10015000,食,1,48622,37423648
202206,10015000,食,2,53220,45246617
202207,10015000,食,1,73061,64901576
202207,10015000,食,2,85959,80916806
202208,10015000,食,1,73217,65582937
202208,10015000,食,2,87286,85265615
202209,10015000,食,1,55066,48139348
202209,10015000,食,2,64044,61815521
202210,10015000,食,1,54155,47498496
202210,10015000,食,2,63372,61916888
202211,10015000,食,1,50816,46271788
202211,10015000,食,2,58924,56713894
202212,10015000,食,1,55133,51106955
202212,10015000,食,2,63057,63519480
202301,10015000,食,1,64028,65044131
202301,10015000,食,2,73727,81397730
202302,10015000,食,1,51282,43917686
202302,10015000,食,2,57478,58314833
202303,10015000,食,1,52548,41032678
202303,10015000,食,2,58805,58921150
202304,10015000,食,1,64242,53671055
202304,10015000,食,2,71532,70730611
202305,10015000,食,1,57834,47281267
202305,10015000,食,2,63739,65153822
202306,10015000,食,1,65895,54000160
202306,10015000,食,2,70579,68613837
202307,10015000,食,1,75629,62630283
202307,10015000,食,2,82690,82418173
202308,10015000,食,1,77368,63924353
202308,10015000,食,2,85210,85191059
