年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10015000,其他,1,12506,69817386
201401,10015000,其他,2,20240,93426057
201402,10015000,其他,1,9416,50159196
201402,10015000,其他,2,16354,68600967
201403,10015000,其他,1,10259,56634023
201403,10015000,其他,2,17901,75498735
201404,10015000,其他,1,9655,52475119
201404,10015000,其他,2,16633,73049740
201405,10015000,其他,1,10668,59378442
201405,10015000,其他,2,18369,78964023
201406,10015000,其他,1,10640,53808012
201406,10015000,其他,2,17535,70394725
201407,10015000,其他,1,10948,58395153
201407,10015000,其他,2,18395,76206989
201408,10015000,其他,1,10572,52865392
201408,10015000,其他,2,18915,75506054
201409,10015000,其他,1,10191,51977177
201409,10015000,其他,2,17681,74336710
201410,10015000,其他,1,11124,58330401
201410,10015000,其他,2,18601,77614405
201411,10015000,其他,1,10082,55795291
201411,10015000,其他,2,16909,74038189
201412,10015000,其他,1,11387,65411580
201412,10015000,其他,2,18558,86624707
201501,10015000,其他,1,11120,64198394
201501,10015000,其他,2,18451,83358086
201502,10015000,其他,1,9993,55555295
201502,10015000,其他,2,16887,75172359
201503,10015000,其他,1,10026,55244592
201503,10015000,其他,2,17166,73843981
201504,10015000,其他,1,10206,55377058
201504,10015000,其他,2,17154,78968289
201505,10015000,其他,1,10468,59377145
201505,10015000,其他,2,17895,80934406
201506,10015000,其他,1,11086,59832450
201506,10015000,其他,2,18649,83517403
201507,10015000,其他,1,11673,61729497
201507,10015000,其他,2,19508,81700563
201508,10015000,其他,1,11195,58060763
201508,10015000,其他,2,18973,77830462
201509,10015000,其他,1,10789,55314858
201509,10015000,其他,2,18275,72464099
201510,10015000,其他,1,12233,71190856
201510,10015000,其他,2,20138,90209830
201511,10015000,其他,1,11504,67149800
201511,10015000,其他,2,18876,85153938
201512,10015000,其他,1,12277,68527037
201512,10015000,其他,2,20861,94065234
201601,10015000,其他,1,11578,69411537
201601,10015000,其他,2,17922,91829640
201602,10015000,其他,1,10349,59304089
201602,10015000,其他,2,16336,82296868
201603,10015000,其他,1,10918,62384968
201603,10015000,其他,2,16790,78808451
201604,10015000,其他,1,10290,59748695
201604,10015000,其他,2,16212,79315279
201605,10015000,其他,1,11323,63879713
201605,10015000,其他,2,18030,84988432
201606,10015000,其他,1,13350,65666432
201606,10015000,其他,2,22113,88733520
201607,10015000,其他,1,12844,64017818
201607,10015000,其他,2,21951,87354276
201608,10015000,其他,1,13451,65971488
201608,10015000,其他,2,23093,89059979
201609,10015000,其他,1,11776,66283044
201609,10015000,其他,2,20380,81981349
201610,10015000,其他,1,14090,69115138
201610,10015000,其他,2,24093,95325952
201611,10015000,其他,1,13755,69686589
201611,10015000,其他,2,23110,93138606
201612,10015000,其他,1,14907,78441268
201612,10015000,其他,2,25216,104629742
201701,10015000,其他,1,12802,69667639
201701,10015000,其他,2,22126,92139412
201702,10015000,其他,1,11565,56356244
201702,10015000,其他,2,19708,76717379
201703,10015000,其他,1,12714,65850572
201703,10015000,其他,2,20151,80097087
201704,10015000,其他,1,12384,63591529
201704,10015000,其他,2,20330,83958701
201705,10015000,其他,1,12920,66477611
201705,10015000,其他,2,20823,83513907
201706,10015000,其他,1,12841,63242418
201706,10015000,其他,2,20646,78083676
201707,10015000,其他,1,13147,61845735
201707,10015000,其他,2,22056,81828373
201708,10015000,其他,1,13886,66674849
201708,10015000,其他,2,23184,83554281
201709,10015000,其他,1,13640,65656230
201709,10015000,其他,2,25095,88695446
201710,10015000,其他,1,13449,66857556
201710,10015000,其他,2,22527,82340549
201711,10015000,其他,1,13560,75877878
201711,10015000,其他,2,22002,95488802
201712,10015000,其他,1,14403,80970036
201712,10015000,其他,2,23941,102968369
201801,10015000,其他,1,13430,72098822
201801,10015000,其他,2,21644,86221604
201802,10015000,其他,1,11791,58270078
201802,10015000,其他,2,19642,79226484
201803,10015000,其他,1,13303,66590311
201803,10015000,其他,2,22964,90637954
201804,10015000,其他,1,13013,62888767
201804,10015000,其他,2,21726,83990583
201805,10015000,其他,1,14117,69353524
201805,10015000,其他,2,23864,100229625
201806,10015000,其他,1,13514,66749112
201806,10015000,其他,2,22823,86886974
201807,10015000,其他,1,13811,66046570
201807,10015000,其他,2,24110,87925427
201808,10015000,其他,1,13256,62744563
201808,10015000,其他,2,22823,83534559
201809,10015000,其他,1,13067,68766949
201809,10015000,其他,2,22692,89226629
201810,10015000,其他,1,11915,57609791
201810,10015000,其他,2,21019,82738607
201811,10015000,其他,1,13543,68130434
201811,10015000,其他,2,24216,95449956
201812,10015000,其他,1,15781,80738338
201812,10015000,其他,2,27401,106351808
201901,10015000,其他,1,14406,77399864
201901,10015000,其他,2,25122,106147229
201902,10015000,其他,1,10678,48370178
201902,10015000,其他,2,19374,70449833
201903,10015000,其他,1,14453,70659867
201903,10015000,其他,2,25671,95997077
201904,10015000,其他,1,14391,70366870
201904,10015000,其他,2,25224,99730055
201905,10015000,其他,1,13811,70036744
201905,10015000,其他,2,24130,99975209
201906,10015000,其他,1,14151,67562921
201906,10015000,其他,2,24479,94828898
201907,10015000,其他,1,17741,78215995
201907,10015000,其他,2,31509,119368838
201908,10015000,其他,1,18948,78921222
201908,10015000,其他,2,32200,107155459
201909,10015000,其他,1,15734,69428758
201909,10015000,其他,2,26644,90238100
201910,10015000,其他,1,17825,80649169
201910,10015000,其他,2,30021,99805502
201911,10015000,其他,1,17297,61818974
201911,10015000,其他,2,28825,87905261
201912,10015000,其他,1,17237,63638174
201912,10015000,其他,2,29251,84909876
202001,10015000,其他,1,17855,65185624
202001,10015000,其他,2,30922,88542609
202002,10015000,其他,1,17171,64213438
202002,10015000,其他,2,30592,87706493
202003,10015000,其他,1,17650,62331393
202003,10015000,其他,2,30013,84729873
