年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10015000,行,1,60942,76199096
201401,10015000,行,2,44274,48982598
201402,10015000,行,1,66856,81032682
201402,10015000,行,2,44457,49012669
201403,10015000,行,1,63349,74403532
201403,10015000,行,2,46582,50115681
201404,10015000,行,1,61477,72987252
201404,10015000,行,2,44497,47395295
201405,10015000,行,1,63357,75733269
201405,10015000,行,2,47185,50422592
201406,10015000,行,1,68963,84032599
201406,10015000,行,2,49258,54719294
201407,10015000,行,1,81393,99754097
201407,10015000,行,2,54291,60541303
201408,10015000,行,1,88959,106903246
201408,10015000,行,2,58290,64765443
201409,10015000,行,1,68826,78831467
201409,10015000,行,2,47331,49380405
201410,10015000,行,1,69897,78002986
201410,10015000,行,2,48699,49149454
201411,10015000,行,1,61157,66143060
201411,10015000,行,2,43858,44094573
201412,10015000,行,1,62046,63754653
201412,10015000,行,2,44463,41611376
201501,10015000,行,1,66307,63080410
201501,10015000,行,2,45513,41334824
201502,10015000,行,1,72600,67966118
201502,10015000,行,2,44920,40705330
201503,10015000,行,1,60764,56058230
201503,10015000,行,2,44005,38514707
201504,10015000,行,1,65093,61002549
201504,10015000,行,2,44985,39765819
201505,10015000,行,1,63398,60783113
201505,10015000,行,2,45826,41826628
201506,10015000,行,1,70040,69334007
201506,10015000,行,2,49043,45151484
201507,10015000,行,1,80152,79450866
201507,10015000,行,2,53548,50174560
201508,10015000,行,1,74744,69921371
201508,10015000,行,2,50116,43608544
201509,10015000,行,1,69113,64029811
201509,10015000,行,2,47469,41363241
201510,10015000,行,1,67998,61734490
201510,10015000,行,2,46516,40926740
201511,10015000,行,1,63521,57853661
201511,10015000,行,2,45663,39488597
201512,10015000,行,1,61599,54669770
201512,10015000,行,2,44286,36136258
201601,10015000,行,1,46413,43765943
201601,10015000,行,2,32885,30491269
201602,10015000,行,1,51780,44708942
201602,10015000,行,2,32141,27539209
201603,10015000,行,1,42082,39882262
201603,10015000,行,2,31502,28177389
201604,10015000,行,1,46569,43441063
201604,10015000,行,2,33111,30096445
201605,10015000,行,1,46566,44400368
201605,10015000,行,2,33831,30011139
201606,10015000,行,1,54506,55293939
201606,10015000,行,2,37872,36632579
201607,10015000,行,1,56379,58091607
201607,10015000,行,2,37979,37705873
201608,10015000,行,1,65126,61320419
201608,10015000,行,2,43088,40305912
201609,10015000,行,1,47248,43665554
201609,10015000,行,2,32969,30830939
201610,10015000,行,1,50179,47934787
201610,10015000,行,2,35497,31845034
201611,10015000,行,1,54815,51449154
201611,10015000,行,2,38732,34805494
201612,10015000,行,1,56787,55625016
201612,10015000,行,2,39846,38338906
201701,10015000,行,1,53736,54121233
201701,10015000,行,2,36588,36460157
201702,10015000,行,1,49587,51461432
201702,10015000,行,2,33539,31800866
201703,10015000,行,1,49509,49569602
201703,10015000,行,2,35892,34107633
201704,10015000,行,1,57705,54309030
201704,10015000,行,2,39603,36131861
201705,10015000,行,1,53621,50661114
201705,10015000,行,2,37618,33475601
201706,10015000,行,1,43307,46478440
201706,10015000,行,2,32660,32135274
201707,10015000,行,1,53274,53382714
201707,10015000,行,2,37127,36811395
201708,10015000,行,1,57326,58127295
201708,10015000,行,2,39626,39442007
201709,10015000,行,1,48367,51819584
201709,10015000,行,2,35492,33709340
201710,10015000,行,1,51332,50912760
201710,10015000,行,2,36314,33999400
201711,10015000,行,1,46787,50629139
201711,10015000,行,2,34539,35706156
201712,10015000,行,1,48931,53034658
201712,10015000,行,2,36364,37701040
201801,10015000,行,1,43333,47194533
201801,10015000,行,2,32637,33811336
201802,10015000,行,1,42150,45913931
201802,10015000,行,2,30133,29583141
201803,10015000,行,1,45811,49488159
201803,10015000,行,2,34994,33366631
201804,10015000,行,1,54705,56099939
201804,10015000,行,2,38640,38797779
201805,10015000,行,1,50423,56071984
201805,10015000,行,2,37612,39554676
201806,10015000,行,1,52378,55815939
201806,10015000,行,2,38790,42465975
201807,10015000,行,1,61011,67443372
201807,10015000,行,2,43307,44205138
201808,10015000,行,1,60175,67012157
201808,10015000,行,2,40986,42336848
201809,10015000,行,1,52223,60960203
201809,10015000,行,2,37793,41641612
201810,10015000,行,1,44760,50841520
201810,10015000,行,2,32073,33639802
201811,10015000,行,1,49627,54105790
201811,10015000,行,2,38377,37029458
201812,10015000,行,1,55787,60664409
201812,10015000,行,2,40907,39901440
201901,10015000,行,1,48239,52622126
201901,10015000,行,2,35518,36396892
201902,10015000,行,1,50333,51067198
201902,10015000,行,2,32935,33861611
201903,10015000,行,1,51532,56291835
201903,10015000,行,2,38363,37329131
201904,10015000,行,1,50677,55256449
201904,10015000,行,2,36860,37922967
201905,10015000,行,1,43628,50011702
201905,10015000,行,2,31046,36846518
201906,10015000,行,1,46438,51382350
201906,10015000,行,2,33159,37209088
201907,10015000,行,1,56557,62251804
201907,10015000,行,2,37919,39468022
201908,10015000,行,1,56062,58625778
201908,10015000,行,2,38261,39227498
201909,10015000,行,1,46602,45649462
201909,10015000,行,2,32333,30360862
201910,10015000,行,1,51334,51200443
201910,10015000,行,2,35078,36177008
201911,10015000,行,1,47461,49368129
201911,10015000,行,2,35219,35679412
201912,10015000,行,1,47626,51215775
201912,10015000,行,2,34942,34043728
202001,10015000,行,1,56375,60722162
202001,10015000,行,2,37305,38850639
202002,10015000,行,1,50778,47696408
202002,10015000,行,2,34376,34942858
202003,10015000,行,1,49849,45069483
202003,10015000,行,2,34835,29035321
202004,10015000,行,1,46280,35324560
202004,10015000,行,2,31501,25431548
202005,10015000,行,1,48815,40154213
202005,10015000,行,2,32235,26132938
202006,10015000,行,1,55220,49720126
202006,10015000,行,2,36230,32470577
202007,10015000,行,1,69524,64826463
202007,10015000,行,2,46039,43973428
202008,10015000,行,1,73397,71278119
202008,10015000,行,2,47984,44930304
202009,10015000,行,1,56294,52855056
202009,10015000,行,2,40015,36458578
202010,10015000,行,1,68966,60398002
202010,10015000,行,2,45987,39803132
202011,10015000,行,1,57973,52900704
202011,10015000,行,2,40390,34678306
202012,10015000,行,1,54830,51946718
202012,10015000,行,2,35402,31568235
202101,10015000,行,1,60910,62332511
202101,10015000,行,2,41077,39137802
202102,10015000,行,1,65610,80999416
202102,10015000,行,2,41342,51503839
202103,10015000,行,1,60575,81138223
202103,10015000,行,2,43364,54125213
202104,10015000,行,1,65743,84495258
202104,10015000,行,2,46483,56393090
202105,10015000,行,1,54795,72840002
202105,10015000,行,2,36330,46369278
202106,10015000,行,1,39324,59551660
202106,10015000,行,2,25427,37931685
202107,10015000,行,1,51103,74857014
202107,10015000,行,2,34120,50404424
202108,10015000,行,1,68565,95374523
202108,10015000,行,2,44263,61045691
202109,10015000,行,1,67372,89113214
202109,10015000,行,2,44156,60333403
202110,10015000,行,1,69228,94574418
202110,10015000,行,2,46359,63899908
202111,10015000,行,1,63340,90008656
202111,10015000,行,2,45335,65086350
202112,10015000,行,1,65679,94203771
202112,10015000,行,2,46295,64689091
202201,10015000,行,1,63442,102407707
202201,10015000,行,2,43264,68347986
202202,10015000,行,1,64925,91006453
202202,10015000,行,2,42246,62677633
202203,10015000,行,1,63411,99303389
202203,10015000,行,2,45448,71915209
202204,10015000,行,1,58532,85681807
202204,10015000,行,2,38352,70699026
202205,10015000,行,1,51948,101282079
202205,10015000,行,2,35432,60902463
202206,10015000,行,1,63880,102856756
202206,10015000,行,2,42610,78275553
202207,10015000,行,1,79984,126407600
202207,10015000,行,2,51855,91036510
202208,10015000,行,1,80536,117880277
202208,10015000,行,2,53414,78218052
202209,10015000,行,1,62963,93712086
202209,10015000,行,2,41806,66243344
202210,10015000,行,1,62152,91740159
202210,10015000,行,2,43249,63839559
202211,10015000,行,1,59563,92201351
202211,10015000,行,2,43945,69638662
202212,10015000,行,1,63541,107872171
202212,10015000,行,2,45932,76051408
202301,10015000,行,1,69149,99504130
202301,10015000,行,2,45648,65383678
202302,10015000,行,1,57591,88980013
202302,10015000,行,2,39846,60865945
202303,10015000,行,1,60999,101640946
202303,10015000,行,2,44999,79220472
202304,10015000,行,1,66356,98598355
202304,10015000,行,2,45989,69035508
202305,10015000,行,1,61704,94888670
202305,10015000,行,2,45644,77460274
202306,10015000,行,1,67775,113399007
202306,10015000,行,2,47720,80757460
202307,10015000,行,1,72189,118389752
202307,10015000,行,2,49391,85839499
202308,10015000,行,1,73703,117323161
202308,10015000,行,2,51056,86108194
