年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,64000000,文教康樂,1,108024,640122049
201401,64000000,文教康樂,2,148767,816909154
201402,64000000,文教康樂,1,116208,648645149
201402,64000000,文教康樂,2,155858,803620508
201403,64000000,文教康樂,1,116928,665057140
201403,64000000,文教康樂,2,153179,822835833
201404,64000000,文教康樂,1,111235,682833852
201404,64000000,文教康樂,2,145049,853605658
201405,64000000,文教康樂,1,118534,755580380
201405,64000000,文教康樂,2,152713,935363031
201406,64000000,文教康樂,1,106219,741340925
201406,64000000,文教康樂,2,140607,905072900
201407,64000000,文教康樂,1,111930,732208202
201407,64000000,文教康樂,2,152465,917953936
201408,64000000,文教康樂,1,119127,707974087
201408,64000000,文教康樂,2,160965,881073992
201409,64000000,文教康樂,1,104654,737472966
201409,64000000,文教康樂,2,150270,941212703
201410,64000000,文教康樂,1,108119,707275487
201410,64000000,文教康樂,2,151040,877487897
201411,64000000,文教康樂,1,105157,622322230
201411,64000000,文教康樂,2,140463,787643292
201412,64000000,文教康樂,1,111107,664789609
201412,64000000,文教康樂,2,163577,848407126
201501,64000000,文教康樂,1,116371,678815625
201501,64000000,文教康樂,2,156896,862832855
201502,64000000,文教康樂,1,118172,699342035
201502,64000000,文教康樂,2,164168,911431667
201503,64000000,文教康樂,1,118379,804321447
201503,64000000,文教康樂,2,159274,1005716180
201504,64000000,文教康樂,1,122080,774554077
201504,64000000,文教康樂,2,161669,985852031
201505,64000000,文教康樂,1,118978,809849882
201505,64000000,文教康樂,2,159538,1036636511
201506,64000000,文教康樂,1,126668,807487170
201506,64000000,文教康樂,2,169337,1043138803
201507,64000000,文教康樂,1,132287,807438044
201507,64000000,文教康樂,2,179077,1021277951
201508,64000000,文教康樂,1,135759,772922712
201508,64000000,文教康樂,2,184829,973577655
201509,64000000,文教康樂,1,134430,758194654
201509,64000000,文教康樂,2,177350,1007203094
201510,64000000,文教康樂,1,137628,802524243
201510,64000000,文教康樂,2,177036,999266644
201511,64000000,文教康樂,1,129630,710341758
201511,64000000,文教康樂,2,162898,889905383
201512,64000000,文教康樂,1,135195,696636626
201512,64000000,文教康樂,2,175858,886994024
201601,64000000,文教康樂,1,123844,732257939
201601,64000000,文教康樂,2,166561,959066095
201602,64000000,文教康樂,1,131571,678195866
201602,64000000,文教康樂,2,173727,865806089
201603,64000000,文教康樂,1,118660,752486259
201603,64000000,文教康樂,2,158866,977915446
201604,64000000,文教康樂,1,115822,687624668
201604,64000000,文教康樂,2,153138,893731564
201605,64000000,文教康樂,1,120564,751359631
201605,64000000,文教康樂,2,161129,1001527314
201606,64000000,文教康樂,1,135823,807897295
201606,64000000,文教康樂,2,178730,1059785357
201607,64000000,文教康樂,1,138416,746622748
