年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,64000000,行,1,748174,898711692
201401,64000000,行,2,432049,458555874
201402,64000000,行,1,676395,800011290
201402,64000000,行,2,388292,411368498
201403,64000000,行,1,751005,892494064
201403,64000000,行,2,441418,460626781
201404,64000000,行,1,723747,865909493
201404,64000000,行,2,426471,447918526
201405,64000000,行,1,768291,920316667
201405,64000000,行,2,454074,478624653
201406,64000000,行,1,762088,916423776
201406,64000000,行,2,447735,484863403
201407,64000000,行,1,777195,945432779
201407,64000000,行,2,460507,499046174
201408,64000000,行,1,775715,910024386
201408,64000000,行,2,459963,483641565
201409,64000000,行,1,746125,862494971
201409,64000000,行,2,441730,457589688
201410,64000000,行,1,780642,866740430
201410,64000000,行,2,459296,453902870
201411,64000000,行,1,746410,796252282
201411,64000000,行,2,443787,425886430
201412,64000000,行,1,783190,794555497
201412,64000000,行,2,459639,423327437
201501,64000000,行,1,751399,706475867
201501,64000000,行,2,431542,385264481
201502,64000000,行,1,711419,658176364
201502,64000000,行,2,394247,349832189
201503,64000000,行,1,768396,746283039
201503,64000000,行,2,444130,395932658
201504,64000000,行,1,751072,727817157
201504,64000000,行,2,432806,386415182
201505,64000000,行,1,786292,775175968
201505,64000000,行,2,460416,421392244
201506,64000000,行,1,794691,797259497
201506,64000000,行,2,461801,428404623
201507,64000000,行,1,807173,803734345
201507,64000000,行,2,473540,448525735
201508,64000000,行,1,785330,725317151
201508,64000000,行,2,458764,399357222
201509,64000000,行,1,786877,718455210
201509,64000000,行,2,455616,390296367
201510,64000000,行,1,810462,746957419
201510,64000000,行,2,469501,401839453
201511,64000000,行,1,794689,717704660
201511,64000000,行,2,464841,393650104
201512,64000000,行,1,803595,711544350
201512,64000000,行,2,468807,388436222
201601,64000000,行,1,623332,555746210
201601,64000000,行,2,344731,312402038
201602,64000000,行,1,546951,462654079
201602,64000000,行,2,292752,246477368
201603,64000000,行,1,597788,550975314
201603,64000000,行,2,335036,296449151
201604,64000000,行,1,596713,544899910
201604,64000000,行,2,333876,294913907
201605,64000000,行,1,618519,583684368
201605,64000000,行,2,352192,315492947
201606,64000000,行,1,638179,630047499
201606,64000000,行,2,363479,345847442
201607,64000000,行,1,623449,602857027
201607,64000000,行,2,357044,338686372
201608,64000000,行,1,666025,602258804
201608,64000000,行,2,380322,336039271
201609,64000000,行,1,585035,544735175
201609,64000000,行,2,330094,297775546
201610,64000000,行,1,643837,609476738
201610,64000000,行,2,368311,341864009
201611,64000000,行,1,648197,609423417
201611,64000000,行,2,373892,333583046
201612,64000000,行,1,672575,668813275
201612,64000000,行,2,387254,368345239
201701,64000000,行,1,600487,598754402
201701,64000000,行,2,343333,328568487
201702,64000000,行,1,547015,546136549
201702,64000000,行,2,317017,303743054
201703,64000000,行,1,627177,619366294
201703,64000000,行,2,368384,352242874
201704,64000000,行,1,651288,618718612
201704,64000000,行,2,376364,344829513
201705,64000000,行,1,625406,596048357
201705,64000000,行,2,367129,342279990
201706,64000000,行,1,538585,543561585
201706,64000000,行,2,321633,314975204
201707,64000000,行,1,563477,552574873
201707,64000000,行,2,337298,326269087
201708,64000000,行,1,575429,582342274
201708,64000000,行,2,348309,345099589
201709,64000000,行,1,556558,554713444
201709,64000000,行,2,341393,332034446
201710,64000000,行,1,587938,604605067
201710,64000000,行,2,358762,359248715
201711,64000000,行,1,573165,608398044
201711,64000000,行,2,351116,362031687
201712,64000000,行,1,598744,642078171
201712,64000000,行,2,360423,378362797
201801,64000000,行,1,526233,570533335
201801,64000000,行,2,303627,329209796
201802,64000000,行,1,511079,525565862
201802,64000000,行,2,292731,295358193
201803,64000000,行,1,572192,606707766
201803,64000000,行,2,334154,349569105
201804,64000000,行,1,594039,618078648
201804,64000000,行,2,343955,360521701
201805,64000000,行,1,622014,664455791
201805,64000000,行,2,360155,376828876
201806,64000000,行,1,606491,650941797
201806,64000000,行,2,351202,373203815
201807,64000000,行,1,622555,686764793
201807,64000000,行,2,360415,402374237
201808,64000000,行,1,557909,605020208
201808,64000000,行,2,321933,350245006
201809,64000000,行,1,603103,666714655
201809,64000000,行,2,343349,380393230
201810,64000000,行,1,535005,590353482
201810,64000000,行,2,310166,343225227
201811,64000000,行,1,591305,641429052
201811,64000000,行,2,349989,379680161
201812,64000000,行,1,632505,673109471
201812,64000000,行,2,368786,395817417
201901,64000000,行,1,592410,599392595
201901,64000000,行,2,344440,342671842
201902,64000000,行,1,515254,502583685
201902,64000000,行,2,292943,288682179
201903,64000000,行,1,612062,651851755
201903,64000000,行,2,365380,385529263
201904,64000000,行,1,587877,634125220
201904,64000000,行,2,348975,378185263
201905,64000000,行,1,572830,630029355
201905,64000000,行,2,332481,364181111
201906,64000000,行,1,557542,604511678
201906,64000000,行,2,327498,364414420
201907,64000000,行,1,603350,672157398
201907,64000000,行,2,355450,413457939
201908,64000000,行,1,590204,632154546
201908,64000000,行,2,349731,374088910
201909,64000000,行,1,561169,587657730
201909,64000000,行,2,327556,353830625
201910,64000000,行,1,614602,649336625
201910,64000000,行,2,360781,394388936
201911,64000000,行,1,617735,667759782
201911,64000000,行,2,377793,430601704
201912,64000000,行,1,628484,672901924
201912,64000000,行,2,377975,425773952
202001,64000000,行,1,633433,625327396
202001,64000000,行,2,371771,351598985
202002,64000000,行,1,569540,544295197
202002,64000000,行,2,336127,301875005
202003,64000000,行,1,594390,502099667
202003,64000000,行,2,352477,277234902
202004,64000000,行,1,540324,391464599
202004,64000000,行,2,311529,223254112
202005,64000000,行,1,571135,447441150
202005,64000000,行,2,323201,244970505
202006,64000000,行,1,565026,498260975
202006,64000000,行,2,330567,284026453
202007,64000000,行,1,644760,619582348
202007,64000000,行,2,379825,361758480
202008,64000000,行,1,660049,616101855
202008,64000000,行,2,399867,357719332
202009,64000000,行,1,626394,586392161
202009,64000000,行,2,383052,349489936
202010,64000000,行,1,744148,652530875
202010,64000000,行,2,446527,382749535
202011,64000000,行,1,699033,621128569
202011,64000000,行,2,422823,369321008
202012,64000000,行,1,738296,675585280
202012,64000000,行,2,442190,405848424
202101,64000000,行,1,728523,679973700
202101,64000000,行,2,428752,370218344
202102,64000000,行,1,682035,856587652
202102,64000000,行,2,388637,451163172
202103,64000000,行,1,740906,944919604
202103,64000000,行,2,440171,526895985
202104,64000000,行,1,758790,982213107
202104,64000000,行,2,460870,565976874
202105,64000000,行,1,685602,918605313
202105,64000000,行,2,385495,475561542
202106,64000000,行,1,527467,727905490
202106,64000000,行,2,273439,360749844
202107,64000000,行,1,621439,940344158
202107,64000000,行,2,334676,472496116
202108,64000000,行,1,712724,1018748715
202108,64000000,行,2,399874,537316604
202109,64000000,行,1,736509,1041849529
202109,64000000,行,2,422569,560219078
202110,64000000,行,1,813334,1169849605
202110,64000000,行,2,474231,669020565
202111,64000000,行,1,774906,1192969672
202111,64000000,行,2,468899,692488482
202112,64000000,行,1,817797,1260111931
202112,64000000,行,2,495923,700056401
202201,64000000,行,1,779164,1300484589
202201,64000000,行,2,458769,718113909
202202,64000000,行,1,710135,1036023236
202202,64000000,行,2,423865,576562041
202203,64000000,行,1,801451,1323888232
202203,64000000,行,2,488280,761524084
202204,64000000,行,1,746111,1240756279
202204,64000000,行,2,446399,687580581
202205,64000000,行,1,689105,1145207069
202205,64000000,行,2,403320,603755905
202206,64000000,行,1,706774,1155698541
202206,64000000,行,2,409310,639435587
202207,64000000,行,1,803115,1341757409
202207,64000000,行,2,483428,777479237
202208,64000000,行,1,824059,1303490005
202208,64000000,行,2,502685,731582718
202209,64000000,行,1,806061,1239097593
202209,64000000,行,2,493840,741335804
202210,64000000,行,1,833245,1351981457
202210,64000000,行,2,513421,813870630
202211,64000000,行,1,812851,1413363821
202211,64000000,行,2,502452,878623444
202212,64000000,行,1,865324,1641450193
202212,64000000,行,2,536695,1040155590
202301,64000000,行,1,858585,1470178485
202301,64000000,行,2,518186,908082663
202302,64000000,行,1,775035,1365663270
202302,64000000,行,2,482702,854812082
202303,64000000,行,1,871274,1429623520
202303,64000000,行,2,550581,847882782
202304,64000000,行,1,858993,1233447315
202304,64000000,行,2,541053,722505048
202305,64000000,行,1,867572,1319344910
202305,64000000,行,2,544171,782035343
202306,64000000,行,1,856462,1322032628
202306,64000000,行,2,531172,810827074
202307,64000000,行,1,860839,1411883930
202307,64000000,行,2,535434,863783418
202308,64000000,行,1,862122,1463315730
202308,64000000,行,2,527887,888053314
