年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10017000,衣,1,10386,29002797
201401,10017000,衣,2,28364,84526721
201402,10017000,衣,1,5444,13963316
201402,10017000,衣,2,17938,49987814
201403,10017000,衣,1,5754,13951025
201403,10017000,衣,2,19559,51433799
201404,10017000,衣,1,5688,13173081
201404,10017000,衣,2,18515,48409536
201405,10017000,衣,1,6732,15802416
201405,10017000,衣,2,21212,54086636
201406,10017000,衣,1,6507,14837607
201406,10017000,衣,2,20993,52257351
201407,10017000,衣,1,6698,14837657
201407,10017000,衣,2,21356,52078587
201408,10017000,衣,1,7331,15921948
201408,10017000,衣,2,22327,51325316
201409,10017000,衣,1,5623,13091643
201409,10017000,衣,2,18556,46101894
201410,10017000,衣,1,7144,18119699
201410,10017000,衣,2,21140,61032114
201411,10017000,衣,1,6668,17462467
201411,10017000,衣,2,18837,55890290
201412,10017000,衣,1,7574,20241865
201412,10017000,衣,2,23742,70980951
201501,10017000,衣,1,7774,21657521
201501,10017000,衣,2,21583,64287090
201502,10017000,衣,1,8893,24817585
201502,10017000,衣,2,24390,73338417
201503,10017000,衣,1,5450,13593082
201503,10017000,衣,2,18023,50454933
201504,10017000,衣,1,6094,14550786
201504,10017000,衣,2,19601,51630209
201505,10017000,衣,1,7303,17003569
201505,10017000,衣,2,22054,57958905
201506,10017000,衣,1,6956,15216327
201506,10017000,衣,2,21464,52810772
201507,10017000,衣,1,6699,14905187
201507,10017000,衣,2,21312,51118935
201508,10017000,衣,1,6740,14950083
201508,10017000,衣,2,20445,48523564
201509,10017000,衣,1,5893,14102370
201509,10017000,衣,2,18100,45832851
201510,10017000,衣,1,7282,19056504
201510,10017000,衣,2,20733,59824032
201511,10017000,衣,1,6820,17942903
201511,10017000,衣,2,18940,53690395
201512,10017000,衣,1,7259,18500640
201512,10017000,衣,2,22501,65313092
201601,10017000,衣,1,9046,24739508
201601,10017000,衣,2,25078,75970425
201602,10017000,衣,1,7804,20974453
201602,10017000,衣,2,22312,65439505
201603,10017000,衣,1,5283,13828793
201603,10017000,衣,2,17068,47785053
201604,10017000,衣,1,6374,14863669
201604,10017000,衣,2,19938,51451402
201605,10017000,衣,1,7530,16760994
201605,10017000,衣,2,21777,55220637
201606,10017000,衣,1,7234,14991023
201606,10017000,衣,2,21780,52858665
201607,10017000,衣,1,7059,14866053
201607,10017000,衣,2,20863,48781503
201608,10017000,衣,1,6820,14898863
201608,10017000,衣,2,19947,47508522
201609,10017000,衣,1,5026,11059352
201609,10017000,衣,2,15565,39864328
201610,10017000,衣,1,6312,15412487
201610,10017000,衣,2,16734,50252345
201611,10017000,衣,1,6044,16088275
201611,10017000,衣,2,17107,50034099
201612,10017000,衣,1,6935,17192809
201612,10017000,衣,2,21034,62106563
201701,10017000,衣,1,8033,20600663
201701,10017000,衣,2,23193,68920699
201702,10017000,衣,1,5132,11937102
201702,10017000,衣,2,15939,43629766
201703,10017000,衣,1,4400,9885555
201703,10017000,衣,2,15130,42693105
201704,10017000,衣,1,5783,11796644
201704,10017000,衣,2,18582,49055338
201705,10017000,衣,1,5999,12233833
201705,10017000,衣,2,19258,50858011
201706,10017000,衣,1,5137,10609203
201706,10017000,衣,2,16578,43031115
201707,10017000,衣,1,5902,11692168
201707,10017000,衣,2,18786,47691137
201708,10017000,衣,1,6033,12279979
201708,10017000,衣,2,17918,44610490
201709,10017000,衣,1,4694,9623292
201709,10017000,衣,2,15077,39199257
201710,10017000,衣,1,5909,13245979
201710,10017000,衣,2,18112,51645919
201711,10017000,衣,1,5277,13206299
201711,10017000,衣,2,15716,45841658
201712,10017000,衣,1,6534,15745104
201712,10017000,衣,2,19737,57407936
201801,10017000,衣,1,4701,11457010
201801,10017000,衣,2,15748,47921684
201802,10017000,衣,1,7453,17187679
201802,10017000,衣,2,20937,57657623
201803,10017000,衣,1,5360,11464638
201803,10017000,衣,2,17081,44381631
201804,10017000,衣,1,6733,12653955
201804,10017000,衣,2,19599,48888938
201805,10017000,衣,1,7231,13270996
201805,10017000,衣,2,21744,53501149
201806,10017000,衣,1,6604,11984394
201806,10017000,衣,2,19914,46422427
201807,10017000,衣,1,6500,11717501
201807,10017000,衣,2,19758,44743445
201808,10017000,衣,1,7256,12624401
201808,10017000,衣,2,20136,41824931
201809,10017000,衣,1,5367,10447644
201809,10017000,衣,2,16176,39644033
201810,10017000,衣,1,4999,11499954
201810,10017000,衣,2,15199,43912994
201811,10017000,衣,1,5153,12079754
201811,10017000,衣,2,15707,46880956
201812,10017000,衣,1,6688,15553231
201812,10017000,衣,2,18985,53209716
201901,10017000,衣,1,6133,14591947
201901,10017000,衣,2,18482,54377813
201902,10017000,衣,1,5276,12416413
201902,10017000,衣,2,14185,39666563
201903,10017000,衣,1,4874,10157088
201903,10017000,衣,2,14767,40096598
201904,10017000,衣,1,5545,11299657
201904,10017000,衣,2,16386,43519442
201905,10017000,衣,1,5295,10549339
201905,10017000,衣,2,16302,42538572
201906,10017000,衣,1,5773,11271127
201906,10017000,衣,2,16880,40645751
201907,10017000,衣,1,5987,11897506
201907,10017000,衣,2,18060,44100197
201908,10017000,衣,1,6043,11840047
201908,10017000,衣,2,17457,41432932
201909,10017000,衣,1,4331,9023059
201909,10017000,衣,2,13185,33400828
201910,10017000,衣,1,5235,11790213
201910,10017000,衣,2,14940,43448664
201911,10017000,衣,1,5940,13222962
201911,10017000,衣,2,16878,47973092
201912,10017000,衣,1,5940,14000389
201912,10017000,衣,2,16851,47906446
202001,10017000,衣,1,7892,19445945
202001,10017000,衣,2,20086,59813809
202002,10017000,衣,1,3953,9023133
202002,10017000,衣,2,11394,32175008
202003,10017000,衣,1,3965,8933382
202003,10017000,衣,2,11368,29376955
202004,10017000,衣,1,4123,8677776
202004,10017000,衣,2,11455,30100858
202005,10017000,衣,1,6200,13344713
202005,10017000,衣,2,16983,43530084
202006,10017000,衣,1,6237,11392526
202006,10017000,衣,2,17138,39557651
202007,10017000,衣,1,6236,11964896
202007,10017000,衣,2,17003,40877262
202008,10017000,衣,1,6104,13633207
202008,10017000,衣,2,16427,38798957
202009,10017000,衣,1,4824,10564468
202009,10017000,衣,2,14349,36058514
202010,10017000,衣,1,6128,13976375
202010,10017000,衣,2,17211,46639455
202011,10017000,衣,1,5153,12816096
202011,10017000,衣,2,14460,40810404
202012,10017000,衣,1,6160,14678995
202012,10017000,衣,2,17332,46804780
202101,10017000,衣,1,7158,16537360
202101,10017000,衣,2,20303,57286223
202102,10017000,衣,1,5683,13667167
202102,10017000,衣,2,15530,43270570
202103,10017000,衣,1,4261,8046580
202103,10017000,衣,2,12663,31705564
202104,10017000,衣,1,5561,10829194
202104,10017000,衣,2,15667,39596118
202105,10017000,衣,1,3587,7449571
202105,10017000,衣,2,10252,27240693
202106,10017000,衣,1,1611,3324535
202106,10017000,衣,2,4241,12227929
202107,10017000,衣,1,3115,6516810
202107,10017000,衣,2,8110,22807591
202108,10017000,衣,1,5938,11963253
202108,10017000,衣,2,14861,37295112
202109,10017000,衣,1,5148,9827366
202109,10017000,衣,2,13736,32468515
202110,10017000,衣,1,5759,11752432
202110,10017000,衣,2,15435,39159802
202111,10017000,衣,1,5550,11971451
202111,10017000,衣,2,15877,41987543
202112,10017000,衣,1,5763,12901250
202112,10017000,衣,2,16563,44780386
202201,10017000,衣,1,7130,16959888
202201,10017000,衣,2,17892,53047297
202202,10017000,衣,1,4931,10789632
202202,10017000,衣,2,11899,31653163
202203,10017000,衣,1,4774,9828095
202203,10017000,衣,2,14347,35731735
202204,10017000,衣,1,3647,7218705
202204,10017000,衣,2,9398,25780421
202205,10017000,衣,1,3463,6957327
202205,10017000,衣,2,8807,23066141
202206,10017000,衣,1,6113,11120456
202206,10017000,衣,2,15633,36590003
202207,10017000,衣,1,7533,13167389
202207,10017000,衣,2,19764,44562509
202208,10017000,衣,1,6854,13115698
202208,10017000,衣,2,17676,42487077
202209,10017000,衣,1,5583,9971819
202209,10017000,衣,2,15129,36096931
202210,10017000,衣,1,6464,14035615
202210,10017000,衣,2,16629,44372241
202211,10017000,衣,1,5569,12589612
202211,10017000,衣,2,13824,38873945
202212,10017000,衣,1,7659,17484178
202212,10017000,衣,2,19288,53668718
202301,10017000,衣,1,8546,20819009
202301,10017000,衣,2,19392,58634988
202302,10017000,衣,1,5234,11389479
202302,10017000,衣,2,13594,38743393
202303,10017000,衣,1,5747,11439443
202303,10017000,衣,2,15239,40224679
202304,10017000,衣,1,6913,13093942
202304,10017000,衣,2,16747,41573196
202305,10017000,衣,1,6897,13899101
202305,10017000,衣,2,17356,46417196
202306,10017000,衣,1,7003,13233908
202306,10017000,衣,2,17578,43365435
202307,10017000,衣,1,7322,12940818
202307,10017000,衣,2,18398,43107077
202308,10017000,衣,1,6360,12289170
202308,10017000,衣,2,16288,39960094
