年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10017000,食,1,47939,80139297
201401,10017000,食,2,53313,80462852
201402,10017000,食,1,34692,47605246
201402,10017000,食,2,36835,45509155
201403,10017000,食,1,38924,50667995
201403,10017000,食,2,43566,50703882
201404,10017000,食,1,36447,46413314
201404,10017000,食,2,41325,47596648
201405,10017000,食,1,40919,57326096
201405,10017000,食,2,45233,57333172
201406,10017000,食,1,39055,50948988
201406,10017000,食,2,43585,53742166
201407,10017000,食,1,44163,59263632
201407,10017000,食,2,49653,60058201
201408,10017000,食,1,43741,66674435
201408,10017000,食,2,49910,71198941
201409,10017000,食,1,38612,50076253
201409,10017000,食,2,43394,53787444
201410,10017000,食,1,38185,52183121
201410,10017000,食,2,42452,51954674
201411,10017000,食,1,37464,47817655
201411,10017000,食,2,41377,48481500
201412,10017000,食,1,40086,53800683
201412,10017000,食,2,44278,53838689
201501,10017000,食,1,41735,61975346
201501,10017000,食,2,44844,60196979
201502,10017000,食,1,41691,68369510
201502,10017000,食,2,44905,68706074
201503,10017000,食,1,35761,46373742
201503,10017000,食,2,39530,46460608
201504,10017000,食,1,36659,46996361
201504,10017000,食,2,40522,48344699
201505,10017000,食,1,41512,55833054
201505,10017000,食,2,45780,56352599
201506,10017000,食,1,40378,50460759
201506,10017000,食,2,43850,50845347
201507,10017000,食,1,42527,52099197
201507,10017000,食,2,47522,53881824
201508,10017000,食,1,47496,66721926
201508,10017000,食,2,53960,71191961
201509,10017000,食,1,41474,53931249
201509,10017000,食,2,45807,57762112
201510,10017000,食,1,40443,52551757
201510,10017000,食,2,44603,53158918
201511,10017000,食,1,36971,47374350
201511,10017000,食,2,40364,47337996
201512,10017000,食,1,39675,53336915
201512,10017000,食,2,42621,51533828
201601,10017000,食,1,44510,70449450
201601,10017000,食,2,45889,68742212
201602,10017000,食,1,40062,61231773
201602,10017000,食,2,40986,58717598
201603,10017000,食,1,34992,42663823
201603,10017000,食,2,36751,42118231
201604,10017000,食,1,35998,45769595
201604,10017000,食,2,37590,45459434
201605,10017000,食,1,39674,51682192
201605,10017000,食,2,40606,49688221
201606,10017000,食,1,41997,52992862
201606,10017000,食,2,44092,51790911
201607,10017000,食,1,45112,58561731
201607,10017000,食,2,47684,58664033
201608,10017000,食,1,38836,54586170
201608,10017000,食,2,43966,56685391
201609,10017000,食,1,40739,52777471
201609,10017000,食,2,42957,53384978
