年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10017000,其他,1,17610,82202124
201401,10017000,其他,2,18647,79431970
201402,10017000,其他,1,13990,61403513
201402,10017000,其他,2,14852,61340721
201403,10017000,其他,1,15883,65858577
201403,10017000,其他,2,17152,66997471
201404,10017000,其他,1,15434,62345888
201404,10017000,其他,2,16237,62662222
201405,10017000,其他,1,16225,67405943
201405,10017000,其他,2,17633,66944088
201406,10017000,其他,1,16128,66145116
201406,10017000,其他,2,17483,66062058
201407,10017000,其他,1,10331,58296767
201407,10017000,其他,2,14288,60400762
201408,10017000,其他,1,16476,69948713
201408,10017000,其他,2,18096,71001957
201409,10017000,其他,1,17270,81101632
201409,10017000,其他,2,18269,77357642
201410,10017000,其他,1,18705,84669740
201410,10017000,其他,2,20194,88279055
201411,10017000,其他,1,17783,80375991
201411,10017000,其他,2,19140,81721264
201412,10017000,其他,1,19366,83010059
201412,10017000,其他,2,19753,84273660
201501,10017000,其他,1,18535,86204592
201501,10017000,其他,2,19221,80747441
201502,10017000,其他,1,16163,71467759
201502,10017000,其他,2,16813,69257167
201503,10017000,其他,1,17368,70474574
201503,10017000,其他,2,18093,72743046
201504,10017000,其他,1,17430,74602320
201504,10017000,其他,2,17940,76135419
201505,10017000,其他,1,15104,75030019
201505,10017000,其他,2,17510,79154233
201506,10017000,其他,1,18995,86953960
201506,10017000,其他,2,19715,86254375
201507,10017000,其他,1,19274,81955209
201507,10017000,其他,2,20196,88947101
201508,10017000,其他,1,19315,88306034
201508,10017000,其他,2,20007,84079855
201509,10017000,其他,1,18861,83379238
201509,10017000,其他,2,19763,80311139
201510,10017000,其他,1,20514,93894704
201510,10017000,其他,2,21637,92722536
201511,10017000,其他,1,20209,100263816
201511,10017000,其他,2,21302,105130470
201512,10017000,其他,1,19541,98303187
201512,10017000,其他,2,21234,109061303
201601,10017000,其他,1,19864,96135585
201601,10017000,其他,2,19735,105630845
201602,10017000,其他,1,17807,82597931
201602,10017000,其他,2,17862,95782659
201603,10017000,其他,1,21353,111947853
201603,10017000,其他,2,21144,129286644
201604,10017000,其他,1,19704,107442881
201604,10017000,其他,2,20089,131539852
201605,10017000,其他,1,12985,93753694
201605,10017000,其他,2,18899,115080645
201606,10017000,其他,1,15630,98769859
201606,10017000,其他,2,26740,123128017
201607,10017000,其他,1,22957,107731944
201607,10017000,其他,2,30246,128515208
201608,10017000,其他,1,21542,88337336
201608,10017000,其他,2,27869,85608841
201609,10017000,其他,1,20211,82659958
201609,10017000,其他,2,26024,84720915
201610,10017000,其他,1,21320,88550358
201610,10017000,其他,2,28558,90191004
201611,10017000,其他,1,18671,87370390
201611,10017000,其他,2,24875,86401962
201612,10017000,其他,1,19213,90369973
201612,10017000,其他,2,25403,88628156
201701,10017000,其他,1,17829,78054746
201701,10017000,其他,2,24020,80098093
201702,10017000,其他,1,16705,67617634
201702,10017000,其他,2,22298,69275374
201703,10017000,其他,1,18615,78218261
201703,10017000,其他,2,23890,74510276
201704,10017000,其他,1,16768,73005312
201704,10017000,其他,2,22829,75003042
201705,10017000,其他,1,18268,76322600
201705,10017000,其他,2,24166,80250277
201706,10017000,其他,1,18097,74256191
201706,10017000,其他,2,23511,74177527
201707,10017000,其他,1,18494,81237783
201707,10017000,其他,2,24976,78836345
201708,10017000,其他,1,18377,86916520
201708,10017000,其他,2,24435,80514511
201709,10017000,其他,1,19028,84116853
201709,10017000,其他,2,25584,80412187
201710,10017000,其他,1,22399,93038534
201710,10017000,其他,2,27653,85349529
201711,10017000,其他,1,22099,93328352
201711,10017000,其他,2,26171,90784058
201712,10017000,其他,1,23303,96157385
201712,10017000,其他,2,27334,88726461
201801,10017000,其他,1,21506,79223503
201801,10017000,其他,2,25284,78036559
201802,10017000,其他,1,20242,70297999
201802,10017000,其他,2,24358,73051400
201803,10017000,其他,1,22661,84846879
201803,10017000,其他,2,27488,81936500
201804,10017000,其他,1,22611,75517793
201804,10017000,其他,2,26850,78714036
201805,10017000,其他,1,23316,82039195
201805,10017000,其他,2,29504,84549451
201806,10017000,其他,1,22244,74510472
201806,10017000,其他,2,27702,72000537
201807,10017000,其他,1,22776,72948051
201807,10017000,其他,2,29430,76481607
201808,10017000,其他,1,22108,76332278
201808,10017000,其他,2,27632,70231715
201809,10017000,其他,1,21778,77545173
201809,10017000,其他,2,28024,76376297
201810,10017000,其他,1,20621,72075114
201810,10017000,其他,2,26295,71133503
201811,10017000,其他,1,21597,73456510
201811,10017000,其他,2,29038,73343303
201812,10017000,其他,1,23198,76537269
201812,10017000,其他,2,31741,75427618
201901,10017000,其他,1,23148,76236499
201901,10017000,其他,2,31717,77759438
201902,10017000,其他,1,18326,55490074
201902,10017000,其他,2,24858,57486913
201903,10017000,其他,1,23085,70601248
201903,10017000,其他,2,32539,80231584
201904,10017000,其他,1,21919,72965085
201904,10017000,其他,2,30503,76611044
201905,10017000,其他,1,20898,67915822
201905,10017000,其他,2,31210,81239223
201906,10017000,其他,1,21252,67651349
201906,10017000,其他,2,30263,71367089
201907,10017000,其他,1,23410,75572651
201907,10017000,其他,2,35276,82342203
201908,10017000,其他,1,22784,75816252
201908,10017000,其他,2,35307,81994478
201909,10017000,其他,1,19525,68196241
201909,10017000,其他,2,29880,76061169
201910,10017000,其他,1,21668,73582990
201910,10017000,其他,2,33159,85561900
201911,10017000,其他,1,19931,70370813
201911,10017000,其他,2,31361,76496014
201912,10017000,其他,1,21367,68711856
201912,10017000,其他,2,31944,78991714
202001,10017000,其他,1,19328,63914349
202001,10017000,其他,2,30938,72295991
202002,10017000,其他,1,18350,55487766
202002,10017000,其他,2,31549,70367991
202003,10017000,其他,1,18262,58264876
202003,10017000,其他,2,30248,66993421
202004,10017000,其他,1,19727,59296033
202004,10017000,其他,2,31210,70702526
202005,10017000,其他,1,19857,62115375
202005,10017000,其他,2,32558,77720134
202006,10017000,其他,1,19292,55489125
202006,10017000,其他,2,33330,68890353
202007,10017000,其他,1,22377,71570877
202007,10017000,其他,2,36949,88035020
202008,10017000,其他,1,22658,67039287
202008,10017000,其他,2,37370,79835164
202009,10017000,其他,1,20585,61734011
202009,10017000,其他,2,34878,75770017
202010,10017000,其他,1,21784,63267543
202010,10017000,其他,2,36041,79926622
202011,10017000,其他,1,20492,66830928
202011,10017000,其他,2,33009,74496138
202012,10017000,其他,1,20925,68194833
202012,10017000,其他,2,32291,73455402
202101,10017000,其他,1,23510,72895173
202101,10017000,其他,2,37202,80712335
202102,10017000,其他,1,10611,28566162
202102,10017000,其他,2,13138,37186799
202103,10017000,其他,1,11035,27395446
202103,10017000,其他,2,12887,32734206
202104,10017000,其他,1,12935,34169021
202104,10017000,其他,2,15124,40515811
202105,10017000,其他,1,13399,31907681
202105,10017000,其他,2,16323,41585304
202106,10017000,其他,1,11966,24852711
202106,10017000,其他,2,13444,28913080
202107,10017000,其他,1,12340,28201251
202107,10017000,其他,2,14490,37228591
202108,10017000,其他,1,13309,31824556
202108,10017000,其他,2,15760,41790880
202109,10017000,其他,1,13429,34084952
202109,10017000,其他,2,16615,40724000
202110,10017000,其他,1,13344,39953823
202110,10017000,其他,2,15955,45061565
202111,10017000,其他,1,12880,35913050
202111,10017000,其他,2,16343,43052676
202112,10017000,其他,1,13188,35190383
202112,10017000,其他,2,16443,43324672
202201,10017000,其他,1,13852,37087229
202201,10017000,其他,2,17586,46194367
202202,10017000,其他,1,12645,31316065
202202,10017000,其他,2,15254,35769568
202203,10017000,其他,1,13840,35726620
202203,10017000,其他,2,17758,45039993
202204,10017000,其他,1,14881,35495399
202204,10017000,其他,2,18537,42022057
202205,10017000,其他,1,14889,33137143
202205,10017000,其他,2,18375,40332988
202206,10017000,其他,1,16682,33712995
202206,10017000,其他,2,20154,44197462
202207,10017000,其他,1,18471,37642655
202207,10017000,其他,2,22696,47078312
202208,10017000,其他,1,18166,38061857
202208,10017000,其他,2,22657,47600080
202209,10017000,其他,1,15513,37159850
202209,10017000,其他,2,19585,48960759
202210,10017000,其他,1,16163,40675102
202210,10017000,其他,2,19743,49308492
202211,10017000,其他,1,15000,38251579
202211,10017000,其他,2,19411,48480451
202212,10017000,其他,1,15968,37335021
202212,10017000,其他,2,19727,47143225
202301,10017000,其他,1,16270,39361425
202301,10017000,其他,2,19526,46452975
202302,10017000,其他,1,15638,35512893
202302,10017000,其他,2,18978,43767372
202303,10017000,其他,1,16183,38745427
202303,10017000,其他,2,20594,50087359
202304,10017000,其他,1,16936,37869821
202304,10017000,其他,2,21002,47787805
202305,10017000,其他,1,18081,41672826
202305,10017000,其他,2,21536,52478971
202306,10017000,其他,1,17604,36386775
202306,10017000,其他,2,21220,43491156
202307,10017000,其他,1,18726,40851234
202307,10017000,其他,2,22839,48498804
202308,10017000,其他,1,17164,38544043
202308,10017000,其他,2,21087,48720107
