年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,09020000,文教康樂,1,516,3482214
201401,09020000,文教康樂,2,418,2244592
201402,09020000,文教康樂,1,344,2334442
201402,09020000,文教康樂,2,278,1304225
201403,09020000,文教康樂,1,490,3379479
201403,09020000,文教康樂,2,346,2153655
201404,09020000,文教康樂,1,453,3080511
201404,09020000,文教康樂,2,308,1730955
201405,09020000,文教康樂,1,735,3094235
201405,09020000,文教康樂,2,605,1750582
201406,09020000,文教康樂,1,1209,3953948
201406,09020000,文教康樂,2,1107,2132844
201407,09020000,文教康樂,1,1757,3768165
201407,09020000,文教康樂,2,1612,2601208
201408,09020000,文教康樂,1,3200,4011257
201408,09020000,文教康樂,2,3440,3206348
201409,09020000,文教康樂,1,2486,3451761
201409,09020000,文教康樂,2,2392,2458271
201410,09020000,文教康樂,1,2391,4419950
201410,09020000,文教康樂,2,2067,3195000
201411,09020000,文教康樂,1,2173,4429189
201411,09020000,文教康樂,2,1717,2993051
201412,09020000,文教康樂,1,2184,3789758
201412,09020000,文教康樂,2,1731,2217510
201501,09020000,文教康樂,1,1509,3622441
201501,09020000,文教康樂,2,1150,2107165
201502,09020000,文教康樂,1,1762,3001161
201502,09020000,文教康樂,2,1565,2022360
201503,09020000,文教康樂,1,1349,2944370
201503,09020000,文教康樂,2,942,1886796
201504,09020000,文教康樂,1,1614,3977616
201504,09020000,文教康樂,2,1216,2490252
201505,09020000,文教康樂,1,1573,4199760
201505,09020000,文教康樂,2,1241,3164665
201506,09020000,文教康樂,1,1872,3817074
201506,09020000,文教康樂,2,1586,2928571
201507,09020000,文教康樂,1,1928,4372230
201507,09020000,文教康樂,2,1612,3285416
201508,09020000,文教康樂,1,2142,4170454
201508,09020000,文教康樂,2,2107,3182889
201509,09020000,文教康樂,1,1755,2824262
201509,09020000,文教康樂,2,1524,2375996
201510,09020000,文教康樂,1,1757,3819300
201510,09020000,文教康樂,2,1369,2482919
201511,09020000,文教康樂,1,1410,3290705
201511,09020000,文教康樂,2,1161,2946821
201512,09020000,文教康樂,1,1618,3471759
201512,09020000,文教康樂,2,1204,2455321
201601,09020000,文教康樂,1,1625,3404576
201601,09020000,文教康樂,2,1194,2851448
201602,09020000,文教康樂,1,1786,3732983
201602,09020000,文教康樂,2,1622,2575540
201603,09020000,文教康樂,1,1334,3715409
201603,09020000,文教康樂,2,886,2425800
201604,09020000,文教康樂,1,1183,3213606
201604,09020000,文教康樂,2,868,2271334
201605,09020000,文教康樂,1,1142,3035430
201605,09020000,文教康樂,2,788,2666720
201606,09020000,文教康樂,1,1692,5170411
201606,09020000,文教康樂,2,1348,3460582
