年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,09020000,行,1,7406,11094772
201401,09020000,行,2,3949,5844595
201402,09020000,行,1,6957,10669442
201402,09020000,行,2,4316,6669155
201403,09020000,行,1,8726,14113071
201403,09020000,行,2,4690,7313961
201404,09020000,行,1,9317,15095599
201404,09020000,行,2,5423,9507748
201405,09020000,行,1,8897,15654816
201405,09020000,行,2,5176,8569238
201406,09020000,行,1,9111,15366403
201406,09020000,行,2,5336,9249390
201407,09020000,行,1,9446,17034348
201407,09020000,行,2,5533,9825482
201408,09020000,行,1,8820,14459541
201408,09020000,行,2,5125,8677478
201409,09020000,行,1,8828,14090484
201409,09020000,行,2,4698,7639536
201410,09020000,行,1,9216,14351900
201410,09020000,行,2,5059,8130620
201411,09020000,行,1,8524,13115604
201411,09020000,行,2,4681,7276707
201412,09020000,行,1,9583,14731407
201412,09020000,行,2,4944,7419552
201501,09020000,行,1,8829,12836625
201501,09020000,行,2,4463,6809644
201502,09020000,行,1,7330,10994008
201502,09020000,行,2,3980,6362300
201503,09020000,行,1,8619,12997400
201503,09020000,行,2,4519,7197067
201504,09020000,行,1,9571,14497925
201504,09020000,行,2,4912,8114341
201505,09020000,行,1,9136,13966457
201505,09020000,行,2,5083,8470049
201506,09020000,行,1,9179,13740138
201506,09020000,行,2,5020,8483146
201507,09020000,行,1,9211,14163298
201507,09020000,行,2,5329,9242368
201508,09020000,行,1,8947,13370054
201508,09020000,行,2,4859,8118523
201509,09020000,行,1,9079,13314184
201509,09020000,行,2,4924,7705183
201510,09020000,行,1,10118,14469653
201510,09020000,行,2,5388,8499470
201511,09020000,行,1,10074,14477847
201511,09020000,行,2,5368,8713074
201512,09020000,行,1,10481,14467490
201512,09020000,行,2,5677,8970930
201601,09020000,行,1,13113,15748509
201601,09020000,行,2,6992,9275714
201602,09020000,行,1,10648,13560720
201602,09020000,行,2,5989,9233459
201603,09020000,行,1,11354,13656342
201603,09020000,行,2,5643,7033589
201604,09020000,行,1,11452,14276006
201604,09020000,行,2,5713,7914114
201605,09020000,行,1,11430,13899737
201605,09020000,行,2,5944,7711167
201606,09020000,行,1,13351,17595753
201606,09020000,行,2,6996,9401661
201607,09020000,行,1,11813,15198168
201607,09020000,行,2,6493,9679111
201608,09020000,行,1,11787,14310691
201608,09020000,行,2,6169,8693179
201609,09020000,行,1,10203,13355596
201609,09020000,行,2,5147,6744543
201610,09020000,行,1,12227,15216126
201610,09020000,行,2,6418,8850211
201611,09020000,行,1,13246,15961042
201611,09020000,行,2,6751,8516499
201612,09020000,行,1,13572,16593373
201612,09020000,行,2,7098,9729985
201701,09020000,行,1,11716,14394935
201701,09020000,行,2,6157,8572815
201702,09020000,行,1,10629,13421400
201702,09020000,行,2,5726,7453553
201703,09020000,行,1,11953,14349291
201703,09020000,行,2,6044,7015695
201704,09020000,行,1,13111,16016516
201704,09020000,行,2,6666,8438252
201705,09020000,行,1,12504,15102368
201705,09020000,行,2,6453,7926510
201706,09020000,行,1,11869,15130606
201706,09020000,行,2,6212,7849810
201707,09020000,行,1,12644,17675429
201707,09020000,行,2,6712,9212555
201708,09020000,行,1,12464,16127138
201708,09020000,行,2,6572,8768840
201709,09020000,行,1,11624,14171209
201709,09020000,行,2,5961,7009157
201710,09020000,行,1,12650,16031275
201710,09020000,行,2,6816,8565030
201711,09020000,行,1,12215,15241483
201711,09020000,行,2,6610,8051781
201712,09020000,行,1,12609,15864291
201712,09020000,行,2,6878,8266136
201801,09020000,行,1,11377,13829043
201801,09020000,行,2,6132,7974046
201802,09020000,行,1,10535,12967137
201802,09020000,行,2,5581,7017428
201803,09020000,行,1,11547,13790350
201803,09020000,行,2,6190,7438803
201804,09020000,行,1,12660,15414660
201804,09020000,行,2,6868,8568950
201805,09020000,行,1,12624,15593943
201805,09020000,行,2,6777,8337189
201806,09020000,行,1,12603,15781945
201806,09020000,行,2,6912,8554434
201807,09020000,行,1,13391,17676831
201807,09020000,行,2,7681,10355161
201808,09020000,行,1,12090,15681883
201808,09020000,行,2,6777,8415919
201809,09020000,行,1,12258,15289964
201809,09020000,行,2,6848,8032027
201810,09020000,行,1,10479,12873168
201810,09020000,行,2,6085,7743125
201811,09020000,行,1,12611,15704915
201811,09020000,行,2,7516,9296462
201812,09020000,行,1,12502,15327987
201812,09020000,行,2,7285,9137929
201901,09020000,行,1,11422,12778720
201901,09020000,行,2,6647,7899323
201902,09020000,行,1,9384,10726892
201902,09020000,行,2,5523,6362347
201903,09020000,行,1,12069,13929523
201903,09020000,行,2,6981,7959979
201904,09020000,行,1,12560,15409132
201904,09020000,行,2,7330,8875884
201905,09020000,行,1,11054,13457152
201905,09020000,行,2,6456,8433073
201906,09020000,行,1,11584,14484388
201906,09020000,行,2,7073,8437241
201907,09020000,行,1,12671,15949376
201907,09020000,行,2,7303,9292454
201908,09020000,行,1,11839,14639320
201908,09020000,行,2,6828,8464426
201909,09020000,行,1,10398,11738266
201909,09020000,行,2,6026,6684025
201910,09020000,行,1,12047,13844211
201910,09020000,行,2,7234,8001664
201911,09020000,行,1,12271,13816485
201911,09020000,行,2,7327,7635922
201912,09020000,行,1,11259,12646655
201912,09020000,行,2,6690,7720334
202001,09020000,行,1,11484,12598672
202001,09020000,行,2,6962,7973839
202002,09020000,行,1,7353,7333750
202002,09020000,行,2,4181,3955937
202003,09020000,行,1,7368,6154084
202003,09020000,行,2,4444,3439190
202004,09020000,行,1,6674,5061071
202004,09020000,行,2,3966,2953430
202005,09020000,行,1,7551,5883769
202005,09020000,行,2,4480,3224818
202006,09020000,行,1,7539,6741284
202006,09020000,行,2,4669,4251779
202007,09020000,行,1,9181,8843508
202007,09020000,行,2,5650,5723033
202008,09020000,行,1,8861,8900845
