年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,09007000,食,1,147,1003967
201401,09007000,食,2,92,411781
201402,09007000,食,1,128,467171
201402,09007000,食,2,62,222275
201403,09007000,食,1,240,1169532
201403,09007000,食,2,116,482295
201404,09007000,食,1,212,1018328
201404,09007000,食,2,153,756742
201405,09007000,食,1,268,951393
201405,09007000,食,2,217,631476
201406,09007000,食,1,357,1261014
201406,09007000,食,2,301,976591
201407,09007000,食,1,298,1240600
201407,09007000,食,2,299,810024
201408,09007000,食,1,300,1454437
201408,09007000,食,2,262,1040211
201409,09007000,食,1,252,1143411
201409,09007000,食,2,191,595436
201410,09007000,食,1,265,1568128
201410,09007000,食,2,239,922244
201411,09007000,食,1,190,1166207
201411,09007000,食,2,98,489240
201412,09007000,食,1,119,894841
201412,09007000,食,2,116,472223
201501,09007000,食,1,138,1014663
201501,09007000,食,2,93,459258
201502,09007000,食,1,80,542387
201502,09007000,食,2,60,231709
201503,09007000,食,1,95,481953
201503,09007000,食,2,77,277460
201504,09007000,食,1,252,1157256
201504,09007000,食,2,199,450648
201505,09007000,食,1,242,796415
201505,09007000,食,2,259,652783
201506,09007000,食,1,316,1231722
201506,09007000,食,2,301,846395
201507,09007000,食,1,250,991933
201507,09007000,食,2,287,818286
201508,09007000,食,1,262,1117019
201508,09007000,食,2,220,614031
201509,09007000,食,1,247,1087184
201509,09007000,食,2,216,588083
201510,09007000,食,1,215,885151
201510,09007000,食,2,229,694890
201511,09007000,食,1,191,1103278
201511,09007000,食,2,128,528253
201512,09007000,食,1,138,916016
201512,09007000,食,2,78,351635
201601,09007000,食,1,89,435381
201601,09007000,食,2,54,208127
201602,09007000,食,1,69,365295
201602,09007000,食,2,65,230934
201603,09007000,食,1,120,563547
201603,09007000,食,2,74,278339
201604,09007000,食,1,202,682187
201604,09007000,食,2,217,600121
201605,09007000,食,1,273,1064922
201605,09007000,食,2,396,1171799
201606,09007000,食,1,364,1421539
201606,09007000,食,2,436,1398466
201607,09007000,食,1,285,1364181
201607,09007000,食,2,321,867805
201608,09007000,食,1,324,1739181
201608,09007000,食,2,250,709195
201609,09007000,食,1,223,942602
201609,09007000,食,2,186,582882
201610,09007000,食,1,197,906093
201610,09007000,食,2,138,417244
201611,09007000,食,1,214,1154421
201611,09007000,食,2,133,598403
201612,09007000,食,1,155,1001353
201612,09007000,食,2,63,225641
201701,09007000,食,1,69,315508
