年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10017000,衣,1,10386,29002797
201401,10017000,衣,2,28364,84526721
201401,10018000,衣,1,6894,19857751
201401,10018000,衣,2,18098,60887050
201401,10004000,衣,1,3077,9000999
201401,10004000,衣,2,11658,41491722
201401,10005000,衣,1,7578,21457836
201401,10005000,衣,2,25449,77208326
201401,10007000,衣,1,62801,168724937
201401,10007000,衣,2,198274,597317702
201401,10008000,衣,1,8998,23117407
201401,10008000,衣,2,27007,78016101
201401,10009000,衣,1,9002,22254743
201401,10009000,衣,2,29714,83278874
201401,10020000,衣,1,12156,32431010
201401,10020000,衣,2,36982,110600995
201401,10010000,衣,1,1313,3589868
201401,10010000,衣,2,4812,15050537
201401,10013000,衣,1,7506,18198773
201401,10013000,衣,2,25167,65736382
201401,10002000,衣,1,6403,18768011
201401,10002000,衣,2,23782,78880093
201401,10015000,衣,1,5722,16018741
201401,10015000,衣,2,18065,55024374
201401,10014000,衣,1,4065,10091823
201401,10014000,衣,2,13377,38667668
201401,10016000,衣,1,2686,8400372
201401,10016000,衣,2,9304,26299058
201401,09020000,衣,1,992,2531571
201401,09020000,衣,2,2252,6156130
201401,09007000,衣,1,0,0
201401,09007000,衣,2,0,0
201402,10017000,衣,1,5444,13963316
201402,10017000,衣,2,17938,49987814
201402,10018000,衣,1,4064,11271949
201402,10018000,衣,2,10563,32599401
201402,10004000,衣,1,2001,5697030
201402,10004000,衣,2,7362,23651376
201402,10005000,衣,1,4051,10415474
201402,10005000,衣,2,14854,42397814
201402,10007000,衣,1,36899,95350371
201402,10007000,衣,2,127274,352726552
201402,10008000,衣,1,4496,10219939
201402,10008000,衣,2,15707,41855032
201402,10009000,衣,1,5411,12053446
201402,10009000,衣,2,19183,50857437
201402,10020000,衣,1,7453,18875126
201402,10020000,衣,2,24541,67408724
201402,10010000,衣,1,749,1877671
201402,10010000,衣,2,2896,8374609
201402,10013000,衣,1,4824,10940913
201402,10013000,衣,2,16725,41038901
201402,10002000,衣,1,3346,8890864
201402,10002000,衣,2,13961,44748162
201402,10015000,衣,1,3226,8061240
201402,10015000,衣,2,11234,30859198
201402,10014000,衣,1,2164,4803004
201402,10014000,衣,2,7923,20592797
201402,10016000,衣,1,1437,3915052
201402,10016000,衣,2,5435,13681941
201402,09020000,衣,1,438,967810
201402,09020000,衣,2,1105,2722704
201402,09007000,衣,1,0,0
201402,09007000,衣,2,0,0
201403,10017000,衣,1,5754,13951025
201403,10017000,衣,2,19559,51433799
201403,10018000,衣,1,4162,10948500
201403,10018000,衣,2,11438,34761108
201403,10004000,衣,1,2259,5998413
201403,10004000,衣,2,8219,26538569
201403,10005000,衣,1,4143,10058955
201403,10005000,衣,2,16049,44401097
201403,10007000,衣,1,38991,99305809
201403,10007000,衣,2,143752,396407946
201403,10008000,衣,1,4848,10570232
201403,10008000,衣,2,17448,44612874
201403,10009000,衣,1,5242,10985271
201403,10009000,衣,2,19590,50512824
201403,10020000,衣,1,6817,16874825
201403,10020000,衣,2,26362,71743459
201403,10010000,衣,1,737,1930049
201403,10010000,衣,2,3061,9102208
201403,10013000,衣,1,4675,9944376
201403,10013000,衣,2,17795,42778332
201403,10002000,衣,1,3450,8558506
201403,10002000,衣,2,15885,50506730
201403,10015000,衣,1,3035,7146017
201403,10015000,衣,2,11637,31435904
201403,10014000,衣,1,1964,4070439
201403,10014000,衣,2,7517,20905804
201403,10016000,衣,1,1709,5185674
201403,10016000,衣,2,6202,15440896
201403,09020000,衣,1,498,984840
201403,09020000,衣,2,1171,2703882
201403,09007000,衣,1,0,0
201403,09007000,衣,2,0,0
201404,10017000,衣,1,5688,13173081
201404,10017000,衣,2,18515,48409536
201404,10018000,衣,1,4159,10031016
201404,10018000,衣,2,12106,36229758
201404,10004000,衣,1,2337,5962771
201404,10004000,衣,2,8392,27408134
201404,10005000,衣,1,4105,9530375
201404,10005000,衣,2,16155,45032792
201404,10007000,衣,1,37182,94331631
201404,10007000,衣,2,137707,379116832
201404,10008000,衣,1,4763,10717361
201404,10008000,衣,2,16698,42527498
201404,10009000,衣,1,5776,11646069
201404,10009000,衣,2,20795,52849860
201404,10020000,衣,1,7207,16811434
201404,10020000,衣,2,26893,70959425
201404,10010000,衣,1,823,2017245
201404,10010000,衣,2,3145,9659682
201404,10013000,衣,1,4941,10421929
201404,10013000,衣,2,17897,42410220
201404,10002000,衣,1,3546,8738854
201404,10002000,衣,2,15690,49241639
201404,10015000,衣,1,3045,7096558
201404,10015000,衣,2,11078,29971057
201404,10014000,衣,1,2079,4404909
201404,10014000,衣,2,8057,20831959
201404,10016000,衣,1,1656,4743469
201404,10016000,衣,2,5853,14362511
201404,09020000,衣,1,578,1113006
201404,09020000,衣,2,1278,2979659
201404,09007000,衣,1,0,0
201404,09007000,衣,2,0,0
201405,10017000,衣,1,6732,15802416
201405,10017000,衣,2,21212,54086636
201405,10018000,衣,1,5207,12838757
201405,10018000,衣,2,13818,41279055
201405,10004000,衣,1,2827,7140673
201405,10004000,衣,2,9706,30594395
201405,10005000,衣,1,5316,12424650
201405,10005000,衣,2,18259,49706680
201405,10007000,衣,1,41912,104762288
201405,10007000,衣,2,144982,400899835
201405,10008000,衣,1,5237,11687499
201405,10008000,衣,2,17351,44231288
201405,10009000,衣,1,6890,14264622
201405,10009000,衣,2,22920,56631850
201405,10020000,衣,1,7971,19390654
201405,10020000,衣,2,27840,73887885
201405,10010000,衣,1,1040,2553266
201405,10010000,衣,2,3576,10273358
201405,10013000,衣,1,5684,12225784
201405,10013000,衣,2,19468,45095220
201405,10002000,衣,1,3945,10202971
201405,10002000,衣,2,16518,52106605
201405,10015000,衣,1,3765,8610395
201405,10015000,衣,2,12753,34339993
201405,10014000,衣,1,2595,5649841
201405,10014000,衣,2,9247,23134758
201405,10016000,衣,1,1953,4583741
201405,10016000,衣,2,6381,15511774
201405,09020000,衣,1,719,1383189
201405,09020000,衣,2,1574,3172235
201405,09007000,衣,1,0,0
201405,09007000,衣,2,0,0
201406,10017000,衣,1,6507,14837607
201406,10017000,衣,2,20993,52257351
201406,10018000,衣,1,4882,11392057
201406,10018000,衣,2,13446,36761306
201406,10004000,衣,1,2396,6315325
201406,10004000,衣,2,8659,26731568
201406,10005000,衣,1,4973,10916579
201406,10005000,衣,2,17600,45985365
201406,10007000,衣,1,43600,106812615
201406,10007000,衣,2,148375,394820374
201406,10008000,衣,1,5228,11264102
201406,10008000,衣,2,17351,41921770
201406,10009000,衣,1,6392,13119137
201406,10009000,衣,2,21363,51532277
201406,10020000,衣,1,7258,16654006
201406,10020000,衣,2,25575,64136798
201406,10010000,衣,1,830,1880060
201406,10010000,衣,2,3099,8627967
201406,10013000,衣,1,5238,11258647
201406,10013000,衣,2,17463,40876415
201406,10002000,衣,1,3963,9146964
201406,10002000,衣,2,16575,48807146
201406,10015000,衣,1,3656,8354091
201406,10015000,衣,2,12524,32473098
201406,10014000,衣,1,2496,5044911
201406,10014000,衣,2,8629,20412780
201406,10016000,衣,1,1781,4301557
201406,10016000,衣,2,5822,14177316
201406,09020000,衣,1,630,1208147
201406,09020000,衣,2,1354,3012740
201406,09007000,衣,1,0,0
201406,09007000,衣,2,0,0
201407,10017000,衣,1,6698,14837657
201407,10017000,衣,2,21356,52078587
201407,10018000,衣,1,5153,11707342
201407,10018000,衣,2,14252,38620212
201407,10004000,衣,1,2492,6428945
201407,10004000,衣,2,8637,25708894
201407,10005000,衣,1,4990,11098248
201407,10005000,衣,2,18349,47888015
201407,10007000,衣,1,46665,107188878
201407,10007000,衣,2,163583,403040795
201407,10008000,衣,1,5515,12143700
201407,10008000,衣,2,18117,43504965
201407,10009000,衣,1,6441,13403267
201407,10009000,衣,2,22077,52206585
201407,10020000,衣,1,8259,19022595
201407,10020000,衣,2,27097,67158864
201407,10010000,衣,1,904,2188677
201407,10010000,衣,2,3357,9031605
201407,10013000,衣,1,5642,11799243
201407,10013000,衣,2,18831,42522444
201407,10002000,衣,1,4381,10441766
201407,10002000,衣,2,17284,48750568
201407,10015000,衣,1,4145,8951903
201407,10015000,衣,2,12653,31421014
201407,10014000,衣,1,2827,5565462
201407,10014000,衣,2,9391,21483619
201407,10016000,衣,1,1798,4103141
201407,10016000,衣,2,6061,14285253
201407,09020000,衣,1,647,1255864
201407,09020000,衣,2,1359,2593952
201407,09007000,衣,1,0,0
201407,09007000,衣,2,0,0
201408,10017000,衣,1,7331,15921948
201408,10017000,衣,2,22327,51325316
201408,10018000,衣,1,5442,12503276
201408,10018000,衣,2,14572,37790666
201408,10004000,衣,1,2790,6545297
201408,10004000,衣,2,9447,25751805
201408,10005000,衣,1,5411,11867901
201408,10005000,衣,2,18013,44427820
201408,10007000,衣,1,46177,109094867
201408,10007000,衣,2,158883,382630957
201408,10008000,衣,1,5729,12879201
201408,10008000,衣,2,18500,43372040
201408,10009000,衣,1,6988,14335853
201408,10009000,衣,2,23110,52397250
201408,10020000,衣,1,8746,20057791
201408,10020000,衣,2,28205,68021862
201408,10010000,衣,1,1132,2624483
201408,10010000,衣,2,3825,9853902
201408,10013000,衣,1,6295,12962100
201408,10013000,衣,2,20729,44644922
201408,10002000,衣,1,5100,11702696
201408,10002000,衣,2,17880,48625996
201408,10015000,衣,1,4618,10674527
201408,10015000,衣,2,13315,32561139
201408,10014000,衣,1,2989,5648782
201408,10014000,衣,2,9871,22015173
201408,10016000,衣,1,2036,4705260
201408,10016000,衣,2,6160,14163657
201408,09020000,衣,1,673,1224250
201408,09020000,衣,2,1407,2856522
201408,09007000,衣,1,0,0
201408,09007000,衣,2,0,0
201409,10017000,衣,1,5623,13091643
201409,10017000,衣,2,18556,46101894
201409,10018000,衣,1,4565,11628839
201409,10018000,衣,2,12613,35405743
201409,10004000,衣,1,2359,6629966
201409,10004000,衣,2,8849,28051839
201409,10005000,衣,1,4306,10307007
201409,10005000,衣,2,16530,43197872
201409,10007000,衣,1,39253,96819923
201409,10007000,衣,2,139327,373562090
201409,10008000,衣,1,4548,10396354
201409,10008000,衣,2,16216,41912001
201409,10009000,衣,1,5740,12604931
201409,10009000,衣,2,20317,52287421
201409,10020000,衣,1,7037,17156380
201409,10020000,衣,2,26208,68393440
201409,10010000,衣,1,735,1758198
201409,10010000,衣,2,3254,9828864
201409,10013000,衣,1,4968,11468382
201409,10013000,衣,2,17930,43363302
201409,10002000,衣,1,3651,8911862
201409,10002000,衣,2,15285,46172350
