年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10017000,文教康樂,1,4031,12479637
201401,10017000,文教康樂,2,7205,24917739
201401,10018000,文教康樂,1,15324,85717467
201401,10018000,文教康樂,2,24184,112803905
201401,10004000,文教康樂,1,8479,40494939
201401,10004000,文教康樂,2,10062,60178356
201401,10005000,文教康樂,1,11704,49281650
201401,10005000,文教康樂,2,15836,66058293
201401,10007000,文教康樂,1,185459,850467539
201401,10007000,文教康樂,2,210881,957876891
201401,10008000,文教康樂,1,13209,55575399
201401,10008000,文教康樂,2,16030,67845798
201401,10009000,文教康樂,1,11731,40567142
201401,10009000,文教康樂,2,17004,60407814
201401,10020000,文教康樂,1,13092,73081458
201401,10020000,文教康樂,2,21651,101508706
201401,10010000,文教康樂,1,2451,9236684
201401,10010000,文教康樂,2,2989,12065135
201401,10013000,文教康樂,1,15446,50110552
201401,10013000,文教康樂,2,20204,66542061
201401,10002000,文教康樂,1,9503,38414588
201401,10002000,文教康樂,2,13581,55511128
201401,10015000,文教康樂,1,10750,35401002
201401,10015000,文教康樂,2,17971,52056051
201401,10014000,文教康樂,1,8781,21153611
201401,10014000,文教康樂,2,14448,34323740
201401,10016000,文教康樂,1,3819,13080444
201401,10016000,文教康樂,2,4825,16439854
201401,09020000,文教康樂,1,516,3482214
201401,09020000,文教康樂,2,418,2244592
201401,09007000,文教康樂,1,17,82294
201401,09007000,文教康樂,2,8,23003
201402,10017000,文教康樂,1,3531,10018000
201402,10017000,文教康樂,2,6060,17089037
201402,10018000,文教康樂,1,13509,64081164
201402,10018000,文教康樂,2,20494,77110081
201402,10004000,文教康樂,1,7984,33998127
201402,10004000,文教康樂,2,8480,43504343
201402,10005000,文教康樂,1,10355,47139836
201402,10005000,文教康樂,2,13017,50715531
201402,10007000,文教康樂,1,195109,894612050
201402,10007000,文教康樂,2,217929,1010709222
201402,10008000,文教康樂,1,12515,51936077
201402,10008000,文教康樂,2,14809,64398286
201402,10009000,文教康樂,1,13665,38384855
201402,10009000,文教康樂,2,18642,52441442
201402,10020000,文教康樂,1,11886,74416443
201402,10020000,文教康樂,2,19072,94665167
201402,10010000,文教康樂,1,2726,9285827
201402,10010000,文教康樂,2,3160,10158356
201402,10013000,文教康樂,1,15911,50150802
201402,10013000,文教康樂,2,20629,64579495
201402,10002000,文教康樂,1,8311,33979334
201402,10002000,文教康樂,2,11199,39224485
201402,10015000,文教康樂,1,10970,43762386
201402,10015000,文教康樂,2,18384,61539793
201402,10014000,文教康樂,1,8954,19789647
201402,10014000,文教康樂,2,14759,29363563
201402,10016000,文教康樂,1,3671,12631147
201402,10016000,文教康樂,2,4778,15406839
201402,09020000,文教康樂,1,344,2334442
201402,09020000,文教康樂,2,278,1304225
201402,09007000,文教康樂,1,14,39868
201402,09007000,文教康樂,2,12,23680
201403,10017000,文教康樂,1,3605,10121319
201403,10017000,文教康樂,2,6191,19082366
201403,10018000,文教康樂,1,14576,79818244
201403,10018000,文教康樂,2,23533,101222690
201403,10004000,文教康樂,1,8422,39865701
201403,10004000,文教康樂,2,8657,48358622
201403,10005000,文教康樂,1,11470,54545598
201403,10005000,文教康樂,2,14431,63839352
201403,10007000,文教康樂,1,210105,803744954
201403,10007000,文教康樂,2,221964,853879480
201403,10008000,文教康樂,1,12101,51302194
201403,10008000,文教康樂,2,13989,60960000
201403,10009000,文教康樂,1,10076,36255214
201403,10009000,文教康樂,2,16796,53698524
201403,10020000,文教康樂,1,11825,71974612
201403,10020000,文教康樂,2,19769,93051831
