年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10017000,食,1,47939,80139297
201401,10017000,食,2,53313,80462852
201401,10018000,食,1,150076,243349294
201401,10018000,食,2,196351,321346400
201401,10004000,食,1,39064,46248622
201401,10004000,食,2,49368,55755536
201401,10005000,食,1,65495,106612624
201401,10005000,食,2,77587,120908612
201401,10007000,食,1,548497,1131179076
201401,10007000,食,2,670436,1139697870
201401,10008000,食,1,43908,84926931
201401,10008000,食,2,57348,95060248
201401,10009000,食,1,32718,55537329
201401,10009000,食,2,41788,63311400
201401,10020000,食,1,83781,153532768
201401,10020000,食,2,118708,205708974
201401,10010000,食,1,7815,21260366
201401,10010000,食,2,9982,16857750
201401,10013000,食,1,44056,75480340
201401,10013000,食,2,68603,95153248
201401,10002000,食,1,44557,71839043
201401,10002000,食,2,57818,80075857
201401,10015000,食,1,49937,73968470
201401,10015000,食,2,69835,88442810
201401,10014000,食,1,22611,38135619
201401,10014000,食,2,29997,47633875
201401,10016000,食,1,3520,11369724
201401,10016000,食,2,4151,10935203
201401,09020000,食,1,5217,24550232
201401,09020000,食,2,4821,13314578
201401,09007000,食,1,147,1003967
201401,09007000,食,2,92,411781
201402,10017000,食,1,34692,47605246
201402,10017000,食,2,36835,45509155
201402,10018000,食,1,125110,160170100
201402,10018000,食,2,154265,197084644
201402,10004000,食,1,33528,36091064
201402,10004000,食,2,40342,40463120
201402,10005000,食,1,46132,56549980
201402,10005000,食,2,53368,63098865
201402,10007000,食,1,430566,708627238
201402,10007000,食,2,513293,702962868
201402,10008000,食,1,32055,50311005
201402,10008000,食,2,42540,58680976
201402,10009000,食,1,23785,32802285
201402,10009000,食,2,30637,40657492
201402,10020000,食,1,61869,90967638
201402,10020000,食,2,86323,125749423
201402,10010000,食,1,5614,13863354
201402,10010000,食,2,7567,11663940
201402,10013000,食,1,32144,45804158
201402,10013000,食,2,49994,58489037
201402,10002000,食,1,35483,51788132
201402,10002000,食,2,46115,57137619
201402,10015000,食,1,40479,46195789
201402,10015000,食,2,58842,60073666
201402,10014000,食,1,17787,23739453
201402,10014000,食,2,23520,29986367
201402,10016000,食,1,3046,7916649
201402,10016000,食,2,3815,9109241
201402,09020000,食,1,3804,15911246
201402,09020000,食,2,4149,10278782
201402,09007000,食,1,128,467171
201402,09007000,食,2,62,222275
201403,10017000,食,1,38924,50667995
201403,10017000,食,2,43566,50703882
