年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10017000,住,1,6849,35122531
201401,10017000,住,2,5497,35641379
201401,10018000,住,1,13433,93262220
201401,10018000,住,2,10452,81281732
201401,10004000,住,1,10573,61662390
201401,10004000,住,2,6526,50804745
201401,10005000,住,1,13485,71409933
201401,10005000,住,2,10499,68313626
201401,10007000,住,1,170081,584230801
201401,10007000,住,2,153304,569534751
201401,10008000,住,1,19167,128627776
201401,10008000,住,2,18464,125992052
201401,10009000,住,1,10730,53272174
201401,10009000,住,2,8733,50674282
201401,10020000,住,1,19957,85185828
201401,10020000,住,2,19392,93750997
201401,10010000,住,1,2484,13955012
201401,10010000,住,2,2114,14556864
201401,10013000,住,1,21151,117297808
201401,10013000,住,2,20987,130721016
201401,10002000,住,1,26367,161663524
201401,10002000,住,2,27512,181264039
201401,10015000,住,1,21097,115303042
201401,10015000,住,2,21182,126448960
201401,10014000,住,1,10014,76116999
201401,10014000,住,2,9845,84815577
201401,10016000,住,1,2565,10471425
201401,10016000,住,2,1957,8612310
201401,09020000,住,1,2385,12656687
201401,09020000,住,2,1468,8799919
201401,09007000,住,1,76,216100
201401,09007000,住,2,28,95410
201402,10017000,住,1,4965,24803943
201402,10017000,住,2,4072,25614380
201402,10018000,住,1,11556,69737160
201402,10018000,住,2,8983,56861568
201402,10004000,住,1,7543,35067075
201402,10004000,住,2,4485,26756863
201402,10005000,住,1,11085,50429163
201402,10005000,住,2,8763,46693111
201402,10007000,住,1,132492,419894459
201402,10007000,住,2,115697,396915004
201402,10008000,住,1,17004,106360741
201402,10008000,住,2,17190,112297354
201402,10009000,住,1,8850,39018185
201402,10009000,住,2,7229,35610958
201402,10020000,住,1,15782,61697450
201402,10020000,住,2,14555,62074737
201402,10010000,住,1,2176,12489864
201402,10010000,住,2,1933,11916639
201402,10013000,住,1,18176,95206018
201402,10013000,住,2,17823,105694502
201402,10002000,住,1,22786,124916544
201402,10002000,住,2,24349,146935164
201402,10015000,住,1,18361,97427921
201402,10015000,住,2,18750,106179698
201402,10014000,住,1,8940,67421476
201402,10014000,住,2,9243,79052712
201402,10016000,住,1,2085,7903580
201402,10016000,住,2,1742,7557947
201402,09020000,住,1,1665,7444173
201402,09020000,住,2,1090,4819775
201402,09007000,住,1,94,244920
201402,09007000,住,2,48,135870
201403,10017000,住,1,5007,24917108
