年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10017000,其他,1,17610,82202124
201401,10017000,其他,2,18647,79431970
201401,10018000,其他,1,27952,167148270
201401,10018000,其他,2,34750,155272756
201401,10004000,其他,1,13275,84169840
201401,10004000,其他,2,14186,73886799
201401,10005000,其他,1,21332,110100723
201401,10005000,其他,2,31203,124432151
201401,10007000,其他,1,187215,1068936268
201401,10007000,其他,2,312695,1222376994
201401,10008000,其他,1,16051,86239789
201401,10008000,其他,2,26936,103076795
201401,10009000,其他,1,14826,76030883
201401,10009000,其他,2,22692,85762650
201401,10020000,其他,1,29441,138172342
201401,10020000,其他,2,60210,192867715
201401,10010000,其他,1,7167,32732840
201401,10010000,其他,2,9191,33266980
201401,10013000,其他,1,18773,92688996
201401,10013000,其他,2,31072,117707756
201401,10002000,其他,1,18030,76582279
201401,10002000,其他,2,24510,92670206
201401,10015000,其他,1,12506,69817386
201401,10015000,其他,2,20240,93426057
201401,10014000,其他,1,4350,24014594
201401,10014000,其他,2,7002,28549501
201401,10016000,其他,1,4391,19691505
201401,10016000,其他,2,8963,31931534
201401,09020000,其他,1,1624,7928184
201401,09020000,其他,2,1568,8575832
201401,09007000,其他,1,15,33767
201401,09007000,其他,2,22,97783
201402,10017000,其他,1,13990,61403513
201402,10017000,其他,2,14852,61340721
201402,10018000,其他,1,21268,123728248
201402,10018000,其他,2,27018,109297390
201402,10004000,其他,1,9976,64906788
201402,10004000,其他,2,10802,68701624
201402,10005000,其他,1,16244,74409431
201402,10005000,其他,2,25112,84803596
201402,10007000,其他,1,145169,783191396
201402,10007000,其他,2,252206,932638876
201402,10008000,其他,1,11540,60286897
201402,10008000,其他,2,20799,83855846
201402,10009000,其他,1,12243,64181048
201402,10009000,其他,2,19062,80411765
201402,10020000,其他,1,22807,104454594
201402,10020000,其他,2,48132,146813586
201402,10010000,其他,1,5815,25876510
201402,10010000,其他,2,7506,27983156
201402,10013000,其他,1,14386,64965075
201402,10013000,其他,2,25152,87393898
201402,10002000,其他,1,16114,60115031
201402,10002000,其他,2,21810,71480712
201402,10015000,其他,1,9416,50159196
201402,10015000,其他,2,16354,68600967
201402,10014000,其他,1,3357,16827730
201402,10014000,其他,2,5623,20544852
201402,10016000,其他,1,3467,14451835
201402,10016000,其他,2,7925,27463336
201402,09020000,其他,1,1049,4737923
201402,09020000,其他,2,1139,4478230
201402,09007000,其他,1,14,57996
201402,09007000,其他,2,15,58745
201403,10017000,其他,1,15883,65858577
201403,10017000,其他,2,17152,66997471
201403,10018000,其他,1,23784,138317330
201403,10018000,其他,2,31280,131749127
201403,10004000,其他,1,11711,69124659
201403,10004000,其他,2,12574,61839145
201403,10005000,其他,1,17526,83397670
201403,10005000,其他,2,26574,92668951
201403,10007000,其他,1,163926,908652577
201403,10007000,其他,2,288784,1102987799
201403,10008000,其他,1,12895,66445526
201403,10008000,其他,2,22956,82167881
201403,10009000,其他,1,12484,62710566
201403,10009000,其他,2,19751,71688506
201403,10020000,其他,1,23542,108656233
201403,10020000,其他,2,46706,157282170
201403,10010000,其他,1,6954,31615802
201403,10010000,其他,2,9093,32387086
201403,10013000,其他,1,15010,64930424
201403,10013000,其他,2,25325,82620772
201403,10002000,其他,1,15988,63287476
201403,10002000,其他,2,22292,76242718
201403,10015000,其他,1,10259,56634023
201403,10015000,其他,2,17901,75498735
201403,10014000,其他,1,3693,19377171
201403,10014000,其他,2,5907,21386166
201403,10016000,其他,1,3796,16498978
201403,10016000,其他,2,8376,25623009
201403,09020000,其他,1,1214,4744244
201403,09020000,其他,2,1252,4310955
201403,09007000,其他,1,14,54484
201403,09007000,其他,2,17,65889
201404,10017000,其他,1,15434,62345888
201404,10017000,其他,2,16237,62662222
201404,10018000,其他,1,22251,137294361
201404,10018000,其他,2,29652,134894215
201404,10004000,其他,1,10731,67746104
201404,10004000,其他,2,11919,61577935
201404,10005000,其他,1,16533,82651834
201404,10005000,其他,2,25969,90344329
201404,10007000,其他,1,153833,875558351
201404,10007000,其他,2,273845,1074451679
201404,10008000,其他,1,12097,63223703
201404,10008000,其他,2,21677,82181436
201404,10009000,其他,1,12112,60636937
201404,10009000,其他,2,19005,72792277
201404,10020000,其他,1,24067,107536124
201404,10020000,其他,2,49004,149317260
201404,10010000,其他,1,6934,31017686
201404,10010000,其他,2,9002,32217700
201404,10013000,其他,1,14537,69153846
201404,10013000,其他,2,23533,84092246
201404,10002000,其他,1,14808,61136370
201404,10002000,其他,2,20572,71164659
201404,10015000,其他,1,9655,52475119
201404,10015000,其他,2,16633,73049740
201404,10014000,其他,1,3658,19170215
201404,10014000,其他,2,5598,22870737
201404,10016000,其他,1,3893,17217047
201404,10016000,其他,2,8317,27695280
201404,09020000,其他,1,1145,4641135
201404,09020000,其他,2,1252,5009957
201404,09007000,其他,1,19,83560
201404,09007000,其他,2,20,60499
201405,10017000,其他,1,16225,67405943
201405,10017000,其他,2,17633,66944088
201405,10018000,其他,1,23686,145497784
201405,10018000,其他,2,30329,132456637
201405,10004000,其他,1,11717,70155212
201405,10004000,其他,2,12836,63176489
201405,10005000,其他,1,17579,84716612
201405,10005000,其他,2,26972,93268377
201405,10007000,其他,1,165448,898260099
201405,10007000,其他,2,288665,1105126618
201405,10008000,其他,1,13175,70297179
201405,10008000,其他,2,23191,88806826
201405,10009000,其他,1,13460,65458948
201405,10009000,其他,2,21165,80783250
201405,10020000,其他,1,26714,109547398
201405,10020000,其他,2,57321,161831925
201405,10010000,其他,1,7276,33307402
201405,10010000,其他,2,10160,33807809
201405,10013000,其他,1,16153,73866286
201405,10013000,其他,2,25542,88499912
201405,10002000,其他,1,15850,65250807
201405,10002000,其他,2,22231,73449081
201405,10015000,其他,1,10668,59378442
201405,10015000,其他,2,18369,78964023
201405,10014000,其他,1,3951,20958639
201405,10014000,其他,2,6468,26773272
201405,10016000,其他,1,4112,17973853
201405,10016000,其他,2,8874,30233160
201405,09020000,其他,1,1271,5020474
201405,09020000,其他,2,1387,4682827
201405,09007000,其他,1,25,147728
201405,09007000,其他,2,28,67151
201406,10017000,其他,1,16128,66145116
201406,10017000,其他,2,17483,66062058
201406,10018000,其他,1,23446,137975957
201406,10018000,其他,2,31266,130763960
201406,10004000,其他,1,11818,75933136
201406,10004000,其他,2,13051,59830797
201406,10005000,其他,1,17554,81779698
201406,10005000,其他,2,27169,90609640
201406,10007000,其他,1,166744,884558981
201406,10007000,其他,2,291846,1051847055
201406,10008000,其他,1,12811,66897519
201406,10008000,其他,2,22928,85226895
201406,10009000,其他,1,13237,63417355
201406,10009000,其他,2,20302,73497442
201406,10020000,其他,1,25039,107840302
201406,10020000,其他,2,52391,153095097
201406,10010000,其他,1,7254,31046225
201406,10010000,其他,2,9798,32999735
201406,10013000,其他,1,15866,72784651
201406,10013000,其他,2,25239,86922605
201406,10002000,其他,1,15928,67554832
201406,10002000,其他,2,22219,70850902
201406,10015000,其他,1,10640,53808012
201406,10015000,其他,2,17535,70394725
201406,10014000,其他,1,3711,18514022
201406,10014000,其他,2,5960,21668759
201406,10016000,其他,1,4068,16977772
201406,10016000,其他,2,9090,28414536
201406,09020000,其他,1,1304,5400698
201406,09020000,其他,2,1334,4113588
201406,09007000,其他,1,29,128125
201406,09007000,其他,2,24,117273
201407,10017000,其他,1,10331,58296767
201407,10017000,其他,2,14288,60400762
201407,10018000,其他,1,23360,141134793
201407,10018000,其他,2,32534,130652268
201407,10004000,其他,1,31764,137473127
201407,10004000,其他,2,35882,138563112
201407,10005000,其他,1,17406,88552335
201407,10005000,其他,2,27496,97371733
201407,10007000,其他,1,168558,909562918
201407,10007000,其他,2,300734,1078185106
201407,10008000,其他,1,13628,72109568
201407,10008000,其他,2,23647,84315037
201407,10009000,其他,1,12982,65790341
201407,10009000,其他,2,20055,76477411
201407,10020000,其他,1,39675,159554217
201407,10020000,其他,2,71945,212247662
201407,10010000,其他,1,7431,32528406
201407,10010000,其他,2,10196,36011640
201407,10013000,其他,1,15995,73776678
201407,10013000,其他,2,25541,86709221
201407,10002000,其他,1,17642,71376020
201407,10002000,其他,2,25185,78028284
201407,10015000,其他,1,10948,58395153
201407,10015000,其他,2,18395,76206989
201407,10014000,其他,1,3952,21205564
201407,10014000,其他,2,6605,25225205
201407,10016000,其他,1,4101,16398997
201407,10016000,其他,2,8824,27257392
201407,09020000,其他,1,1188,4971721
201407,09020000,其他,2,1404,5164740
201407,09007000,其他,1,26,277975
201407,09007000,其他,2,27,392001
201408,10017000,其他,1,16476,69948713
201408,10017000,其他,2,18096,71001957
201408,10018000,其他,1,22779,128785899
201408,10018000,其他,2,30551,114886954
201408,10004000,其他,1,14109,80302506
201408,10004000,其他,2,15736,72230910
201408,10005000,其他,1,17441,103077297
201408,10005000,其他,2,27097,113748052
201408,10007000,其他,1,173273,896189649
201408,10007000,其他,2,307997,1101969329
201408,10008000,其他,1,13933,68625748
201408,10008000,其他,2,23264,85340062
201408,10009000,其他,1,13727,69355830
201408,10009000,其他,2,21551,80220801
201408,10020000,其他,1,26942,113105606
201408,10020000,其他,2,55966,160243905
201408,10010000,其他,1,7468,30986030
201408,10010000,其他,2,9909,32545892
201408,10013000,其他,1,16492,73242720
201408,10013000,其他,2,26532,89440118
201408,10002000,其他,1,18501,66119596
201408,10002000,其他,2,26055,77213268
201408,10015000,其他,1,10572,52865392
201408,10015000,其他,2,18915,75506054
201408,10014000,其他,1,4044,19267268
201408,10014000,其他,2,6773,23354191
201408,10016000,其他,1,4031,14879394
201408,10016000,其他,2,8886,25902531
201408,09020000,其他,1,1197,5211664
201408,09020000,其他,2,1401,5443962
201408,09007000,其他,1,16,61347
201408,09007000,其他,2,14,46497
201409,10017000,其他,1,17270,81101632
201409,10017000,其他,2,18269,77357642
201409,10018000,其他,1,22302,138305023
201409,10018000,其他,2,29410,123911635
201409,10004000,其他,1,12211,82471557
