年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,63000000,食,1,2540857,4020850073
201401,63000000,食,2,3266520,4294246392
201401,63000000,衣,1,201542,621770952
201401,63000000,衣,2,677020,2222689737
201401,63000000,住,1,403448,2073457249
201401,63000000,住,2,391987,2025222299
201401,63000000,行,1,3316318,3661460015
201401,63000000,行,2,1594902,1763589600
201401,63000000,文教康樂,1,805688,5665029433
201401,63000000,文教康樂,2,1211425,6884943264
201401,63000000,百貨,1,888313,2732060856
201401,63000000,百貨,2,2028743,5583157933
201401,63000000,其他,1,5360498,16467220488
201401,63000000,其他,2,7166885,22404198301
201401,65000000,食,1,544085,898565627
201401,65000000,食,2,718849,1154814859
201401,65000000,衣,1,38287,109441651
201401,65000000,衣,2,134009,416597767
201401,65000000,住,1,98519,524997865
201401,65000000,住,2,83025,489717108
201401,65000000,行,1,476794,479349819
201401,65000000,行,2,158131,146383765
201401,65000000,文教康樂,1,79238,230393747
201401,65000000,文教康樂,2,119322,443598345
201401,65000000,百貨,1,107526,412063579
201401,65000000,百貨,2,234490,828622943
201401,65000000,其他,1,210113,971507038
201401,65000000,其他,2,263764,1079892019
201401,68000000,食,1,453268,832305137
201401,68000000,食,2,535961,946989699
201401,68000000,衣,1,44726,109474678
201401,68000000,衣,2,153898,405508647
201401,68000000,住,1,94083,439848380
201401,68000000,住,2,77398,388496107
201401,68000000,行,1,737545,993292069
201401,68000000,行,2,357923,471741303
201401,68000000,文教康樂,1,105455,479397771
201401,68000000,文教康樂,2,105992,539546579
201401,68000000,百貨,1,263477,858315657
201401,68000000,百貨,2,426176,1420233354
201401,68000000,其他,1,147575,879687313
201401,68000000,其他,2,222307,1028339911
201401,66000000,食,1,341854,914858245
201401,66000000,食,2,502244,980686841
201401,66000000,衣,1,35003,100168678
201401,66000000,衣,2,111125,345490112
201401,66000000,住,1,62244,367093504
201401,66000000,住,2,52994,355563139
201401,66000000,行,1,232040,285099119
201401,66000000,行,2,112286,127274590
201401,66000000,文教康樂,1,79102,425475412
201401,66000000,文教康樂,2,118443,618311351
201401,66000000,百貨,1,149619,649575550
201401,66000000,百貨,2,464250,1740141738
201401,66000000,其他,1,171488,830951948
201401,66000000,其他,2,206783,943319025
201401,67000000,食,1,282074,531066607
201401,67000000,食,2,364813,607251817
201401,67000000,衣,1,30752,82721124
201401,67000000,衣,2,99429,291756131
201401,67000000,住,1,76631,360657561
201401,67000000,住,2,65937,329616081
201401,67000000,行,1,550853,648334202
201401,67000000,行,2,313354,310675645
201401,67000000,文教康樂,1,63318,329982739
201401,67000000,文教康樂,2,86395,421243614
201401,67000000,百貨,1,94084,282296210
201401,67000000,百貨,2,261819,684430813
201401,67000000,其他,1,96005,502068452
201401,67000000,其他,2,150772,588511901
201401,64000000,食,1,524102,1066558822
201401,64000000,食,2,775540,1301280049
201401,64000000,衣,1,58110,145755540
201401,64000000,衣,2,170586,457110168
201401,64000000,住,1,153413,685969441
201401,64000000,住,2,133436,626334732
201401,64000000,行,1,748174,898711692
201401,64000000,行,2,432049,458555874
201401,64000000,文教康樂,1,108024,640122049
201401,64000000,文教康樂,2,148767,816909154
201401,64000000,百貨,1,244918,707907989
201401,64000000,百貨,2,631529,1637250745
201401,64000000,其他,1,224002,980702270
201401,64000000,其他,2,304810,1154223100
201402,63000000,食,1,2145203,2991434672
201402,63000000,食,2,2704671,3047708683
201402,63000000,衣,1,133424,419913763
201402,63000000,衣,2,478468,1493760834
201402,63000000,住,1,312920,1430612154
201402,63000000,住,2,295271,1297451389
201402,63000000,行,1,2932488,3225028488
201402,63000000,行,2,1399677,1566340038
201402,63000000,文教康樂,1,901068,6509041493
201402,63000000,文教康樂,2,1303046,7866444611
