年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,63000000,衣,1,201542,621770952
201401,63000000,衣,2,677020,2222689737
201401,65000000,衣,1,38287,109441651
201401,65000000,衣,2,134009,416597767
201401,68000000,衣,1,44726,109474678
201401,68000000,衣,2,153898,405508647
201401,66000000,衣,1,35003,100168678
201401,66000000,衣,2,111125,345490112
201401,67000000,衣,1,30752,82721124
201401,67000000,衣,2,99429,291756131
201401,64000000,衣,1,58110,145755540
201401,64000000,衣,2,170586,457110168
201402,63000000,衣,1,133424,419913763
201402,63000000,衣,2,478468,1493760834
201402,65000000,衣,1,22821,59995684
201402,65000000,衣,2,82759,234245294
201402,68000000,衣,1,23939,53394693
201402,68000000,衣,2,83808,210014399
201402,66000000,衣,1,18638,52712087
201402,66000000,衣,2,67243,195527193
201402,67000000,衣,1,20118,50031649
201402,67000000,衣,2,64895,177193480
201402,64000000,衣,1,37694,88612776
201402,64000000,衣,2,116227,287007029
201403,63000000,衣,1,145237,440729604
201403,63000000,衣,2,562206,1777903899
201403,65000000,衣,1,24507,59739899
201403,65000000,衣,2,99568,274317576
201403,68000000,衣,1,25381,55724166
201403,68000000,衣,2,96058,247032509
201403,66000000,衣,1,20100,54061303
201403,66000000,衣,2,77014,221756190
201403,67000000,衣,1,20812,51585473
201403,67000000,衣,2,75177,205674508
201403,64000000,衣,1,37590,85689924
201403,64000000,衣,2,125197,308928606
201404,63000000,衣,1,142648,418948155
201404,63000000,衣,2,540452,1655486767
201404,65000000,衣,1,23879,60093471
201404,65000000,衣,2,97716,267759398
201404,68000000,衣,1,28568,63896332
201404,68000000,衣,2,111636,289075251
201404,66000000,衣,1,20399,53785920
201404,66000000,衣,2,78552,227151992
201404,67000000,衣,1,20642,48489195
201404,67000000,衣,2,72194,192777229
201404,64000000,衣,1,37330,83195149
201404,64000000,衣,2,123305,305753401
201405,63000000,衣,1,163832,468195270
201405,63000000,衣,2,575791,1723529491
201405,65000000,衣,1,28896,69072779
201405,65000000,衣,2,108536,293168713
201405,68000000,衣,1,35272,75811761
201405,68000000,衣,2,130107,320333854
201405,66000000,衣,1,23431,59670417
201405,66000000,衣,2,83837,238515090
201405,67000000,衣,1,23677,56256082
201405,67000000,衣,2,78439,210601064
201405,64000000,衣,1,41959,92502716
201405,64000000,衣,2,133411,330908628
201406,63000000,衣,1,173863,458997562
201406,63000000,衣,2,609867,1734979505
201406,65000000,衣,1,27578,65555183
201406,65000000,衣,2,105128,283826744
201406,68000000,衣,1,33097,69483792
201406,68000000,衣,2,122963,290773262
201406,66000000,衣,1,20729,53801663
201406,66000000,衣,2,77786,218715841
201406,67000000,衣,1,22246,50174407
201406,67000000,衣,2,74015,189744096
201406,64000000,衣,1,39534,86721365
201406,64000000,衣,2,123520,296214067
201407,63000000,衣,1,174280,456694912
201407,63000000,衣,2,643399,1783343733
201407,65000000,衣,1,28124,66745849
201407,65000000,衣,2,108993,282104806
201407,68000000,衣,1,30701,62224592
201407,68000000,衣,2,116339,262524415
201407,66000000,衣,1,23001,55662243
201407,66000000,衣,2,86755,225754939
201407,67000000,衣,1,22758,51333954
201407,67000000,衣,2,77483,196707272
201407,64000000,衣,1,42374,91670764
201407,64000000,衣,2,135442,313823877
201408,63000000,衣,1,167560,437019651
201408,63000000,衣,2,606573,1665214053
201408,65000000,衣,1,31238,71434528
201408,65000000,衣,2,112496,273943633
201408,68000000,衣,1,33970,66776828
201408,68000000,衣,2,125642,264257369
201408,66000000,衣,1,24376,58727811
201408,66000000,衣,2,86727,219711826
201408,67000000,衣,1,25240,55916870
201408,67000000,衣,2,78851,190429071
201408,64000000,衣,1,43431,94645499
201408,64000000,衣,2,133070,301796598
201409,63000000,衣,1,143031,410412881
201409,63000000,衣,2,541057,1633365863
201409,65000000,衣,1,25253,65490421
201409,65000000,衣,2,100271,269766956
201409,68000000,衣,1,27115,60148404
201409,68000000,衣,2,103896,255067958
201409,66000000,衣,1,19423,52305880
201409,66000000,衣,2,77418,219862660
201409,67000000,衣,1,21118,51838068
201409,67000000,衣,2,72874,192056428
201409,64000000,衣,1,36820,84739602
201409,64000000,衣,2,118786,289753588
201410,63000000,衣,1,172315,521438084
201410,63000000,衣,2,610492,1915526456
201410,65000000,衣,1,27601,68009837
201410,65000000,衣,2,102030,281474486
201410,68000000,衣,1,36964,91192906
201410,68000000,衣,2,136833,369944181
201410,66000000,衣,1,22832,62551924
201410,66000000,衣,2,82615,235759135
201410,67000000,衣,1,22584,54793431
201410,67000000,衣,2,77021,213423794
201410,64000000,衣,1,41191,97214834
201410,64000000,衣,2,126847,324309265
201411,63000000,衣,1,173200,557251562
201411,63000000,衣,2,592163,1996433515
201411,65000000,衣,1,26806,70946599
201411,65000000,衣,2,96362,289324336
201411,68000000,衣,1,43119,108302839
201411,68000000,衣,2,153462,418993864
201411,66000000,衣,1,21091,59463312
201411,66000000,衣,2,77898,239455841
201411,67000000,衣,1,22726,58121246
201411,67000000,衣,2,74293,213615828
201411,64000000,衣,1,38360,95111830
201411,64000000,衣,2,117753,315186389
201412,63000000,衣,1,220146,701594775
201412,63000000,衣,2,746328,2506130677
201412,65000000,衣,1,32005,84302342
201412,65000000,衣,2,120952,365364662
201412,68000000,衣,1,60777,149153959
201412,68000000,衣,2,230644,604411847
201412,66000000,衣,1,26655,73251851
201412,66000000,衣,2,96947,292905786
201412,67000000,衣,1,26465,66294351
201412,67000000,衣,2,90594,263971073
201412,64000000,衣,1,44759,107839871
201412,64000000,衣,2,145287,395092309
201501,63000000,衣,1,207841,637289136
201501,63000000,衣,2,681468,2221150082
201501,65000000,衣,1,30652,84430430
201501,65000000,衣,2,110432,339815805
201501,68000000,衣,1,41036,101122912
201501,68000000,衣,2,144367,385714319
201501,66000000,衣,1,27334,75016199
201501,66000000,衣,2,93002,285423375
201501,67000000,衣,1,25686,65329723
201501,67000000,衣,2,83752,250920929
201501,64000000,衣,1,46125,113979599
201501,64000000,衣,2,139513,378987719
201502,63000000,衣,1,214835,665092608
201502,63000000,衣,2,645319,2002523315
201502,65000000,衣,1,35692,94832441
201502,65000000,衣,2,112449,332704941
201502,68000000,衣,1,41058,101399496
201502,68000000,衣,2,130652,335531417
201502,66000000,衣,1,32487,89496379
201502,66000000,衣,2,98208,287015735
201502,67000000,衣,1,31768,79774778
201502,67000000,衣,2,92002,249410485
201502,64000000,衣,1,54454,132574095
201502,64000000,衣,2,151518,391755661
201503,63000000,衣,1,173383,525453957
201503,63000000,衣,2,627718,1935610631
201503,65000000,衣,1,25391,61596609
201503,65000000,衣,2,98831,275616062
201503,68000000,衣,1,30864,70739513
201503,68000000,衣,2,125015,312733578
201503,66000000,衣,1,20082,54048405
201503,66000000,衣,2,78060,220860720
201503,67000000,衣,1,22718,53825989
201503,67000000,衣,2,79320,212921155
201503,64000000,衣,1,38218,90944905
201503,64000000,衣,2,127714,319945090
201504,63000000,衣,1,180814,512479761
201504,63000000,衣,2,647964,1932606031
201504,65000000,衣,1,24817,58767473
201504,65000000,衣,2,95680,263165877
201504,68000000,衣,1,34619,77694114
201504,68000000,衣,2,136123,338532142
201504,66000000,衣,1,21577,56935063
201504,66000000,衣,2,79556,227369467
201504,67000000,衣,1,22897,52356408
201504,67000000,衣,2,76219,203143253
201504,64000000,衣,1,40514,89310858
201504,64000000,衣,2,132508,332642635
201505,63000000,衣,1,207865,559280070
201505,63000000,衣,2,711463,2035417049
201505,65000000,衣,1,25438,65512378
201505,65000000,衣,2,104058,296043798
201505,68000000,衣,1,41590,88424021
201505,68000000,衣,2,153841,368230141
201505,66000000,衣,1,19682,55708619
201505,66000000,衣,2,77972,232341232
201505,67000000,衣,1,30394,70806250
201505,67000000,衣,2,93311,239702261
201505,64000000,衣,1,46260,101054995
201505,64000000,衣,2,141889,349279394
201506,63000000,衣,1,212796,533830661
201506,63000000,衣,2,731235,1956896252
201506,65000000,衣,1,23965,60741548
201506,65000000,衣,2,96665,265040533
201506,68000000,衣,1,39388,81540008
201506,68000000,衣,2,143169,329325558
201506,66000000,衣,1,17835,49003212
201506,66000000,衣,2,72443,212629650
201506,67000000,衣,1,27189,61013374
201506,67000000,衣,2,86189,215583572
201506,64000000,衣,1,43186,94230213
201506,64000000,衣,2,136328,324323196
201507,63000000,衣,1,206162,501519030
201507,63000000,衣,2,746702,1904108182
201507,65000000,衣,1,25030,63582808
201507,65000000,衣,2,99512,269427469
201507,68000000,衣,1,37077,74781001
201507,68000000,衣,2,138687,305993593
201507,66000000,衣,1,20929,55883369
201507,66000000,衣,2,81314,231004120
201507,67000000,衣,1,27665,60085522
201507,67000000,衣,2,88612,217374147
201507,64000000,衣,1,45164,96578863
201507,64000000,衣,2,143223,328099543
201508,63000000,衣,1,193237,487869024
201508,63000000,衣,2,666122,1694068742
201508,65000000,衣,1,26995,68202134
201508,65000000,衣,2,96564,251131431
201508,68000000,衣,1,38471,77605842
201508,68000000,衣,2,134229,283382314
201508,66000000,衣,1,19177,53235774
201508,66000000,衣,2,71458,199967226
201508,67000000,衣,1,28955,62052539
201508,67000000,衣,2,84227,199120556
201508,64000000,衣,1,45839,98531391
201508,64000000,衣,2,134715,307054072
201509,63000000,衣,1,172255,494157951
201509,63000000,衣,2,622614,1823122863
201509,65000000,衣,1,24861,66063647
201509,65000000,衣,2,95993,266203532
201509,68000000,衣,1,31151,70412323
201509,68000000,衣,2,114687,276114830
201509,66000000,衣,1,22088,59100107
201509,66000000,衣,2,84453,234300995
201509,67000000,衣,1,25212,57386959
201509,67000000,衣,2,83557,215404236
201509,64000000,衣,1,42971,94717474
201509,64000000,衣,2,137905,329700071
201510,63000000,衣,1,208573,600071730
201510,63000000,衣,2,698321,2072613641
201510,65000000,衣,1,30067,84161339
201510,65000000,衣,2,104678,299739462
201510,68000000,衣,1,39015,96925639
201510,68000000,衣,2,134924,357380219
201510,66000000,衣,1,26686,72692614
201510,66000000,衣,2,93209,261561204
201510,67000000,衣,1,28509,67340064
201510,67000000,衣,2,86579,230498167
201510,64000000,衣,1,56657,123029369
201510,64000000,衣,2,168642,386552638
201511,63000000,衣,1,196630,585590566
201511,63000000,衣,2,663070,2054084495
201511,65000000,衣,1,28070,81650303
201511,65000000,衣,2,95657,284897471
201511,68000000,衣,1,40583,101967980
201511,68000000,衣,2,143628,381983846
201511,66000000,衣,1,26958,72266115
201511,66000000,衣,2,92957,257182539
201511,67000000,衣,1,27292,67540860
201511,67000000,衣,2,79215,214293814
201511,64000000,衣,1,47215,106882453
201511,64000000,衣,2,141250,346239826
201512,63000000,衣,1,252816,726838051
201512,63000000,衣,2,830282,2480286198
201512,65000000,衣,1,34737,94739161
201512,65000000,衣,2,120557,353409986
201512,68000000,衣,1,62004,151543822
201512,68000000,衣,2,225006,586406879
201512,66000000,衣,1,31601,82444375
201512,66000000,衣,2,108024,307952386
201512,67000000,衣,1,30683,72912099
201512,67000000,衣,2,94703,260212858
201512,64000000,衣,1,52221,115668123
201512,64000000,衣,2,160134,391119411
201601,63000000,衣,1,180653,555116876
201601,63000000,衣,2,631003,1973993025
201601,65000000,衣,1,109981,260269892
201601,65000000,衣,2,352965,898569643
201601,68000000,衣,1,49149,120054555
201601,68000000,衣,2,161753,419637984
201601,66000000,衣,1,76306,198032263
201601,66000000,衣,2,232245,655556207
201601,67000000,衣,1,35294,85643344
201601,67000000,衣,2,101254,281335621
201601,64000000,衣,1,60470,141358862
201601,64000000,衣,2,170557,429191839
201602,63000000,衣,1,154306,483940787
201602,63000000,衣,2,477846,1498826460
201602,65000000,衣,1,86107,205113449
201602,65000000,衣,2,259071,678803262
201602,68000000,衣,1,36617,91086995
201602,68000000,衣,2,104653,271742561
201602,66000000,衣,1,68066,177294257
201602,66000000,衣,2,194420,526267649
201602,67000000,衣,1,32097,76763712
201602,67000000,衣,2,86504,231963106
201602,64000000,衣,1,57659,130237660
201602,64000000,衣,2,157631,376997578
201603,63000000,衣,1,122681,380983178
201603,63000000,衣,2,466276,1481018557
201603,65000000,衣,1,63503,149703051
201603,65000000,衣,2,229901,574170885
201603,68000000,衣,1,24561,56131767
201603,68000000,衣,2,85336,220322705
201603,66000000,衣,1,42647,108623358
201603,66000000,衣,2,148143,398549082
201603,67000000,衣,1,24082,57088067
201603,67000000,衣,2,72973,194970291
201603,64000000,衣,1,41517,92263419
201603,64000000,衣,2,128304,310328350
201604,63000000,衣,1,149856,432176538
201604,63000000,衣,2,550562,1576558122
201604,65000000,衣,1,80323,174751242
201604,65000000,衣,2,284120,666276986
201604,68000000,衣,1,33142,73093921
201604,68000000,衣,2,117403,279343457
201604,66000000,衣,1,58702,133585591
201604,66000000,衣,2,193951,494681134
201604,67000000,衣,1,27742,60416658
201604,67000000,衣,2,82010,211623717
201604,64000000,衣,1,49661,102983808
201604,64000000,衣,2,153613,348856201
201605,63000000,衣,1,158878,431963047
201605,63000000,衣,2,583036,1610329418
201605,65000000,衣,1,89115,188778329
201605,65000000,衣,2,303795,702033790
201605,68000000,衣,1,36979,76974910
201605,68000000,衣,2,125126,292851362
201605,66000000,衣,1,57646,130613100
201605,66000000,衣,2,193469,488593582
201605,67000000,衣,1,32808,72120260
201605,67000000,衣,2,92050,231603649
201605,64000000,衣,1,49151,100559262
201605,64000000,衣,2,147797,339888768
201606,63000000,衣,1,169368,443162681
201606,63000000,衣,2,623308,1655111094
201606,65000000,衣,1,92119,189765282
201606,65000000,衣,2,312306,706782155
201606,68000000,衣,1,38927,77460311
201606,68000000,衣,2,131827,291258719
201606,66000000,衣,1,60460,135196992
201606,66000000,衣,2,198330,488947649
201606,67000000,衣,1,29482,63871069
201606,67000000,衣,2,86908,215524812
201606,64000000,衣,1,52957,106384213
201606,64000000,衣,2,156977,346723536
201607,63000000,衣,1,167109,402360071
201607,63000000,衣,2,602305,1500954000
201607,65000000,衣,1,85088,172832980
201607,65000000,衣,2,292318,646582343
201607,68000000,衣,1,37261,72936355
201607,68000000,衣,2,117791,253753456
201607,66000000,衣,1,63994,139203694
201607,66000000,衣,2,205253,483866827
201607,67000000,衣,1,28481,58592704
201607,67000000,衣,2,80994,189958352
201607,64000000,衣,1,54989,106562014
201607,64000000,衣,2,162429,342371452
201608,63000000,衣,1,141916,365858794
201608,63000000,衣,2,534164,1375714438
201608,65000000,衣,1,77894,157051085
201608,65000000,衣,2,277172,600714626
201608,68000000,衣,1,36285,71163589
201608,68000000,衣,2,121343,257546581
201608,66000000,衣,1,53140,118601615
201608,66000000,衣,2,175321,415502892
201608,67000000,衣,1,26566,54747857
201608,67000000,衣,2,75082,175417897
201608,64000000,衣,1,48802,99951254
201608,64000000,衣,2,144932,307615745
201609,63000000,衣,1,127742,361235439
201609,63000000,衣,2,464194,1320327966
201609,65000000,衣,1,64403,141086205
201609,65000000,衣,2,224410,530969879
201609,68000000,衣,1,32627,66236027
201609,68000000,衣,2,103495,231930641
201609,66000000,衣,1,46499,109085425
201609,66000000,衣,2,149506,382525918
201609,67000000,衣,1,21944,47922760
201609,67000000,衣,2,62334,162304090
201609,64000000,衣,1,41218,84283988
201609,64000000,衣,2,121299,271367541
201610,63000000,衣,1,146676,427102060
201610,63000000,衣,2,505338,1482334769
201610,65000000,衣,1,77057,174259066
201610,65000000,衣,2,248742,601637736
201610,68000000,衣,1,37987,85219258
201610,68000000,衣,2,115495,281165794
201610,66000000,衣,1,53887,131553604
201610,66000000,衣,2,165863,445722276
201610,67000000,衣,1,26326,58523340
201610,67000000,衣,2,72498,185140368
201610,64000000,衣,1,49849,107213128
201610,64000000,衣,2,142093,332479872
201611,63000000,衣,1,152511,475295523
201611,63000000,衣,2,562773,1783715575
201611,65000000,衣,1,81556,197945312
201611,65000000,衣,2,272701,695791385
201611,68000000,衣,1,38534,94489677
201611,68000000,衣,2,124566,331415372
201611,66000000,衣,1,53036,141628689
201611,66000000,衣,2,166647,478492143
201611,67000000,衣,1,24358,61181302
201611,67000000,衣,2,70365,198682315
201611,64000000,衣,1,44424,103006073
201611,64000000,衣,2,130096,327495932
201612,63000000,衣,1,198835,597872556
201612,63000000,衣,2,679712,2084762793
201612,65000000,衣,1,104127,249751956
201612,65000000,衣,2,332010,839877295
201612,68000000,衣,1,54344,127668887
201612,68000000,衣,2,167872,429735852
201612,66000000,衣,1,75466,192948515
201612,66000000,衣,2,213489,595448999
201612,67000000,衣,1,35147,84084498
201612,67000000,衣,2,97148,266960797
201612,64000000,衣,1,56776,126712956
201612,64000000,衣,2,161706,396623645
201701,63000000,衣,1,186803,548457415
201701,63000000,衣,2,612089,1818560419
201701,65000000,衣,1,105041,254706691
201701,65000000,衣,2,321067,824759469
201701,68000000,衣,1,53825,129016470
201701,68000000,衣,2,153618,393284354
201701,66000000,衣,1,80712,209545778
201701,66000000,衣,2,225000,635594418
201701,67000000,衣,1,35192,86023733
201701,67000000,衣,2,96026,266214229
201701,64000000,衣,1,60149,136666936
201701,64000000,衣,2,166747,413578014
201702,63000000,衣,1,141744,412646685
201702,63000000,衣,2,485397,1394188522
201702,65000000,衣,1,69250,162553493
201702,65000000,衣,2,226893,545826230
201702,68000000,衣,1,33859,73953746
201702,68000000,衣,2,107472,248754047
201702,66000000,衣,1,50464,129759937
201702,66000000,衣,2,149386,398972066
201702,67000000,衣,1,24560,58259948
201702,67000000,衣,2,69264,184150600
201702,64000000,衣,1,43451,95829509
201702,64000000,衣,2,124376,289969119
201703,63000000,衣,1,133552,392148345
201703,63000000,衣,2,519962,1516141489
201703,65000000,衣,1,61624,141071102
201703,65000000,衣,2,231093,558363325
201703,68000000,衣,1,29538,62831572
201703,68000000,衣,2,101734,243784143
201703,66000000,衣,1,45227,109966166
201703,66000000,衣,2,155018,410898060
201703,67000000,衣,1,24496,55991998
201703,67000000,衣,2,76838,199695242
201703,64000000,衣,1,42032,86436097
201703,64000000,衣,2,132146,304614651
201704,63000000,衣,1,155839,421168352
201704,63000000,衣,2,564639,1550774290
201704,65000000,衣,1,76974,164019004
201704,65000000,衣,2,268845,624490016
201704,68000000,衣,1,36067,74770551
201704,68000000,衣,2,117986,278673562
201704,66000000,衣,1,56419,131638528
201704,66000000,衣,2,176746,453442435
201704,67000000,衣,1,28623,62033485
201704,67000000,衣,2,82077,205683058
201704,64000000,衣,1,49349,97912261
201704,64000000,衣,2,146491,328511779
201705,63000000,衣,1,160782,440760116
201705,63000000,衣,2,601749,1652480563
201705,65000000,衣,1,83104,174404948
201705,65000000,衣,2,289147,669287682
201705,68000000,衣,1,41606,81931720
201705,68000000,衣,2,135397,301391091
201705,66000000,衣,1,61772,139598944
201705,66000000,衣,2,193630,491817485
201705,67000000,衣,1,29546,63591649
201705,67000000,衣,2,84801,210671094
201705,64000000,衣,1,51322,100601817
201705,64000000,衣,2,150189,340182814
201706,63000000,衣,1,149606,382534547
201706,63000000,衣,2,572803,1501863047
201706,65000000,衣,1,72631,150923693
201706,65000000,衣,2,258943,584970184
201706,68000000,衣,1,38540,72973081
201706,68000000,衣,2,132469,278162915
201706,66000000,衣,1,52596,116305955
201706,66000000,衣,2,165049,407524081
201706,67000000,衣,1,25635,54355262
201706,67000000,衣,2,74030,181464006
