年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,63000000,住,1,403448,2073457249
201401,63000000,住,2,391987,2025222299
201401,65000000,住,1,98519,524997865
201401,65000000,住,2,83025,489717108
201401,68000000,住,1,94083,439848380
201401,68000000,住,2,77398,388496107
201401,66000000,住,1,62244,367093504
201401,66000000,住,2,52994,355563139
201401,67000000,住,1,76631,360657561
201401,67000000,住,2,65937,329616081
201401,64000000,住,1,153413,685969441
201401,64000000,住,2,133436,626334732
201402,63000000,住,1,312920,1430612154
201402,63000000,住,2,295271,1297451389
201402,65000000,住,1,77660,327406554
201402,65000000,住,2,66661,313827410
201402,68000000,住,1,71166,281068811
201402,68000000,住,2,56453,243161710
201402,66000000,住,1,48138,238957523
201402,66000000,住,2,40784,229736370
201402,67000000,住,1,60755,254501384
201402,67000000,住,2,51590,229425197
201402,64000000,住,1,125797,503834885
201402,64000000,住,2,110646,447657880
201403,63000000,住,1,325656,1591949891
201403,63000000,住,2,308335,1458718779
201403,65000000,住,1,77882,362437756
201403,65000000,住,2,65849,336948789
201403,68000000,住,1,75338,311728768
201403,68000000,住,2,59171,275249451
201403,66000000,住,1,48481,246874902
201403,66000000,住,2,39028,236084939
201403,67000000,住,1,60714,263522298
201403,67000000,住,2,48512,219799008
201403,64000000,住,1,126048,499480762
201403,64000000,住,2,105925,458465124
201404,63000000,住,1,304998,1513039892
201404,63000000,住,2,282532,1387214254
201404,65000000,住,1,83589,445764309
201404,65000000,住,2,71434,421824263
201404,68000000,住,1,72041,328681938
201404,68000000,住,2,57314,296438313
201404,66000000,住,1,51454,300291470
201404,66000000,住,2,41877,283523957
201404,67000000,住,1,59293,281607910
201404,67000000,住,2,47280,252139161
201404,64000000,住,1,122710,520104357
201404,64000000,住,2,101727,491285109
201405,63000000,住,1,340344,1635989362
201405,63000000,住,2,322999,1545549288
201405,65000000,住,1,82491,401943328
201405,65000000,住,2,72996,399601157
201405,68000000,住,1,78807,338521018
201405,68000000,住,2,63851,306755060
201405,66000000,住,1,49343,265649474
201405,66000000,住,2,40503,259400829
201405,67000000,住,1,64950,293849063
201405,67000000,住,2,54439,270090183
201405,64000000,住,1,130720,544074662
201405,64000000,住,2,114292,532838403
201406,63000000,住,1,342637,1636076469
201406,63000000,住,2,331996,1546371432
201406,65000000,住,1,88593,440100037
201406,65000000,住,2,78397,433512452
201406,68000000,住,1,79714,341186723
201406,68000000,住,2,65887,318042173
201406,66000000,住,1,49913,281487272
201406,66000000,住,2,42117,286655220
201406,67000000,住,1,63112,284978925
201406,67000000,住,2,53586,265239589
201406,64000000,住,1,129703,537615805
201406,64000000,住,2,113967,509744651
201407,63000000,住,1,370701,1709885026
201407,63000000,住,2,362727,1634179427
201407,65000000,住,1,98815,515327256
201407,65000000,住,2,93158,526654905
201407,68000000,住,1,85998,381326127
201407,68000000,住,2,71988,358559524
201407,66000000,住,1,57602,350114099
201407,66000000,住,2,49630,347432536
201407,67000000,住,1,70980,336758356
201407,67000000,住,2,60298,306469866
201407,64000000,住,1,145106,623404472
201407,64000000,住,2,129550,593702522
201408,63000000,住,1,377622,1722240037
201408,63000000,住,2,377107,1681788728
201408,65000000,住,1,92656,442490580
201408,65000000,住,2,85422,437977093
201408,68000000,住,1,84051,341723870
201408,68000000,住,2,71562,324014402
201408,66000000,住,1,54602,289172281
201408,66000000,住,2,47304,282907576
201408,67000000,住,1,71595,311245446
201408,67000000,住,2,62929,284956619
201408,64000000,住,1,138637,533223564
201408,64000000,住,2,122966,524226335
201409,63000000,住,1,338025,1647059560
201409,63000000,住,2,332562,1549239096
201409,65000000,住,1,81635,388242639
201409,65000000,住,2,72809,375915412
201409,68000000,住,1,75943,304992956
201409,68000000,住,2,63509,285797979
201409,66000000,住,1,48285,257800432
201409,66000000,住,2,41013,249398481
201409,67000000,住,1,62056,266779884
201409,67000000,住,2,53824,250000478
201409,64000000,住,1,123786,495800967
201409,64000000,住,2,110380,469888825
201410,63000000,住,1,358799,1721519430
201410,63000000,住,2,350328,1615386596
201410,65000000,住,1,80585,374415996
201410,65000000,住,2,74957,374104677
201410,68000000,住,1,77642,316969399
201410,68000000,住,2,64356,285452514
201410,66000000,住,1,49046,249720886
201410,66000000,住,2,42067,249998175
201410,67000000,住,1,65692,295123610
201410,67000000,住,2,55768,260847198
201410,64000000,住,1,127201,500413848
201410,64000000,住,2,108717,466144255
201411,63000000,住,1,388058,1958867132
201411,63000000,住,2,382870,1955318394
201411,65000000,住,1,87501,442320055
201411,65000000,住,2,78868,441726008
201411,68000000,住,1,78527,338384780
201411,68000000,住,2,65490,329648386
201411,66000000,住,1,55923,300855158
201411,66000000,住,2,48703,296900885
201411,67000000,住,1,68946,320907781
201411,67000000,住,2,59186,295701138
201411,64000000,住,1,125642,522105642
201411,64000000,住,2,109566,500670242
201412,63000000,住,1,424857,2063072117
201412,63000000,住,2,387059,1883343544
201412,65000000,住,1,92851,455174626
201412,65000000,住,2,80797,420850367
201412,68000000,住,1,83067,360419756
201412,68000000,住,2,66802,310807244
201412,66000000,住,1,53644,289301589
201412,66000000,住,2,45030,278432531
201412,67000000,住,1,73381,328276158
201412,67000000,住,2,63940,286238026
201412,64000000,住,1,132113,557184967
201412,64000000,住,2,112211,499275604
201501,63000000,住,1,435184,2001696767
201501,63000000,住,2,403372,1893453875
201501,65000000,住,1,97941,494156085
201501,65000000,住,2,85353,459221040
201501,68000000,住,1,86889,388340227
201501,68000000,住,2,70324,352175895
201501,66000000,住,1,56582,342186523
201501,66000000,住,2,46088,310046341
201501,67000000,住,1,77326,350855940
201501,67000000,住,2,67792,332301276
201501,64000000,住,1,136376,615087194
201501,64000000,住,2,122677,566476881
201502,63000000,住,1,424790,1865564733
201502,63000000,住,2,393815,1750424731
201502,65000000,住,1,92613,446825535
201502,65000000,住,2,82509,419655713
201502,68000000,住,1,80889,343641201
201502,68000000,住,2,68524,318653722
201502,66000000,住,1,51349,285557061
201502,66000000,住,2,43944,272679646
201502,67000000,住,1,77241,350044320
201502,67000000,住,2,71864,338569711
201502,64000000,住,1,139388,582343348
201502,64000000,住,2,129348,564606861
201503,63000000,住,1,385980,1697683713
201503,63000000,住,2,361499,1593141089
201503,65000000,住,1,84041,390814345
201503,65000000,住,2,73708,357563893
201503,68000000,住,1,75544,308152850
201503,68000000,住,2,60829,264303263
201503,66000000,住,1,45700,239172027
201503,66000000,住,2,37520,225974616
201503,67000000,住,1,66715,281311776
201503,67000000,住,2,57060,264419795
201503,64000000,住,1,125394,483936707
201503,64000000,住,2,108010,449789744
201504,63000000,住,1,367784,1613321974
201504,63000000,住,2,336370,1495710422
201504,65000000,住,1,90268,479340203
201504,65000000,住,2,80261,468468987
201504,68000000,住,1,74310,340179851
201504,68000000,住,2,58961,304377931
201504,66000000,住,1,50640,303466264
201504,66000000,住,2,42828,298856060
201504,67000000,住,1,66313,317530589
201504,67000000,住,2,55858,301667336
201504,64000000,住,1,123879,543873894
201504,64000000,住,2,106807,496236474
201505,63000000,住,1,379508,1765668264
201505,63000000,住,2,363646,1656094461
201505,65000000,住,1,87978,429152051
201505,65000000,住,2,79583,419383067
201505,68000000,住,1,80827,357876353
201505,68000000,住,2,65089,318564245
201505,66000000,住,1,48035,266148947
201505,66000000,住,2,40611,255324960
201505,67000000,住,1,69155,312254175
201505,67000000,住,2,60096,299724804
201505,64000000,住,1,129790,561079379
201505,64000000,住,2,114181,532654845
201506,63000000,住,1,361602,1663919986
201506,63000000,住,2,352910,1586602752
201506,65000000,住,1,88236,454886019
201506,65000000,住,2,80239,457486542
201506,68000000,住,1,77101,347202547
201506,68000000,住,2,63953,320776397
201506,66000000,住,1,50533,302153982
201506,66000000,住,2,44565,305846066
201506,67000000,住,1,68247,331266253
201506,67000000,住,2,60865,321719724
201506,64000000,住,1,129269,572558020
201506,64000000,住,2,115923,544388375
201507,63000000,住,1,391107,1793299784
201507,63000000,住,2,390141,1687630783
201507,65000000,住,1,94331,481295613
201507,65000000,住,2,89583,485884329
201507,68000000,住,1,81190,350239560
201507,68000000,住,2,68465,320312123
201507,66000000,住,1,55336,312777744
201507,66000000,住,2,48948,310142272
201507,67000000,住,1,73789,338619354
201507,67000000,住,2,65961,326998163
201507,64000000,住,1,138943,594758388
201507,64000000,住,2,126215,565330930
201508,63000000,住,1,395666,1703468287
201508,63000000,住,2,390936,1624115030
201508,65000000,住,1,94843,440906150
