年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,63000000,其他,1,5360498,16467220488
201401,63000000,其他,2,7166885,22404198301
201401,65000000,其他,1,210113,971507038
201401,65000000,其他,2,263764,1079892019
201401,68000000,其他,1,147575,879687313
201401,68000000,其他,2,222307,1028339911
201401,66000000,其他,1,171488,830951948
201401,66000000,其他,2,206783,943319025
201401,67000000,其他,1,96005,502068452
201401,67000000,其他,2,150772,588511901
201401,64000000,其他,1,224002,980702270
201401,64000000,其他,2,304810,1154223100
201402,63000000,其他,1,4934111,13980511547
201402,63000000,其他,2,6543651,19414958005
201402,65000000,其他,1,165688,698971619
201402,65000000,其他,2,214494,809517779
201402,68000000,其他,1,110725,613172768
201402,68000000,其他,2,167790,717577270
201402,66000000,其他,1,143270,625818677
201402,66000000,其他,2,172590,730389887
201402,67000000,其他,1,71474,375734510
201402,67000000,其他,2,117359,431479960
201402,64000000,其他,1,182456,754869052
201402,64000000,其他,2,259697,949967575
201403,63000000,其他,1,5668814,16002068219
201403,63000000,其他,2,7558754,23191177757
201403,65000000,其他,1,179926,780035486
201403,65000000,其他,2,238317,907593876
201403,68000000,其他,1,127363,750446322
201403,68000000,其他,2,197954,909517876
201403,66000000,其他,1,158173,745545438
201403,66000000,其他,2,191527,867835654
201403,67000000,其他,1,74793,402748940
201403,67000000,其他,2,123443,483614759
201403,64000000,其他,1,194978,848819771
201403,64000000,其他,2,278574,1078719231
201404,63000000,其他,1,5453321,16327362983
201404,63000000,其他,2,7199411,22248409587
201404,65000000,其他,1,175855,783623214
201404,65000000,其他,2,230336,905212734
201404,68000000,其他,1,121222,736635459
201404,68000000,其他,2,192370,961842940
201404,66000000,其他,1,152471,706234163
201404,66000000,其他,2,186860,804495370
201404,67000000,其他,1,70600,389584419
201404,67000000,其他,2,113689,451189664
201404,64000000,其他,1,181753,786624606
201404,64000000,其他,2,259400,992563161
201405,63000000,其他,1,5864903,36994380575
201405,63000000,其他,2,7690936,35714855041
201405,65000000,其他,1,184563,797243931
201405,65000000,其他,2,241435,924909953
201405,68000000,其他,1,130958,783639507
201405,68000000,其他,2,208343,968018437
201405,66000000,其他,1,160689,742278639
201405,66000000,其他,2,197298,858023421
201405,67000000,其他,1,76460,410990208
201405,67000000,其他,2,122434,462984357
201405,64000000,其他,1,192799,827832963
201405,64000000,其他,2,278205,1031009815
201406,63000000,其他,1,5558769,19985437146
201406,63000000,其他,2,7422693,25593552958
201406,65000000,其他,1,177375,742003544
201406,65000000,其他,2,231681,842738330
201406,68000000,其他,1,129316,747339520
201406,68000000,其他,2,205737,890046332
201406,66000000,其他,1,160564,712906655
201406,66000000,其他,2,195534,821138484
201406,67000000,其他,1,75632,393016513
201406,67000000,其他,2,119749,427586440
201406,64000000,其他,1,192504,794842677
201406,64000000,其他,2,273600,956327596
201407,63000000,其他,1,5403496,15749774395
201407,63000000,其他,2,7289595,22352430017
201407,65000000,其他,1,213520,851368039
201407,65000000,其他,2,267441,962419066
201407,68000000,其他,1,132027,773912369
201407,68000000,其他,2,211572,916662064
201407,66000000,其他,1,184316,811863565
201407,66000000,其他,2,229996,948453142
201407,67000000,其他,1,76226,409890328
201407,67000000,其他,2,123752,447026611
201407,64000000,其他,1,208386,872187453
201407,64000000,其他,2,298765,1064530387
201408,63000000,其他,1,5590006,16331700217
201408,63000000,其他,2,7479280,22872519270
201408,65000000,其他,1,195655,790972644
201408,65000000,其他,2,250120,883683162
201408,68000000,其他,1,132357,764459979
201408,68000000,其他,2,208658,933951600
201408,66000000,其他,1,162274,728195843
201408,66000000,其他,2,197649,849806149
201408,67000000,其他,1,79089,399044536
201408,67000000,其他,2,124623,443991781
201408,64000000,其他,1,196898,804554090
201408,64000000,其他,2,286315,1014271866
201409,63000000,其他,1,5835563,18172768767
201409,63000000,其他,2,7770211,26052180337
201409,65000000,其他,1,184598,788358496
201409,65000000,其他,2,234603,866845449
201409,68000000,其他,1,131455,799664001
201409,68000000,其他,2,208254,1050703376
201409,66000000,其他,1,164645,757166901
201409,66000000,其他,2,195315,856826737
201409,67000000,其他,1,80862,422752986
201409,67000000,其他,2,124318,472366390
201409,64000000,其他,1,197224,837678201
201409,64000000,其他,2,287069,1076010032
201410,63000000,其他,1,5688971,18280305497
201410,63000000,其他,2,7626411,23964543654
201410,65000000,其他,1,198348,842071827
201410,65000000,其他,2,257426,971720598
201410,68000000,其他,1,139260,837690090
201410,68000000,其他,2,212979,1022084717
201410,66000000,其他,1,170722,803328266
201410,66000000,其他,2,201260,911549995
201410,67000000,其他,1,86007,453145955
201410,67000000,其他,2,131820,496945201
201410,64000000,其他,1,210944,899416542
201410,64000000,其他,2,305481,1100142738
201411,63000000,其他,1,5560148,17063726105
201411,63000000,其他,2,7429948,22346895389
201411,65000000,其他,1,193630,860453753
201411,65000000,其他,2,249047,965341524
201411,68000000,其他,1,132995,815748060
201411,68000000,其他,2,204366,962423117
201411,66000000,其他,1,165941,806840594
201411,66000000,其他,2,193217,898895643
201411,67000000,其他,1,82226,451345286
201411,67000000,其他,2,126451,488397380
201411,64000000,其他,1,205188,871044478
201411,64000000,其他,2,296106,1082396228
201412,63000000,其他,1,6392696,21686506920
201412,63000000,其他,2,8723728,31602245784
201412,65000000,其他,1,223047,966082899
201412,65000000,其他,2,272308,1030022822
201412,68000000,其他,1,147495,936899372
201412,68000000,其他,2,220663,1111003559
201412,66000000,其他,1,183999,936906552
201412,66000000,其他,2,212135,1039689186
201412,67000000,其他,1,88251,508628476
201412,67000000,其他,2,132505,539761455
201412,64000000,其他,1,223196,1007304024
201412,64000000,其他,2,318675,1259478030
201501,63000000,其他,1,5899681,17669655737
201501,63000000,其他,2,7949305,24472881568
201501,65000000,其他,1,216788,932148585
201501,65000000,其他,2,269757,1026004222
201501,68000000,其他,1,143303,898439486
201501,68000000,其他,2,211798,1066759451
201501,66000000,其他,1,177859,844258196
201501,66000000,其他,2,200110,910707378
201501,67000000,其他,1,89010,497883939
201501,67000000,其他,2,132411,550600035
201501,64000000,其他,1,228905,1088014496
201501,64000000,其他,2,327562,1355937894
