年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,63000000,行,1,3316318,3661460015
201401,63000000,行,2,1594902,1763589600
201401,65000000,行,1,476794,479349819
201401,65000000,行,2,158131,146383765
201401,68000000,行,1,737545,993292069
201401,68000000,行,2,357923,471741303
201401,66000000,行,1,232040,285099119
201401,66000000,行,2,112286,127274590
201401,67000000,行,1,550853,648334202
201401,67000000,行,2,313354,310675645
201401,64000000,行,1,748174,898711692
201401,64000000,行,2,432049,458555874
201402,63000000,行,1,2932488,3225028488
201402,63000000,行,2,1399677,1566340038
201402,65000000,行,1,401469,402569396
201402,65000000,行,2,132153,120719165
201402,68000000,行,1,638456,888721490
201402,68000000,行,2,309059,447500329
201402,66000000,行,1,204948,246207910
201402,66000000,行,2,97833,108539833
201402,67000000,行,1,515968,600176066
201402,67000000,行,2,287208,283901446
201402,64000000,行,1,676395,800011290
201402,64000000,行,2,388292,411368498
201403,63000000,行,1,3395746,3750982757
201403,63000000,行,2,1677798,1856676274
201403,65000000,行,1,465364,460031102
201403,65000000,行,2,157050,143037540
201403,68000000,行,1,737259,1071266394
201403,68000000,行,2,363985,583168042
201403,66000000,行,1,233144,278403487
201403,66000000,行,2,114602,125715271
201403,67000000,行,1,554770,643491406
201403,67000000,行,2,319872,311177011
201403,64000000,行,1,751005,892494064
201403,64000000,行,2,441418,460626781
201404,63000000,行,1,3283774,3541577766
201404,63000000,行,2,1619100,1734155215
201404,65000000,行,1,458772,448927102
201404,65000000,行,2,154451,138119819
201404,68000000,行,1,705768,994614191
201404,68000000,行,2,346100,525322976
201404,66000000,行,1,225739,264705172
201404,66000000,行,2,110385,116810366
201404,67000000,行,1,537079,621907935
201404,67000000,行,2,307520,298763521
201404,64000000,行,1,723747,865909493
201404,64000000,行,2,426471,447918526
201405,63000000,行,1,3474982,3805801079
201405,63000000,行,2,1731166,1892292865
201405,65000000,行,1,487588,491814219
201405,65000000,行,2,165410,150471698
201405,68000000,行,1,748042,1067560032
201405,68000000,行,2,370442,584526740
201405,66000000,行,1,234281,280423308
201405,66000000,行,2,116142,122440132
201405,67000000,行,1,571286,663874296
201405,67000000,行,2,330814,322685266
201405,64000000,行,1,768291,920316667
201405,64000000,行,2,454074,478624653
201406,63000000,行,1,3444948,3794934407
201406,63000000,行,2,1697424,1874368347
201406,65000000,行,1,480355,486540280
201406,65000000,行,2,162280,151416409
201406,68000000,行,1,742996,1055677363
201406,68000000,行,2,364819,554822968
201406,66000000,行,1,248181,300069281
201406,66000000,行,2,121668,134346822
201406,67000000,行,1,571434,669344695
201406,67000000,行,2,328954,328348494
201406,64000000,行,1,762088,916423776
201406,64000000,行,2,447735,484863403
201407,63000000,行,1,3639099,3986060444
201407,63000000,行,2,1806918,1986804103
201407,65000000,行,1,507373,508883060
201407,65000000,行,2,169682,160337808
201407,68000000,行,1,781602,1111751326
201407,68000000,行,2,383038,581478047
201407,66000000,行,1,260831,316532799
201407,66000000,行,2,126935,140340515
