年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10005000,衣,1,7578,21457836
201401,10005000,衣,2,25449,77208326
201402,10005000,衣,1,4051,10415474
201402,10005000,衣,2,14854,42397814
201403,10005000,衣,1,4143,10058955
201403,10005000,衣,2,16049,44401097
201404,10005000,衣,1,4105,9530375
201404,10005000,衣,2,16155,45032792
201405,10005000,衣,1,5316,12424650
201405,10005000,衣,2,18259,49706680
201406,10005000,衣,1,4973,10916579
201406,10005000,衣,2,17600,45985365
201407,10005000,衣,1,4990,11098248
201407,10005000,衣,2,18349,47888015
201408,10005000,衣,1,5411,11867901
201408,10005000,衣,2,18013,44427820
201409,10005000,衣,1,4306,10307007
201409,10005000,衣,2,16530,43197872
201410,10005000,衣,1,4998,12352344
201410,10005000,衣,2,17328,48118854
201411,10005000,衣,1,4887,13031820
201411,10005000,衣,2,16823,50240083
201412,10005000,衣,1,6463,17431774
201412,10005000,衣,2,21677,64759841
201501,10005000,衣,1,5560,15236610
201501,10005000,衣,2,19514,59722491
201502,10005000,衣,1,6963,18312067
201502,10005000,衣,2,21107,61871219
201503,10005000,衣,1,4280,10152566
201503,10005000,衣,2,15856,43969979
201504,10005000,衣,1,4774,11189355
201504,10005000,衣,2,17190,47507125
201505,10005000,衣,1,7509,16279748
201505,10005000,衣,2,23069,58764570
201506,10005000,衣,1,8849,17485539
201506,10005000,衣,2,24774,56903558
201507,10005000,衣,1,7201,14447142
201507,10005000,衣,2,22227,51657920
201508,10005000,衣,1,7562,14905809
201508,10005000,衣,2,21359,49689951
201509,10005000,衣,1,5696,12934771
201509,10005000,衣,2,18099,45855522
201510,10005000,衣,1,6653,16386411
201510,10005000,衣,2,20393,54098795
201511,10005000,衣,1,6915,17044803
201511,10005000,衣,2,19133,52330781
201512,10005000,衣,1,8754,20883360
201512,10005000,衣,2,24800,67344932
201601,10005000,衣,1,9795,23011949
201601,10005000,衣,2,26115,72060536
201602,10005000,衣,1,8034,19019325
201602,10005000,衣,2,20529,56283763
201603,10005000,衣,1,4629,10626579
201603,10005000,衣,2,14045,38511985
201604,10005000,衣,1,6426,13690846
201604,10005000,衣,2,18219,47219518
201605,10005000,衣,1,6864,14540032
201605,10005000,衣,2,19570,48866846
201606,10005000,衣,1,7176,14348773
201606,10005000,衣,2,20051,48316343
201607,10005000,衣,1,6635,12513778
201607,10005000,衣,2,18930,44259934
201608,10005000,衣,1,6458,12771700
201608,10005000,衣,2,18409,43369436
201609,10005000,衣,1,5158,10595096
201609,10005000,衣,2,14064,35170598
201610,10005000,衣,1,5899,13444963
201610,10005000,衣,2,15570,41336295
201611,10005000,衣,1,5963,15182645
201611,10005000,衣,2,15701,45330320
201612,10005000,衣,1,7963,18665855
201612,10005000,衣,2,20593,58787679
201701,10005000,衣,1,8892,21608670
201701,10005000,衣,2,22916,64887407
201702,10005000,衣,1,4917,11573945
201702,10005000,衣,2,13982,36782521
201703,10005000,衣,1,4177,9595585
201703,10005000,衣,2,13061,37038949
201704,10005000,衣,1,5668,11456193
201704,10005000,衣,2,16535,42574636
201705,10005000,衣,1,6588,12699410
201705,10005000,衣,2,19073,47276376
201706,10005000,衣,1,5889,11730819
201706,10005000,衣,2,16013,40019502
201707,10005000,衣,1,6068,11629851
201707,10005000,衣,2,17398,41444973
201708,10005000,衣,1,5674,11329060
201708,10005000,衣,2,17359,41779341
201709,10005000,衣,1,4743,10110122
201709,10005000,衣,2,14310,36182699
201710,10005000,衣,1,6473,14224812
201710,10005000,衣,2,17837,47337567
201711,10005000,衣,1,5763,13559901
201711,10005000,衣,2,16394,46415621
201712,10005000,衣,1,7651,17517426
201712,10005000,衣,2,20624,56775100
201801,10005000,衣,1,5393,13109763
201801,10005000,衣,2,15880,46984148
201802,10005000,衣,1,7253,16727993
201802,10005000,衣,2,19844,56086020
201803,10005000,衣,1,4333,9980725
201803,10005000,衣,2,13621,37189411
201804,10005000,衣,1,5508,10985023
201804,10005000,衣,2,16018,40328025
201805,10005000,衣,1,6210,11906932
201805,10005000,衣,2,17923,43148557
201806,10005000,衣,1,6122,11345797
201806,10005000,衣,2,16689,38981743
201807,10005000,衣,1,5881,11126442
201807,10005000,衣,2,16742,38965357
201808,10005000,衣,1,5460,10637743
201808,10005000,衣,2,15678,36310054
201809,10005000,衣,1,5021,10489650
201809,10005000,衣,2,14196,35773031
201810,10005000,衣,1,4824,10658039
201810,10005000,衣,2,13760,36859057
201811,10005000,衣,1,4886,11453686
201811,10005000,衣,2,14361,39555996
201812,10005000,衣,1,7725,17974058
201812,10005000,衣,2,19881,53410171
201901,10005000,衣,1,6400,16232584
201901,10005000,衣,2,18878,56404190
201902,10005000,衣,1,5415,12590454
201902,10005000,衣,2,13708,36881316
201903,10005000,衣,1,4665,10579101
201903,10005000,衣,2,13406,35642510
201904,10005000,衣,1,5253,11595501
201904,10005000,衣,2,14568,37777471
201905,10005000,衣,1,5063,11359197
201905,10005000,衣,2,14990,40899813
201906,10005000,衣,1,5673,12044268
201906,10005000,衣,2,16154,39970735
201907,10005000,衣,1,5283,11332115
201907,10005000,衣,2,16224,40920272
201908,10005000,衣,1,5257,10960162
201908,10005000,衣,2,15358,37687928
201909,10005000,衣,1,4199,10071732
201909,10005000,衣,2,12185,33092391
201910,10005000,衣,1,4969,13856737
201910,10005000,衣,2,13609,39076405
201911,10005000,衣,1,5425,15021976
201911,10005000,衣,2,14672,42429295
201912,10005000,衣,1,6578,17033087
201912,10005000,衣,2,16562,46847911
202001,10005000,衣,1,7898,20466754
202001,10005000,衣,2,19803,57285306
