年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10005000,百貨,1,2383,3368430
201401,10005000,百貨,2,11883,12900130
201402,10005000,百貨,1,2071,2507792
201402,10005000,百貨,2,9957,9472259
201403,10005000,百貨,1,2182,2300287
201403,10005000,百貨,2,11282,11052998
201404,10005000,百貨,1,2164,2924332
201404,10005000,百貨,2,11201,13268927
201405,10005000,百貨,1,2629,3272506
201405,10005000,百貨,2,13271,14721130
201406,10005000,百貨,1,2702,3533807
201406,10005000,百貨,2,13638,13831562
201407,10005000,百貨,1,2810,3491267
201407,10005000,百貨,2,14404,14452005
201408,10005000,百貨,1,2883,3305933
201408,10005000,百貨,2,14588,14622707
201409,10005000,百貨,1,2711,3306184
201409,10005000,百貨,2,14144,16535792
201410,10005000,百貨,1,2749,2953309
201410,10005000,百貨,2,13531,14144593
201411,10005000,百貨,1,2866,3284284
201411,10005000,百貨,2,13448,12116459
201412,10005000,百貨,1,3751,3724909
201412,10005000,百貨,2,17268,16955950
201501,10005000,百貨,1,3047,3455587
201501,10005000,百貨,2,14081,14079078
201502,10005000,百貨,1,2966,3492680
201502,10005000,百貨,2,13191,13969144
201503,10005000,百貨,1,2827,2988756
201503,10005000,百貨,2,13584,13593670
201504,10005000,百貨,1,2948,3774492
201504,10005000,百貨,2,14331,22015040
201505,10005000,百貨,1,4672,6890302
201505,10005000,百貨,2,17759,20177129
201506,10005000,百貨,1,9060,12970320
201506,10005000,百貨,2,28044,33870022
201507,10005000,百貨,1,8266,10930239
201507,10005000,百貨,2,26847,29813949
201508,10005000,百貨,1,7982,10064404
201508,10005000,百貨,2,24761,27552348
201509,10005000,百貨,1,7047,9265013
201509,10005000,百貨,2,23332,30351225
201510,10005000,百貨,1,7504,9373333
201510,10005000,百貨,2,23756,27938071
201511,10005000,百貨,1,7411,9085226
201511,10005000,百貨,2,23017,25873192
201512,10005000,百貨,1,8904,11958800
201512,10005000,百貨,2,26189,31054578
201601,10005000,百貨,1,7353,12042568
201601,10005000,百貨,2,17816,29749118
201602,10005000,百貨,1,7565,12728198
201602,10005000,百貨,2,18310,27497472
201603,10005000,百貨,1,5326,7464130
201603,10005000,百貨,2,13976,22437233
201604,10005000,百貨,1,6489,9006724
201604,10005000,百貨,2,16240,22175120
201605,10005000,百貨,1,6893,10459205
201605,10005000,百貨,2,17248,22266099
201606,10005000,百貨,1,7947,10858102
201606,10005000,百貨,2,19583,23870054
201607,10005000,百貨,1,8897,12121224
201607,10005000,百貨,2,22337,26998209
201608,10005000,百貨,1,7945,11862284
201608,10005000,百貨,2,21235,27629246
201609,10005000,百貨,1,7286,11848475
201609,10005000,百貨,2,18163,25063778
201610,10005000,百貨,1,8512,13029320
201610,10005000,百貨,2,20849,28809101
201611,10005000,百貨,1,6848,10510065
201611,10005000,百貨,2,17180,23382788
201612,10005000,百貨,1,7861,12491990
201612,10005000,百貨,2,19885,27302735
201701,10005000,百貨,1,9029,15401414
201701,10005000,百貨,2,21427,38496662
201702,10005000,百貨,1,7562,11346121
201702,10005000,百貨,2,18462,25938837
201703,10005000,百貨,1,5957,8361381
201703,10005000,百貨,2,15538,21315169
201704,10005000,百貨,1,7771,11846373
201704,10005000,百貨,2,19084,26954060
201705,10005000,百貨,1,8448,12580506
201705,10005000,百貨,2,20133,28837937
201706,10005000,百貨,1,7453,10159986
201706,10005000,百貨,2,18369,23411464
201707,10005000,百貨,1,9305,13129214
201707,10005000,百貨,2,22968,30395414
201708,10005000,百貨,1,8984,13116411
201708,10005000,百貨,2,22513,29186883
201709,10005000,百貨,1,6900,10381705
201709,10005000,百貨,2,17749,26134379
201710,10005000,百貨,1,9533,14379693
201710,10005000,百貨,2,22983,32468301
201711,10005000,百貨,1,7558,11356054
201711,10005000,百貨,2,18513,25145549
201712,10005000,百貨,1,8827,13137754
201712,10005000,百貨,2,21676,30151596
201801,10005000,百貨,1,7688,12647129
201801,10005000,百貨,2,17951,27068647
201802,10005000,百貨,1,9986,17177139
201802,10005000,百貨,2,22465,35585967
201803,10005000,百貨,1,6262,7986353
201803,10005000,百貨,2,17258,21390740
201804,10005000,百貨,1,8522,11456972
201804,10005000,百貨,2,20840,29169021
201805,10005000,百貨,1,8161,12150086
201805,10005000,百貨,2,20460,27712970
201806,10005000,百貨,1,8795,12159735
201806,10005000,百貨,2,21014,27606967
201807,10005000,百貨,1,10021,14101196
201807,10005000,百貨,2,24074,31974987
201808,10005000,百貨,1,9762,13640829
201808,10005000,百貨,2,23774,30425691
201809,10005000,百貨,1,8443,13005126
201809,10005000,百貨,2,20204,29225297
201810,10005000,百貨,1,7089,10316979
201810,10005000,百貨,2,18025,24675256
201811,10005000,百貨,1,7402,10790036
201811,10005000,百貨,2,18296,24258878
201812,10005000,百貨,1,10415,15640723
201812,10005000,百貨,2,23103,32097338
201901,10005000,百貨,1,8618,14780209
201901,10005000,百貨,2,20000,31042008
201902,10005000,百貨,1,8960,15120614
