年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10005000,文教康樂,1,11704,49281650
201401,10005000,文教康樂,2,15836,66058293
201402,10005000,文教康樂,1,10355,47139836
201402,10005000,文教康樂,2,13017,50715531
201403,10005000,文教康樂,1,11470,54545598
201403,10005000,文教康樂,2,14431,63839352
201404,10005000,文教康樂,1,11352,58867269
201404,10005000,文教康樂,2,14578,65761452
201405,10005000,文教康樂,1,11837,63807622
201405,10005000,文教康樂,2,15337,73974282
201406,10005000,文教康樂,1,11974,59931992
201406,10005000,文教康樂,2,14471,66114901
201407,10005000,文教康樂,1,12572,63718864
201407,10005000,文教康樂,2,15419,74459332
201408,10005000,文教康樂,1,13029,63464121
201408,10005000,文教康樂,2,14865,66678899
201409,10005000,文教康樂,1,11762,51730717
201409,10005000,文教康樂,2,14244,65746631
201410,10005000,文教康樂,1,12543,59152843
201410,10005000,文教康樂,2,15374,71990161
201411,10005000,文教康樂,1,12271,58343902
201411,10005000,文教康樂,2,15147,68783866
201412,10005000,文教康樂,1,12036,57654783
201412,10005000,文教康樂,2,15151,66922626
201501,10005000,文教康樂,1,12232,58463378
201501,10005000,文教康樂,2,15324,70159738
201502,10005000,文教康樂,1,11882,52516543
201502,10005000,文教康樂,2,15002,65763212
201503,10005000,文教康樂,1,12090,67065805
201503,10005000,文教康樂,2,14366,71429729
201504,10005000,文教康樂,1,12519,66752006
201504,10005000,文教康樂,2,15343,77490961
201505,10005000,文教康樂,1,12742,73039495
201505,10005000,文教康樂,2,16983,81980000
201506,10005000,文教康樂,1,14860,66472969
201506,10005000,文教康樂,2,17601,75016918
201507,10005000,文教康樂,1,16069,75117162
201507,10005000,文教康樂,2,18552,82139630
201508,10005000,文教康樂,1,14925,65756824
201508,10005000,文教康樂,2,18529,72207272
201509,10005000,文教康樂,1,13456,56817090
201509,10005000,文教康樂,2,17758,72676041
201510,10005000,文教康樂,1,14641,71763639
201510,10005000,文教康樂,2,19574,87239939
201511,10005000,文教康樂,1,14995,66797135
201511,10005000,文教康樂,2,19449,77872336
201512,10005000,文教康樂,1,14926,59403998
201512,10005000,文教康樂,2,19180,71637019
201601,10005000,文教康樂,1,14824,60524381
201601,10005000,文教康樂,2,19195,73887900
201602,10005000,文教康樂,1,15965,57128403
201602,10005000,文教康樂,2,19593,70679462
201603,10005000,文教康樂,1,13629,59016506
201603,10005000,文教康樂,2,17087,72682056
201604,10005000,文教康樂,1,15788,67688976
201604,10005000,文教康樂,2,21119,84891224
201605,10005000,文教康樂,1,16648,67786833
201605,10005000,文教康樂,2,24267,94705522
201606,10005000,文教康樂,1,16493,68280219
201606,10005000,文教康樂,2,23862,90889298
201607,10005000,文教康樂,1,17070,72067844
201607,10005000,文教康樂,2,23468,90799539
201608,10005000,文教康樂,1,16496,63636032
201608,10005000,文教康樂,2,21695,78845747
201609,10005000,文教康樂,1,13666,51641846
201609,10005000,文教康樂,2,18646,74747762
201610,10005000,文教康樂,1,17978,67779919
201610,10005000,文教康樂,2,23254,88263956
201611,10005000,文教康樂,1,18217,63875528
201611,10005000,文教康樂,2,23065,81639438
201612,10005000,文教康樂,1,17572,61859357
201612,10005000,文教康樂,2,22263,78805255
201701,10005000,文教康樂,1,18112,59808067
201701,10005000,文教康樂,2,22423,81160004
201702,10005000,文教康樂,1,18234,57779126
201702,10005000,文教康樂,2,22300,73494666
201703,10005000,文教康樂,1,18159,65938590
201703,10005000,文教康樂,2,21693,86654593
201704,10005000,文教康樂,1,21053,68417460
201704,10005000,文教康樂,2,26745,92635723
201705,10005000,文教康樂,1,18972,67252564
201705,10005000,文教康樂,2,24247,90425454
201706,10005000,文教康樂,1,18047,61892363
201706,10005000,文教康樂,2,21086,74835475
201707,10005000,文教康樂,1,19595,64945720
201707,10005000,文教康樂,2,23297,82997156
201708,10005000,文教康樂,1,18386,65584597
201708,10005000,文教康樂,2,22921,81960477
201709,10005000,文教康樂,1,15956,61976997
201709,10005000,文教康樂,2,19417,77902889
201710,10005000,文教康樂,1,18856,68645614
201710,10005000,文教康樂,2,22987,93490591
201711,10005000,文教康樂,1,16363,62987717
201711,10005000,文教康樂,2,20156,78635507
201712,10005000,文教康樂,1,16220,56769109
201712,10005000,文教康樂,2,20799,76052365
