年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10005000,住,1,13485,71409933
201401,10005000,住,2,10499,68313626
201402,10005000,住,1,11085,50429163
201402,10005000,住,2,8763,46693111
201403,10005000,住,1,10189,47264761
201403,10005000,住,2,7318,41529276
201404,10005000,住,1,10468,58014208
201404,10005000,住,2,8064,53848143
201405,10005000,住,1,10609,53630622
201405,10005000,住,2,8235,56021088
201406,10005000,住,1,9965,54146806
201406,10005000,住,2,7503,52585045
201407,10005000,住,1,11578,65695341
201407,10005000,住,2,8923,63740790
201408,10005000,住,1,11110,56475981
201408,10005000,住,2,8766,55633408
201409,10005000,住,1,9955,50324044
201409,10005000,住,2,7689,49980658
201410,10005000,住,1,11022,52540993
201410,10005000,住,2,8437,49751171
201411,10005000,住,1,12178,68765285
201411,10005000,住,2,10397,73013362
201412,10005000,住,1,12440,56897697
201412,10005000,住,2,9884,57238608
201501,10005000,住,1,13492,64415224
201501,10005000,住,2,10683,66290201
201502,10005000,住,1,12630,64889604
201502,10005000,住,2,10545,62217208
201503,10005000,住,1,10296,46527306
201503,10005000,住,2,7432,46427605
201504,10005000,住,1,10742,63601489
201504,10005000,住,2,8049,54099773
201505,10005000,住,1,11565,59271814
201505,10005000,住,2,9273,59960791
201506,10005000,住,1,12862,62415148
201506,10005000,住,2,11749,68653013
201507,10005000,住,1,13016,64050487
201507,10005000,住,2,10759,63867446
201508,10005000,住,1,13056,58646556
201508,10005000,住,2,11149,54890144
201509,10005000,住,1,11999,49014215
201509,10005000,住,2,9468,49621256
201510,10005000,住,1,13329,64584660
201510,10005000,住,2,10581,60795772
201511,10005000,住,1,14993,83789794
201511,10005000,住,2,12820,84188909
201512,10005000,住,1,14629,71357908
201512,10005000,住,2,12179,69220703
201601,10005000,住,1,15491,82157996
201601,10005000,住,2,13143,78048200
201602,10005000,住,1,14689,73781920
201602,10005000,住,2,12796,73310213
201603,10005000,住,1,10836,49039982
201603,10005000,住,2,8629,46584321
201604,10005000,住,1,11992,58417194
201604,10005000,住,2,9905,59047692
201605,10005000,住,1,11934,57363202
201605,10005000,住,2,10109,61589396
201606,10005000,住,1,12113,64265182
201606,10005000,住,2,10122,65107193
201607,10005000,住,1,12462,64400326
201607,10005000,住,2,10569,64138343
201608,10005000,住,1,11621,54158528
201608,10005000,住,2,10371,59995334
201609,10005000,住,1,10799,48309470
201609,10005000,住,2,8582,47167354
201610,10005000,住,1,12308,54291794
201610,10005000,住,2,9935,58924577
201611,10005000,住,1,13441,72565258
201611,10005000,住,2,12262,86791530
201612,10005000,住,1,14032,68902401
201612,10005000,住,2,11582,66189082
201701,10005000,住,1,14692,76336245
201701,10005000,住,2,12918,79762223
201702,10005000,住,1,13409,56056460
201702,10005000,住,2,11562,56589045
201703,10005000,住,1,11302,53221855
201703,10005000,住,2,9066,51124886
201704,10005000,住,1,12002,68921523
201704,10005000,住,2,10332,70746132
201705,10005000,住,1,12450,66364928
201705,10005000,住,2,10781,68582465
201706,10005000,住,1,10729,60025112
201706,10005000,住,2,8825,60250462
201707,10005000,住,1,13006,78669587
201707,10005000,住,2,10786,76975308
201708,10005000,住,1,13214,67283261
201708,10005000,住,2,11582,70734192
201709,10005000,住,1,11146,58071524
201709,10005000,住,2,9053,55596223
201710,10005000,住,1,13478,68689957
201710,10005000,住,2,11662,74016808
201711,10005000,住,1,13279,70242546
201711,10005000,住,2,11044,72481011
201712,10005000,住,1,14776,68957702
201712,10005000,住,2,12236,66133642
201801,10005000,住,1,13505,70225389
201801,10005000,住,2,11136,68667407
201802,10005000,住,1,14561,70396739
201802,10005000,住,2,13362,81515768
201803,10005000,住,1,11838,58302656
201803,10005000,住,2,9908,59391406
201804,10005000,住,1,13583,72291496
201804,10005000,住,2,12345,83921494
201805,10005000,住,1,13181,70368497
201805,10005000,住,2,10998,77942968
201806,10005000,住,1,12593,60357703
201806,10005000,住,2,10350,59563271
201807,10005000,住,1,14297,70091858
201807,10005000,住,2,12487,79154438
201808,10005000,住,1,13081,60485347
201808,10005000,住,2,11941,66406160
201809,10005000,住,1,12435,57042407
201809,10005000,住,2,10628,62665053
201810,10005000,住,1,10911,51152906
201810,10005000,住,2,9151,56206643
201811,10005000,住,1,13628,70697859
201811,10005000,住,2,11783,83391355
201812,10005000,住,1,15579,72121577
201812,10005000,住,2,14200,76460852
201901,10005000,住,1,14965,78502937
201901,10005000,住,2,13600,82387953
201902,10005000,住,1,11626,51548927
201902,10005000,住,2,10842,60297757
201903,10005000,住,1,12972,65445400
201903,10005000,住,2,11262,67682642
201904,10005000,住,1,13290,77714156
201904,10005000,住,2,11228,79139689
201905,10005000,住,1,11616,58742865
201905,10005000,住,2,9910,59757111
201906,10005000,住,1,12084,60432040
201906,10005000,住,2,10534,64528191
201907,10005000,住,1,14285,74597208
201907,10005000,住,2,13170,85743156
201908,10005000,住,1,14506,60597091
201908,10005000,住,2,12793,68851458
201909,10005000,住,1,12073,54797728
201909,10005000,住,2,10683,60178483
201910,10005000,住,1,14374,62758882
201910,10005000,住,2,13454,68662599
201911,10005000,住,1,13798,75791763
201911,10005000,住,2,12396,84281305
201912,10005000,住,1,14158,60642560
201912,10005000,住,2,12182,71761069
202001,10005000,住,1,15720,75171196
202001,10005000,住,2,13988,82547729
202002,10005000,住,1,14137,54397851
202002,10005000,住,2,11639,56244992
202003,10005000,住,1,12428,48681238
202003,10005000,住,2,9479,48245148
202004,10005000,住,1,13864,59982690
202004,10005000,住,2,11072,61758827
202005,10005000,住,1,15092,62703618
202005,10005000,住,2,13582,73325182
202006,10005000,住,1,15122,69383088
202006,10005000,住,2,14227,78431699
202007,10005000,住,1,17350,88631462
202007,10005000,住,2,17037,100842491
202008,10005000,住,1,18041,75022950
202008,10005000,住,2,17307,85969818
202009,10005000,住,1,15286,65622933
202009,10005000,住,2,13993,73959086
202010,10005000,住,1,18478,87672945
202010,10005000,住,2,17574,103549163
202011,10005000,住,1,17684,94102085
202011,10005000,住,2,16753,109481735
202012,10005000,住,1,19029,80966437
202012,10005000,住,2,17531,91977670
202101,10005000,住,1,22310,99214596
202101,10005000,住,2,20613,108550321
202102,10005000,住,1,17834,72876761
202102,10005000,住,2,17168,81078962
202103,10005000,住,1,14344,61913008
202103,10005000,住,2,13794,76409789
202104,10005000,住,1,18585,93942319
202104,10005000,住,2,17347,102817350
202105,10005000,住,1,17430,84453873
202105,10005000,住,2,14862,89967183
202106,10005000,住,1,13845,52375884
202106,10005000,住,2,11441,50982850
202107,10005000,住,1,15972,73773651
202107,10005000,住,2,13640,73766628
202108,10005000,住,1,17713,68269972
202108,10005000,住,2,15779,71973160
202109,10005000,住,1,19555,74801237
202109,10005000,住,2,19750,76636944
202110,10005000,住,1,21803,100613776
202110,10005000,住,2,21956,110361949
202111,10005000,住,1,22617,106449576
202111,10005000,住,2,24054,119195918
202112,10005000,住,1,22656,92434388
202112,10005000,住,2,23195,108931294
202201,10005000,住,1,23366,107632105
202201,10005000,住,2,22701,112292947
202202,10005000,住,1,20410,89435302
202202,10005000,住,2,20948,93907988
202203,10005000,住,1,19532,84493969
202203,10005000,住,2,19233,91669850
202204,10005000,住,1,21346,104726985
202204,10005000,住,2,21159,114074917
202205,10005000,住,1,20473,79408656
202205,10005000,住,2,19505,78200035
202206,10005000,住,1,23129,85058260
202206,10005000,住,2,24120,91526486
202207,10005000,住,1,26498,108922782
202207,10005000,住,2,28911,125782528
202208,10005000,住,1,23474,91833339
202208,10005000,住,2,25408,107924749
202209,10005000,住,1,20948,85084584
202209,10005000,住,2,21538,98797067
202210,10005000,住,1,22276,98301567
202210,10005000,住,2,22491,112772055
202211,10005000,住,1,21963,108512569
202211,10005000,住,2,23800,132833271
202212,10005000,住,1,24510,98078746
202212,10005000,住,2,25317,122536268
202301,10005000,住,1,24681,106878471
202301,10005000,住,2,25250,115972703
202302,10005000,住,1,21861,92751846
202302,10005000,住,2,22313,99434488
202303,10005000,住,1,21011,89679215
202303,10005000,住,2,21358,101977506
202304,10005000,住,1,22800,105049243
202304,10005000,住,2,23441,128151276
202305,10005000,住,1,21901,96187323
202305,10005000,住,2,21548,106471042
202306,10005000,住,1,23162,96721976
202306,10005000,住,2,24062,112196156
202307,10005000,住,1,24850,118462594
202307,10005000,住,2,25396,127368436
202308,10005000,住,1,23849,104365076
202308,10005000,住,2,24695,117975652
