年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10008000,衣,1,8998,23117407
201401,10008000,衣,2,27007,78016101
201402,10008000,衣,1,4496,10219939
201402,10008000,衣,2,15707,41855032
201403,10008000,衣,1,4848,10570232
201403,10008000,衣,2,17448,44612874
201404,10008000,衣,1,4763,10717361
201404,10008000,衣,2,16698,42527498
201405,10008000,衣,1,5237,11687499
201405,10008000,衣,2,17351,44231288
201406,10008000,衣,1,5228,11264102
201406,10008000,衣,2,17351,41921770
201407,10008000,衣,1,5515,12143700
201407,10008000,衣,2,18117,43504965
201408,10008000,衣,1,5729,12879201
201408,10008000,衣,2,18500,43372040
201409,10008000,衣,1,4548,10396354
201409,10008000,衣,2,16216,41912001
201410,10008000,衣,1,4577,10871612
201410,10008000,衣,2,15755,41941542
201411,10008000,衣,1,4157,10247104
201411,10008000,衣,2,14968,42031303
201412,10008000,衣,1,5072,12587022
201412,10008000,衣,2,18401,52569721
201501,10008000,衣,1,5029,13639857
201501,10008000,衣,2,16968,51284170
201502,10008000,衣,1,7537,19275538
201502,10008000,衣,2,21895,60917634
201503,10008000,衣,1,3915,9549211
201503,10008000,衣,2,15022,40534867
201504,10008000,衣,1,4208,9891920
201504,10008000,衣,2,15291,41225287
201505,10008000,衣,1,4651,10399080
201505,10008000,衣,2,16297,42020590
201506,10008000,衣,1,5114,10570731
201506,10008000,衣,2,17115,41751905
201507,10008000,衣,1,5409,11803882
201507,10008000,衣,2,17719,44016833
201508,10008000,衣,1,5468,11668829
201508,10008000,衣,2,17048,39782028
201509,10008000,衣,1,4170,9575169
201509,10008000,衣,2,15278,40128845
201510,10008000,衣,1,5205,12720475
201510,10008000,衣,2,16802,44074129
201511,10008000,衣,1,5003,11908557
201511,10008000,衣,2,15960,41196701
201512,10008000,衣,1,5896,13618069
201512,10008000,衣,2,19706,50248925
201601,10008000,衣,1,7033,16728883
201601,10008000,衣,2,20862,56280660
201602,10008000,衣,1,6662,15634354
201602,10008000,衣,2,19368,51419522
201603,10008000,衣,1,3632,8745222
201603,10008000,衣,2,12365,33123773
201604,10008000,衣,1,4768,10350160
201604,10008000,衣,2,16127,39887885
201605,10008000,衣,1,5018,10377077
201605,10008000,衣,2,15935,38842674
201606,10008000,衣,1,4813,9855553
201606,10008000,衣,2,15586,36842282
201607,10008000,衣,1,5223,10927508
201607,10008000,衣,2,16254,38292236
201608,10008000,衣,1,5223,10710064
201608,10008000,衣,2,15633,35616850
201609,10008000,衣,1,4010,8173748
201609,10008000,衣,2,13237,32877820
201610,10008000,衣,1,4708,10221918
201610,10008000,衣,2,14069,34378812
201611,10008000,衣,1,5033,11929089
201611,10008000,衣,2,14983,39122735
