年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10008000,百貨,1,1815,1408487
201401,10008000,百貨,2,9888,8141732
201402,10008000,百貨,1,1485,1176178
201402,10008000,百貨,2,8131,6297545
201403,10008000,百貨,1,1457,1198320
201403,10008000,百貨,2,8591,6925256
201404,10008000,百貨,1,1559,1187461
201404,10008000,百貨,2,8837,7427011
201405,10008000,百貨,1,1744,1640656
201405,10008000,百貨,2,9576,7742842
201406,10008000,百貨,1,1819,1627006
201406,10008000,百貨,2,10186,8241273
201407,10008000,百貨,1,1874,1403414
201407,10008000,百貨,2,10595,8304600
201408,10008000,百貨,1,1975,1755730
201408,10008000,百貨,2,10760,8926953
201409,10008000,百貨,1,1872,1403050
201409,10008000,百貨,2,10226,9011409
201410,10008000,百貨,1,1861,1525863
201410,10008000,百貨,2,10227,8015091
201411,10008000,百貨,1,1896,1339555
201411,10008000,百貨,2,9795,7113941
201412,10008000,百貨,1,2291,1545407
201412,10008000,百貨,2,12352,9334558
201501,10008000,百貨,1,1908,1535941
201501,10008000,百貨,2,10109,7761144
201502,10008000,百貨,1,1820,1540394
201502,10008000,百貨,2,8949,7929307
201503,10008000,百貨,1,1746,1397098
201503,10008000,百貨,2,9459,7476846
201504,10008000,百貨,1,1826,1773576
201504,10008000,百貨,2,9508,8453634
201505,10008000,百貨,1,1939,1687872
201505,10008000,百貨,2,9966,8366819
201506,10008000,百貨,1,1883,1619030
201506,10008000,百貨,2,10267,8681284
201507,10008000,百貨,1,1982,1508489
201507,10008000,百貨,2,10432,8604903
201508,10008000,百貨,1,1852,1395707
201508,10008000,百貨,2,10331,8707517
201509,10008000,百貨,1,1987,1491515
201509,10008000,百貨,2,10399,9932182
201510,10008000,百貨,1,1858,1810784
201510,10008000,百貨,2,10400,8612763
201511,10008000,百貨,1,1871,1396380
201511,10008000,百貨,2,9712,7607741
201512,10008000,百貨,1,2163,1699177
201512,10008000,百貨,2,11216,9000756
201601,10008000,百貨,1,2158,1904228
201601,10008000,百貨,2,11309,11069742
201602,10008000,百貨,1,2140,1971672
201602,10008000,百貨,2,10197,8819644
201603,10008000,百貨,1,1657,1102094
201603,10008000,百貨,2,9062,8025086
201604,10008000,百貨,1,1979,1749083
201604,10008000,百貨,2,9888,8679691
201605,10008000,百貨,1,2181,2236475
201605,10008000,百貨,2,10427,8987674
201606,10008000,百貨,1,2209,2320164
201606,10008000,百貨,2,10900,8762021
201607,10008000,百貨,1,2187,1767851
201607,10008000,百貨,2,10848,9434328
201608,10008000,百貨,1,2147,1664488
201608,10008000,百貨,2,10765,9631189
201609,10008000,百貨,1,1962,1870414
201609,10008000,百貨,2,9640,9086014
201610,10008000,百貨,1,2226,2028494
201610,10008000,百貨,2,10447,8694917
201611,10008000,百貨,1,1952,1472351
201611,10008000,百貨,2,9657,7428209
201612,10008000,百貨,1,2506,2101382
201612,10008000,百貨,2,11441,9559064
201701,10008000,百貨,1,2534,2289061
201701,10008000,百貨,2,11091,11620587
201702,10008000,百貨,1,2092,1764779
201702,10008000,百貨,2,9787,8592418
201703,10008000,百貨,1,1880,1679610
201703,10008000,百貨,2,9406,7272899
201704,10008000,百貨,1,2020,1903490
201704,10008000,百貨,2,9733,9791681
201705,10008000,百貨,1,2030,2219000
201705,10008000,百貨,2,9994,8710352
201706,10008000,百貨,1,2832,2053326
201706,10008000,百貨,2,9953,8084114
201707,10008000,百貨,1,3961,2638105
201707,10008000,百貨,2,12416,9940178
201708,10008000,百貨,1,4318,2890320
201708,10008000,百貨,2,13896,12487084
201709,10008000,百貨,1,3409,2502043
201709,10008000,百貨,2,10949,9549945
201710,10008000,百貨,1,4412,2788169
201710,10008000,百貨,2,13510,10857759
201711,10008000,百貨,1,3829,2386630
201711,10008000,百貨,2,12113,8945030
201712,10008000,百貨,1,4669,3027040
201712,10008000,百貨,2,14111,10598929
201801,10008000,百貨,1,3946,2805027
201801,10008000,百貨,2,11195,8692157
201802,10008000,百貨,1,5606,3658618
201802,10008000,百貨,2,14126,11346943
201803,10008000,百貨,1,4053,2413761
201803,10008000,百貨,2,11922,8723400
201804,10008000,百貨,1,4836,2904664
201804,10008000,百貨,2,13382,11768464
201805,10008000,百貨,1,4224,2872809
201805,10008000,百貨,2,12575,9897615
201806,10008000,百貨,1,4677,2886877
201806,10008000,百貨,2,13087,9850373
201807,10008000,百貨,1,5021,2824668
201807,10008000,百貨,2,13729,10020786
201808,10008000,百貨,1,4709,3032465
201808,10008000,百貨,2,12808,10450385
201809,10008000,百貨,1,4857,2943069
201809,10008000,百貨,2,13264,10895291
201810,10008000,百貨,1,4226,2238838
201810,10008000,百貨,2,11585,8039639
201811,10008000,百貨,1,4405,2490814
201811,10008000,百貨,2,12185,8829735
201812,10008000,百貨,1,5867,3142965
201812,10008000,百貨,2,15566,11189972
201901,10008000,百貨,1,4969,3264015
201901,10008000,百貨,2,13352,10718518
201902,10008000,百貨,1,5954,3159830
201902,10008000,百貨,2,13507,10226176
201903,10008000,百貨,1,5047,2975869
201903,10008000,百貨,2,13547,10493198
201904,10008000,百貨,1,5050,3112551
201904,10008000,百貨,2,13206,11318915
201905,10008000,百貨,1,4262,2528116
201905,10008000,百貨,2,11253,8783503
201906,10008000,百貨,1,4749,2632473
201906,10008000,百貨,2,12165,9157291
201907,10008000,百貨,1,5451,3481115
201907,10008000,百貨,2,13964,10242632
201908,10008000,百貨,1,5199,2666891
201908,10008000,百貨,2,13627,11109370
201909,10008000,百貨,1,5140,2483193
201909,10008000,百貨,2,12886,9665883
201910,10008000,百貨,1,5419,2878955
201910,10008000,百貨,2,13396,9487282
201911,10008000,百貨,1,5428,2661941
201911,10008000,百貨,2,13385,9108088
201912,10008000,百貨,1,5991,3077697
201912,10008000,百貨,2,14307,10292820
202001,10008000,百貨,1,7765,4311949
202001,10008000,百貨,2,16285,12123991
202002,10008000,百貨,1,5624,2829536
202002,10008000,百貨,2,14140,9857103
202003,10008000,百貨,1,5163,2779866
202003,10008000,百貨,2,12402,9820757
202004,10008000,百貨,1,4819,2818023
202004,10008000,百貨,2,11840,9338321
202005,10008000,百貨,1,5066,3073267
202005,10008000,百貨,2,11879,9314786
202006,10008000,百貨,1,6008,3170982
202006,10008000,百貨,2,13650,9946285
202007,10008000,百貨,1,5743,2933077
202007,10008000,百貨,2,13769,10100401
202008,10008000,百貨,1,6275,3099298
202008,10008000,百貨,2,14594,11253709
202009,10008000,百貨,1,5256,2751625
202009,10008000,百貨,2,12823,10194506
202010,10008000,百貨,1,6979,3560278
202010,10008000,百貨,2,14696,11406016
202011,10008000,百貨,1,5286,2883793
202011,10008000,百貨,2,12120,9282635
202012,10008000,百貨,1,5687,3034837
202012,10008000,百貨,2,13633,10358849
202101,10008000,百貨,1,6410,3858991
202101,10008000,百貨,2,15404,11964032
