年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10008000,文教康樂,1,13209,55575399
201401,10008000,文教康樂,2,16030,67845798
201402,10008000,文教康樂,1,12515,51936077
201402,10008000,文教康樂,2,14809,64398286
201403,10008000,文教康樂,1,12101,51302194
201403,10008000,文教康樂,2,13989,60960000
201404,10008000,文教康樂,1,12118,55808465
201404,10008000,文教康樂,2,13978,64744982
201405,10008000,文教康樂,1,11553,53648876
201405,10008000,文教康樂,2,13775,61855457
201406,10008000,文教康樂,1,12014,55901627
201406,10008000,文教康樂,2,12660,57438414
201407,10008000,文教康樂,1,14601,62288466
201407,10008000,文教康樂,2,15793,66066806
201408,10008000,文教康樂,1,15777,64235930
201408,10008000,文教康樂,2,17412,75698461
201409,10008000,文教康樂,1,11379,44736065
201409,10008000,文教康樂,2,12875,53373130
201410,10008000,文教康樂,1,13423,51576759
201410,10008000,文教康樂,2,14899,67098448
201411,10008000,文教康樂,1,13843,56088664
201411,10008000,文教康樂,2,14395,58302962
201412,10008000,文教康樂,1,12396,48499276
201412,10008000,文教康樂,2,13556,61811697
201501,10008000,文教康樂,1,14205,60087651
201501,10008000,文教康樂,2,14625,69331600
201502,10008000,文教康樂,1,15213,58353245
201502,10008000,文教康樂,2,17427,78209531
201503,10008000,文教康樂,1,13111,58745383
201503,10008000,文教康樂,2,12875,62643388
201504,10008000,文教康樂,1,13398,59105928
201504,10008000,文教康樂,2,14292,69589784
201505,10008000,文教康樂,1,12743,56275670
201505,10008000,文教康樂,2,13658,68908787
201506,10008000,文教康樂,1,13197,55757689
201506,10008000,文教康樂,2,13289,62823702
201507,10008000,文教康樂,1,14856,60337872
201507,10008000,文教康樂,2,15100,67586030
201508,10008000,文教康樂,1,13982,62283043
201508,10008000,文教康樂,2,15725,73894708
201509,10008000,文教康樂,1,12912,51108686
201509,10008000,文教康樂,2,13228,56476313
201510,10008000,文教康樂,1,14606,59160395
201510,10008000,文教康樂,2,15614,71960794
201511,10008000,文教康樂,1,14416,59329416
201511,10008000,文教康樂,2,15024,70039245
201512,10008000,文教康樂,1,13463,51849278
201512,10008000,文教康樂,2,13863,58305638
201601,10008000,文教康樂,1,11435,53646391
201601,10008000,文教康樂,2,14254,69792616
201602,10008000,文教康樂,1,12861,54252546
201602,10008000,文教康樂,2,15996,73405680
201603,10008000,文教康樂,1,9865,45254413
201603,10008000,文教康樂,2,11560,54892803
201604,10008000,文教康樂,1,11619,49827695
201604,10008000,文教康樂,2,13560,58974681
201605,10008000,文教康樂,1,11726,53935386
201605,10008000,文教康樂,2,14109,67247532
201606,10008000,文教康樂,1,12501,57894505
201606,10008000,文教康樂,2,14176,64464693
201607,10008000,文教康樂,1,14525,57777180
201607,10008000,文教康樂,2,16841,68390952
201608,10008000,文教康樂,1,14124,58758745
201608,10008000,文教康樂,2,17650,76157356
201609,10008000,文教康樂,1,10371,40543525
201609,10008000,文教康樂,2,12900,51000027
201610,10008000,文教康樂,1,13425,54976159
201610,10008000,文教康樂,2,15434,65545352
201611,10008000,文教康樂,1,12810,55508527
201611,10008000,文教康樂,2,14944,63031236
201612,10008000,文教康樂,1,12324,50681463
201612,10008000,文教康樂,2,14503,64805050
201701,10008000,文教康樂,1,12025,50425218
201701,10008000,文教康樂,2,15494,71403859
201702,10008000,文教康樂,1,12194,53797630
201702,10008000,文教康樂,2,14527,68021057
201703,10008000,文教康樂,1,11192,48031267
201703,10008000,文教康樂,2,12809,58332890
201704,10008000,文教康樂,1,12237,49177755
201704,10008000,文教康樂,2,14796,62631371
201705,10008000,文教康樂,1,11561,48741943
201705,10008000,文教康樂,2,14068,62912646
201706,10008000,文教康樂,1,8788,42600904
201706,10008000,文教康樂,2,11242,55694999
201707,10008000,文教康樂,1,12942,51374199
201707,10008000,文教康樂,2,14645,59275311
201708,10008000,文教康樂,1,13765,58735604
201708,10008000,文教康樂,2,16595,72860905
201709,10008000,文教康樂,1,10780,42419408
201709,10008000,文教康樂,2,12405,51900021
201710,10008000,文教康樂,1,12632,49873023
201710,10008000,文教康樂,2,15123,64706097
201711,10008000,文教康樂,1,11839,48286037
201711,10008000,文教康樂,2,13708,57459208
201712,10008000,文教康樂,1,12364,47224340
201712,10008000,文教康樂,2,14366,63280154
201801,10008000,文教康樂,1,10126,46644403
201801,10008000,文教康樂,2,12288,60669949
201802,10008000,文教康樂,1,11428,49349230
201802,10008000,文教康樂,2,14599,66565428
201803,10008000,文教康樂,1,10741,52005387
201803,10008000,文教康樂,2,13014,63860108
201804,10008000,文教康樂,1,11795,52056358
201804,10008000,文教康樂,2,14483,67140199
201805,10008000,文教康樂,1,11010,50836082
201805,10008000,文教康樂,2,13779,64003606
201806,10008000,文教康樂,1,10179,47832465
201806,10008000,文教康樂,2,12146,60950224
201807,10008000,文教康樂,1,11217,50220906
201807,10008000,文教康樂,2,14032,63596975
201808,10008000,文教康樂,1,9891,50835058
201808,10008000,文教康樂,2,12593,64546291
201809,10008000,文教康樂,1,9714,37831323
201809,10008000,文教康樂,2,12407,49549029
201810,10008000,文教康樂,1,9240,38539070
201810,10008000,文教康樂,2,11187,53618579
201811,10008000,文教康樂,1,10482,45481533
201811,10008000,文教康樂,2,12766,56202772
201812,10008000,文教康樂,1,12558,53036477
201812,10008000,文教康樂,2,14538,66043828
201901,10008000,文教康樂,1,10922,57977731
201901,10008000,文教康樂,2,13893,73441527
201902,10008000,文教康樂,1,10028,42685481
201902,10008000,文教康樂,2,12109,55002958
201903,10008000,文教康樂,1,10339,47820743
201903,10008000,文教康樂,2,12751,63546240
201904,10008000,文教康樂,1,10495,50092820
201904,10008000,文教康樂,2,13184,64119127
201905,10008000,文教康樂,1,8402,43817975
201905,10008000,文教康樂,2,10717,55011451
201906,10008000,文教康樂,1,9620,38586934
201906,10008000,文教康樂,2,12320,50402439
201907,10008000,文教康樂,1,12810,47760134
201907,10008000,文教康樂,2,15446,60377617
201908,10008000,文教康樂,1,11650,51238180
201908,10008000,文教康樂,2,14753,66285175
201909,10008000,文教康樂,1,11212,35515929
201909,10008000,文教康樂,2,13375,47382804
201910,10008000,文教康樂,1,13520,48753185
201910,10008000,文教康樂,2,16472,60904732
201911,10008000,文教康樂,1,13412,54472500
201911,10008000,文教康樂,2,16532,67687478
201912,10008000,文教康樂,1,12227,42628923
201912,10008000,文教康樂,2,15376,58116412
202001,10008000,文教康樂,1,13624,49106405
202001,10008000,文教康樂,2,17643,69705254
202002,10008000,文教康樂,1,14819,42927988
202002,10008000,文教康樂,2,17419,49560118
202003,10008000,文教康樂,1,12132,26772600
202003,10008000,文教康樂,2,13206,33108206
202004,10008000,文教康樂,1,12268,27091470
202004,10008000,文教康樂,2,13419,35103118
202005,10008000,文教康樂,1,11989,26037666
202005,10008000,文教康樂,2,14308,37948790
202006,10008000,文教康樂,1,14459,32098490
202006,10008000,文教康樂,2,16390,38013516
202007,10008000,文教康樂,1,17030,36864897
202007,10008000,文教康樂,2,20162,46797448
202008,10008000,文教康樂,1,18527,50154940
202008,10008000,文教康樂,2,22128,62781388
202009,10008000,文教康樂,1,14843,39813982
202009,10008000,文教康樂,2,17872,53369522
202010,10008000,文教康樂,1,18169,45786397
202010,10008000,文教康樂,2,22044,57573048
202011,10008000,文教康樂,1,16132,38819582
202011,10008000,文教康樂,2,18651,48114323
202012,10008000,文教康樂,1,15847,46520618
202012,10008000,文教康樂,2,18339,52371411
202101,10008000,文教康樂,1,17013,43529087
202101,10008000,文教康樂,2,21211,61555932
202102,10008000,文教康樂,1,20578,54044323
202102,10008000,文教康樂,2,24776,68466760
202103,10008000,文教康樂,1,16044,39280561
202103,10008000,文教康樂,2,18499,47308650
202104,10008000,文教康樂,1,16206,39194088
202104,10008000,文教康樂,2,18749,51428093
202105,10008000,文教康樂,1,9747,24916149
202105,10008000,文教康樂,2,12199,32417851
202106,10008000,文教康樂,1,3762,8343184
202106,10008000,文教康樂,2,7134,15500816
202107,10008000,文教康樂,1,8203,19891270
202107,10008000,文教康樂,2,10281,24723642
202108,10008000,文教康樂,1,15058,45067894
202108,10008000,文教康樂,2,17633,57143684
202109,10008000,文教康樂,1,16150,37549849
202109,10008000,文教康樂,2,17304,43064607
202110,10008000,文教康樂,1,18168,40897066
202110,10008000,文教康樂,2,20333,50635622
202111,10008000,文教康樂,1,17921,46354659
202111,10008000,文教康樂,2,20201,55051170
202112,10008000,文教康樂,1,18682,50727446
202112,10008000,文教康樂,2,21369,55480171
202201,10008000,文教康樂,1,18527,49347227
202201,10008000,文教康樂,2,21663,63948650
202202,10008000,文教康樂,1,22053,59925369
202202,10008000,文教康樂,2,25830,73495864
202203,10008000,文教康樂,1,18872,46208920
202203,10008000,文教康樂,2,21529,55143198
202204,10008000,文教康樂,1,18315,43149719
202204,10008000,文教康樂,2,20707,53973713
202205,10008000,文教康樂,1,13330,31935318
202205,10008000,文教康樂,2,14920,40051535
202206,10008000,文教康樂,1,16950,36719636
202206,10008000,文教康樂,2,18663,43156333
202207,10008000,文教康樂,1,25910,55961100
202207,10008000,文教康樂,2,30821,69019561
202208,10008000,文教康樂,1,26542,62911999
202208,10008000,文教康樂,2,32284,77742437
202209,10008000,文教康樂,1,19487,46467237
202209,10008000,文教康樂,2,23066,56967891
202210,10008000,文教康樂,1,22927,53559100
202210,10008000,文教康樂,2,26007,63832432
202211,10008000,文教康樂,1,21446,64522169
202211,10008000,文教康樂,2,24465,67432367
202212,10008000,文教康樂,1,22479,68887766
202212,10008000,文教康樂,2,26159,72071165
202301,10008000,文教康樂,1,24450,67882107
202301,10008000,文教康樂,2,28345,80082255
202302,10008000,文教康樂,1,27572,70098903
202302,10008000,文教康樂,2,31859,87799962
202303,10008000,文教康樂,1,21292,55147048
202303,10008000,文教康樂,2,24313,65543633
202304,10008000,文教康樂,1,23554,60376699
202304,10008000,文教康樂,2,27142,70445673
202305,10008000,文教康樂,1,18882,57005312
202305,10008000,文教康樂,2,21747,68897600
202306,10008000,文教康樂,1,21310,58011986
202306,10008000,文教康樂,2,23394,72028590
202307,10008000,文教康樂,1,25229,57365428
202307,10008000,文教康樂,2,29047,72948075
202308,10008000,文教康樂,1,21904,63183455
202308,10008000,文教康樂,2,26041,80341696
