年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10008000,住,1,19167,128627776
201401,10008000,住,2,18464,125992052
201402,10008000,住,1,17004,106360741
201402,10008000,住,2,17190,112297354
201403,10008000,住,1,15174,106740718
201403,10008000,住,2,14801,112467057
201404,10008000,住,1,16998,138125285
201404,10008000,住,2,17052,142691456
201405,10008000,住,1,16736,141309356
201405,10008000,住,2,16916,140287420
201406,10008000,住,1,16613,135642737
201406,10008000,住,2,16704,137312669
201407,10008000,住,1,22705,169743660
201407,10008000,住,2,23276,175291427
201408,10008000,住,1,23912,164026767
201408,10008000,住,2,24523,179978426
201409,10008000,住,1,17012,124419763
201409,10008000,住,2,16667,132364054
201410,10008000,住,1,18912,144916295
201410,10008000,住,2,17955,139144194
201411,10008000,住,1,20380,163957950
201411,10008000,住,2,21360,179502432
201412,10008000,住,1,17225,134679672
201412,10008000,住,2,16869,141039835
201501,10008000,住,1,19457,136276027
201501,10008000,住,2,18758,135481141
201502,10008000,住,1,22475,154969522
201502,10008000,住,2,22777,164308999
201503,10008000,住,1,15053,112469498
201503,10008000,住,2,14453,108945619
201504,10008000,住,1,17489,132552900
201504,10008000,住,2,17062,140650375
201505,10008000,住,1,16714,142421765
201505,10008000,住,2,16788,135765078
201506,10008000,住,1,17888,136300128
201506,10008000,住,2,17957,140762915
201507,10008000,住,1,22688,165755736
201507,10008000,住,2,23243,170473119
201508,10008000,住,1,20498,145823781
201508,10008000,住,2,20934,150311886
201509,10008000,住,1,17158,126292008
201509,10008000,住,2,16769,127705314
201510,10008000,住,1,18962,154582666
201510,10008000,住,2,18094,151804390
201511,10008000,住,1,22121,181607941
201511,10008000,住,2,22690,193772632
201512,10008000,住,1,18885,150102535
201512,10008000,住,2,18564,149474564
201601,10008000,住,1,18821,138149821
201601,10008000,住,2,18523,134962291
201602,10008000,住,1,20219,139480704
201602,10008000,住,2,20958,156733420
201603,10008000,住,1,13381,100102316
201603,10008000,住,2,12714,98113152
201604,10008000,住,1,16354,119541515
201604,10008000,住,2,15842,125188929
201605,10008000,住,1,15720,116226020
201605,10008000,住,2,15742,132022899
201606,10008000,住,1,18237,131830492
201606,10008000,住,2,18038,141931922
201607,10008000,住,1,21724,152060754
