年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10008000,行,1,149828,189457626
201401,10008000,行,2,87488,94907641
201402,10008000,行,1,154453,190509159
201402,10008000,行,2,87212,94857157
201403,10008000,行,1,146301,183888713
201403,10008000,行,2,86212,93953837
201404,10008000,行,1,139603,174011872
201404,10008000,行,2,82570,89380329
201405,10008000,行,1,139611,174002085
201405,10008000,行,2,84419,90592651
201406,10008000,行,1,145289,180812012
201406,10008000,行,2,86654,94058683
201407,10008000,行,1,158911,195137344
201407,10008000,行,2,92241,99502846
201408,10008000,行,1,163864,196287706
201408,10008000,行,2,94599,98573126
201409,10008000,行,1,147017,172698295
201409,10008000,行,2,85938,88491755
201410,10008000,行,1,155218,174772306
201410,10008000,行,2,90157,90426590
201411,10008000,行,1,147347,160301452
201411,10008000,行,2,85227,82377381
201412,10008000,行,1,144532,146111809
201412,10008000,行,2,84611,77430163
201501,10008000,行,1,153770,138487019
201501,10008000,行,2,85956,70199023
201502,10008000,行,1,158120,143757013
201502,10008000,行,2,83111,69411344
201503,10008000,行,1,142658,135998823
201503,10008000,行,2,82440,69542313
201504,10008000,行,1,143992,136823475
201504,10008000,行,2,80898,68964772
201505,10008000,行,1,142957,140294643
201505,10008000,行,2,82941,73628939
201506,10008000,行,1,151292,149564740
201506,10008000,行,2,86246,76419334
201507,10008000,行,1,159747,154189675
201507,10008000,行,2,89941,78705754
201508,10008000,行,1,147543,134414594
201508,10008000,行,2,84881,69928844
201509,10008000,行,1,148724,132694507
201509,10008000,行,2,83745,67335366
201510,10008000,行,1,155826,139108730
201510,10008000,行,2,87319,71373183
201511,10008000,行,1,154026,132672384
201511,10008000,行,2,87086,68422794
201512,10008000,行,1,148258,123480832
201512,10008000,行,2,83813,63692262
201601,10008000,行,1,94365,71843294
201601,10008000,行,2,49136,34838134
201602,10008000,行,1,97080,72547219
201602,10008000,行,2,46390,32555018
201603,10008000,行,1,80976,66250509
201603,10008000,行,2,42691,32507609
201604,10008000,行,1,85772,71379440
201604,10008000,行,2,44952,34444787
201605,10008000,行,1,88868,77308192
201605,10008000,行,2,46933,37340277
201606,10008000,行,1,94445,84270540
