年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,65000000,食,1,544085,898565627
201401,65000000,食,2,718849,1154814859
201402,65000000,食,1,425482,547105063
201402,65000000,食,2,540780,673907303
201403,65000000,食,1,491591,632936021
201403,65000000,食,2,648498,814746761
201404,65000000,食,1,470840,587647702
201404,65000000,食,2,624645,769931537
201405,65000000,食,1,524025,689581073
201405,65000000,食,2,676883,879760145
201406,65000000,食,1,515977,659592637
201406,65000000,食,2,662273,826442807
201407,65000000,食,1,561613,705333903
201407,65000000,食,2,745886,931672214
201408,65000000,食,1,579813,769826131
201408,65000000,食,2,772468,1012205827
201409,65000000,食,1,538594,676436816
201409,65000000,食,2,711513,894320456
201410,65000000,食,1,520547,649418140
201410,65000000,食,2,684296,843522797
201411,65000000,食,1,519271,700239510
201411,65000000,食,2,670230,890606547
201412,65000000,食,1,551413,764856974
201412,65000000,食,2,723288,978849995
201501,65000000,食,1,548301,811854854
201501,65000000,食,2,706079,1025421005
201502,65000000,食,1,534020,875810071
201502,65000000,食,2,671276,1088562554
201503,65000000,食,1,504496,685561942
201503,65000000,食,2,649355,863043909
201504,65000000,食,1,515928,669218131
201504,65000000,食,2,660442,852302820
201505,65000000,食,1,600306,805607625
201505,65000000,食,2,755585,1001774138
201506,65000000,食,1,573048,720392875
201506,65000000,食,2,723111,897219098
201507,65000000,食,1,600426,740792897
201507,65000000,食,2,779793,952269983
201508,65000000,食,1,678694,894144686
201508,65000000,食,2,889534,1161036478
201509,65000000,食,1,620211,793601024
201509,65000000,食,2,801042,1015600760
201510,65000000,食,1,608276,769329280
201510,65000000,食,2,780123,967431960
201511,65000000,食,1,572407,776741654
201511,65000000,食,2,737424,971518337
201512,65000000,食,1,616163,876924446
201512,65000000,食,2,786025,1074172758
201601,65000000,食,1,1043971,1703517718
201601,65000000,食,2,1237583,1972623717
201602,65000000,食,1,974735,1490581037
201602,65000000,食,2,1119068,1645104507
201603,65000000,食,1,920509,1223077899
201603,65000000,食,2,1100806,1402843202
201604,65000000,食,1,945502,1248304256
201604,65000000,食,2,1114686,1437323963
201605,65000000,食,1,1020045,1374292841
201605,65000000,食,2,1195632,1548438682
201606,65000000,食,1,1039547,1359536422
201606,65000000,食,2,1215463,1530794591
201607,65000000,食,1,1133884,1489841537
201607,65000000,食,2,1348481,1707365866
201608,65000000,食,1,1045586,1469601759
201608,65000000,食,2,1295036,1744533972
201609,65000000,食,1,1035622,1409460013
201609,65000000,食,2,1215602,1611079768
201610,65000000,食,1,1050200,1385847512
201610,65000000,食,2,1235956,1575669287
201611,65000000,食,1,852462,945729992
201611,65000000,食,2,1008716,1055754929
201612,65000000,食,1,921840,1075527459
201612,65000000,食,2,1082046,1199717616
201701,65000000,食,1,963978,1411038611
201701,65000000,食,2,1105496,1545703140
201702,65000000,食,1,806389,952649473
201702,65000000,食,2,915271,1028081536
201703,65000000,食,1,838729,919860265
201703,65000000,食,2,1005741,1043380821
201704,65000000,食,1,865209,962682589
201704,65000000,食,2,1026585,1096497312
201705,65000000,食,1,887450,1027679510
201705,65000000,食,2,1047783,1150474388
201706,65000000,食,1,853657,919410785
201706,65000000,食,2,1015906,1046249463
201707,65000000,食,1,980781,1067442386
201707,65000000,食,2,1177679,1240389616
