年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,65000000,住,1,98519,524997865
201401,65000000,住,2,83025,489717108
201402,65000000,住,1,77660,327406554
201402,65000000,住,2,66661,313827410
201403,65000000,住,1,77882,362437756
201403,65000000,住,2,65849,336948789
201404,65000000,住,1,83589,445764309
201404,65000000,住,2,71434,421824263
201405,65000000,住,1,82491,401943328
201405,65000000,住,2,72996,399601157
201406,65000000,住,1,88593,440100037
201406,65000000,住,2,78397,433512452
201407,65000000,住,1,98815,515327256
201407,65000000,住,2,93158,526654905
201408,65000000,住,1,92656,442490580
201408,65000000,住,2,85422,437977093
201409,65000000,住,1,81635,388242639
201409,65000000,住,2,72809,375915412
201410,65000000,住,1,80585,374415996
201410,65000000,住,2,74957,374104677
201411,65000000,住,1,87501,442320055
201411,65000000,住,2,78868,441726008
201412,65000000,住,1,92851,455174626
201412,65000000,住,2,80797,420850367
201501,65000000,住,1,97941,494156085
201501,65000000,住,2,85353,459221040
201502,65000000,住,1,92613,446825535
201502,65000000,住,2,82509,419655713
201503,65000000,住,1,84041,390814345
201503,65000000,住,2,73708,357563893
201504,65000000,住,1,90268,479340203
201504,65000000,住,2,80261,468468987
201505,65000000,住,1,87978,429152051
201505,65000000,住,2,79583,419383067
201506,65000000,住,1,88236,454886019
201506,65000000,住,2,80239,457486542
201507,65000000,住,1,94331,481295613
201507,65000000,住,2,89583,485884329
201508,65000000,住,1,94843,440906150
201508,65000000,住,2,89006,422267886
201509,65000000,住,1,86476,400270073
201509,65000000,住,2,76756,380283268
201510,65000000,住,1,86733,414012235
201510,65000000,住,2,77765,395914269
201511,65000000,住,1,91607,489331534
201511,65000000,住,2,82301,482405653
201512,65000000,住,1,98623,512128003
201512,65000000,住,2,85055,470642027
201601,65000000,住,1,189493,852774941
201601,65000000,住,2,179646,839661428
201602,65000000,住,1,170716,689494921
201602,65000000,住,2,156659,660826757
201603,65000000,住,1,143322,550397246
201603,65000000,住,2,130029,529519037
201604,65000000,住,1,134026,614070729
201604,65000000,住,2,117461,581384644
201605,65000000,住,1,129793,580126119
201605,65000000,住,2,115237,570942862
201606,65000000,住,1,137167,639860114
201606,65000000,住,2,124055,627256021
201607,65000000,住,1,144850,666583276
201607,65000000,住,2,131591,660510189
201608,65000000,住,1,131919,570061111
201608,65000000,住,2,121681,570951497
201609,65000000,住,1,122116,526483972
201609,65000000,住,2,107846,513528983
201610,65000000,住,1,135467,578886110
201610,65000000,住,2,118599,560202545
201611,65000000,住,1,132751,617814815
201611,65000000,住,2,117767,597449869
201612,65000000,住,1,142870,674326073
201612,65000000,住,2,127341,631976992
201701,65000000,住,1,146247,699639876
201701,65000000,住,2,132243,691247964
201702,65000000,住,1,127362,529401662
201702,65000000,住,2,112002,491980691
201703,65000000,住,1,116430,507561833
201703,65000000,住,2,102572,482711800
201704,65000000,住,1,127023,652619435
201704,65000000,住,2,113605,638852550
201705,65000000,住,1,120662,555977944
201705,65000000,住,2,107936,542929608
201706,65000000,住,1,111761,547724124
201706,65000000,住,2,100717,544360784
201707,65000000,住,1,133513,663903146
201707,65000000,住,2,123850,678279913
201708,65000000,住,1,129279,615839058
201708,65000000,住,2,122457,628056059
201709,65000000,住,1,117869,558374056
201709,65000000,住,2,105687,532716234
201710,65000000,住,1,129728,608367046
201710,65000000,住,2,118046,618741769
201711,65000000,住,1,121988,609643992
201711,65000000,住,2,106892,571194450
201712,65000000,住,1,136844,670250499
201712,65000000,住,2,123202,614020070
201801,65000000,住,1,120187,601232256
201801,65000000,住,2,109524,600418492
201802,65000000,住,1,131581,614817558
201802,65000000,住,2,119709,593085688
201803,65000000,住,1,120626,537137984
201803,65000000,住,2,108736,519522432
201804,65000000,住,1,124721,632898536
201804,65000000,住,2,112617,632175034
201805,65000000,住,1,126804,622939833
201805,65000000,住,2,118871,650739754
201806,65000000,住,1,125733,578730006
201806,65000000,住,2,117100,580552202
201807,65000000,住,1,135214,650380345
201807,65000000,住,2,130478,672025829
201808,65000000,住,1,122918,546608791
201808,65000000,住,2,119545,559498868
201809,65000000,住,1,124151,566643191
201809,65000000,住,2,117131,556813232
201810,65000000,住,1,107642,483046790
201810,65000000,住,2,101901,485107676
201811,65000000,住,1,123993,614638906
201811,65000000,住,2,116063,619406078
201812,65000000,住,1,144154,673152929
201812,65000000,住,2,136328,672261658
201901,65000000,住,1,139975,689416062
201901,65000000,住,2,136728,746011927
201902,65000000,住,1,109852,449773901
