年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,65000000,其他,1,210113,971507038
201401,65000000,其他,2,263764,1079892019
201402,65000000,其他,1,165688,698971619
201402,65000000,其他,2,214494,809517779
201403,65000000,其他,1,179926,780035486
201403,65000000,其他,2,238317,907593876
201404,65000000,其他,1,175855,783623214
201404,65000000,其他,2,230336,905212734
201405,65000000,其他,1,184563,797243931
201405,65000000,其他,2,241435,924909953
201406,65000000,其他,1,177375,742003544
201406,65000000,其他,2,231681,842738330
201407,65000000,其他,1,213520,851368039
201407,65000000,其他,2,267441,962419066
201408,65000000,其他,1,195655,790972644
201408,65000000,其他,2,250120,883683162
201409,65000000,其他,1,184598,788358496
201409,65000000,其他,2,234603,866845449
201410,65000000,其他,1,198348,842071827
201410,65000000,其他,2,257426,971720598
201411,65000000,其他,1,193630,860453753
201411,65000000,其他,2,249047,965341524
201412,65000000,其他,1,223047,966082899
201412,65000000,其他,2,272308,1030022822
201501,65000000,其他,1,216788,932148585
201501,65000000,其他,2,269757,1026004222
201502,65000000,其他,1,190788,819738028
201502,65000000,其他,2,234126,893028493
201503,65000000,其他,1,207038,829401887
201503,65000000,其他,2,257369,910770804
201504,65000000,其他,1,200908,810744033
201504,65000000,其他,2,254523,907396240
201505,65000000,其他,1,199602,834612760
201505,65000000,其他,2,256376,931153676
201506,65000000,其他,1,194896,803197958
201506,65000000,其他,2,248112,878340736
201507,65000000,其他,1,285431,975719811
201507,65000000,其他,2,349597,1062011592
201508,65000000,其他,1,326992,928193001
201508,65000000,其他,2,295336,941204691
201509,65000000,其他,1,249602,818111588
201509,65000000,其他,2,329213,914842723
201510,65000000,其他,1,292128,1029213126
201510,65000000,其他,2,361118,1141660586
201511,65000000,其他,1,235243,924150024
201511,65000000,其他,2,355942,1075419749
201512,65000000,其他,1,304228,1018478046
201512,65000000,其他,2,369125,1130326369
201601,65000000,其他,1,441631,1474064309
201601,65000000,其他,2,586678,1577493691
201602,65000000,其他,1,378173,1178628853
201602,65000000,其他,2,501829,1296624259
201603,65000000,其他,1,454836,1359290514
201603,65000000,其他,2,540203,1420898506
201604,65000000,其他,1,433869,1348753948
201604,65000000,其他,2,608418,1475464469
201605,65000000,其他,1,447350,1334845084
201605,65000000,其他,2,628123,1467236592
201606,65000000,其他,1,459333,1381426966
201606,65000000,其他,2,694713,1522909616
201607,65000000,其他,1,531185,1543600736
201607,65000000,其他,2,718324,1638532894
201608,65000000,其他,1,513944,1426202858
201608,65000000,其他,2,672049,1551091250
201609,65000000,其他,1,478527,1373219490
201609,65000000,其他,2,630035,1512031734
201610,65000000,其他,1,482853,1497048451
201610,65000000,其他,2,700278,1635373799
201611,65000000,其他,1,493768,1501102835
201611,65000000,其他,2,721325,1637860384
201612,65000000,其他,1,588085,1702719153
201612,65000000,其他,2,691330,1741989743
201701,65000000,其他,1,508246,1522873501
201701,65000000,其他,2,666903,1592049238
201702,65000000,其他,1,449386,1289317223
201702,65000000,其他,2,627711,1390553263
201703,65000000,其他,1,533900,1503056832
201703,65000000,其他,2,696768,1538888783
201704,65000000,其他,1,451113,1390611306
201704,65000000,其他,2,747703,1513810876
201705,65000000,其他,1,442266,1405429912
201705,65000000,其他,2,743686,1530609270
201706,65000000,其他,1,521406,1446709641
201706,65000000,其他,2,652312,1431102176
201707,65000000,其他,1,539542,1648409904
201707,65000000,其他,2,781161,1730855204
201708,65000000,其他,1,470175,1466467258
201708,65000000,其他,2,750383,1569246654
201709,65000000,其他,1,470342,1501340626
201709,65000000,其他,2,706902,1608312338
201710,65000000,其他,1,611203,1589013275
201710,65000000,其他,2,813067,1693251415
201711,65000000,其他,1,598781,1736803917
201711,65000000,其他,2,793028,1784615856
201712,65000000,其他,1,512748,1690946676
201712,65000000,其他,2,743189,1755095153
201801,65000000,其他,1,467546,1514502254
201801,65000000,其他,2,675587,1546322259
201802,65000000,其他,1,426564,1300869995
201802,65000000,其他,2,615481,1389163629
201803,65000000,其他,1,512813,1558128929
201803,65000000,其他,2,734763,1674214362
201804,65000000,其他,1,485162,1414501567
201804,65000000,其他,2,703562,1550804457
201805,65000000,其他,1,533639,1585842164
201805,65000000,其他,2,802339,1793795450
201806,65000000,其他,1,506733,1423583956
201806,65000000,其他,2,770883,1545726718
201807,65000000,其他,1,592244,1651580788
201807,65000000,其他,2,844763,1768486670
201808,65000000,其他,1,514410,1425249534
201808,65000000,其他,2,752570,1555725433
201809,65000000,其他,1,503679,1440765035
201809,65000000,其他,2,758546,1601117194
201810,65000000,其他,1,485052,1347529221
201810,65000000,其他,2,734396,1500139343
201811,65000000,其他,1,537513,1524400379
201811,65000000,其他,2,842173,1677420618
201812,65000000,其他,1,565075,1623839188
201812,65000000,其他,2,877921,1791117424
201901,65000000,其他,1,564152,1654594371
201901,65000000,其他,2,875052,1782481529
201902,65000000,其他,1,424931,1060574149
201902,65000000,其他,2,644272,1204708823
201903,65000000,其他,1,541601,1467437779
201903,65000000,其他,2,847688,1702676884
201904,65000000,其他,1,504022,1373261324
201904,65000000,其他,2,773578,1555328002
201905,65000000,其他,1,530507,1399645265
201905,65000000,其他,2,803549,1602940092
201906,65000000,其他,1,506418,1373947200
201906,65000000,其他,2,775437,1522310353
201907,65000000,其他,1,657628,1820108548
201907,65000000,其他,2,961345,1957137654
201908,65000000,其他,1,577840,1542897961
201908,65000000,其他,2,904413,1792368834
201909,65000000,其他,1,505152,1357854892
201909,65000000,其他,2,783885,1572120569
201910,65000000,其他,1,556864,1557341921
201910,65000000,其他,2,856411,1805227496
201911,65000000,其他,1,581029,1651914161
201911,65000000,其他,2,900681,1911012568
201912,65000000,其他,1,582240,1629620041
201912,65000000,其他,2,888617,1839639992
202001,65000000,其他,1,561029,1613012042
202001,65000000,其他,2,864694,1862688530
202002,65000000,其他,1,559982,1544497874
202002,65000000,其他,2,884173,1743643840
202003,65000000,其他,1,599309,1630932692
202003,65000000,其他,2,927130,1869158154
202004,65000000,其他,1,595097,1523422909
202004,65000000,其他,2,903121,1791725002
202005,65000000,其他,1,500555,1464267433
202005,65000000,其他,2,821071,1758900178
202006,65000000,其他,1,481270,1429993225
202006,65000000,其他,2,799218,1644232477
202007,65000000,其他,1,636950,1926182540
202007,65000000,其他,2,959453,2162358814
202008,65000000,其他,1,605681,1669018693
202008,65000000,其他,2,944469,1973574464
202009,65000000,其他,1,626466,1708678736
