年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,65000000,行,1,476794,479349819
201401,65000000,行,2,158131,146383765
201402,65000000,行,1,401469,402569396
201402,65000000,行,2,132153,120719165
201403,65000000,行,1,465364,460031102
201403,65000000,行,2,157050,143037540
201404,65000000,行,1,458772,448927102
201404,65000000,行,2,154451,138119819
201405,65000000,行,1,487588,491814219
201405,65000000,行,2,165410,150471698
201406,65000000,行,1,480355,486540280
201406,65000000,行,2,162280,151416409
201407,65000000,行,1,507373,508883060
201407,65000000,行,2,169682,160337808
201408,65000000,行,1,513777,503445207
201408,65000000,行,2,172169,153769667
201409,65000000,行,1,499488,473459009
201409,65000000,行,2,167790,146854375
201410,65000000,行,1,512864,466560643
201410,65000000,行,2,172719,143361473
201411,65000000,行,1,484056,422392341
201411,65000000,行,2,163436,131562777
201412,65000000,行,1,504307,426930299
201412,65000000,行,2,167643,135604955
201501,65000000,行,1,481898,367679836
201501,65000000,行,2,158401,117606617
201502,65000000,行,1,437210,333378543
201502,65000000,行,2,139928,102186621
201503,65000000,行,1,490617,385213582
201503,65000000,行,2,162724,119264369
201504,65000000,行,1,466115,364177503
201504,65000000,行,2,151906,110748304
201505,65000000,行,1,482637,395713761
201505,65000000,行,2,161455,122735389
201506,65000000,行,1,493219,406519823
201506,65000000,行,2,165203,125957972
201507,65000000,行,1,510793,421307563
201507,65000000,行,2,167411,138392877
201508,65000000,行,1,494435,387694092
201508,65000000,行,2,161463,123408556
201509,65000000,行,1,487716,369914624
201509,65000000,行,2,159946,116263237
201510,65000000,行,1,504580,388762376
201510,65000000,行,2,166516,124393162
201511,65000000,行,1,492222,369042560
201511,65000000,行,2,161180,119659882
201512,65000000,行,1,524525,400206830
201512,65000000,行,2,174051,135689467
201601,65000000,行,1,1035162,805505841
201601,65000000,行,2,385919,314300827
201602,65000000,行,1,866361,653005949
201602,65000000,行,2,313854,250932508
201603,65000000,行,1,990706,788945957
201603,65000000,行,2,371211,297728981
201604,65000000,行,1,964804,767099886
201604,65000000,行,2,358043,277232094
201605,65000000,行,1,1023792,848476888
201605,65000000,行,2,386082,306294951
201606,65000000,行,1,1047525,902147588
201606,65000000,行,2,394207,337577865
201607,65000000,行,1,1039860,884538420
201607,65000000,行,2,389847,331121462
201608,65000000,行,1,1155984,918089546
201608,65000000,行,2,426421,330555558
201609,65000000,行,1,1022400,829951026
201609,65000000,行,2,376773,296996053
201610,65000000,行,1,1108323,925153882
201610,65000000,行,2,411253,341461382
201611,65000000,行,1,1021490,858715547
201611,65000000,行,2,383553,318843693
201612,65000000,行,1,1071065,957587352
201612,65000000,行,2,405693,353366590
201701,65000000,行,1,923015,853503731
201701,65000000,行,2,353131,339747739
201702,65000000,行,1,810666,729334246
201702,65000000,行,2,313306,310785377
201703,65000000,行,1,972632,867293000
201703,65000000,行,2,377920,348109989
201704,65000000,行,1,1008783,863327334
201704,65000000,行,2,387628,326545360
201705,65000000,行,1,971219,820933322
201705,65000000,行,2,380003,320567770
201706,65000000,行,1,833444,752760438
201706,65000000,行,2,329249,302204960
201707,65000000,行,1,893859,785555549
201707,65000000,行,2,354088,321882652
201708,65000000,行,1,904025,802372383
201708,65000000,行,2,362978,325766679
201709,65000000,行,1,872829,780349156
201709,65000000,行,2,351191,313205328
201710,65000000,行,1,887323,819459363
201710,65000000,行,2,357415,332693030
201711,65000000,行,1,881544,836894725
201711,65000000,行,2,360320,346237675
201712,65000000,行,1,937733,899452493
201712,65000000,行,2,387006,375219793
201801,65000000,行,1,840625,836678552
201801,65000000,行,2,343782,365846858
201802,65000000,行,1,779468,761059298
201802,65000000,行,2,311835,317323045
201803,65000000,行,1,930154,865228453
201803,65000000,行,2,381450,363581298
201804,65000000,行,1,963711,892956120
201804,65000000,行,2,385292,353958167
201805,65000000,行,1,1089667,1027021172
201805,65000000,行,2,435679,397223025
201806,65000000,行,1,1068167,1025647205
201806,65000000,行,2,428361,395966120
201807,65000000,行,1,1098092,1070655829
201807,65000000,行,2,437355,416760299
201808,65000000,行,1,1019930,982920686
