年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10016000,衣,1,2686,8400372
201401,10016000,衣,2,9304,26299058
201402,10016000,衣,1,1437,3915052
201402,10016000,衣,2,5435,13681941
201403,10016000,衣,1,1709,5185674
201403,10016000,衣,2,6202,15440896
201404,10016000,衣,1,1656,4743469
201404,10016000,衣,2,5853,14362511
201405,10016000,衣,1,1953,4583741
201405,10016000,衣,2,6381,15511774
201406,10016000,衣,1,1781,4301557
201406,10016000,衣,2,5822,14177316
201407,10016000,衣,1,1798,4103141
201407,10016000,衣,2,6061,14285253
201408,10016000,衣,1,2036,4705260
201408,10016000,衣,2,6160,14163657
201409,10016000,衣,1,1652,4784591
201409,10016000,衣,2,5613,14768193
201410,10016000,衣,1,1811,4998024
201410,10016000,衣,2,5723,14896052
201411,10016000,衣,1,1859,6069810
201411,10016000,衣,2,6137,17249512
201412,10016000,衣,1,1992,5565682
201412,10016000,衣,2,7021,19382814
201501,10016000,衣,1,2122,5933280
201501,10016000,衣,2,6926,20132426
201502,10016000,衣,1,2476,7260560
201502,10016000,衣,2,7560,21194726
201503,10016000,衣,1,1571,4480363
201503,10016000,衣,2,5687,15594836
201504,10016000,衣,1,1297,4287821
201504,10016000,衣,2,4964,13821846
201505,10016000,衣,1,1435,4476608
201505,10016000,衣,2,5244,14163584
201506,10016000,衣,1,1348,4360051
201506,10016000,衣,2,4944,13092712
201507,10016000,衣,1,1562,4624996
201507,10016000,衣,2,5341,14028128
201508,10016000,衣,1,1504,4441727
201508,10016000,衣,2,5200,12583105
201509,10016000,衣,1,1285,4370274
201509,10016000,衣,2,4778,12733391
201510,10016000,衣,1,1464,4790405
201510,10016000,衣,2,4761,13175864
201511,10016000,衣,1,1349,4831841
201511,10016000,衣,2,4378,13100837
201512,10016000,衣,1,1448,4594528
201512,10016000,衣,2,5030,14759013
201601,10016000,衣,1,1059,3801134
201601,10016000,衣,2,4063,12078357
201602,10016000,衣,1,934,3214929
201602,10016000,衣,2,3705,10026406
201603,10016000,衣,1,632,2428283
201603,10016000,衣,2,2591,7191121
201604,10016000,衣,1,780,2494992
201604,10016000,衣,2,2880,7790743
201605,10016000,衣,1,941,2685073
201605,10016000,衣,2,3160,7825405
201606,10016000,衣,1,897,2977629
201606,10016000,衣,2,3157,7655153
201607,10016000,衣,1,962,3123391
201607,10016000,衣,2,3001,7609867
201608,10016000,衣,1,956,2833212
201608,10016000,衣,2,3208,7951010
201609,10016000,衣,1,685,2160065
201609,10016000,衣,2,2458,6037537
201610,10016000,衣,1,812,2562445
201610,10016000,衣,2,2829,7581143
201611,10016000,衣,1,838,3450659
201611,10016000,衣,2,2838,8438211
201612,10016000,衣,1,956,3502617
201612,10016000,衣,2,3371,9538839
201701,10016000,衣,1,1158,4214600
201701,10016000,衣,2,4476,13813323
201702,10016000,衣,1,625,2300018
201702,10016000,衣,2,2571,7256922
201703,10016000,衣,1,686,2365705
201703,10016000,衣,2,2825,8721514
201704,10016000,衣,1,842,2429373
201704,10016000,衣,2,3327,8835158
201705,10016000,衣,1,899,3045065
201705,10016000,衣,2,3203,8296007
201706,10016000,衣,1,726,2568799
201706,10016000,衣,2,2841,7568286
201707,10016000,衣,1,830,2835150
201707,10016000,衣,2,2896,7498993
201708,10016000,衣,1,915,2921836
201708,10016000,衣,2,3322,8104653
201709,10016000,衣,1,742,2693799
201709,10016000,衣,2,2851,7753700
201710,10016000,衣,1,901,2997239
201710,10016000,衣,2,3402,9596640
201711,10016000,衣,1,794,3138401
201711,10016000,衣,2,3379,10755133
201712,10016000,衣,1,858,2207191
201712,10016000,衣,2,3446,10386815
