年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10016000,食,1,3520,11369724
201401,10016000,食,2,4151,10935203
201402,10016000,食,1,3046,7916649
201402,10016000,食,2,3815,9109241
201403,10016000,食,1,3249,8279807
201403,10016000,食,2,3981,9413012
201404,10016000,食,1,4610,10123425
201404,10016000,食,2,6083,13622131
201405,10016000,食,1,6555,14137366
201405,10016000,食,2,9088,19063213
201406,10016000,食,1,6568,14237376
201406,10016000,食,2,8817,16807723
201407,10016000,食,1,6746,14485643
201407,10016000,食,2,9402,17634866
201408,10016000,食,1,5697,14499864
201408,10016000,食,2,7366,15453629
201409,10016000,食,1,3849,9972043
201409,10016000,食,2,4886,10522653
201410,10016000,食,1,3057,7587929
201410,10016000,食,2,3452,7251172
201411,10016000,食,1,3712,9621717
201411,10016000,食,2,4419,10890900
201412,10016000,食,1,3776,9896464
201412,10016000,食,2,4323,10289507
201501,10016000,食,1,4254,11099821
201501,10016000,食,2,5052,12891215
201502,10016000,食,1,4585,12275662
201502,10016000,食,2,5577,13785312
201503,10016000,食,1,3299,8528201
201503,10016000,食,2,4283,10551898
201504,10016000,食,1,4902,11417129
201504,10016000,食,2,6264,14072832
201505,10016000,食,1,6885,16919781
201505,10016000,食,2,9384,20641191
201506,10016000,食,1,6794,15501086
201506,10016000,食,2,9022,18620142
201507,10016000,食,1,6525,14705278
201507,10016000,食,2,8809,17688623
201508,10016000,食,1,5940,13325186
201508,10016000,食,2,8006,15116605
201509,10016000,食,1,5402,13221446
201509,10016000,食,2,7318,16755441
201510,10016000,食,1,4404,11518062
201510,10016000,食,2,5697,12897796
201511,10016000,食,1,3369,9843508
201511,10016000,食,2,4626,11385216
201512,10016000,食,1,3287,8726914
201512,10016000,食,2,4439,10848001
201601,10016000,食,1,2032,7046423
201601,10016000,食,2,2181,4567209
201602,10016000,食,1,1872,5921841
201602,10016000,食,2,2296,4146860
201603,10016000,食,1,1846,4565440
201603,10016000,食,2,2421,3746760
201604,10016000,食,1,3667,8662227
201604,10016000,食,2,5231,8748992
201605,10016000,食,1,5530,11469336
201605,10016000,食,2,8148,12974149
201606,10016000,食,1,5963,11599363
201606,10016000,食,2,8203,12625921
201607,10016000,食,1,5440,11997132
201607,10016000,食,2,7471,12682106
201608,10016000,食,1,4416,9576280
201608,10016000,食,2,5524,8558288
201609,10016000,食,1,3426,7256111
201609,10016000,食,2,4371,7572506
201610,10016000,食,1,2516,5820170
201610,10016000,食,2,3175,4981230
201611,10016000,食,1,1939,4319829
201611,10016000,食,2,2562,3267177
201612,10016000,食,1,1845,4150858
201612,10016000,食,2,2133,3148240
