年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10016000,住,1,2565,10471425
201401,10016000,住,2,1957,8612310
201402,10016000,住,1,2085,7903580
201402,10016000,住,2,1742,7557947
201403,10016000,住,1,2473,9339127
201403,10016000,住,2,1556,7792778
201404,10016000,住,1,3222,15052134
201404,10016000,住,2,2275,12471913
201405,10016000,住,1,3476,17837159
201405,10016000,住,2,2668,15016469
201406,10016000,住,1,3353,17073791
201406,10016000,住,2,2527,15230367
201407,10016000,住,1,3934,23708289
201407,10016000,住,2,3123,19715307
201408,10016000,住,1,3263,17210118
201408,10016000,住,2,2588,14335304
201409,10016000,住,1,2745,12841108
201409,10016000,住,2,2112,10699080
201410,10016000,住,1,2794,10886049
201410,10016000,住,2,1875,7783447
201411,10016000,住,1,2887,10474512
201411,10016000,住,2,1758,7827679
201412,10016000,住,1,2616,9205943
201412,10016000,住,2,1871,6882603
201501,10016000,住,1,2699,10263983
201501,10016000,住,2,2022,9115894
201502,10016000,住,1,2368,8997930
201502,10016000,住,2,1890,8662231
201503,10016000,住,1,2265,8738580
201503,10016000,住,2,1438,6484313
201504,10016000,住,1,3017,12831323
201504,10016000,住,2,2157,11395312
201505,10016000,住,1,3041,12911866
201505,10016000,住,2,2381,12359731
201506,10016000,住,1,3289,15470710
201506,10016000,住,2,2347,15165562
201507,10016000,住,1,3244,17059593
201507,10016000,住,2,2651,17128750
201508,10016000,住,1,3113,16126049
201508,10016000,住,2,2355,13354539
201509,10016000,住,1,2952,13899601
201509,10016000,住,2,2138,10825410
201510,10016000,住,1,2700,10893941
201510,10016000,住,2,1835,9411338
201511,10016000,住,1,2528,9298428
201511,10016000,住,2,1592,7590579
201512,10016000,住,1,2705,10015008
201512,10016000,住,2,1897,10081471
201601,10016000,住,1,2141,9561658
201601,10016000,住,2,1725,8748481
201602,10016000,住,1,1858,8820739
201602,10016000,住,2,1700,10517729
201603,10016000,住,1,2069,8265190
201603,10016000,住,2,1515,8894500
201604,10016000,住,1,2667,15212294
201604,10016000,住,2,2153,14282416
201605,10016000,住,1,2980,17602265
201605,10016000,住,2,2460,19597052
201606,10016000,住,1,3398,21028536
201606,10016000,住,2,2723,20646085
201607,10016000,住,1,3254,23413431
201607,10016000,住,2,2694,18597230
201608,10016000,住,1,2818,19573585
201608,10016000,住,2,2573,16614693
201609,10016000,住,1,2256,13208670
201609,10016000,住,2,1763,11540943
201610,10016000,住,1,2522,12659394
201610,10016000,住,2,1683,10767064
201611,10016000,住,1,2406,13000157
201611,10016000,住,2,1722,12015389
201612,10016000,住,1,1890,6943492
201612,10016000,住,2,1410,6205180
201701,10016000,住,1,2075,9721336
201701,10016000,住,2,1805,9800581
201702,10016000,住,1,1914,8796994
201702,10016000,住,2,1646,7312285
201703,10016000,住,1,2406,12238990
201703,10016000,住,2,2001,13113058
201704,10016000,住,1,3421,22727064
201704,10016000,住,2,2882,21090055
201705,10016000,住,1,3864,25646712
201705,10016000,住,2,3254,25761414
201706,10016000,住,1,3717,25982188
201706,10016000,住,2,3005,28037040
201707,10016000,住,1,4018,27925323
201707,10016000,住,2,3385,25894475
201708,10016000,住,1,3601,23676883
201708,10016000,住,2,3090,24999983
201709,10016000,住,1,2867,15599272
201709,10016000,住,2,2164,16308299
201710,10016000,住,1,2938,15147798
201710,10016000,住,2,2288,16841060
201711,10016000,住,1,2468,9635672
201711,10016000,住,2,1824,10117281
201712,10016000,住,1,2322,10053499
201712,10016000,住,2,2095,10704512
201801,10016000,住,1,2199,10037076
201801,10016000,住,2,1824,10770472
201802,10016000,住,1,2253,12117345
201802,10016000,住,2,2203,12372021
201803,10016000,住,1,3297,18254547
201803,10016000,住,2,2754,17243059
201804,10016000,住,1,4080,28828999
201804,10016000,住,2,3625,26936729
201805,10016000,住,1,4510,35147369
201805,10016000,住,2,3856,30362937
201806,10016000,住,1,4448,29909433
201806,10016000,住,2,3973,30589381
201807,10016000,住,1,4849,32109394
201807,10016000,住,2,4355,31627050
201808,10016000,住,1,4308,28131195
201808,10016000,住,2,3805,24604630
201809,10016000,住,1,3402,18987486
201809,10016000,住,2,3030,19422160
201810,10016000,住,1,2725,15482954
201810,10016000,住,2,2349,16008806
201811,10016000,住,1,2712,12258564
201811,10016000,住,2,2273,11320141
201812,10016000,住,1,2680,11696448
201812,10016000,住,2,2529,13962186
201901,10016000,住,1,2550,12182905
