年月,地區,產業別,性別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,66000000,百貨,1,149619,649575550
201401,66000000,百貨,2,464250,1740141738
201402,66000000,百貨,1,113643,471581910
201402,66000000,百貨,2,353541,1236470838
201403,66000000,百貨,1,106932,507832418
201403,66000000,百貨,2,374224,1677744356
201404,66000000,百貨,1,120503,528692805
201404,66000000,百貨,2,421945,1613215219
201405,66000000,百貨,1,117555,458430082
201405,66000000,百貨,2,372041,1246153257
201406,66000000,百貨,1,117416,451499486
201406,66000000,百貨,2,371640,1286312164
201407,66000000,百貨,1,122754,427463164
201407,66000000,百貨,2,409599,1248570350
201408,66000000,百貨,1,128010,455773412
201408,66000000,百貨,2,418885,1282977376
201409,66000000,百貨,1,130162,703957387
201409,66000000,百貨,2,475749,2484884923
201410,66000000,百貨,1,179823,857757968
201410,66000000,百貨,2,627877,2560867370
201411,66000000,百貨,1,112894,408196664
201411,66000000,百貨,2,356293,1145567297
201412,66000000,百貨,1,143105,568936081
201412,66000000,百貨,2,448973,1562235782
201501,66000000,百貨,1,131963,568052129
201501,66000000,百貨,2,406109,1523125047
201502,66000000,百貨,1,154102,658372897
201502,66000000,百貨,2,457183,1643791951
201503,66000000,百貨,1,108728,521860550
201503,66000000,百貨,2,386063,1757623169
201504,66000000,百貨,1,126591,571303682
201504,66000000,百貨,2,431050,1672856080
201505,66000000,百貨,1,124723,505613636
201505,66000000,百貨,2,390997,1333351056
201506,66000000,百貨,1,107522,420553627
201506,66000000,百貨,2,347275,1210246312
201507,66000000,百貨,1,104799,381820782
201507,66000000,百貨,2,363008,1154407221
201508,66000000,百貨,1,109859,396075967
201508,66000000,百貨,2,359590,1098057555
201509,66000000,百貨,1,120811,667329372
201509,66000000,百貨,2,431798,2271121905
201510,66000000,百貨,1,154614,771713512
201510,66000000,百貨,2,538411,2306127224
201511,66000000,百貨,1,96162,359991179
201511,66000000,百貨,2,304614,1004773173
201512,66000000,百貨,1,125476,484289988
201512,66000000,百貨,2,405596,1372642493
201601,66000000,百貨,1,200125,738039114
201601,66000000,百貨,2,584550,1923933729
201602,66000000,百貨,1,199111,716038110
201602,66000000,百貨,2,554932,1736108731
201603,66000000,百貨,1,140669,561203597
201603,66000000,百貨,2,469568,1915078296
201604,66000000,百貨,1,166062,586733214
201604,66000000,百貨,2,521704,1708115289
201605,66000000,百貨,1,163803,534917333
201605,66000000,百貨,2,489440,1451425871
201606,66000000,百貨,1,174540,546542584
